Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
TSC141	0.0	18.7139	204.9725	616.2646	0.0	2845.2030000000004	0.0	340.6037	0.0	0.0	0.0	0.0	0.0	0.0	46.5672	0.0	0.0	0.0	24.0649	0.0	0.0	0.0	19.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5434	85.7977	332.5095	697.7651799999999	777.7205400000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.1387	12.222	85.154	0.0	18.2926	0.0	1222.7575699999995	654.3351	139.817	254.2063	427.5701	283.32710000000003	21.8577	120.86747
TSC145	0.0	0.0	177.0589	185.77820000000003	100.4158	4760.8789	0.0	67.9122	0.0	0.0	78.692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8309	0.0	563.8587	1156.5335	586.2311000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	470.0924999999999	0.0	0.0	1671.35	0.0	0.0	2843.92079	268.47270000000003	100.794	568.0613	18.8671	108.9264	159.9755	707.0353999999999
TSC245	0.0	11.3421	2578.87423	251.9033	678.4226	509.0028	0.0	328.3981	12.3088	0.0	48.7463	0.0	0.0	0.0	131.771	0.0	0.0	0.0	156.656	0.0	79.5075	99.2698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.5623	102.4989	1538.2692000000002	1374.1216	2100.177	0.0	148.2991	80.2278	0.0	0.0	0.0	0.0	313.5606	524.64169	23.7957	0.0	0.0	22.8266	144.5197	1689.29914	1797.6624	144.73467	128.1223	315.7561	337.6715	268.2936	678.0127600000001
TSC248	0.0	0.0	127.37851	72.55600000000001	12.8154	1529.71636	0.0	29.1592	0.0	8.8513	0.0	0.0	0.0	0.0	100.314	9.60628	0.0	0.0	60.3651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.8712	47.54398	139.28975000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	704.93395	39.0106	0.0	2866.56	0.0	124.512	1110.53857	1545.72998	422.42432	610.7467	156.7996	661.15961	635.8068	696.51001
TSC251	0.0	66.3578	442.04711	79.1514	134.764	2180.4563500000004	0.0	174.7906	0.0	23.6587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.5711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.32424	0.0	1311.19054	228.89640000000003	461.5925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1960.8531	0.0	23.4878	42.1221	17.7451	852.1532	2823.1591	1144.1632900000002	733.315	833.1098999999998	70.6761	765.4548	759.8956000000001	998.9567000000002
TSC254	0.0	18.0438	708.9764	382.9991	150.779	527.1107	0.0	125.089	0.0	0.0	0.0	0.0	0.0	0.0	14.963	0.0	0.0	0.0	19.9359	0.0	0.0	0.0	22.8577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.7278	0.0	2037.9866	454.759	1054.63005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1865.52801	0.0	0.0	0.0	0.0	290.0287	2616.669010000001	1610.8463	1332.6993	862.8819299999999	136.29000000000002	402.4924	593.7696900000001	1053.9463
TSC257	0.0	21.9491	1032.5238	173.41601	94.4995	423.3731	0.0	137.2578	0.0	88.1736	0.0	72.0825	0.0	0.0	0.0	0.0	0.0	0.0	194.056	0.0	0.0	0.0	23.9169	0.0	0.0	0.0	30.83	0.0	0.0	0.0	83.2875	0.0	1365.012	218.7653	188.30303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	574.0365999999999	0.0	0.0	0.0	0.0	525.5297	1684.1445000000003	1173.3106700000003	1782.1165999999998	967.3951	109.7865	664.75306	936.7703	951.3338
TSC259	0.0	327.788	2052.189	151.0639	24.1247	1095.9696	0.0	146.0815	0.0	29.7527	8.3975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.549	0.0	660.7271999999999	241.5517	182.5382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1137.28905	0.0	7.1598	1600.07	0.0	26.861	2385.10993	2192.87442	1799.00086	810.5015000000002	27.098	677.54292	920.764	1542.6105
TSC261	0.0	0.0	818.4881999999999	312.25	30.7573	2436.1239	0.0	35.0737	0.0	77.2667	0.0	0.0	0.0	0.0	25.9316	0.0	0.0	0.0	17.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.8536	0.0	1064.0723	56.54812	189.68863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1033.1248	0.0	0.0	416.821	0.0	175.53069999999997	1379.75034	1415.84894	297.11745	489.88724	24.3908	454.8473000000001	494.5934	538.76634
TSC264	0.0	0.0	152.00488	94.44967	136.5493	900.5033000000001	0.0	280.7893	0.0	35.0837	0.0	0.0	0.0	0.0	12.394	0.0	10.6663	0.0	32.1516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.2461	0.0	428.6137000000001	100.2086	214.76555000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.47831	0.0	0.0	1769.4814	42.306610000000006	213.1301	784.1073299999999	631.9426	381.8777	820.0971999999999	218.1783	400.88942	348.28100000000006	647.3641
