Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC141	5582.1059700000005	30535.53536	20659.751339999984	29085.61879	246888.32529999988	9352.227510000004	150282.26769000004	44906.71467999999	15891.7306	33842.76609000002	11997.905	46625.22737	113382.96699000006	7644.904860000001	29472.651839999988	201571.60127999965	35634.56719	3343.6771	12783.85119	7677.450949999999	20743.90246	14260.251760000005	7474.238490000002	17536.308390000002	34877.21997	15361.923239999996	29160.84443	47381.89521	36684.31717999999	62442.89382000005	72682.86231999999	40348.48513999998	19899.60327	103144.19003000006	102041.19772000008	105359.66111999992	10126.865340000008	25703.927540000008	79892.00411000008	23082.12601999999	6448.70353	9535.03121	109286.71013	178999.9005799999	153234.71112000008	46843.61794999996	206457.15284	48314.44748999999	34199.851489999994	11918.467919999996	18798.571219999994	11122.38683	25930.83779999998	13373.10702	21516.29662999999	33571.096390000006	107391.32687000006	280633.1907499996	157894.02217000004	53734.65468999997	32099.698659999987	27520.63670999998	88102.32861	43172.34242999998	23926.74437	92508.76785999992	27141.733970000005	11978.315790000004	16409.658129999996	67074.72521999995	7301.762889999998	13131.6138	60011.48584000001	41160.64721	84593.99327999998	57675.22667999994	113562.60437999996	40174.22527999998	28883.88527999999	35890.77277	90555.41168000002	34754.92855	10407.25239	35716.83441	20272.304180000006	35811.17448999999	13319.329129999998	226115.58255000008
TSC142	5547.564440000002	34358.56883999999	14791.734579999998	24173.127699999983	235950.84177	10873.29787	135521.81951000015	51191.535199999984	16978.46534	31216.952020000004	9023.423300000002	30092.283029999988	100948.92878999992	4168.95323	21898.879870000004	199257.09692999985	36561.30935000002	1596.2850100000005	7808.21568	3692.94925	11741.579220000003	15027.772719999995	5299.28887	12479.45398000001	28313.847950000003	15646.692800000004	24113.548609999994	48733.82440999999	37743.471600000026	51642.14739	63096.60754000005	28381.730219999965	16447.330739999994	106201.30410999994	99213.08045999992	88331.63082	11546.32693	20188.126219999995	64869.03481999997	17095.63606999999	6179.66894	8610.806030000002	109352.51590000016	178949.67496	140076.45641999997	54864.16323000002	214301.3782899998	49661.93825	32059.403989999995	9798.76711	20414.08319	8315.6244	23813.5086	16502.361970000005	15755.072930000006	27508.153849999984	97764.98342999992	282604.0600600005	159137.70848999996	41400.40708999999	27484.898010000004	19647.70834	75705.4335099999	42477.43468000002	23392.75361000001	95454.48614000008	31728.605270000004	10113.644909999994	13341.677859999996	58497.635	11964.522489999998	18591.76118	63109.82726999993	33713.42814999998	88311.39815000002	48339.584390000025	113904.49065999997	39085.66998000007	19543.00023	29572.753640000024	85167.55850000004	38226.29094000004	9170.28829	30502.26366	18294.674550000003	38509.04741999997	14130.75243	235018.2955799999
TSC144	5015.160570000001	19124.06244	12809.606670000006	13288.77254	108759.62731999996	6867.284489999999	62349.20895000007	22344.443900000017	12832.77453	18558.87797	8113.6090499999955	26871.263130000003	41156.43082000004	5166.321069999998	16439.64545	96148.22097999982	14852.776239999985	3705.75548	9660.74586	5391.071829999999	11187.951339999998	11050.867790000002	4224.844470000001	14896.3796	22030.46815	9277.28132	16140.864380000005	24407.88756999998	20482.494960000007	35873.26473999999	29467.98585	16052.10642	9769.93171	58165.39161	42465.62738000003	65402.75214999998	7800.325180000003	16520.711810000015	39123.15628	11539.961850000003	6979.64236	5291.282059999999	55441.52682999998	77230.41045999994	71773.48418000004	22260.59836999998	96302.58298000012	25948.140820000004	19685.501429999986	8074.966359999998	13388.433410000003	7484.816900000002	11624.79215000001	12172.99031000001	13226.853629999992	20050.43498000001	50433.69912999999	122817.36382999984	71282.45972999996	24157.157029999995	24701.590119999983	13493.357550000004	59996.00980999999	22269.464919999995	22649.56029	38324.71631999998	14399.97337000001	6279.450879999998	9326.131349999996	35042.03506999998	7596.975910000003	11094.256429999994	31592.75651999999	25014.010500000026	45663.44125000004	37175.33987999999	60414.20373999997	20673.61264	10396.775319999992	18822.76884	32250.91398000001	16249.89001	7959.989589999999	17334.904930000008	14032.669940000003	13419.619949999997	7747.52955	117088.92455000004
TSC145	6202.3034	43301.65945	16091.284340000002	36713.87036000001	310730.3940199995	10485.07752	195282.88300000032	48499.58927	14468.309910000004	38727.24651	6597.189550000001	30919.96938999999	121756.70173999996	5646.085239999999	17935.559240000002	250334.10674000048	43972.58176	1171.2641	12905.5495	8033.953299999999	12065.7148	9855.053360000002	3887.4113899999993	11299.289660000004	27240.520759999992	23104.82021	29444.03261	66068.61767000002	45681.09318000002	56993.38321	76322.23527000003	37557.99832999999	26361.28004000001	131827.08104999995	121763.56527999992	122017.84844999992	12735.63532	27791.19662	90074.69783	15639.05713	7809.18521	15875.494899999998	143285.79316	212528.95621	144845.40136000002	63668.85229999997	264106.4494099997	63789.09628999997	36682.3636	9974.180989999995	34268.73129000001	8064.098499999998	30738.79998	14702.689920000004	27369.094510000014	30953.21581000001	122652.72122	333490.7120200001	208348.86602	34864.07909999998	34302.69583999999	28077.02833000001	88393.56930000002	46264.81932000001	27877.19322999999	119859.23263000004	41767.52576	16618.56428	15284.873400000002	75227.50960999998	18704.76973	13718.615369999998	72462.08625000005	41700.38674999998	94305.42125999996	59113.99500000002	154535.94075000015	41300.74927000002	24210.745680000004	38626.30749	109999.05638999998	39234.68912000002	10435.60291	36554.55869	20732.43253000001	40386.67868999998	9560.739260000002	272835.13550999993
TSC245	3724.6911	40102.71557999996	22250.44465	26942.91753999999	233750.8009800001	11861.824069999995	144838.92214999997	36504.88926999999	21312.4	31185.01383999999	12844.40253	31874.281759999994	107098.23129999998	7127.265250000001	29258.83531	219352.4654499999	24816.34812999999	4219.401889999999	10161.600199999995	5208.415450000001	16012.87339999999	15086.729029999997	8475.105389999997	18900.80915	26020.28471	18759.047920000005	25841.86441999998	46221.08452	34032.582489999986	52524.62305	59855.11875	30082.233480000006	28845.53982000001	107308.12175000002	96660.43659999996	101295.07147999984	11840.288870000002	23184.25651	58553.367510000026	19149.58935	7852.066819999999	9658.603659999995	125223.7503900001	164403.3474299999	139827.1078899999	51237.60775000001	226074.19771999988	45062.96703999999	32388.615359999967	12478.38689999999	22983.732549999982	7323.455570000002	20541.38458	17251.13845	14536.840809999996	30108.239750000008	89381.06180000005	282676.54424	177177.01565999995	39326.5947	40727.63088	24083.989349999985	84751.77178000001	39632.67524999999	27823.99082	95222.32161000009	27992.582350000004	8985.951769999992	13210.176110000006	63536.35698999997	5967.335209999999	12370.27515	67127.85271999998	31565.6414	84888.71088999996	67007.62465	132144.29303	44314.29557	26025.384129999995	31285.324870000004	79706.87512999996	34273.76123000004	10722.663060000004	34590.71331000001	19178.79351999999	35445.212099999975	13802.952340000002	215647.60596
TSC246	3289.34985	36641.16680000002	18929.12219000001	23392.572369999987	220874.53058	9304.760999999997	123422.33885000007	36564.58769	19697.434680000013	35094.61761999997	10020.207550000005	30571.691399999992	99950.82430000004	7207.556729999998	24702.85843	197986.05492999995	22613.050660000004	2861.90374	12435.350219999998	6319.613590000001	16122.808059999996	13771.964410000004	8956.828099999997	19229.06619	31851.64486	14998.978030000002	22978.215560000004	51893.23181000001	35314.03462000001	51859.56452	53228.48433000004	27812.111960000013	21322.681429999982	97960.70975999995	87639.60525999994	91413.69163000006	9560.50067	23060.47229	60569.10429	21070.77057000001	7734.2491599999985	9389.00472	114382.48247000005	158846.2263099999	142057.2566799999	45624.63932000001	192021.4782100001	45210.65991	30370.21803	12143.94223	19539.858170000003	6706.272499999999	22094.26208	15270.98290999999	12731.987500000005	29166.492550000003	87498.70228999999	258704.47538	162598.9960399999	39188.13623000003	37706.393850000015	19846.46949	79372.26127999993	38340.990790000025	30891.79836000001	88799.89912999995	22652.29727999998	6656.315710000001	13669.018660000003	57555.40167999997	6411.344889999998	12115.826700000009	60352.67212999992	29290.598119999995	73624.2242300001	61126.23863000004	120501.32150000012	39452.29095999998	24554.37928	32453.18175000001	73404.40727000004	30998.660069999984	10948.566230000002	31009.116459999976	18437.66274999998	36189.75008000001	15287.980560000002	200351.53216
TSC247	3575.601279999998	23440.346519999992	12955.171839999995	15627.43926	140888.67686999997	5292.280840000003	76134.06878000006	23082.46144000001	13348.327929999992	18302.50314000001	6775.39412	21975.38942	58755.45626000004	6815.109900000001	19121.58076	124242.34505999996	16572.59458000001	2502.985730000001	8725.808049999998	4145.394809999999	11716.381350000009	8902.916950000004	5785.03593	11475.61147000001	17420.485509999995	8882.042979999997	16843.973009999998	27914.08761999998	18930.98372999998	29356.488690000027	37708.39907999997	15754.241290000004	14995.816300000002	65584.10651	56601.80153999996	59229.499389999946	5876.30933	11872.740380000005	41862.04955999999	12949.980689999988	6063.92579	4131.192769999999	68989.44620000003	90405.83097999998	83851.35818999993	29265.511340000005	118899.37404000004	28438.434849999983	19822.67918000001	7954.593110000003	13467.211930000009	5262.06712	13306.434149999992	8908.913399999998	7853.711690000001	17936.894320000007	53539.62216999997	156752.97201000014	106061.30614999996	21412.789450000007	24070.46796999999	13511.69161999999	54999.526679999966	24739.56637999998	22132.188179999983	52020.76431000004	14157.725370000013	5124.664410000002	11626.814949999998	33364.1907	3390.2719799999995	8262.450980000001	38445.37722000002	19870.56476	45770.99444000002	40122.20229999999	70402.78825999996	21946.713820000008	14886.928670000005	19132.10474	48773.871690000014	21001.34832	7067.353120000001	19165.22382000001	13110.628930000006	17378.602950000008	8533.34282	135867.74413999988
TSC248	3713.04958	27519.557170000004	15312.193590000006	27365.472929999985	234972.046	5580.03673	155170.08244000003	27717.659910000013	11349.02681	33816.294019999994	9625.07218	33800.700929999985	89932.47358000009	2520.63841	25318.87921	197814.84981000013	31029.841170000003	2495.0185099999994	8609.70835	3250.20818	13104.14987	7900.243679999999	6252.31137	19222.14095	20303.70317	13822.934100000002	22786.45	52539.96851000004	39805.23651000002	48946.87941999998	52404.116310000034	26212.885669999992	24237.64892	110513.91169999982	104906.86154999996	101575.10927000004	10063.863969999997	22653.88567	71301.72129000003	16988.134739999987	7203.837979999998	9085.869940000006	106552.47541000009	162426.1661900004	150125.2331799999	46803.414620000025	224467.86104999983	48956.09692999998	33906.28466	11041.68934	27036.803430000007	5338.008969999998	23981.16061	11969.832509999997	14376.626750000005	34580.334009999984	93278.47584000006	295215.5099199999	177930.87481999994	40420.52048000004	27110.671699999984	25407.06797	71198.08996	37340.67194999997	24725.60663999998	94215.72617999993	28590.02348000001	13031.7159	13476.86554	59022.30012000004	13752.472429999998	12088.324520000002	81905.39613999997	27116.83280000001	74413.97376000001	52822.783739999926	118512.05543000004	28338.11835	18668.58599000001	33384.57671	72627.22530000003	32500.208009999995	12218.663269999995	40495.57693999997	18304.44003000001	39491.31086999998	10299.03318	196161.32304999992
TSC250	5047.75826	29554.58654	16751.572460000007	21992.159289999985	188157.2296799998	9384.94396	129624.7824299999	29095.23558000003	12250.338279999996	33900.120079999986	9440.787739999998	30427.904749999994	77596.40693000011	6022.428089999999	24439.87625999997	169322.43533	29524.74159000002	2751.843880000001	6937.734410000003	3940.1635	16072.22716	10365.465860000004	5021.415869999999	16096.394649999997	28589.550000000025	18313.28293	22053.39867	44690.30841	32357.251339999984	45501.89139	51953.63461	26274.08057999998	17287.896069999988	84157.73578	84508.58523999994	89495.78005999998	10575.95993	26335.156070000005	55035.3479200001	20268.250650000005	6335.709900000001	12661.341850000004	89951.2016499999	131826.55155999988	120213.9856800001	42149.74370000003	171436.61028999975	46455.98924999997	29714.598950000003	12286.462620000004	20200.225939999986	8127.230570000001	17224.433820000006	15010.430029999992	16123.313420000002	27675.11474	77189.22357999998	235422.10012	137543.6022000001	43091.733359999984	32714.51525000001	17900.854330000002	77664.81095999987	28680.37185000002	30276.09806999997	79014.73553000003	27505.30113	9707.482879999998	16489.173110000003	56945.993800000026	10509.365829999995	15574.202639999994	55033.78065000003	32662.32309999996	65437.71462	54779.93454000003	88945.73565000019	38150.20149999999	16346.01957	33814.711099999986	62428.22043999996	29088.52839	8902.259039999999	29457.49682	16481.68108	28667.59879	11310.421199999992	190595.12387000007
TSC251	5854.956489999999	32790.56799	20508.682239999984	20297.96472	213655.7617199996	11669.455129999991	143261.54957000006	41918.92113	18372.123930000005	35806.06954000001	14804.964389999996	50613.43591000007	73516.86472000013	8350.780340000003	28922.03193000004	180250.15092999992	35869.60532000001	5608.103290000002	13418.662700000006	5969.28499	16682.59973000001	13933.588849999998	6701.547350000001	25362.64778000001	38173.28023999997	19041.79055000001	29338.680300000004	61899.41806000002	38753.33012000001	54331.86531999996	56323.24344	33457.730180000006	22905.02328	113545.12835000004	76908.70533999999	116049.00552000014	16050.520609999996	39272.47190000001	73118.17069999996	20357.28983	11078.621189999998	10542.348980000004	105887.67403000004	166695.68539000006	137941.71916999982	49586.14166999997	176225.45560999977	52313.60743999996	34713.54345000004	18810.93514000001	27212.52389	9623.00286	22395.314069999986	18112.488480000004	24136.64672999999	39301.47036999999	101609.53925000016	268605.2129400001	143843.3937899999	65603.06413000001	49196.39568	22760.70718000001	107701.08179000004	40260.71658	39145.29722999999	93321.35516000002	30281.741920000008	10670.561049999998	21149.83928	69890.52793000007	16070.779939999997	18944.76858	66668.74080999997	36900.05422999996	77380.74285000008	61299.68633999997	98288.71072000016	43301.21648999996	21712.559829999977	46722.47735000001	77617.22077999997	34060.61992000001	12580.448430000006	38114.70536	24445.64384999999	31489.09897000002	19798.59053	227817.1172600001
