Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC141	349.0554	3415.13927	1301.53092	2400.2142000000003	22521.40084000002	1440.49242	10695.84314	4627.546609999999	1680.35596	4834.849720000001	3004.7082	4267.570030000001	8426.00253	1622.6409	2602.3168	13156.066339999992	2884.85268	97.8568	414.273	201.42383	2407.6761599999995	1747.0688	472.1664	561.3828	1970.7253	1313.8002199999996	2709.7420999999995	6613.344229999999	2611.36051	6057.809669999999	7716.929749999999	4908.469700000001	2646.586590000001	9104.089649999998	5592.676350000001	10582.866430000002	1348.3754000000004	2295.77381	6074.982149999997	2126.9600600000003	1774.9404999999997	430.5859	6859.545930000001	16122.52061	15272.858430000006	5873.003360000001	19526.95087	7613.630700000005	2438.5371100000007	1823.95149	965.3823299999998	2746.5723000000003	1844.2357	2558.64593	1112.1758	5208.02028	8833.486700000003	25420.745439999995	13571.096710000009	5219.27675	4840.457809999998	3315.9606500000004	8568.82567	2797.12451	2158.0849	8208.11682	2491.942699999999	1742.6970899999997	2472.4836	7243.044589999999	1791.3406000000002	1422.4898999999998	7080.657900000001	6318.075339999999	8779.885989999997	5680.53476	11035.301460000004	5354.6648000000005	2628.2324300000005	6714.366900000001	7769.649980000002	2836.12409	1220.9009999999998	3171.0708400000008	2861.8366	4162.952120000001	1967.94185	16922.609770000003
TSC145	352.0155	5699.677899999999	1309.3816	2278.7656	36441.30201000001	2198.3037	15254.688680000005	4455.6545	2017.63388	3776.4282000000007	1204.6629999999998	1869.1456000000005	17532.778189999997	141.157	1646.12266	18913.54739	3956.11676	0.0	1930.2779	22.6727	2245.4106	1486.3771000000004	0.0	248.7888	2533.13464	1474.9870000000003	3509.8396	6252.750199999999	4720.51645	5530.3611	4021.7690000000007	3556.7380500000004	1253.2925999999998	7138.169069999999	10354.03047	10420.016959999995	3463.8627	4421.7556	3038.00299	2093.57413	3194.7869	174.1458	11187.35402	16383.57465	19745.89388	6264.532400000001	28628.74331	2401.9675	2014.1657	1301.1603999999998	839.3067999999998	1642.7767	1199.6454	1514.909	3512.8908	3670.6137	9504.93377	24450.30337000001	15059.183919999996	1981.0511000000004	4219.242200000001	2389.82678	14023.143899999995	4332.6075	3219.098	14503.02421	2697.40275	2646.9323	1277.1540000000002	6509.1661	2768.11667	1506.6461000000002	5168.809000000001	3072.99603	13521.21431	4659.958500000001	13845.83602	3993.51015	1908.6781100000003	6679.317000000001	13323.49056	2070.7290000000003	727.4953	2237.13331	1583.9597000000003	2759.80544	1454.2954	26679.914639999988
TSC245	410.2551	3510.4421100000004	1894.2751	2600.5758	20409.591680000005	767.1467	13065.611990000005	2206.6024200000006	1857.1781	2358.657109999999	519.50008	4398.177009999999	12544.678149999998	1268.7067499999998	3784.74155	17981.590080000005	3713.63231	85.6565	1577.1278	462.50904	1272.4302300000002	1276.4255999999998	904.6772000000002	1192.9642	1956.66165	1570.1928	2209.8778	5963.806809999999	3471.5881300000005	5006.82417	5408.499529999999	3459.1125	1801.9381000000003	10759.581869999996	9449.58326	10756.894429999998	932.6928	2578.2814000000008	3596.0746300000005	1799.07336	449.7784999999999	1105.1299	11692.498899999997	18584.99721000001	13292.8052	5561.612119999999	20233.00164	4772.538379999999	3458.83336	1367.1869	1964.38076	596.9857	1617.16426	1997.9586	1877.5472	4842.09514	6648.88124	27491.15402	17302.200659999995	4357.87296	4682.212079999999	1976.8322	8538.47052	4435.186420000001	2874.7955400000005	9516.676539999997	2355.23559	1412.7137999999998	1573.7158299999994	7824.39471	638.9476	891.34207	5878.120499999999	2571.93931	7765.346000000002	6676.612939999998	12491.081979999995	5277.53132	2924.543	3228.9501700000005	8161.644269999999	2746.15894	1244.84262	3173.0340200000005	1763.4063	4493.884209999999	2596.0371	20190.580849999995
TSC248	803.7381	2056.06671	789.9517	2179.88769	17907.939100000003	616.3884	10707.145579999997	1795.79463	1476.2988	2537.95494	965.531	5896.5732	8934.816330000001	483.0577	3362.2104	14203.44277	2780.81893	313.6112	375.19924	250.2296	1883.0854	816.6285999999999	505.8948	798.9924	1858.4473	569.82368	1397.9156999999998	4165.429070000001	3046.22964	5489.15962	6633.59078	1692.90657	875.6145399999999	10367.064079999998	8035.62823	11229.853489999998	758.6806	2834.4765	5512.258469999999	1424.0585	164.96453	1594.68661	5539.380169999999	14283.983880000003	13940.02416	3817.39956	20300.96297	2308.11977	5054.731750000001	1953.6587	4182.3211	220.6055	1372.69177	2399.9307	1505.00384	3150.645570000001	6004.9055	22252.33331	14499.027940000002	3520.605060000001	2839.985010000001	1066.15524	3648.172279999999	2622.8277800000005	2216.218199999999	8618.74367	2995.72885	1145.35946	2386.88683	6025.54256	945.1532	922.8924899999998	5991.24367	2977.3976	8080.651279999999	4293.04115	8903.421519999998	2759.0780000000004	1011.61892	1751.5654699999998	6525.451569999999	2160.74097	1103.88634	5143.47548	1876.3571000000004	4051.59528	1628.7228600000003	17981.26451
TSC251	374.7905300000001	2611.47878	1380.7708999999998	1878.0811	17880.824609999996	2578.66259	12509.179040000005	5030.825699999998	2114.8555900000006	3658.9156	901.12875	7585.120700000001	7957.885429999999	3340.9351000000006	3497.5983999999994	18273.26171	3413.86142	315.41220000000004	1837.59383	499.8166	4301.6375	1900.08473	437.67808	1364.48633	2907.82288	1535.50352	4172.958979999999	5773.997729999998	4479.716570000001	4813.131260000001	3783.563540000001	4152.31831	1420.4537	11483.587070000003	7238.52936	13168.557330000003	2989.6833000000006	4601.64535	6291.7844700000005	2636.2436499999994	1307.83289	1999.54283	8872.873820000004	17004.66824000001	11331.247330000002	4703.866019999999	18754.50694	5985.24377	2713.4189999999994	2409.7761800000007	3007.9117	2509.4459	1253.02694	2783.0138700000007	1896.60513	5385.032199999999	10672.254250000004	23993.58266	11869.258550000004	5640.40524	3995.98301	3680.48778	10787.605130000007	2761.9825599999995	3409.783900000001	9819.52562	2969.64156	1673.1726999999998	1927.8371	7146.4857200000015	1988.6649	1620.90512	7886.350970000001	5059.747609999999	7875.31852	7209.380080000001	9850.717650000002	5144.217680000001	2392.97913	6078.451289999997	9247.32054	2378.8142	1791.1422	3119.8314199999995	3396.381639999999	2840.5716700000003	2397.0599	18950.67051000001
TSC254	717.5458	3830.13129	1797.8414	1578.5786099999996	27037.306660000013	1514.5318	14203.590280000008	5147.63935	2210.8714	8941.31727	1097.40199	7693.847940000001	9017.051450000004	3092.936	4307.151030000001	22662.91369	4306.23731	208.6645	2136.2477	243.31386999999995	4097.38329	2983.2662	779.037	1411.0474399999998	2020.79129	2120.2794200000003	5340.18672	6814.674800000002	2688.07664	9351.98267	5166.01804	4598.735570000001	2516.789	11500.40519	8636.445269999998	15065.052420000002	2667.62132	5238.847899999997	8840.189290000002	1559.39375	1180.2026	1133.56287	10049.396319999998	18681.86305000001	13603.152490000002	5711.16397	24710.06969	6148.166359999999	3790.8912	3304.27325	1701.6512000000002	2280.1188	2135.38169	3549.2516800000003	1617.27848	5401.969689999999	10058.05117	31657.69151	18875.245100000007	4469.49431	4572.01798	4285.19868	10758.810449999995	2941.8131899999994	6165.76405	11347.732140000004	5273.917009999999	2309.10043	2090.7025	7228.94247	1844.71372	1750.7981000000002	10848.533619999998	3655.9543800000006	10257.03238	7522.74231	10851.58581	5550.4022700000005	3159.485670000001	6017.293529999999	10898.6166	3325.4606800000006	1777.7378	3004.62301	4274.4309	3034.57724	1712.1116999999997	24701.73868
TSC257	1231.2111	1590.23742	2398.0905	1499.91096	16188.498280000003	884.5116000000002	10409.001629999995	3483.6602	2624.0725	2735.5062000000003	1241.15665	5778.932070000001	5950.444369999999	2049.2942	2989.45225	15187.281329999996	1721.1342399999996	352.7888	1773.3142999999998	704.6107999999999	3528.38004	2083.8939	275.9515	1583.8484499999995	2089.9977	1742.2783	4234.0864	7699.9075699999985	2584.0238800000006	5427.8136300000015	4298.3956100000005	3065.8465800000013	909.61975	6898.618760000003	5678.70749	11176.30953	2610.7588	3041.73607	5213.662440000002	939.9571	1277.56238	957.4069	6732.627909999996	11297.035540000004	9685.71012	3212.4381000000008	14015.624370000003	6736.24764	3771.3873399999993	1635.4416	3990.6125	2445.8522000000003	1470.01661	2239.8555	2681.345	3767.830030000001	8835.85073	16993.467719999997	8423.78449	6725.535640000001	3207.0830000000005	1646.70178	11428.906409999994	1657.1916399999998	4197.116400000001	6122.268800000001	3731.19886	942.9635000000002	3055.2844000000005	6595.4023	2737.5932	1812.3583	3859.277680000001	5297.38936	6283.57734	6006.760080000003	7335.855009999998	4145.99473	2059.90445	3844.919210000001	7834.6209999999965	4032.521800000001	1564.6688	2780.41745	2765.8987999999995	2587.9603000000006	1689.4790000000005	19501.31076
TSC259	767.3543700000001	3280.48136	2057.33032	2221.01138	20683.340240000005	1858.3532	15212.92641	1990.37887	3389.8056	3861.3932	1752.0284	6327.918739999999	9418.381780000003	2863.8246000000004	3725.60125	16729.80594	2495.95242	180.5601	1065.53593	744.5472	1901.893	2036.5726000000004	183.3771	1176.17003	3158.9338	1728.57228	2830.965399999999	7628.70911	3766.75171	6208.46319	5172.823009999999	4604.198259999999	2371.2453900000005	11075.1309	9266.128169999994	10644.670750000008	1692.5071000000005	4552.171320000001	6275.07997	3280.9997100000005	987.7811	1030.3135	8502.26874	19554.35878000001	14351.88003	5141.044000000001	23618.68315	4541.541550000002	2341.422829999999	1986.03816	2808.7215800000004	2097.05872	2267.82375	1838.78943	1697.0848999999998	3979.9346	9769.88605	27727.343060000007	18310.019310000003	5054.94499	4000.088259999999	2644.71419	10212.45224	2909.96203	4787.159720000001	10983.00961	4496.508580000001	1477.1079	3263.31104	7557.443509999999	745.60861	1250.6221000000005	8698.948260000001	6149.2604200000005	7308.718359999999	6411.863240000001	9819.01975	6312.406830000001	2189.4021100000004	4586.579699999999	10623.366759999995	3219.76557	1943.2688	2128.27338	3657.90915	2744.7668200000003	2560.01245	17348.108690000005
TSC261	569.2189	3000.83727	771.0458	1810.59225	16703.553439999992	1049.22061	11471.34854	2390.3887600000003	1461.03	3142.90147	832.23491	3354.2971499999994	9516.57826	2452.6542	2248.72471	12339.76246	2526.8395	95.1635	859.7153500000002	248.9712	2082.8617	1606.09216	504.4347	817.9516199999999	2250.3682000000003	1541.5051	2439.06426	5501.31256	3163.7171899999994	6309.21916	5852.088950000001	4235.6899	1535.6445	7425.571169999999	5796.14975	8334.41692	2063.68601	2697.6340600000003	4177.7557000000015	2229.4095	1185.5342	918.2461	8152.45888	14870.64412	11217.72035	4627.302219999999	15892.99893	2748.718389999999	3707.3322	3124.23352	1535.7161	1839.87681	1464.86209	2047.5815	1932.9008100000003	3069.87921	8238.117530000003	23001.455490000004	10770.219430000005	3831.96131	3212.483800000001	1784.1220300000002	9073.695000000002	3729.08371	3580.48633	7995.228329999999	2610.34214	965.1983	1614.1799	8055.06323	1140.1409199999998	1512.1466	5747.291840000002	4384.629809999999	5680.542130000002	5486.274610000001	10153.80022	3755.5989	1282.3206	2971.50829	5887.787109999998	2940.98928	1224.6310999999996	2740.34049	3378.8377	1550.2474800000002	1794.88716	16297.870120000003
TSC264	660.6777999999998	2659.61108	623.51414	1643.97211	11969.88934	754.6493	8088.419269999998	1858.90054	1114.36974	1920.96175	715.8626999999999	3957.1101	6074.689470000002	544.53055	2623.06737	9833.792329999998	2494.01744	48.984	716.5548999999999	473.4464	1195.2027	1751.4805699999995	491.9413	1044.10193	1978.0142	667.22745	1803.76246	3455.80236	2716.2856500000007	3900.781560000001	3193.15446	2248.4696	647.5237999999999	6209.98809	4035.152140000002	5660.4989	1102.2924999999998	1255.48875	3789.20095	1526.16606	690.3659500000001	1117.0648700000002	4377.073290000001	9003.693339999996	7693.676260000002	2268.6299900000004	10661.76193	2567.6257200000005	2525.858379999999	1219.8617399999998	690.3591899999998	847.0086000000001	932.9631499999996	1021.5539499999998	914.764	2047.8546100000003	5255.526540000001	14254.32952	7906.461689999999	2805.86073	2329.19677	932.0248299999998	6673.692659999997	2230.50703	1706.02854	4180.70555	1787.6889399999998	720.3423	1115.4677	4191.70938	1316.8388000000002	899.10021	3331.4924999999994	2100.07104	3688.81994	3628.21832	5524.99067	2936.54232	933.69111	1911.12297	4172.0137700000005	2769.27124	630.7467700000001	2098.23485	2015.60457	1347.1269300000004	1208.21637	11361.68532
