TFM	GS1	GS10	GS2	GS3	GS4	GS5	GS6	GS7	GS8	GS9	SS1	SS10	SS2	SS3	SS4	SS5	SS6	SS7	SS8	SS9	WS1	WS10	WS2	WS3	WS4	WS5	WS6	WS7	WS8	WS9
AcnR	4575.8984	34875.4693	35271.701399999976	25025.436799999996	33231.34379999999	16727.946400000004	31954.383299999994	24265.689000000013	20258.5041	26776.026600000005	128567.80139000014	39434.9799	47587.370800000004	67841.23419999998	61054.84009999999	88094.60100000004	88731.01629999997	93893.31500000009	66036.68640000004	138291.38630000013	461493.90290000016	283782.2595999994	477983.1606400009	379781.71040000033	423955.9034000003	323217.08799999935	226092.39859999987	277717.14440000016	391340.93044999917	253027.30098
AgaR	26672.61529999999	134666.18509999994	129266.5018000001	119302.0005000001	123766.69179999991	60926.04739999996	131809.96450000003	95639.71859999989	87203.34970000004	113374.66290000007	77842.13180000002	26903.7259	30761.291500000003	50225.0594	39896.41009999998	71483.8843999999	56140.64990000002	69725.74640000003	39486.07080000002	82606.42060000003	748643.4492000015	875916.0048700034	760016.3121000008	1261610.2894000034	642485.763300001	815852.2555300004	801722.1075399998	874581.1620999969	967841.0433799977	680912.7801000008
AmtR	10908.631200000003	68538.14979999997	65524.40099999995	60436.49689999997	62834.22889999999	29698.114800000018	60100.25079999998	52374.32830000001	44489.36169999998	57337.64879999993	114124.41770000002	38579.96989999998	45086.10590000001	68187.28890000001	54689.75629999998	87259.72460000002	79060.59929999996	83834.01180000001	54123.68398999999	109451.7765999999	608336.8588499991	573564.3497000005	593723.5902599989	681435.2744700013	503612.60670000204	553218.8119000006	459502.8341999998	514621.36640000093	634842.3571200018	464333.2629000004
AraR	9926.5952	67970.46120000002	63731.2468	49665.7635	69577.34449999995	36979.69990000003	64566.00500000006	44915.69290000002	45312.09209999998	60047.61890000002	21523.403199999982	6914.0214	9814.257699999998	18210.229299999988	19749.6208	28527.66000000001	23285.313399999988	27039.00350000001	14997.511499999997	19331.719	359113.6346599998	441620.8865600004	355048.02629000077	633803.8002000009	280821.22349999996	429207.0807800005	348694.8366999995	461218.21028999996	493479.9089499998	380180.1697000009
ArgR	108525.9434999999	504902.36589999933	502718.050899999	430592.4568000004	502007.659600001	255905.49299999996	544010.8059999993	368047.32719999924	333380.2084999999	448173.9115000003	259301.54287	78430.20580999998	112639.92390000018	193451.96019999968	193874.87170000002	274196.8167999991	233004.25969999976	251580.5943399997	160801.25619999995	251231.10919999992	3029162.4676100295	3577087.415840002	2955557.5144899804	4343327.078890007	2440400.592000004	3401892.94707998	2647624.7660000054	3283608.3171600252	3644112.1989800087	3059629.1846800065
BioQ	5223.3233	31810.83969999999	33793.168399999995	24157.132300000023	26479.8307	12219.4529	26271.472000000016	27296.719100000006	17071.138600000006	27154.8357	117554.97700000006	37689.5185	42743.19370000002	60438.731599999985	54021.82630000002	72649.34360000008	77532.95860000003	81047.76710000004	58306.91489999996	115325.95180000002	551841.3265999999	447453.276100001	563226.5204000004	566603.9839499996	488980.62169999944	450754.6484999998	391054.11510000087	445888.8409000003	515592.1367300003	365890.407529999
BirA	45468.33010000003	250611.35099999953	239440.49779999987	210631.8513999997	235394.17939999988	118571.82679999984	251229.28509999983	180259.44279999987	164238.48169999995	210506.5755999998	216503.24949999995	82036.58899999995	108612.47949999999	142854.98980000007	157094.36249999996	196299.09090000007	171524.0752599999	183544.80724999978	139116.1297000001	210812.20930000028	2131131.369870009	2447948.187909998	2130360.4685099893	3159525.2938800068	1774535.955099997	2308211.036120001	2041528.4613399957	2328588.9394999994	2293682.7319399943	1971854.04518001
CadR-PbrR	16841.151299999998	73690.16069999995	73670.31230000003	58596.10520000001	69660.24380000005	36196.58360000002	67462.65630000009	58753.4434	45509.4762	64744.287000000026	210006.26830000003	67019.86429999994	92037.41542999998	127537.93498000002	137933.8501999999	156322.73250000004	157408.4811000001	154740.03859999974	124789.15849999998	207301.00737999994	1239061.7628500029	1133234.9440000015	1228462.4436500003	1256179.8739999994	1139912.9001	1067009.6274500014	785139.6123999977	955374.7785700037	1172110.7794100007	914030.8585199987
CblR	8524.9111	57054.59289999999	55896.38999999996	48247.43050000001	49768.6464	29041.629099999987	51063.848100000025	43828.837099999975	36744.33569999999	50179.22650000003	71063.24259999997	20308.990199999997	24494.64660000001	42967.672199999965	32755.111099999995	52781.958599999954	47247.96213999997	54791.52840000008	31283.55870000001	67373.2165	650889.3971100005	679301.0297999979	578627.6466400002	717246.814400002	545121.7494000004	634940.3017300006	505851.7088000004	575610.8722999992	612218.3318999999	554419.4095699997
CcpA	19681.087600000003	117729.49020000001	114286.05990000012	94670.85679999997	109593.56020000004	49522.57210000001	112278.80770000006	84464.61889999994	75228.5632	102271.29809999997	67691.05349999998	17636.841800000006	24681.95849999999	39100.44980000001	29425.789999999983	52122.67649999995	46981.8171	54653.531099999986	31647.407499999998	68958.72860000002	683327.4763000017	803363.9433700026	661257.8671000011	1016565.8537800028	558317.9999000006	757341.1124600022	685327.8056000011	761382.6331999977	750388.3187000005	632178.0246300014
