Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC000	0.0	598.2502	150.74439999999998	187.856	2286.53217	0.0	1246.6725	223.7026	131.8082	716.8981	0.0	226.0511	2893.1533000000004	68.6425	223.4852	1685.50221	521.4206	16.5611	156.6511	0.0	165.2863	51.9758	119.851	19.4664	153.90296	378.5399	154.93040000000002	291.93529	199.4716	185.8977	313.7582	57.83279999999999	33.0232	650.7515999999999	391.2683	740.3551999999999	30.8581	71.4028	350.48299999999995	37.1461	32.5269	4.88109	925.2962	1353.98497	1300.3342699999998	430.96830000000006	1853.70978	569.6267	24.906	276.2038	0.0	27.4257	231.2183	131.6402	108.8283	167.98139999999998	402.4287	2031.53169	971.82146	226.6727	607.482	232.99	1377.3345	1825.55779	513.0936	727.2923	332.23083	0.0	194.4915	292.8217	0.0	0.0	1580.12723	112.8005	672.2849	1242.2501	2135.73811	491.5709	118.1993	269.0005	468.21286	118.6057	126.7622	604.5455	28.9188	475.8171	111.6705	1844.99766
TSC001	16.9596	905.8308	49.8386	0.0	424.2044	12.9544	688.13115	48.6595	0.0	1469.5388	67.0084	96.8411	1257.9839	12.6518	53.11634	784.77386	486.6298000000001	0.0	74.9817	0.0	81.1619	0.0	75.6334	95.9874	93.8629	0.0	138.1737	34.5968	92.7043	26.034	42.005	38.8641	12.9544	405.0533	862.1763000000001	307.50194	118.1175	132.2428	167.0567	34.5968	36.45093	0.0	799.62911	1034.10752	427.82256	149.4603	503.1568	72.6555	57.6858	50.7159	168.3376	0.0	62.6626	0.0	189.69130000000004	84.8572	126.0139	2239.037	1974.7422	413.8003	118.3435	124.7175	484.6559	1690.5127000000002	0.0	388.4773	283.362	183.2077	0.0	10.4765	24.2529	0.0	1216.5135900000002	172.9692	30.0634	373.4687	608.6545300000001	921.7765	114.326	169.02779999999998	1874.5319	207.5815	22.2404	517.7068	80.92229999999999	141.9968	47.112100000000005	674.24563
TSC002	36.2194	74.6426	69.6122	0.0	812.1317000000001	0.0	379.2037	17.7078	158.2322	0.0	35.322500000000005	0.0	222.6446	56.3628	87.1868	541.1219000000001	38.399	0.0	0.0	31.8546	46.6375	0.0	30.6114	44.8202	110.7377	0.0	58.989	19.4002	0.0	107.2413	62.8546	0.0	0.0	68.9841	118.1658	140.57690000000002	29.553800000000003	449.6781	370.4827	17.7078	78.2048	123.1865	418.9094	682.3286	294.5912	109.6654	445.2891	91.65	64.7926	0.0	98.6979	0.0	35.5667	128.0616	53.2391	26.5064	112.1241	290.14900000000006	336.128	188.7833	58.2496	157.852	406.4848	199.6587	189.467	97.5381	699.5178	0.0	70.7474	123.33062	66.8408	0.0	720.3185	18.5862	117.4566	79.352	74.279	0.0	21.2107	123.1149	44.0475	20.2567	0.0	56.09	60.9327	0.0	16.3077	370.1601
TSC003	31.4424	621.2673	19.4806	77.12	1118.85349	260.8507	559.3411	22.1135	22.3996	0.0	41.4381	478.2539	191.2822	0.0	0.0	458.52420000000006	73.3728	0.0	0.0	0.0	37.3746	80.045	0.0	0.0	51.0105	0.0	43.9106	113.1747	331.18	73.28790000000001	0.0	0.0	79.1876	635.2610999999999	96.14949	230.6203	221.968	105.6759	98.3513	0.0	0.0	432.3322	236.09909	1063.0546	2077.8495000000003	22.8011	275.4809	0.0	98.3866	13.7987	31.3739	12.3261	0.0	302.0299	0.0	54.4028	0.0	2130.6227000000003	415.8955	129.6838	178.8986	0.0	314.59189999999995	219.907	179.7141	184.9363	220.236	24.0919	56.0648	27.91069	0.0	0.0	197.0228	27.9532	75.0323	548.5914	105.47663	560.0937	110.96	222.4643	96.8326	42.5029	0.0	16.4693	100.36	72.9006	0.0	797.7762
TSC004	262.6945	144.0939	175.33913	88.0527	1919.16785	49.8545	1832.1517	139.8745	86.03890000000001	53.65178	21.0022	75.44594000000001	1955.73319	55.441	255.0663	1683.2513	468.73	15.6338	395.819	0.0	95.0228	108.0681	10.7816	218.9403	33.2642	72.05873	90.9384	225.1114	109.7891	363.589	634.5403	96.37388	113.0242	750.0698	688.0781000000001	703.3530999999999	80.4863	209.60314	445.1033	27.5413	0.0	302.486	821.0514000000001	1259.67812	980.353	288.836	586.7682800000001	8.84468	310.16306	0.0	200.52358	0.0	48.22410000000001	133.5925	0.0	3946.8012	443.2559	2028.96191	1029.6751000000002	428.2581	701.22266	339.6415	584.1976000000001	2068.5476000000003	192.0151	571.25878	749.0085	41.0736	144.00678	400.00934	81.70020000000001	9.34004	2454.48069	0.0	557.7391000000001	566.8755	862.06351	253.3773	36.0015	249.7168	385.0827000000001	319.1951	38.47399	1095.9088	103.59	41.0311	19.4127	5888.60727
TSC005	60.45	65.9595	173.0377	202.2927	1423.64855	123.0302	1429.50653	549.5136	47.3593	30.1871	191.774	256.8339	3016.99933	39.2201	169.95583	2535.1485800000005	843.42609	0.0	335.0942	52.0865	35.0383	58.8006	0.0	822.4966000000002	89.4052	90.4335	344.7781	770.4107	34.61398	533.5298	402.1241	319.3353	166.26430000000002	802.4334000000001	311.7008	1101.2320999999995	152.6515	43.3068	762.7987700000001	82.3733	0.0	88.7101	799.8933	1594.9965000000002	2803.94747	204.0356	2048.6010300000003	0.0	112.931	180.885	133.40035	104.0071	121.1906	343.61940000000004	206.3672	384.4226	154.3788	3449.7914	1264.21787	378.0808	863.31015	422.8912	927.8822	1631.4794	518.3252	1162.71318	566.5486	33.579269999999994	507.8039	118.21567	28.2757	464.42009999999993	2087.98576	394.7845	430.56298	1385.0375	541.3892	688.6691000000001	186.9956	575.5033999999999	396.1889	328.3131	36.3541	5.49702	305.3958	124.36569	86.3441	1349.3299000000002
TSC006	18.4008	103.0625	26.5363	479.13484	1729.61774	250.3757	753.5659	256.4552	480.297	520.8842999999999	93.5876	103.1632	1237.43164	0.0	39.0795	1076.3673400000002	749.0416	0.0	125.90012	0.0	244.87580000000003	31.957500000000003	66.60589999999999	0.0	85.38000000000001	507.9598	216.449	105.258	123.9386	0.0	273.9123	279.2292	189.1909	698.7298	254.00304	317.19473	208.7588	178.5775	796.6794	21.639	0.0	18.2926	1358.9941	1594.02323	1377.3246	2333.9025	2930.04677	297.14814	276.4048	69.6695	95.59063	0.0	0.0	65.97460000000001	0.0	166.45080000000002	457.6228	1604.88423	1320.4549499999998	22.971	242.1411	615.6999000000001	505.3356	1717.0495999999998	789.4136000000001	502.83258000000006	397.0563	236.595	77.649	124.18846	29.8287	22.0216	1181.36323	411.03682	721.8686700000001	350.47597	993.01113	137.71702	42.3098	287.49892	402.70807	95.85409	47.5201	1253.1351	66.6067	239.7598	113.7057	1116.59479
TSC008	14.3558	250.7574	31.3685	1962.7657	1869.76192	73.21300000000001	705.43338	213.6819	258.22625	236.639	95.9853	2002.4071	1880.1297500000005	0.0	39.4288	1335.96011	385.1933	0.0	46.328	0.0	44.8336	0.0	94.4759	0.0	299.56251999999995	50.0156	37.4643	156.44449999999998	142.0792	272.77599999999995	189.5917	268.21653000000003	0.0	3487.76588	388.89535	650.93696	35.431	370.2905	2038.85446	23.4657	28.8411	0.0	1099.14323	826.7494999999999	1311.1042699999998	2235.0665000000004	912.60747	273.1641	239.4973	0.0	287.5532	0.0	23.7366	63.62031	13.8008	324.91	300.2976	1474.6207699999998	881.0569300000001	0.0	194.8285	1984.995	849.82683	1247.26467	176.7099	525.4285	0.0	0.0	0.0	57.23283	13.2852	446.381	1557.8862499999998	180.52086	292.251	545.20322	973.55549	134.9735	40.1538	2338.2257	457.18607	142.98649999999998	19.9272	24.4263	102.8018	149.8068	70.35379999999999	1165.38681
TSC011	0.0	42.1389	326.9973	237.8622	326.1738	81.8808	248.3228	10.281	568.414	289.5479	0.0	159.23919999999998	362.6241	29.5698	54.9375	181.2121	155.3503	339.121	42.3245	0.0	210.571	21.7425	53.1071	0.0	37.5914	34.1243	257.60200000000003	26.0521	154.2627	10.281	615.5427	14.821	50.019	350.2644	37.2888	472.8567	66.1244	61.9309	221.4747	0.0	0.0	161.823	219.20730000000003	534.2850000000001	986.5465	59.895500000000006	348.2191	115.5819	25.2383	32.2568	0.0	0.0	0.0	13.4327	59.0916	39.1732	0.0	1611.2609	220.1405	118.9794	141.1717	131.093	262.856	855.6599	128.6757	146.3686	168.0258	0.0	0.0	0.0	31.5173	0.0	320.3761	255.8477	123.1275	619.7507	224.7715	17.6969	41.7302	103.1677	101.9135	0.0	0.0	228.2655	14.821	70.26650000000001	92.8772	358.7154
TSC013	0.0	68.6191	95.6949	90.1722	540.45811	161.08530000000002	313.96041	65.15440000000001	87.8405	41.34741	23.7278	122.7431	333.7031	0.0	74.72951	337.7923	153.6078	0.0	31.088	0.0	0.0	0.0	20.7052	0.0	9.5913	12.5461	212.7233	0.0	174.2516	25.9204	124.21281	88.5567	0.0	258.1323	248.71411	453.91202	166.8779	317.9529	152.9961	14.8472	48.9969	7.92701	436.3884999999999	214.51411	571.2808100000001	127.9099	245.1163	0.0	0.0	0.0	170.26601	0.0	6.88071	112.4174	20.7052	27.6224	51.218610000000005	484.8609	147.6746	86.63421	205.9802	90.1722	137.1474	0.0	51.72891	126.73651	0.0	29.51801	0.0	0.0	52.0698	0.0	217.9732	12.4528	101.5821	94.0427	109.9356	0.0	27.6687	273.29431	100.60600000000002	0.0	0.0	0.0	35.6954	43.1528	91.3344	451.17634
TSC014	6.31118	159.8251	63.8422	108.627	1625.3971	66.6134	685.1749	377.10482	48.7971	43.07816	17.4365	85.5617	916.05276	0.0	108.63529	858.6731000000001	1123.6127	0.0	125.4126	0.0	102.1441	32.0825	0.0	148.8835	76.17527	19.2976	646.418	242.7681	66.78196	216.75600000000003	243.8394	195.1798	124.8614	330.7245	221.65443	410.1358	0.0	194.88530000000003	59.3081	43.3788	28.9656	12.7566	729.93252	1021.43146	799.2604299999999	182.4782	569.20156	122.96640000000002	351.23490000000004	0.0	67.7356	0.0	15.2347	175.6143	37.0158	396.3274	296.01856	864.2954100000001	347.2505	239.14011	143.4935	56.9258	450.8903	1223.19552	184.3591	155.0076	37.69148	12.989	165.291	133.83487	20.353	9.47947	1270.5633	88.9974	162.241	485.668	438.9061	66.5788	103.2826	426.584	338.77326	103.8882	12.989	614.4658999999999	25.2482	849.7093000000001	75.3728	1096.6153900000002
TSC016	117.177	844.4504999999999	291.50539999999995	591.6203	1394.09985	220.277	948.40036	526.14782	435.0019	63.3261	117.7291	554.1096	1860.1324	130.672	97.7186	2469.9249	1215.204	0.0	451.3158	0.0	20.8177	303.01070000000004	0.0	559.4767	47.6065	35.60888	542.6538	1152.1772999999998	658.1054	424.8283	67.61019999999999	242.3587	73.5723	696.9610599999999	1373.7094	915.6837	262.3008	389.938	915.0676	804.6033	60.8667	0.0	829.5349	2589.91189	1316.71436	340.0867	641.4801899999999	63.56620000000001	118.4831	70.6419	469.3819	26.8012	182.8796	640.3179	189.0943	299.9329	170.9723	3509.79356	782.8781600000001	380.5053	653.3277	416.844	1221.9019	1470.4171	749.4869	849.8922000000001	910.2647	8.3646	377.0046	15.5288	85.11760000000001	50.0518	2440.9979000000003	390.28998	208.1006	656.31	464.98527999999993	251.2	265.1877	661.4442	307.09326000000004	91.192	54.5178	445.7999	93.0453	90.0024	365.0546	1202.7752800000003
