	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	210.2345	0.0	0.0	0.0	0.0	0.0	362.6797	0.0	488.9408	14.8622	0.0	0.0	0.0	0.0	0.0	223.14427	87.8007	20.0789	14.1403	38.4446	541.3521	0.0	0.0	0.0	0.0	53.6858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.4343	17.5066	0.0	0.0	0.0	0.0	42.3451	27.9757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.9066	0.0	0.0
TSC001	122.515	0.0	0.0	0.0	0.0	0.0	17.9003	0.0	88.591	0.0	0.0	0.0	0.0	0.0	0.0	12.2544	0.0	19.5178	0.0	0.0	145.6814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7445	0.0
TSC002	233.0561	0.0	0.0	0.0	0.0	0.0	157.852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.368	281.368	60.73180000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.4478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.676	0.0
TSC003	122.9434	0.0	0.0	0.0	0.0	0.0	0.0	35.3443	0.0	35.3443	0.0	0.0	0.0	0.0	0.0	95.1243	279.11949	43.7556	0.0	0.0	114.3669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.4945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.705	0.0
TSC004	142.6619	9.34004	0.0	0.0	0.0	0.0	457.5389	0.0	171.8545	85.35920000000002	0.0	0.0	0.0	0.0	0.0	207.23296	108.5444	52.79929	0.0	11.0476	359.1466	116.64759999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.1712	17.7911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.38976	152.396	0.0
TSC005	38.5731	0.0	0.0	0.0	0.0	0.0	0.0	106.4039	22.369	49.9923	0.0	0.0	0.0	0.0	0.0	318.72135000000003	227.0584	64.0952	375.9872	0.0	105.2205	0.0	13.5413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.5291	0.0	0.0	0.0	0.0	0.0	259.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.75635	0.0	0.0
TSC006	117.6259	0.0	0.0	0.0	0.0	0.0	157.763	0.0	154.253	19.83144	0.0	0.0	0.0	0.0	0.0	123.4101	167.51	0.0	0.0	128.0896	454.6454	82.5938	16.9347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.537	72.71770000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3134	0.0	0.0
TSC008	406.262	0.0	0.0	0.0	0.0	0.0	213.554	0.0	67.17582	160.0632	0.0	0.0	15.619	0.0	0.0	110.3633	299.86039999999997	165.081	165.081	10.2961	410.2401	99.5952	165.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.9776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.3285	0.0	0.0
TSC011	30.4392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.3637	17.6969	0.0	0.0	0.0	0.0	0.0	0.0	66.1244	0.0	0.0	16.6474	111.1854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	140.0756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.4238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.6851	0.0	28.1598	0.0	21.7345	6.88071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.3188	0.0
TSC014	108.565	0.0	0.0	0.0	0.0	0.0	24.4383	0.0	148.1669	48.9	0.0	0.0	0.0	0.0	0.0	75.02789999999999	15.902	0.0	8.0301	0.0	264.4409	156.8765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.5972	0.0	0.0	0.0	0.0	0.0	126.6903	0.0	0.0	0.0	582.664	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	167.8222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.4255	9.31089	0.0	0.0	0.0	0.0	0.0	166.76775999999998	195.4181	0.0	155.408	13.5654	300.8447	8.3646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.4525	0.0	0.0	0.0	0.0	0.0	88.08439999999999	0.0	0.0	0.0	0.0	118.696	0.0	0.0	0.0	10.9398	0.0	0.0
TSC018	0.0	0.0	0.0	0.0	0.0	0.0	209.1648	36.7574	151.6022	63.6609	0.0	0.0	0.0	0.0	0.0	134.73260000000002	162.2273	19.5616	0.0	18.5883	394.2172	35.3653	17.564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.7917	0.0	0.0	0.0	0.0	153.12	67.7037	0.0	0.0	0.0	0.0	193.79109999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.6361	0.0	0.0
TSC020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.2624	0.0	0.0	0.0	9.42276	0.0	0.0	323.57050000000004	182.45737	27.2352	149.58	0.0	321.68989999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.9268	0.0	0.0	0.0	0.0	66.7345	0.0	0.0	0.0	0.0	22.1816	0.0	0.0	0.0	52.616699999999994	183.297	11.1569
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.6218	93.6036	0.0	0.0	0.0	0.0	0.0	51.3047	55.102	1078.2921	0.0	27.5257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.2392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	0.0	0.0	0.0	0.0	56.0129	0.0	167.5927	26.1561	0.0	0.0	0.0	0.0	0.0	152.5952	74.6191	0.0	0.0	41.5855	98.3428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1498	0.0	0.0	0.0	17.2102	54.0916	0.0	39.6208	0.0	0.0	0.0	0.0
TSC025	0.0	0.0	0.0	0.0	0.0	0.0	87.9752	0.0	91.3026	43.6596	0.0	0.0	0.0	0.0	0.0	117.0325	132.80219	1654.61	0.0	0.0	19.4712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.9698	135.41039999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.957	0.0	0.0
TSC027	0.0	0.0	0.0	0.0	0.0	0.0	416.406	118.05	85.2794	118.05	0.0	0.0	205.463	0.0	0.0	55.405	36.1779	691.2059300000001	0.0	0.0	200.2755	15.3915	0.0	0.0	0.0	0.0	40.2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.4474	0.0	0.0	0.0	54.8529	0.0	0.0	0.0	0.0	25.4209	0.0	0.0
TSC028	0.0	0.0	0.0	0.0	0.0	0.0	76.55760000000001	0.0	634.7923999999999	33.4618	0.0	0.0	24.5003	0.0	0.0	300.18575	107.9038	72.9317	51.0488	51.1982	413.9043	17.3374	55.7489	0.0	0.0	0.0	0.0	13.5327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0092	0.0	0.0	0.0	0.0	0.0	49.104200000000006	0.0	0.0	0.0	29.6224	72.6572	0.0	0.0	0.0	159.13479999999998	0.0	0.0
TSC031	0.0	0.0	0.0	0.0	0.0	0.0	465.617	65.4505	72.9879	65.4505	0.0	0.0	19.037	0.0	0.0	52.0413	0.0	62.8841	0.0	0.0	79.2485	42.6849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.4327	0.0	0.0	0.0	130.156	39.5217	0.0	42.0841	0.0	17.3934	293.437	0.0
TSC033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.2547	47.23535	52.2547	0.0	0.0	0.0	0.0	0.0	223.5606	0.0	32.9981	0.0	22.6103	37.0274	0.0	0.0	0.0	6.75081	0.0	0.0	0.0	0.0	0.0	72.186	0.0	0.0	0.0	0.0	0.0	12.1764	0.0	0.0	0.0	0.0	145.7838	100.0267	0.0	0.0	32.627	190.4691	0.0	0.0	0.0	38.8732	0.0	0.0
TSC036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.8778	0.0	174.26370000000003	0.0	0.0	0.0	0.0	0.0	141.55433000000002	0.0	0.0	0.0	17.1514	0.0	0.0	10.8041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.5293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.7914	0.0	0.0	0.0	0.0	36.5601	0.0	0.0	0.0	19.2965	0.0	0.0
TSC039	26.3606	0.0	0.0	0.0	0.0	0.0	586.7285	0.0	517.106	6.888	0.0	0.0	0.0	0.0	0.0	404.3626	9.01171	0.0	97.2413	0.0	14.9858	73.3009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01859	0.0	102.9872	0.0	0.0	0.0	0.0	0.0	0.0	32.9932	0.0	343.00095	0.0	0.0
TSC040	0.0	0.0	0.0	0.0	233.772	0.0	0.0	204.5322	197.732	191.827	0.0	0.0	0.0	0.0	0.0	111.3116	34.0228	15.3444	37.0743	8.98675	50.756600000000006	76.3816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.04	59.1521	0.0	0.0	0.0	138.4052	0.0	0.0
TSC043	16.7511	0.0	0.0	0.0	0.0	0.0	945.6375	169.729	2587.5789999999997	738.3483000000001	0.0	0.0	0.0	0.0	0.0	532.11893	0.0	0.0	235.547	0.0	34.7366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.44550000000004	0.0	0.0
TSC045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.9775	0.0	0.0	0.0	0.0	0.0	0.0	10.9156	77.0224	0.0	22.1148	18.1224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.8193	0.0	0.0	0.0	0.0	169.758	0.0	0.0	0.0	14.0585	0.0	0.0
TSC047	0.0	0.0	0.0	0.0	0.0	0.0	19.0488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.9951	0.0	21.4682	0.0	0.0	28.0551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.3615	10.9546	0.0	0.0	0.0	42.8762	0.0	0.0	0.0	0.0	0.0	0.0
TSC050	12.855	11.6839	0.0	0.0	0.0	0.0	855.1815	128.713	917.8128	144.3958	0.0	0.0	0.0	0.0	0.0	606.93303	0.0	0.0	278.799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.1594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0703	0.0	361.4834	0.0	0.0
TSC053	0.0	0.0	0.0	0.0	0.0	0.0	191.191	30.8192	854.1470999999999	128.847	0.0	0.0	0.0	0.0	0.0	119.28377	114.33084	73.4508	47.08535	0.0	100.538	27.1728	0.0	0.0	0.0	0.0	0.0	6.34032	0.0	0.0	0.0	0.0	18.8411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6847	0.0	0.0	0.0	0.0	509.412	0.0	0.0	0.0	0.0	0.0	0.0
TSC056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.247	0.0	0.0	0.0	0.0	0.0	212.76643	110.23420000000002	0.0	12.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.4212	522.7402000000001	169.3807	0.0	0.0	0.0	0.0	0.0	97.7319	0.0	0.0	10.0192	0.0	142.4683	0.0	0.0	0.0	0.0	0.0	0.0	9.46601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.7627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.7154	42.52642	29.1666	0.0	36.2713	122.397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0539	0.0	0.0	0.0	55.8271	21.2235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC065	0.0	0.0	0.0	0.0	0.0	0.0	367.149	0.0	26.6797	0.0	0.0	0.0	0.0	0.0	0.0	44.4793	31.1722	0.0	76.23688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.2216	0.0	0.0
TSC066	29.2323	0.0	0.0	0.0	0.0	0.0	581.7	32.2495	96.8999	88.1323	0.0	0.0	0.0	0.0	0.0	98.0592	19.56783	24.9139	0.0	113.936	0.0	45.1493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.8962	0.0	0.0	0.0	222.052	0.0	0.0	0.0	0.0	133.8453	0.0	0.0
TSC068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.7146	0.0	0.0	0.0	0.0	0.0	84.03479999999999	71.96539999999999	0.0	16.2106	16.3883	0.0	0.0	50.7116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.9143	50.4471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC069	0.0	0.0	0.0	0.0	0.0	0.0	121.637	0.0	0.0	91.675	0.0	0.0	0.0	0.0	0.0	164.0001	0.0	123.48919	21.7663	0.0	109.2205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.109	0.0	0.0	0.0	0.0	112.1011	66.712	0.0
TSC070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.89070000000001	0.0	0.0	0.0	0.0	0.0	0.0	67.63522	0.0	0.0	0.0	0.0	19.8786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.2904	0.0	0.0	0.0	30.6234	0.0	0.0	0.0	0.0	0.0	0.0
TSC071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.3073	0.0	0.0	0.0	42.9551	0.0	0.0	25.1887	13.5829	19.0527	0.0	26.21184	36.2759	31.3724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.054	0.0	0.0	0.0	0.0	66.9506	0.0	73.2729	0.0	0.0	0.0	0.0
TSC072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.69140000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3166	273.116	0.0	11.6007	30.8755	42.8461	7.54994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.109	0.0	0.0	0.0	0.0	0.0	0.0
TSC073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.3417	0.0	0.0	0.0	36.8888	0.0	0.0	157.0091	59.92229999999999	729.252	0.0	8.71197	0.0	21.0386	16.7599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.9311	0.0	17.2866	0.0	15.4659	0.0	0.0
