	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	107.739	0.0	0.0	0.0	27.4257	0.0	0.0	0.0	122.6412	20.6473	0.0	0.0	36.1316	0.0	0.0	120.0846	35.1196	0.0	0.0	24.7002	161.6682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.1537	355.483	0.0	0.0	0.0	0.0	130.998	0.0	0.0	0.0	0.0	0.0
TSC001	55.0435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.3853	0.0	0.0	0.0	216.864	0.0	0.0	197.36555	83.36439999999999	14.5268	22.2404	0.0	36.7517	0.0	14.5268	0.0	0.0	0.0	0.0	0.0	46.4863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7201	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	74.7803	0.0	0.0	24.4022	0.0	24.4022	0.0	0.0	89.2326	0.0	0.0	111.6263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.1623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	65.2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.3796	0.0	0.0	13.7987	0.0	0.0	0.0	0.0	35.5552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.75739999999999	0.0	220.236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	85.9259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0579	0.0	0.0	0.0	0.0	0.0	0.0	808.8321000000001	20.9586	14.952	46.9298	0.0	189.081	116.64759999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	440.4254	0.0	0.0	0.0	0.0	0.0	113.3	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	36.139	0.0	0.0	0.0	0.0	0.0	48.8115	0.0	0.0	0.0	0.0	272.21706	237.9825	95.521	155.1758	133.98337	248.7623	0.0	29.1953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3681	0.0	0.0	0.0	0.0	350.1711	0.0	0.0	0.0	0.0	35.1007	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	24.2556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.4902	0.0	0.0	0.0	0.0	0.0	0.0	411.4117	46.3291	0.0	0.0	0.0	273.40840000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	90.6216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.2116	13.0	0.0	0.0	15.619	0.0	0.0	309.55588	39.5397	0.0	0.0	0.0	199.9004	0.0	0.0	0.0	0.0	0.0	0.0	9.5249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.2756	0.0	171.9542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.064	18.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.7111	0.0	0.0	0.0	43.4006	0.0	0.0	25.7266	0.0	0.0	62.8278	0.0	27.6687	7.92701	0.0	0.0	0.0	0.0	0.0	0.0	61.0762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
