	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2407	33.0232	0.0	0.0	21.6725	0.0	126.8972	10.3233	0.0	105.412	0.0	25.2284	0.0	0.0	0.0	62.6491	53.6858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.1537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.4657	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.8581	88.0004	70.8581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3735	0.0	0.0	216.8213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.4662	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.759	0.0	19.0585	0.0	0.0	52.8584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.7972	0.0	0.0	331.243	0.0	72.545	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.2297	36.9631	33.2297	0.0	0.0	0.0	99.9041	0.0	90.5793	0.0	0.0	0.0	0.0	178.9362	0.0	0.0	0.0	23.0614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.659	0.0	0.0	166.737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.99620000000002	164.7662	153.4559	18.3514	0.0	147.7857	0.0	106.1702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.9142	0.0	0.0	0.0	0.0	195.93	0.0	0.0	0.0	14.1663	70.112	0.0
TSC006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.9858	0.0	0.0	0.0	0.0	0.0	0.0	160.52293	110.6399	0.0	9.47467	0.0	312.8127	0.0	0.0	0.0	0.0	23.2107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.8235	0.0	0.0	27.1689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.8868	0.0	0.0	0.0	0.0	0.0	0.0	142.50178	121.1035	2734.237	0.0	11.226	253.777	0.0	83.0069	0.0	0.0	31.507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	38.7849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.8691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.7874	0.0	161.823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.7111	17.5234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.9986	14.9165	0.0	34.1918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6534	0.0	0.0	0.0	0.0	23.5834	0.0	0.0	0.0	0.0	19.5541	0.0
TSC014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.4663	0.0	0.0	0.0	0.0	47.9652	0.0	42.0272	0.0	0.0	14.2435	0.0	115.9497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.7843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2883	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0895	47.8887	0.0	0.0	0.0	0.0	0.0	20.4191	6.26266	0.0	0.0	0.0	190.586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.7809	0.0	0.0	0.0	0.0	0.0	282.8982	0.0	0.0	0.0	0.0	119.036	0.0	0.0	0.0	0.0	0.0	0.0
TSC018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	292.0883	0.0	0.0	0.0	0.0	0.0	0.0	125.7761	33.6654	33.6654	0.0	0.0	232.2322	0.0	109.467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.6659	0.0	14.9807	22.7759	0.0	0.0	0.0	0.0	95.7942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.28819	0.0	0.0
TSC020	0.0	0.0	0.0	0.0	0.0	0.0	89.2764	0.0	55.3398	0.0	0.0	0.0	0.0	0.0	0.0	93.9623	86.112	148.3115	0.0	0.0	182.5832	0.0	109.8419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.9806	0.0	0.0	163.024	0.0	0.0	0.0	0.0	0.0	20.0674	86.112	0.0
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.5905	0.0	0.0	0.0	0.0	0.0	0.0	1388.864	34.6135	28.31637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.934	135.97109999999998	141.5908	0.0	0.0	0.0	0.0	0.0	35.6856	0.0	48.1923	0.0	149.422	30.4392	51.2147	111.72	0.0	26.9357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.7372	0.0	0.0
TSC025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.3985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.354	0.0	0.0	0.0	0.0	0.0	0.0	46.12	0.0	12.5961	0.0	13.1389	0.0	0.0	14.2697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	519.409	0.0	0.0	0.0	35.423	0.0	0.0
