	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	533.9679	0.0	341.2179	0.0	0.0	0.0	0.0	0.0	0.0	61.90937	0.0	0.0	0.0	0.0	108.0022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.361	0.0	0.0	0.0	58.9859	0.0	0.0	0.0	0.0	48.4657	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	591.1618	70.8581	181.5925	70.8581	0.0	0.0	0.0	0.0	0.0	54.28882	56.9342	0.0	16.9596	0.0	43.671	0.0	19.0863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.6172	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	659.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.2956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	709.5182	0.0	0.0	62.0458	0.0	0.0	0.0	0.0	0.0	131.5983	103.9547	0.0	55.453	0.0	85.2176	0.0	44.686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	9.34004	0.0	0.0	0.0	0.0	217.5949	60.1928	388.8117	60.1928	0.0	0.0	0.0	0.0	0.0	113.4844	81.3347	0.0	46.9298	19.7071	90.462	97.4684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.63619999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.90888	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	0.0	0.0	563.807	0.0	56.8702	51.4356	0.0	0.0	0.0	0.0	0.0	262.1337	262.0231	23.4609	77.8665	34.5597	488.8256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4195	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	0.0	0.0	554.8193	0.0	524.3293	0.0	0.0	0.0	0.0	0.0	0.0	57.31883	0.0	0.0	0.0	0.0	271.2145	70.3043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	0.0	0.0	304.855	17.021	141.68599999999998	13.0	0.0	0.0	0.0	0.0	0.0	26.8036	45.148	0.0	0.0	0.0	115.9802	99.5952	0.0	0.0	0.0	0.0	0.0	9.5249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.1356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	455.86800000000005	0.0	15.7564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.821	20.1542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6854	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.9842	28.5105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8926	0.0	28.236	28.9233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.96751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
