	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	46.0882	0.0	380.6049	191.9878	0.0	0.0	0.0	0.0	0.0	112.6762	4.88109	0.0	390.619	18.713	222.4251	79.5356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	299.0538	0.0	0.0	0.0	0.0	147.843	0.0	71.0114	0.0	66.0926	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	339.78	30.7145	169.69549999999998	30.7145	0.0	0.0	0.0	0.0	0.0	38.3415	0.0	151.2344	36.9198	0.0	100.2312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.3201	0.0	0.0	0.0	1334.8	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.4022	21.0409	24.4022	0.0	0.0	0.0	0.0	0.0	20.0885	56.0564	20.9876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.7316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.3756	0.0	0.0	0.0	0.0	54.4662	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0659	35.1318	0.0	0.0	0.0	0.0	0.0	119.3234	107.0251	108.0699	24.0106	0.0	97.4644	49.9741	44.686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1223.255	0.0	0.0	0.0	0.0	402.3276	0.0
TSC004	29.8212	0.0	0.0	0.0	0.0	0.0	215.2485	113.716	143.8351	186.834	0.0	0.0	0.0	0.0	0.0	293.9238	136.4836	49.706419999999994	73.1851	62.4871	495.28655	44.8071	18.6945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.1712	62.0922	0.0	0.0	35.4974	0.0	49.5459	41.5816	0.0	46.45064	152.396	0.0
TSC005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.942	123.0358	97.77377	0.0	0.0	0.0	0.0	0.0	319.277	243.2281	300.5154	43.3068	15.6542	175.85651	84.30550000000001	252.12362	0.0	0.0	0.0	0.0	13.3672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.887	0.0	0.0	0.0	20.2071	2003.2307	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	80.1487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.4188	11.6317	0.0	0.0	0.0	0.0	0.0	191.48693	55.855999999999995	246.6636	0.0	24.9406	634.7824	0.0	10.4312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.1689	0.0	0.0	0.0	0.0	50.7082	0.0	0.0	0.0	237.673	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	49.7891	0.0	0.0	0.0	0.0	0.0	188.433	0.0	76.2028	0.0	0.0	0.0	0.0	0.0	0.0	171.89217	251.3431	393.077	165.081	48.4056	417.4474	0.0	194.062	0.0	0.0	0.0	0.0	9.5249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5308	0.0	0.0	0.0	0.0	26.2817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7552	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	28.6308	0.0	295.48	0.0	15.7564	0.0	0.0	0.0	0.0	0.0	0.0	131.093	0.0	228.976	10.281	19.9887	171.7156	0.0	14.3293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.029	0.0	77.8562	30.7109	568.414	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.5214	49.5214	0.0	0.0	0.0	0.0	0.0	90.1722	59.3322	31.7928	35.483900000000006	0.0	27.6687	44.7239	59.3322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5834	0.0	0.0	0.0	0.0	122.5824	0.0
TSC014	0.0	0.0	0.0	0.0	0.0	0.0	32.4875	0.0	119.0081	31.4635	0.0	0.0	0.0	0.0	0.0	89.63203999999999	53.3331	29.1005	59.7895	0.0	269.4466	16.5234	29.1005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.2815	0.0	57.01951	0.0	0.0	58.2567	0.0	0.0	30.13276	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1411	188.7644	127.8456	0.0	0.0	0.0	0.0	0.0	647.8643999999999	226.82996	199.388	61.534400000000005	0.0	334.1645	141.9712	91.2764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3226	0.0	0.0	0.0	0.0	14.2812	0.0	0.0	0.0	0.0	578.7483000000001	0.0	0.0	48.7535	0.0	999.6233	37.1992	15.0748	0.0	51.1261	0.0	13.8528
TSC018	0.0	0.0	0.0	0.0	0.0	0.0	134.6789	56.0052	141.0039	56.0052	0.0	0.0	0.0	0.0	0.0	1488.8013	71.395	46.39666	35.2342	0.0	398.56769999999995	26.31694	106.0193	0.0	0.0	0.0	0.0	8.48676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.228	0.0	0.0	0.0	0.0	416.6844	0.0	0.0	0.0	0.0	2830.39	0.0	0.0	0.0	7.37349	0.0	0.0
TSC020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.002	164.2563	46.8447	0.0	0.0	0.0	0.0	0.0	397.78214	439.3826	216.7072	0.0	0.0	374.1212	0.0	320.46860000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9789	183.297	11.1569
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.7904	0.0	0.0	0.0	0.0	0.0	0.0	1412.9636	45.5417	1013.74887	0.0	0.0	66.9018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.13530000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	579.379	0.0
TSC023	7.46527	0.0	0.0	0.0	0.0	0.0	170.94	0.0	196.9435	237.9196	0.0	0.0	0.0	0.0	0.0	151.6262	131.79860000000002	0.0	0.0	108.211	41.5478	169.53459999999998	18.4658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.129	0.0	29.2056	0.0	0.0	0.0	0.0	39.6208	0.0	0.0	0.0	0.0
TSC025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.3026	0.0	0.0	0.0	0.0	0.0	0.0	120.2002	72.7704	1654.61	0.0	0.0	33.0804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.9634	0.0	0.0	0.0	0.0	0.0	0.0	39.0282	0.0	18.957	0.0	0.0
TSC027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.7933	43.782	14.7933	0.0	0.0	0.0	0.0	0.0	184.4797	0.0	31.7417	0.0	35.6295	21.7349	29.4189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.3764	14.3096	0.0	0.0	0.0	66.7267	0.0	0.0	0.0	0.0	10.7829	0.0
TSC028	29.7742	0.0	0.0	0.0	0.0	0.0	33.2777	0.0	294.9594	120.9651	0.0	0.0	0.0	0.0	0.0	148.96135	72.61746	34.4576	72.1051	64.6516	281.6132	99.8085	0.0	0.0	0.0	0.0	0.0	16.7134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0092	0.0	0.0	0.0	0.0	0.0	25.504	0.0	16.1789	0.0	0.0	0.0	0.0	0.0	0.0	71.9101	0.0	0.0
TSC031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.2426	12.8627	0.0	0.0	0.0	0.0	0.0	59.5064	0.0	18.0748	0.0	115.182	13.259	30.9117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.1022	22.2003	0.0	0.0	0.0	29.0409	0.0	42.0841	0.0	0.0	0.0	0.0
