	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	25.2101	0.0	17.0388	210.1028	0.0	0.0	0.0	0.0	0.0	335.45286	79.0455	0.0	0.0	39.4177	108.897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.1309	0.0	0.0	0.0	0.0	0.0	130.998	0.0	0.0	6.25	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0491	88.591	126.1243	0.0	0.0	0.0	0.0	0.0	220.9884	62.2961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1441.17	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4269	0.0	0.0	0.0	0.0	0.0	0.0	307.0091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.692	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1845	0.0	0.0	0.0	0.0	0.0	0.0	58.9228	0.0	19.0585	0.0	0.0	52.8727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.621	0.0	220.236	0.0	0.0	0.0	0.0	0.0	0.0	25.8562	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	154.391	27.2769	63.8682	27.2769	0.0	0.0	0.0	0.0	0.0	206.2211	38.7118	32.7052	18.8788	17.2535	166.75930000000002	0.0	108.881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.91060000000002	56.1105	0.0	0.0	0.0	0.0	113.3	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.3101	54.3101	54.3101	0.0	0.0	0.0	0.0	0.0	172.82590000000002	251.9388	70.112	34.5597	44.06967	146.3503	0.0	99.3073	0.0	0.0	0.0	0.0	14.0099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	655.2293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.7136	70.112	0.0
TSC006	21.3484	0.0	0.0	0.0	0.0	0.0	0.0	18.346	138.2287	8.94312	0.0	0.0	0.0	0.0	0.0	167.70292999999998	119.7536	0.0	83.9096	24.9406	182.8902	0.0	33.4525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.3627	12.9605	0.0	0.0	77.1171	0.0	0.0	0.0	0.0	547.7051	0.0	0.0
TSC008	20.2793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.2102	0.0	0.0	0.0	0.0	0.0	0.0	108.6742	117.9675	0.0	82.5936	0.0	87.9256	0.0	28.22	0.0	0.0	0.0	0.0	13.9433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.792	7.81593	0.0	0.0	100.947	0.0	0.0	0.0	0.0	0.0	197.619	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	150.911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.3701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.8594	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.7111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.088	0.0	0.0	0.0	30.8729	0.0	0.0	0.0	0.0	0.0	28.0026	0.0
TSC014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.8017	44.81699999999999	0.0	0.0	0.0	0.0	0.0	27.3812	33.0547	0.0	33.0547	0.0	78.0883	0.0	27.3812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.6681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.4395	0.0
TSC016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.6942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.50576	156.60070000000002	69.9799	102.0018	57.1502	265.1831	0.0	0.0	0.0	0.0	0.0	0.0	17.5714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3461	0.0	0.0	0.0	0.0	33.6983	0.0	0.0	0.0	14.9944	43.3645	0.0	0.0	0.0	10.9398	0.0	0.0
TSC018	28.402	0.0	0.0	0.0	0.0	0.0	97.5462	0.0	73.2941	0.0	0.0	0.0	0.0	0.0	0.0	159.43457	132.69996	110.44366	0.0	0.0	38.7311	0.0	33.6654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.1449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.8446	0.0	0.0	0.0	0.0	0.0	0.0	284.7232	242.2102	120.7494	48.0021	0.0	74.4585	15.9531	86.112	0.0	0.0	0.0	0.0	0.0	0.0	176.292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	745.8797000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9762	86.112	0.0
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.3861	52.1606	65.3351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.7969	19.1495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.4909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.2084	26.1561	0.0	0.0	0.0	0.0	0.0	65.8269	15.6225	14.1326	0.0	0.0	140.57986	24.925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.2032	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.8258	0.0	0.0	0.0	0.0	0.0	0.0	89.74401999999999	18.3028	0.0	0.0	0.0	99.6227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.329	0.0	0.0	0.0	88.2539	0.0	0.0	0.0	0.0	30.4735	0.0	0.0
TSC027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.4405	29.1023	0.0	0.0	0.0	0.0	0.0	18.271	0.0	670.181	0.0	0.0	107.3785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.5499	0.0	0.0	0.0	22.7861	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.82649999999998	154.47548	152.82989999999998	0.0	0.0	0.0	0.0	0.0	117.6315	19.4829	44.3273	35.6147	0.0	96.60746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.465	0.0	15.213	18.2179	0.0	0.0	112.108	0.0	0.0	0.0	29.6224	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.3135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	405.3289	0.0	0.0	0.0	44.3053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.4469	0.0	0.0	0.0	0.0	0.0	0.0	279.30299	48.9639	67.1525	31.1449	0.0	22.1219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.778499999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.5315	0.0	0.0
TSC036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.3415	86.8512	0.0	0.0	0.0	0.0	0.0	161.52752	32.048	66.7651	0.0	0.0	0.0	0.0	10.8041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.3113	0.0	0.0	0.0	0.0	647.961	0.0	0.0	0.0	27.5611	0.0	0.0
TSC039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.86605	0.0	49.7965	0.0	0.0	907.689	73.3009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.9161	0.0	0.0	116.444	0.0	0.0	0.0	0.0	0.0	0.0	14.5194	0.0	119.0184	0.0	0.0
TSC040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.493399999999994	9.22813	0.0	0.0	0.0	116.56013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.484	0.0	105.04	72.7161	0.0	0.0	0.0	0.0	0.0	0.0
TSC043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.8655	0.0	0.0	0.0	0.0	375.369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.362	0.0	0.0	300.248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.2289	0.0	0.0
TSC045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.9534	0.0	0.0	0.0	0.0	0.0	0.0	7.80348	0.0	0.0	0.0	0.0	43.7821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.8193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.6584	0.0	0.0
