	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.15	0.0	0.0	0.0	0.0	68.7982	0.0	129.5	0.0	0.0	0.0	43.8609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.5269	0.0	0.0	147.843	24.1834	0.0	0.0	19.9861	793.486	0.0
TSC001	0.0	0.0	0.0	0.0	97.0941	0.0	0.0	70.8581	10.2007	70.8581	0.0	0.0	0.0	0.0	0.0	19.7939	0.0	0.0	21.1461	0.0	95.507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.686	106.37	0.0
TSC002	0.0	0.0	0.0	0.0	74.7803	0.0	0.0	0.0	0.0	28.8342	0.0	0.0	43.7077	0.0	0.0	42.7471	0.0	0.0	0.0	21.0373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.3756	0.0	35.5667	46.7771	0.0	0.0	22.9668	0.0	0.0	0.0	18.692	0.0
TSC003	0.0	0.0	0.0	0.0	65.2012	0.0	0.0	22.3996	0.0	29.145	0.0	0.0	36.3796	0.0	0.0	42.5029	0.0	20.6059	0.0	0.0	24.0919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.7896	0.0	0.0	0.0	0.0	0.0	0.0	40.4762	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	28.5179	0.0	104.218	17.2449	0.0	0.0	0.0	135.35410000000002	0.0	117.7784	0.0	0.0	0.0	11.5575	60.546	0.0	108.881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2188	56.1105	0.0	0.0	0.0	15.5188	0.0	0.0	0.0	15.1327	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	36.139	0.0	0.0	16.512	73.0657	0.0	0.0	0.0	65.297	0.0	0.0	151.4055	85.4428	115.3719	58.4024	0.0	24.0693	0.0	85.4428	0.0	0.0	0.0	0.0	14.0099	0.0	30.9581	182.241	0.0	0.0	0.0	0.0	45.8488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.52619999999999	0.0	0.0	0.0	0.0	0.0	0.0	40.6308	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.346	18.2926	0.0	0.0	0.0	0.0	0.0	0.0	33.4525	29.0596	29.0596	22.9093	11.3415	198.8199	0.0	33.4525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.1078	12.9605	0.0	0.0	77.1171	0.0	0.0	0.0	0.0	60.928799999999995	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	0.0	0.0	366.415	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	28.22	28.981	28.981	18.9156	0.0	93.2268	14.3259	57.201	0.0	0.0	0.0	0.0	23.468200000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.8394	197.619	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	133.874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.9225	0.0	0.0	0.0	68.11070000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.9488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.5863	0.0	0.0	0.0	88.55850000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0026	0.0
TSC014	0.0	0.0	0.0	0.0	0.0	0.0	162.776	0.0	0.0	0.0	0.0	0.0	0.0	47.9652	0.0	27.3812	21.0482	0.0	0.0	0.0	112.688	0.0	27.3812	0.0	0.0	29.4362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.5955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	57.7406	0.0	0.0	143.1751	18.0895	64.322	0.0	0.0	130.681	0.0	0.0	38.0839	37.8535	122.0127	57.4673	0.0	125.17929999999998	0.0	0.0	0.0	0.0	0.0	0.0	17.5714	0.0	29.2843	128.408	0.0	0.0	0.0	0.0	113.804	0.0	0.0	0.0	0.0	0.0	65.5543	0.0	123.018	0.0	32.1592	0.0	0.0	0.0	0.0	0.0	0.0	0.0
