	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	1517.0349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.92529999999999	4.88109	0.0	10.6018	14.7175	224.3972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	177.5585	0.0	0.0	0.0	0.0	0.0	1252.8390000000002	26.6866	211.1882	26.6866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	132.5328	0.0	0.0	0.0	26.5064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.6195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	175.3584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.5486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	398.6229	0.0	0.0	0.0	0.0	0.0	1265.393	0.0	86.1691	0.0	0.0	0.0	0.0	0.0	0.0	15.1021	0.0	0.0	17.3294	0.0	247.7599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.1712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	98.0474	0.0	0.0	0.0	0.0	0.0	1468.977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1009	0.0	36.3541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	268.25690000000003	0.0	0.0	0.0	0.0	0.0	1184.1143	0.0	117.7875	0.0	0.0	0.0	0.0	0.0	0.0	73.7864	0.0	22.6081	0.0	0.0	31.1342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3622	0.0	0.0
TSC008	214.4746	0.0	0.0	0.0	0.0	0.0	790.4086	0.0	100.954	0.0	0.0	0.0	0.0	0.0	0.0	77.5442	0.0	16.4708	0.0	0.0	22.528170000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8843	0.0	0.0
TSC011	30.4392	0.0	0.0	0.0	0.0	0.0	236.832	0.0	19.9747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	568.414	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC014	33.916	0.0	0.0	0.0	0.0	0.0	924.874	28.7126	135.6795	28.7126	0.0	0.0	0.0	0.0	0.0	0.0	9.79002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.2234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	31.7328	0.0	0.0	0.0	0.0	0.0	1130.2683	0.0	27.7263	0.0	0.0	0.0	0.0	0.0	0.0	12.2322	0.0	0.0	0.0	0.0	214.15319999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.3645	0.0	0.0	0.0	10.9398	0.0	0.0
TSC018	40.5537	0.0	0.0	0.0	0.0	0.0	632.0589	0.0	168.1137	10.428	0.0	0.0	0.0	0.0	0.0	38.3998	0.0	0.0	0.0	0.0	32.7765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.9006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.3227	0.0
TSC020	0.0	0.0	0.0	0.0	0.0	0.0	1400.799	0.0	26.5182	0.0	0.0	0.0	0.0	0.0	0.0	70.065	0.0	0.0	0.0	0.0	14.98562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
