	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.9504	166.138	0.0	0.0	0.0	0.0	0.0	115.09401	0.0	0.0	0.0	0.0	636.7849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.4343	0.0	0.0	0.0	0.0	0.0	91.0792	18.2942	0.0	0.0	0.0	0.0	0.0	71.0114	0.0	48.4657	793.486	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	460.186	10.2379	0.0	40.3013	0.0	0.0	0.0	0.0	0.0	45.1131	19.0863	7.53623	0.0	0.0	18.1978	0.0	19.0863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.3201	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7078	0.0	17.7078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.571200000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5029	8.99043	29.9175	0.0	0.0	24.0658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.5413	0.0	0.0	0.0	0.0	0.0	34.50201	39.6857	14.3253	0.0	0.0	383.03329999999994	52.8563	0.0	0.0	0.0	0.0	0.0	23.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.441	0.0	0.0	41.5816	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.4116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.6854	99.3073	105.5902	0.0	0.0	18.1786	0.0	99.3073	0.0	0.0	0.0	0.0	0.0	0.0	30.9581	0.0	0.0	0.0	0.0	0.0	17.5291	80.2143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.2071	0.0	0.0	0.0	0.0	28.4195	70.112	0.0
TSC006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.9045	11.6317	0.0	0.0	0.0	0.0	0.0	48.29573	13.5713	0.0	0.0	0.0	511.7147	0.0	10.4312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.537	27.1689	0.0	0.0	0.0	0.0	21.639	0.0	0.0	0.0	77.1171	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	0.0	0.0	366.415	0.0	54.7787	52.5195	0.0	0.0	0.0	0.0	0.0	67.29368	20.1456	0.0	0.0	0.0	259.2312	14.3259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5308	0.0	0.0	0.0	0.0	23.4657	0.0	0.0	0.0	100.947	0.0	0.0	0.0	0.0	9.04801	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7564	0.0	0.0	0.0	0.0	0.0	0.0	17.2792	17.2792	0.0	0.0	0.0	191.7359	0.0	17.2792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.4238	28.5105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
