	abfd	acs	acsb	apca	apcf	apra	aprb	coxl	coxm	coxs	cpca	cpea	cpet	cutl	cutm	cysc	cysd	cysh	cysi	cysj	cysk	cysm	cysn	hao	lhca1	mct	meh	met3	mpea	napa	narb	nasa	nifd	nifh	nifk	nira	nirk	nirs	norb	nosz	nrfa	petc	pete	peth	prkb	psaa	psba	pufm	rbcl	rbcs	sat	sir	suox
TSC000	139.744	0.0	0.0	0.0	0.0	0.0	0.0	90.4662	491.339	90.4662	0.0	0.0	0.0	0.0	0.0	203.19386	10.3233	20.0789	0.0	19.7316	69.3757	16.4988	0.0	0.0	0.0	53.6858	0.0	0.0	0.0	0.0	15.5137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.4002	19.1838	0.0	0.0	128.6147	0.0	0.0	71.0114	245.121	54.7157	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0491	155.2393	39.0491	0.0	0.0	110.291	0.0	0.0	98.712	77.8207	27.05403	0.0	0.0	166.06990000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.9147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.9417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	173.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.6114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.3818	0.0	0.0	84.8974	0.0	19.0677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.1083	0.0	0.0	19.4002	0.0	0.0	0.0	0.0
TSC003	30.1529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.8827	17.3584	0.0	0.0	36.3796	0.0	0.0	27.0097	36.538	0.0	0.0	0.0	226.731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.4832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.2151	0.0	254.0256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.48	176.26940000000002	278.8945	0.0	0.0	0.0	0.0	0.0	251.99041	37.7414	32.7052	80.85648	0.0	224.703	52.1585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.2973	0.0	0.0	0.0	363.3622	3924.1488	0.0	41.5816	0.0	168.39588	152.396	0.0
TSC005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.78059999999999	22.369	93.4661	0.0	43.6486	0.0	0.0	0.0	376.4541	302.5456	12.9518	0.0	124.6538	73.8313	62.6752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.2197	0.0	40.1669	0.0	0.0	158.566	0.0	0.0	23.9049	25.3061	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264.23170000000005	58.7783	0.0	0.0	0.0	0.0	0.0	145.42398999999995	56.16073999999999	28.0	0.0	0.0	254.15086	91.4983	10.4312	0.0	0.0	23.2107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.1689	0.0	0.0	0.0	0.0	39.9517	0.0	0.0	0.0	77.1171	0.0	0.0	0.0	62.2006	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.5816	0.0	0.0	0.0	0.0	20.8142	0.0	144.0836	39.4148	0.0	0.0	30.5817	283.06480000000005	114.9239	0.0	0.0	0.0	31.507	0.0	9.5249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5308	0.0	0.0	0.0	0.0	35.7871	0.0	0.0	0.0	100.947	0.0	0.0	0.0	0.0	9.04801	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	21.4763	0.0	0.0	0.0	25.4596	0.0	0.0	15.0831	0.0	0.0	0.0	38.7511	0.0	0.0	0.0	0.0	59.97880000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.1165	0.0	0.0	0.0	0.0	0.0	118.85	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.7963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.5567	0.0	9.12854	0.0	76.7847	70.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.5606	0.0	75.3725	0.0	30.8729	0.0	0.0	0.0	0.0	0.0	19.5541	0.0
TSC014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.7449	12.8012	0.0	38.6295	0.0	0.0	0.0	140.14203	12.0786	10.1621	8.0301	0.0	338.5682	202.0251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.2566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.1297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0398	7.00756	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	124.8801	0.0	0.0	28.1411	28.1411	81.816	0.0	130.185	0.0	0.0	0.0	77.92272000000001	65.7952	18.22866	0.0	21.1207	261.2667	124.4092	0.0	0.0	0.0	0.0	0.0	0.0	37.2361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.3231	0.0	0.0	0.0	113.9192	24.332	0.0	0.0	23.4471	66.227	0.0	13.8528
TSC018	0.0	0.0	0.0	0.0	41.3617	0.0	0.0	28.7246	151.00369999999998	39.1526	0.0	28.4493	140.037	0.0	0.0	66.5133	113.18859999999998	18.44841	0.0	0.0	313.98290000000003	13.4145	33.3058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	477.9025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9817	0.0	0.0
TSC020	0.0	0.0	0.0	0.0	0.0	0.0	89.2764	43.1926	68.5829	54.0353	0.0	0.0	0.0	0.0	0.0	235.3448	174.11239999999998	33.84901	0.0	31.8177	539.7826	42.1805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.7492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.7716	0.0	180.84	0.0	0.0	0.0	0.0	0.0	86.176	14.3343	183.297	0.0
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	904.081	0.0	196.0575	93.6036	0.0	0.0	0.0	12.1656	0.0	73.63301	34.6135	0.0	0.0	0.0	98.1493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.5963	0.0	1455.29	0.0	19.3785	0.0	0.0	0.0	0.0	32.3314	0.0	0.0
TSC023	0.0	0.0	0.0	0.0	0.0	0.0	98.0575	14.1975	65.2677	106.878	0.0	173.0866	0.0	77.6976	0.0	133.2764	246.53690000000003	0.0	0.0	0.0	243.5815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.2282	14.6239	0.0	0.0	183.5663	54.0916	0.0	0.0	0.0	12.7209	34.1854	0.0
TSC025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3543	43.6596	0.0	0.0	0.0	0.0	0.0	115.61727	70.3985	8.69795	0.0	87.0847	158.8518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.5812	0.0	0.0	0.0	142.8205	0.0	0.0	0.0	0.0	31.9895	0.0	0.0
