	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	23.1863	0.0	16.2163	0.0	1886.2006	361.8837999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.2723	0.0	0.0	78.5711	37.6826	26.9618	0.0	0.0	149.8742	0.0	0.0	14.8525	14.8525	213.6455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.6867	0.0	15.1218	0.0	0.0	0.0	25.1095	38.0286	0.0	38.0286	55.4131	0.0	0.0	10.0611	0.0	0.0	0.0	0.0	107.3814	49.7461	0.0	107.3814	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	24.0995	0.0	272.80989999999997	252.7114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	573.9033000000001	0.0	0.0	181.8549	45.2363	0.0	0.0	34.0739	144.65	30.3838	0.0	0.0	0.0	0.0	0.0	15.4305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.2378	19.0589	0.0	8.60106	0.0	0.0	0.0	0.0	0.0	278.933	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	37.78396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4015	0.0	0.0	0.0	126.5856	19.4312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	60.3265	64.3524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.7437	0.0	0.0	0.0	38.056	20.3045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.269	178.355	0.0	0.0	33.7645	0.0	0.0	0.0	0.0	98.0642	0.0	22.4125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.3131	0.0	0.0	0.0	26.4233
TSC004	0.0	0.0	0.0	0.0	114.365	28.6718	0.0	0.0	0.0	26.8771	0.0	0.0	0.0	0.0	102.2949	0.0	0.0	93.9611	36.4079	25.4617	0.0	0.0	106.554	0.0	29.4241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.731	0.0	117.486	0.0	160.14530000000002	0.0	0.0	50.143699999999995	205.597	0.0	122.535	59.361	20.9691	0.0	0.0	0.0	0.0	0.0	0.0	30.496	0.0	0.0	0.0	16.4224	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	56.6141	794.6786	504.4536000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.4978	0.0	0.0	26.045	21.4495	107.8162	0.0	0.0	0.0	0.0	0.0	0.0	13.5251	0.0	0.0	44.2255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.888	0.0	0.0	0.0	40.8791	51.7117	0.0	108.373	58.6668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	27.0073	0.0	259.19355	28.0548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.88360000000003	0.0	0.0	15.9632	187.561	24.7084	0.0	0.0	47.5796	0.0	18.7095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.7495	0.0	16.8918	47.2373	41.9313	0.0	0.0	0.0	620.7416000000001	62.7688	62.7688	78.4452	0.0	0.0	0.0	0.0	0.0	0.0	27.5934	23.725	0.0	0.0	0.0	21.5071	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	25.6479	0.0	232.3378	32.5657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.2589	0.0	0.0	9.19551	0.0	0.0	0.0	0.0	12.8668	0.0	35.8998	174.3957	190.5664	32.9631	0.0	0.0	0.0	0.0	0.0	0.0	149.3299	0.0	0.0	32.1461	42.2612	0.0	0.0	0.0	9.9767	63.3214	63.3214	63.3214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7193	0.0	0.0	0.0	25.7544	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	145.6402	66.36449999999999	0.0	0.0	65.6982	0.0	0.0	0.0	0.0	0.0	52.0958	0.0	0.0	0.0	14.5744	15.3476	0.0	0.0	61.5449	0.0	0.0	0.0	0.0	0.0	21.5534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.2848	0.0	0.0	14.7292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	62.125699999999995	22.9937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	25.6026	37.5225	0.0	0.0	53.5382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.7601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.1239	0.0	12.4158	0.0	0.0	0.0	32.2574	0.0	0.0	0.0	0.0	69.352	0.0	0.0	0.0	0.0
