	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	16.2163	0.0	0.0	43.2277	0.0	0.0	0.0	112.5604	0.0	0.0	0.0	0.0	104.3252	0.0	0.0	14.3989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.9521	34.6526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0135	0.0	0.0	34.7774	281.1037	0.0	0.0	16.1907	34.4854	0.0	0.0	29.3865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	23.3863	0.0	42.6567	0.0	0.0	0.0	32.4879	0.0	0.0	0.0	0.0	138.9262	0.0	0.0	0.0	56.107969999999995	0.0	0.0	0.0	22.4448	0.0	39.2888	39.2888	39.2888	24.1914	24.1914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.90082	0.0	9.90082	0.0	9.90082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.9819	0.0	0.0	0.0	51.1079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	433.898	0.0	72.2955	0.0	0.0	0.0	0.0	321.579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.2209	0.0	0.0	0.0	54.5159	0.0	31.1128	31.1128	31.1128	0.0	0.0	14.5009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	125.8404	0.0	0.0	47.6434	0.0	0.0	0.0	28.7264	0.0	0.0	0.0	0.0	126.5828	0.0	0.0	0.0	56.714	0.0	0.0	547.356	33.4598	0.0	0.0	0.0	41.7666	273.3634	0.0	46.7753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.8666	0.0	122.528	58.48480000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.8427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7359	0.0	0.0
TSC005	0.0	0.0	174.4528	0.0	0.0	100.579	0.0	0.0	0.0	787.0488	0.0	0.0	0.0	0.0	61.4901	0.0	0.0	0.0	108.6919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4455	0.0	0.0	30.6668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.268	0.0	90.9051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	211.8609	0.0	23.6546	32.6445	0.0	0.0	0.0	232.055	0.0	0.0	0.0	0.0	286.89529999999996	0.0	0.0	80.5913	111.7129	0.0	0.0	0.0	231.9714	0.0	0.0	0.0	25.2459	0.0	0.0	184.0187	0.0	0.0	0.0	0.0	0.0	0.0	57.8788	0.0	227.29970000000003	0.0	0.0	0.0	40.2249	0.0	0.0	0.0	0.0	0.0	0.0	28.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	353.42	0.0	0.0	29.9862	0.0	0.0	0.0	104.0095	0.0	0.0	0.0	0.0	356.30179999999996	0.0	0.0	80.3288	180.9323	0.0	0.0	0.0	37.1637	0.0	0.0	0.0	28.4774	12.5664	0.0	131.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.8983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	272.4006	0.0	52.0734	0.0	52.0734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.8604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	222.391	0.0	0.0	0.0	0.0	0.0	0.0	104.0784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.4702	25.9204	0.0	0.0	0.0	19.9306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0041	0.0	45.1132	0.0	160.4402	0.0	0.0	79.8323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC014	0.0	0.0	72.6782	0.0	0.0	19.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.90100000000001	0.0	0.0	31.2406	36.4845	22.189	0.0	0.0	44.081599999999995	0.0	0.0	0.0	25.7858	23.009	34.9904	0.0	0.0	19.2566	0.0	0.0	68.229	0.0	0.0	0.0	22.04089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.3522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	0.0	0.0	175.79	0.0	0.0	0.0	0.0	0.0	0.0	403.8828999999999	0.0	0.0	0.0	0.0	265.69640000000004	0.0	0.0	41.7305	122.184	68.0167	0.0	0.0	26.7431	0.0	9.8703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.8667	0.0	164.992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.1981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC018	0.0	0.0	0.0	0.0	37.8806	37.8806	0.0	0.0	0.0	54.5787	0.0	0.0	0.0	0.0	450.417	0.0	0.0	73.5231	71.45870000000001	0.0	0.0	0.0	166.14690000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.342	0.0	0.0	0.0	0.0	53.6734	0.0	67.3839	0.0	0.0	0.0	80.5432	0.0	0.0	31.416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.8065	49.8065	0.0	0.0	0.0	0.0	0.0	0.0
TSC020	0.0	0.0	85.7768	0.0	0.0	22.3248	0.0	0.0	0.0	26.4081	0.0	0.0	0.0	0.0	281.8474	0.0	0.0	17.6049	16.4043	79.4571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.8474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
