	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	147.2921	0.0	20.2646	0.0	0.0	73.0316	0.0	0.0	0.0	0.0	253.3115	0.0	0.0	84.2655	0.0	60.5372	0.0	0.0	0.0	23.0068	0.0	44.1586	0.0	109.048	129.4122	142.6732	0.0	70.108	0.0	0.0	33.2201	0.0	0.0	0.0	78.18090000000001	0.0	26.9421	0.0	0.0	0.0	16.0552	0.0	20.2475	0.0	0.0	51.2048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.6484	0.0	0.0	37.6484	0.0
TSC001	0.0	0.0	0.0	19.8208	18.0043	0.0	19.6761	0.0	0.0	27.5787	0.0	0.0	0.0	0.0	228.5019	0.0	0.0	29.2124	24.9255	24.9255	0.0	0.0	0.0	0.0	0.0	0.0	61.7071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0207	0.0	0.0	0.0	0.0	0.0	0.0	10.7493	0.0	0.0	14.4093	0.0	24.027	0.0	0.0	0.0	0.0	15.5008	0.0	0.0	0.0	29.5494	0.0	0.0	0.0	0.0	0.0	11.2242
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7847	0.0	0.0	247.1588	0.0	0.0	0.0	0.0	9.76477	0.0	0.0	38.03408	18.4932	16.7796	15.9899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.7657	0.0	0.0	50.0243	0.0	40.4848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	38.9093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.4445	0.0	0.0	16.2192	0.0	0.0	0.0	0.0	71.4689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.3943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	86.57573	43.1079	42.8085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1743	0.0	13.3813	49.1076	0.0	12.6447	0.0	18.4659	8.42991	23.4952	0.0	284.9262	16.4742	36.1679	111.7254	44.6538	0.0	0.0	0.0	0.0	0.0	29.4838	0.0	0.0	343.3668	0.0	0.0	29.8238	0.0	0.0	0.0	0.0	48.5726	0.0	0.0	18.5835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.4725	0.0	258.686	78.9905
TSC005	0.0	0.0	0.0	121.6227	68.07820000000001	88.14760000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	358.659	0.0	0.0	7.93279	154.7151	64.0158	0.0	0.0	111.862	0.0	0.0	0.0	0.0	0.0	0.0	19.0496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.4652	0.0	37.4393	110.8511	77.2215	0.0	0.0	0.0	43.5967	0.0	0.0	0.0	49.1943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	12.8881	62.1365	163.3849	49.1299	19.8373	0.0	25.6935	0.0	0.0	0.0	0.0	0.0	135.7036	0.0	0.0	26.0563	0.0	0.0	0.0	0.0	0.0	0.0	29.8985	0.0	48.3442	224.1235	0.0	138.998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.4377	0.0	0.0	8.23985	18.448	0.0	0.0	0.0	33.021	0.0	0.0	18.8866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.8616	0.0
TSC008	0.0	0.0	0.0	0.0	89.1131	53.1356	42.0518	0.0	20.2198	0.0	0.0	0.0	0.0	0.0	67.0241	0.0	0.0	54.5178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0293	0.0	215.2505	0.0	0.0	0.0	0.0	0.0	0.0	45.9151	0.0	49.7924	0.0	0.0	0.0	0.0	20.6833	0.0	20.6833	33.766	41.6333	0.0	0.0	0.0	15.5125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	17.0436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.3224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0216	0.0	0.0	20.6705	9.74875	0.0	0.0	0.0	0.0	0.0	41.9619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	24.3384	0.0	0.0	10.3448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.41589999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.117	0.0	16.8278	16.8278	16.8278	16.8278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3384	0.0	19.5386	48.903499999999994	62.6521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.8451	0.0	0.0	0.0	0.0	0.0	0.0	93.6247	0.0	0.0	0.0	0.0
