	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	44.655	0.0	431.3293	328.0545	0.0	0.0	0.0	394.3873	0.0	0.0	0.0	0.0	775.2223	0.0	0.0	169.03799999999995	1138.6789	120.6863	0.0	0.0	530.0358	393.3792	55.6082	67.9156	0.0	81.158	0.0	91.8447	0.0	0.0	0.0	0.0	73.7772	0.0	512.058	0.0	278.36969999999997	0.0	0.0	189.568	43.02	65.5809	0.0	142.78500000000005	859.5102999999999	0.0	0.0	26.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2602
TSC001	0.0	0.0	244.5896	0.0	50.6236	50.6236	388.6563	0.0	0.0	115.373	0.0	0.0	0.0	0.0	500.9101999999999	0.0	0.0	231.2596	552.52214	17.0	0.0	1637.86	329.9403	50.6089	0.0	0.0	0.0	0.0	0.0	55.3238	0.0	0.0	0.0	0.0	17.2545	0.0	122.3093	43.3514	135.89710000000002	0.0	0.0	122.1293	1779.6885	0.0	0.0	0.0	562.2524	0.0	0.0	0.0	0.0	16.4268	0.0	22.2542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	54.5318	15.845	0.0	0.0	0.0	38.2377	0.0	0.0	0.0	0.0	0.0	13.0931	0.0	0.0	27.3026	102.4	15.6078	0.0	0.0	0.0	28.725	0.0	85.7958	0.0	0.0	0.0	97.0264	0.0	0.0	0.0	0.0	0.0	0.0	35.7485	0.0	24.0223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.3134	0.0	0.0	0.0	94.0686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	23.0294	51.0843	28.6654	0.0	0.0	0.0	0.0	18.7338	0.0	0.0	0.0	0.0	182.69940000000005	0.0	0.0	40.7232	781.5272	107.335	277.042	246.637	44.5011	0.0	6.75992	35.262	35.262	0.0	0.0	0.0	0.0	0.0	0.0	294.139	0.0	0.0	81.9306	41.1359	38.4028	0.0	0.0	219.3638	76.3784	31.78	0.0	31.78	208.5726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0616
TSC004	0.0	0.0	0.0	22.30498	103.5058	0.0	0.0	0.0	0.0	254.4797	0.0	0.0	0.0	0.0	84.69726	0.0	0.0	78.62788	607.01892	388.6342	196.41	0.0	657.49	427.9857	14.809	52.2482	0.0	103.0556	43.8454	129.618	0.0	0.0	0.0	0.0	48.2489	0.0	250.017	0.0	528.3869	0.0	0.0	307.397	192.411	54.1966	54.1966	54.1966	287.5096	0.0	87.2945	17.3751	0.0	17.8141	44.5343	45.6095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	290.4661	132.0444	142.51590000000002	213.6865	0.0	0.0	0.0	30.6668	0.0	0.0	0.0	0.0	513.7701999999999	0.0	0.0	19.9564	364.7928	217.31	0.0	0.0	78.9181	0.0	44.7863	36.4208	49.9459	0.0	36.4208	55.3169	0.0	0.0	0.0	0.0	0.0	0.0	42.61	80.9977	535.2293999999999	0.0	37.4393	1079.3336	171.7554	0.0	0.0	94.7977	251.6598	0.0	119.745	0.0	0.0	0.0	0.0	14.9798	17.4627	17.4627	0.0	0.0	0.0	0.0	0.0	56.4359
TSC006	0.0	0.0	207.5517	0.0	241.1646	15.0199	128.7609	0.0	0.0	170.317	0.0	0.0	0.0	0.0	706.1506	0.0	0.0	11.0997	412.3334	163.0505	0.0	399.7156	148.2552	43.4104	37.8753	0.0	0.0	60.22636	19.6253	73.1073	0.0	0.0	0.0	0.0	109.7695	0.0	229.4451	0.0	470.5486	0.0	0.0	587.5852	1283.2320000000002	23.3129	23.3129	46.0554	91.74441	0.0	0.0	0.0	0.0	28.0005	0.0	59.8052	0.0	0.0	33.7453	0.0	0.0	0.0	0.0	43.3964
TSC008	0.0	0.0	119.9483	0.0	292.31063	49.9682	119.2639	0.0	0.0	346.9875	0.0	0.0	0.0	0.0	176.6342	0.0	0.0	141.11219999999997	594.787	164.545	0.0	0.0	160.5675	377.77149999999995	104.7059	0.0	0.0	66.33189	38.0437	143.8283	0.0	0.0	0.0	0.0	75.1737	0.0	194.794	0.0	335.90509999999995	0.0	0.0	628.2755000000001	0.0	23.2334	0.0	75.0584	138.8663	0.0	0.0	0.0	0.0	54.1223	23.5058	9.05104	0.0	11.225	11.225	0.0	0.0	0.0	0.0	15.9634
TSC011	0.0	0.0	18.3049	15.2935	28.8897	28.8897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.158	0.0	0.0	0.0	151.1641	0.0	141.713	98.314	124.642	0.0	0.0	0.0	0.0	0.0	11.9047	23.2003	0.0	0.0	0.0	0.0	15.9019	0.0	16.6565	33.0153	103.926	0.0	0.0	66.9736	144.013	0.0	0.0	19.2362	14.4137	0.0	73.7519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1479
TSC013	0.0	0.0	58.0168	18.8883	11.581	0.0	0.0	0.0	0.0	30.4653	0.0	0.0	0.0	0.0	264.9369	0.0	0.0	0.0	284.2385	0.0	0.0	69.4168	21.5734	0.0	0.0	0.0	0.0	0.0	0.0	10.4082	0.0	0.0	0.0	0.0	0.0	0.0	24.9826	44.7778	51.5366	0.0	0.0	192.8212	105.1274	0.0	0.0	0.0	59.9503	0.0	44.6538	0.0	30.6021	0.0	0.0	0.0	0.0	0.0	20.8553	0.0	20.8553	20.8553	0.0	0.0
