	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	35.7038	0.0	0.0	90.2479	54.5861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.2906	0.0	0.0	90.6881	0.0	0.0	0.0	28.6901	0.0	0.0	540.885	137.09	0.0	0.0	18.7705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.9512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	469.391	20.2475	0.0	0.0	29.7788	0.0	49.2019	0.0	0.0	0.0	0.0	0.0	126.343	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	41.3563	0.0	64.9573	64.9573	0.0	0.0	0.0	22.7147	0.0	0.0	0.0	0.0	106.606	0.0	0.0	28.556	0.0	10.3517	0.0	21.3411	236.6752	0.0	35.4113	0.0	0.0	35.1993	35.4113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.6086	0.0	0.0	0.0	0.0	0.0	17.2007	0.0	55.9521	615.7731	52.1083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.4058	0.0	0.0	0.0	0.0	27.0491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.1868	0.0	0.0	0.0	15.6352	0.0	0.0	0.0	0.0	97.6612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	205.5452	36.5078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334.476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.1537	0.0	125.293	125.293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4654	0.0	0.0	0.0	0.0	0.0	28.2254	0.0	35.6131	0.0	63.9538	63.9538	0.0	0.0	0.0	0.0	0.0	69.0423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	60.279399999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6567	0.0	0.0	11.512	0.0	0.0	0.0	0.0	0.0	41.0487	0.0	154.215	43.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.731	0.0	257.31525	0.0	287.8012	0.0	0.0	0.0	19.6749	24.7731	24.7731	109.3504	152.1148	0.0	0.0	55.1277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	69.1728	286.864	102.1242	0.0	0.0	0.0	19.3199	0.0	0.0	0.0	0.0	202.4869	0.0	0.0	0.0	20.6533	20.6533	0.0	0.0	29.571	31.114	0.0	0.0	0.0	100.81470000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.9254	0.0	223.951	0.0	0.0	0.0	0.0	0.0	0.0	19.9975	43.5967	18.0424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	78.2952	0.0	96.1411	36.6806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.735	0.0	0.0	55.358	0.0	0.0	0.0	0.0	30.2269	0.0	67.2272	82.5459	0.0	15.4603	0.0	0.0	0.0	0.0	0.0	0.0	85.3224	0.0	0.0	0.0	16.9026	0.0	0.0	0.0	426.6224	0.0	0.0	0.0	33.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	28.2817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.3589	0.0	0.0	75.233	35.5179	15.6567	0.0	35.096	45.145	0.0	0.0	66.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.2224	0.0	0.0	348.2629	0.0	0.0	129.213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	30.8732	0.0	51.1868	51.1868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.5042	0.0	0.0	0.0	0.0	58.0963	0.0	0.0	0.0	0.0	0.0	21.7583	21.7583	18.5836	0.0	0.0	0.0	0.0	0.0	0.0	8.35101	0.0	0.0	0.0	0.0	0.0	0.0	18.1258	81.4308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.8054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	72.9256	72.9256	0.0	0.0	0.0	26.8667	0.0	0.0	0.0	0.0	469.8704	0.0	0.0	98.6724	0.0	0.0	0.0	0.0	9.26708	0.0	0.0	0.0	0.0	18.0368	0.0	0.0	0.0	0.0	48.6	0.0	0.0	0.0	14.5413	34.6866	23.2835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
