	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	17.5985	0.0	0.0	16.3693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.474	0.0	22.3248	0.0	73.6315	0.0	0.0	191.474	191.474	18.2763	0.0	0.0	0.0	19.7177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	11.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0911	0.0	0.0	0.0	199.7318	0.0	0.0	0.0	21.9058	0.0	0.0	0.0	0.0	0.0	0.0	200.8169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.937	0.0	125.045	0.0	0.0	0.0	0.0	36.527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.3247	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	23.7394	0.0	12.6234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0768	0.0	0.0	0.0	25.643479999999997	0.0	0.0	0.0	0.0	0.0	0.0	63.4729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.529	58.7296	58.7296	84.23259999999999	0.0	0.0	0.0	0.0	0.0	53.0058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.6246	74.07560000000001	69.1148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.8393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	21.7372	0.0	0.0	0.0	0.0	10.5146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.0923	0.0	0.0	0.0	65.27879999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.5123	0.0	33.5123	0.0	0.0	0.0	55.1277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8717
TSC005	0.0	0.0	0.0	0.0	0.0	0.0	58.7786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.8191	0.0	52.691	52.691	52.691	0.0	0.0	63.8761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.4488	84.5478	0.0	0.0	0.0	0.0	0.0	85.449	0.0	0.0	93.8367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	55.318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3502	0.0	0.0	0.0	57.6515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.2339	0.0	0.0	0.0	0.0	0.0	0.0	59.4016	0.0	35.7751	0.0	0.0	0.0	31.0388	0.0	0.0	61.5932	15.2507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	17.766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	291.6308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.4928	0.0	0.0	0.0	0.0	0.0	8.2375	0.0	0.0	0.0	0.0	0.0	26.6277	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8369	0.0	0.0	0.0	73.6686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3043	0.0	0.0	11.0801	0.0	0.0	0.0	0.0	0.0	44.2193	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	49.0828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.5683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.1131	55.1131	28.8273	0.0	28.8273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
