	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	238.4015	0.0	0.0	0.0	0.0	0.0	98.023	0.0	0.0	0.0	0.0	0.0	274.063	0.0	0.0	26.988	0.0	49.8323	0.0	0.0	217.0404	0.0	0.0	0.0	0.0	0.0	36.2705	26.1869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.8025	0.0	0.0	0.0	69.8623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.708	0.0	0.0	0.0	0.0	0.0	11.9521	0.0	0.0	0.0	8.77577	0.0	0.0	0.0	0.0	0.0	63.5431	0.0	63.5431	82.2619	82.2619	51.3859	0.0	0.0	0.0	0.0	0.0	22.1975	19.5427	0.0	19.2443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5141	0.0	0.0	16.7796	0.0	35.7796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.8518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.7344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.2033	0.0	0.0	0.0	0.0	25.5994	0.0	0.0	0.0	0.0	0.0	0.0	67.0712	0.0	0.0	80.045	0.0	0.0	42.5167	0.0	0.0	12.3355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	59.1201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.436	0.0	0.0	0.0	85.73740000000001	0.0	0.0	0.0	106.554	0.0	0.0	0.0	0.0	146.6179	49.3843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.5741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.6433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	16.3415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.3033	0.0	0.0	140.0491	0.0	57.0614	0.0	0.0	69.8118	115.5117	19.5233	0.0	0.0	45.8488	0.0	12.7282	0.0	0.0	0.0	68.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.2123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2421	0.0	0.0	0.0	0.0	29.8985	0.0	29.8985	172.664	172.664	70.1605	0.0	0.0	0.0	0.0	85.3224	0.0	0.0	0.0	54.5307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.6165	96.8955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.5395	0.0	0.0	0.0	0.0	204.705	204.705	49.6888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.61789999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4872	0.0	0.0	0.0	0.0	0.0	0.0	17.8369	0.0	0.0	0.0	21.4763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.8421	16.1262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.6442	0.0	0.0	0.0	0.0
