	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	10.4133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.571279999999994	0.0	0.0	0.0	638.0726	19.4868	0.0	0.0	0.0	56.9035	0.0	0.0	0.0	256.2788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	20.0255	0.0	33.5285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0981	0.0	0.0	0.0	48.317	0.0	0.0	0.0	0.0	175.321	0.0	0.0	0.0	132.7606	75.2412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.6518	0.0	0.0	0.0	102.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.5346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.8777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	62.2442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.781	0.0	0.0	0.0	54.5159	28.9322	0.0	0.0	0.0	28.8737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.8366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	15.7204	0.0	105.838	0.0	0.0	0.0	0.0	34.6091	0.0	0.0	0.0	0.0	21.5658	0.0	0.0	43.6089	255.3425	0.0	0.0	0.0	0.0	416.8649	0.0	0.0	0.0	275.2455	181.379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.8001	0.0	0.0	48.2489	222.9914	0.0	0.0	0.0	0.0	0.0	0.0	19.9898	0.0	0.0	0.0	0.0	23.208	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	320.967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.769	0.0	0.0	0.0	14.3447	67.3446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.7271	40.7271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	12.0757	0.0	0.0	0.0	0.0	0.0	0.0	41.0137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.8021	347.8603	0.0	0.0	0.0	0.0	104.6122	0.0	0.0	0.0	20.1993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.3255	0.0	0.0	0.0	15.4328	0.0	0.0	0.0	96.2516	0.0	0.0	0.0	0.0	0.0	27.5934	24.0857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.2373	0.0	0.0	0.0	0.0	213.4597	0.0	0.0	34.4715	572.3163000000001	0.0	0.0	0.0	0.0	189.7327	0.0	0.0	0.0	71.1063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.2594	0.0	0.0	0.0	11.0599	0.0	0.0	205.937	29.7244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.95	0.0	0.0	0.0	0.0	0.0	12.0622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.6851	35.0286	9.32119	0.0	0.0	0.0	9.32119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.9019	101.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	338.5842	28.6002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.692	0.0	0.0	0.0	199.773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.6246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4813	0.0	0.0	0.0	0.0	0.0	0.0
