	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.1424	27.4257	145.456	0.0	21.7308	53.4704	10.3245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.474	0.0	22.3248	0.0	49.8141	0.0	0.0	191.474	191.474	0.0	28.2632	0.0	0.0	0.0	0.0	17.237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	74.7274	0.0	11.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0984	0.0	0.0	0.0	0.0	22.3187	0.0	0.0	21.9058	0.0	0.0	0.0	17.0212	0.0	0.0	158.34301000000002	0.0	0.0	0.0	0.0	0.0	0.0	30.7421	0.0	18.937	0.0	125.045	543.4497	0.0	0.0	0.0	0.0	157.1965	0.0	0.0	61.8331	0.0	41.00236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	21.1537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.9165	0.0	0.0	9.76477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.1084	34.7689	0.0	34.7689	15.4774	0.0	0.0	0.0	58.7296	58.7296	77.2111	11.1615	126.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.1593	0.0	0.0	0.0	0.0	0.0	31.6343	0.0	0.0	0.0	0.0	92.4441	0.0	0.0	14.776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.7019	51.0524	0.0	0.0	62.6246	37.4548	32.494	103.146	0.0	103.146	0.0	0.0	0.0	0.0	0.0	66.3843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	12.0126	0.0	28.8594	28.8594	0.0	0.0	0.0	10.5146	0.0	0.0	0.0	0.0	60.0335	0.0	0.0	91.30483	68.1777	0.0	0.0	0.0	141.7198	42.2017	0.0	0.0	0.0	0.0	154.774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.668850000000006	0.0	0.0	0.0	0.0	0.0	0.0	48.3706	48.3706	48.3706	18.9878	0.0	0.0	55.1277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5385	184.213
TSC005	0.0	0.0	90.76494	0.0	25.2654	25.2654	0.0	0.0	41.6297	0.0	0.0	0.0	0.0	0.0	125.4129	0.0	0.0	53.3009	187.443	296.8017	0.0	0.0	96.6595	0.0	0.0	277.291	0.0	64.4424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.3605	67.9995	71.7462	0.0	0.0	32.1053	64.9913	0.0	28.3857	0.0	28.3857	0.0	40.3455	87.2565	0.0	121.6088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.4031
TSC006	0.0	0.0	182.017	0.0	21.7303	33.156	21.8933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.5711	0.0	0.0	0.0	113.4632	0.0	0.0	0.0	0.0	61.2018	0.0	0.0	18.6165	0.0	0.0	85.6127	0.0	0.0	0.0	556.609	0.0	0.0	13.2026	0.0	0.0	0.0	0.0	0.0	39.3256	0.0	0.0	0.0	30.7835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	281.369	0.0	17.766	24.2976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.1889	0.0	0.0	37.9077	264.551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9897	0.0	154.7173	0.0	0.0	0.0	980.363	0.0	0.0	13.4496	0.0	0.0	0.0	0.0	0.0	45.2862	0.0	0.0	0.0	15.2809	0.0	0.0	0.0	0.0	35.453500000000005	0.0	0.0	0.0	0.0	0.0	26.6277	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	16.8677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8369	0.0	0.0	0.0	144.636	71.4896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5442	0.0	0.0	0.0	0.0	28.9722	0.0	9.79615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1394	23.6949
TSC013	0.0	0.0	17.1701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.4689	13.6083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.9981	10.5136	14.377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.34398	0.0	0.0	44.2279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
