	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	37.8633	128.51039999999998	313.4368	0.0	0.0	0.0	13.6612	0.0	0.0	0.0	0.0	263.30490000000003	0.0	0.0	175.64409999999998	43.8356	43.8356	0.0	0.0	13.6494	0.0	145.451	0.0	0.0	0.0	0.0	26.0838	0.0	0.0	0.0	0.0	0.0	0.0	136.4642	0.0	98.8548	0.0	0.0	0.0	0.0	0.0	0.0	76.8435	137.5855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	36.9048	50.6902	0.0	0.0	0.0	0.0	0.0	27.5787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5161	0.0	22.3187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6628	0.0	0.0	19.6159	0.0	29.3321	0.0	243.849	73.2945	0.0	19.2378	0.0	0.0	146.7917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	66.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.34179999999998	0.0	0.0	133.5501	0.0	42.5766	0.0	0.0	0.0	0.0	37.2382	0.0	0.0	0.0	37.2382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.1337	0.0	12.1256	27.7328	0.0	0.0	0.0	18.4327	0.0	0.0	0.0	0.0	0.0	34.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	536.6868999999999	0.0	0.0	41.3795	38.4385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9543	48.5288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	38.5686	23.5558	88.2459	21.3862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.1143	0.0	0.0	7.46027	152.4375	20.1491	0.0	0.0	29.8565	0.0	80.8238	0.0	43.298	133.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4612	0.0	24.0218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.4092	0.0	0.0	0.0	0.0	126.9685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	16.6742	20.61	37.9807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.8043	0.0	0.0	29.4301	42.9242	13.0696	0.0	0.0	85.3736	183.593	0.0	0.0	0.0	28.8159	0.0	19.7746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.1485	0.0	11.6085	36.6047	0.0	0.0	0.0	30.705	109.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	25.1857	54.1581	57.5832	0.0	0.0	0.0	52.3282	0.0	0.0	0.0	0.0	54.4744	0.0	0.0	139.90519999999998	0.0	105.532	0.0	0.0	0.0	0.0	0.0	30.918100000000003	16.1414	39.7632	39.7632	0.0	0.0	0.0	0.0	329.026	0.0	0.0	8.72166	0.0	54.9256	0.0	0.0	45.7751	45.7751	0.0	0.0	48.9871	13.7621	0.0	0.0	0.0	0.0	302.359	0.0	0.0	0.0	0.0	0.0	0.0	448.427	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	25.999	47.1964	27.2564	0.0	0.0	0.0	26.4658	0.0	0.0	0.0	0.0	91.0749	0.0	0.0	31.533	12.386	0.0	0.0	0.0	51.5304	0.0	0.0	24.1773	0.0	80.4637	0.0	0.0	0.0	0.0	0.0	1228.26	0.0	0.0	115.797	0.0	76.6596	0.0	0.0	0.0	0.0	0.0	0.0	44.6108	0.0	0.0	0.0	0.0	0.0	330.969	0.0	9.10441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	31.882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.5024	0.0	0.0	0.0	10.1012	0.0	0.0	0.0	56.4822	0.0	7.81076	0.0	0.0	0.0	19.5245	14.8723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.5633	0.0	0.0	0.0	0.0	9.74875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.2533	0.0	0.0	0.0	500.5653	98.3967	0.0	0.0	121.2526	68.2362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1181	0.0	0.0	0.0	0.0	36.4791	0.0	0.0	0.0	0.0	27.9708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
