	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	0.0	20.6618	37.0533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.75	153.75	0.0	0.0	83.654	164.4326	88.5161	0.0	0.0	0.0	0.0	46.6301	0.0	0.0	28.9188	0.0	18.7212	0.0	125.8274	0.0	137.8378	0.0	23.8174	0.0	53.3411	33.0881	33.0881	33.0881	37.9788	65.9861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.5082	0.0	0.0	47.7483	0.0	0.0	0.0	0.0	53.1395	34.1078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.2138	0.0	34.5079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5494	0.0	26.5818	0.0	0.0	0.0	34.0098
TSC002	0.0	0.0	42.5766	0.0	0.0	41.1668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5766	0.0	0.0	0.0	0.0	0.0	85.7958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.5002	0.0	131.2733	0.0	0.0	16.4318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.9297	0.0	0.0	0.0	28.8193	0.0	0.0	0.0	39.2528	0.0	0.0	0.0	0.0	0.0	0.0	32.1652	0.0	0.0	0.0	0.0	0.0	0.0	41.3132	0.0	104.1892	0.0	0.0	162.357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	107.274	0.0	0.0	251.9848	0.0	0.0	0.0	123.205	0.0	0.0	0.0	0.0	12.7694	0.0	0.0	64.9318	106.4818	27.1479	0.0	0.0	0.0	0.0	14.9007	52.2482	0.0	0.0	59.1245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.094	18.0234	0.0	0.0	22.3012	0.0	29.15809	0.0	45.1635	0.0	17.6642	0.0	0.0	8.26878	11.7699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	171.03339999999997	0.0	127.401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.997	0.0	0.0	30.0661	0.0	352.3813	0.0	0.0	54.2701	0.0	54.2701	54.2701	54.2701	0.0	54.2701	52.8364	0.0	0.0	0.0	0.0	0.0	0.0	18.7284	0.0	355.64751	0.0	0.0	270.193	53.124	0.0	0.0	0.0	22.4372	0.0	0.0	0.0	0.0	0.0	50.8813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.4359
TSC006	0.0	0.0	99.8849	0.0	40.40086	33.008	0.0	0.0	0.0	253.3521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.6437	126.5201	29.1605	0.0	30.1653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.70270000000001	16.2886	161.5562	0.0	0.0	0.0	36.084	0.0	0.0	0.0	24.7179	0.0	0.0	0.0	0.0	0.0	12.8782	0.0	0.0	0.0	0.0	0.0	448.427	0.0	0.0	0.0
TSC008	0.0	0.0	152.24	0.0	42.4699	26.6387	0.0	0.0	0.0	69.1953	0.0	0.0	0.0	0.0	1941.12	0.0	0.0	29.749	152.1761	31.3432	0.0	25.9656	0.0	126.652	0.0	0.0	0.0	16.7924	0.0	28.7508	0.0	0.0	0.0	0.0	0.0	16.5856	35.5121	0.0	185.5221	0.0	0.0	0.0	50.5539	183.757	0.0	27.6098	26.7746	0.0	0.0	0.0	0.0	165.081	12.5231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	18.7297	0.0	0.0	11.4872	0.0	0.0	0.0	0.0	0.0	0.0	17.8369	0.0	0.0	55.9384	0.0	0.0	0.0	0.0	54.1009	0.0	0.0	0.0	0.0	28.0236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6017	0.0	35.23854	0.0	0.0	0.0	0.0	180.331	0.0	0.0	36.395	0.0	0.0	23.74013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	16.2546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.3709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.4996	0.0	26.6269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
