	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	30.6106	0.0	0.0	0.0	0.0	297.359	0.0	0.0	0.0	0.0	208.9825	0.0	0.0	0.0	54.9488	0.0	0.0	0.0	0.0	0.0	50.2492	0.0	0.0	0.0	15.6116	168.757	0.0	0.0	0.0	0.0	143.413	0.0	19.467	0.0	0.0	0.0	25.4383	0.0	9.93798	47.4337	0.0	58.7479	15.3656	0.0	47.3387	23.2688	0.0	10.2109	0.0	0.0	0.0	0.0	0.0	239.9485	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	53.1011	98.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.054	0.0	0.0	60.5544	67.0402	0.0	0.0	0.0	0.0	0.0	52.3849	39.2888	39.2888	18.687	0.0	36.3039	0.0	0.0	0.0	0.0	0.0	22.1975	54.0794	0.0	0.0	0.0	0.0	0.0	0.0	46.0998	102.0519	119.8232	18.1287	34.7599	0.0	0.0	0.0	0.0	61.0583	0.0	86.1164	0.0	0.0	86.1164	0.0	15.7422	0.0	0.0
TSC002	0.0	0.0	0.0	23.8614	41.8246	62.0239	0.0	0.0	0.0	174.799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0132	11.267	0.0	0.0	0.0	0.0	17.6227	0.0	0.0	0.0	34.1322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.397599999999997	0.0	0.0	0.0	71.7794	0.0	26.3444	58.7296	95.3929	58.7296	0.0	524.0135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	41.0474	0.0	33.2433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.6052	0.0	0.0	0.0	73.3652	0.0	0.0	0.0	0.0	18.1537	31.1128	31.1128	31.1128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5167	0.0	0.0	0.0	0.0	0.0	169.047	37.9473	55.6267	63.9538	176.8095	0.0	97.1461	0.0	0.0	0.0	69.0423	0.0	0.0	0.0	0.0	0.0	24.6472	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	21.7372	18.1451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.23658	0.0	0.0	85.579	81.3803	120.2431	0.0	45.3053	0.0	0.0	37.0246	0.0	22.1239	34.9077	69.8463	9.7157	0.0	0.0	0.0	0.0	0.0	0.0	285.0312	0.0	336.0487	0.0	0.0	0.0	0.0	25.8866	25.8866	109.5033	76.0192	24.7192	0.0	0.0	0.0	49.2372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7359	0.0	0.0
TSC005	0.0	0.0	41.8297	0.0	131.5946	115.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.1188	0.0	0.0	23.8336	338.6982	0.0	0.0	0.0	13.7532	107.5971	90.7069	81.41980000000001	81.41980000000001	14.7933	62.4787	48.3703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.5187	758.236	48.3534	0.0	46.2234	52.251999999999995	0.0	0.0	180.3059	50.2902	0.0	0.0	29.2487	65.6426	44.74519	0.0	0.0	39.0815	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	46.2867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.24043	0.0	0.0	38.5427	17.1756	0.0	0.0	0.0	33.1025	18.819	0.0	0.0	10.4923	0.0	11.9424	0.0	0.0	0.0	0.0	0.0	0.0	18.5065	0.0	0.0	0.0	0.0	21.6983	521.1831999999999	0.0	0.0	0.0	0.0	19.0405	0.0	0.0	0.0	0.0	74.6976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	77.799	66.7911	0.0	0.0	0.0	166.582	0.0	0.0	0.0	0.0	42.177	0.0	0.0	33.8536	0.0	13.9398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.9589	96.9976	0.0	0.0	0.0	0.0	0.0	16.5856	0.0	0.0	127.6898	0.0	0.0	610.6629	0.0	23.2334	0.0	241.0985	0.0	0.0	0.0	0.0	0.0	112.4244	29.4757	20.6976	21.5215	21.5215	0.0	26.6277	0.0	24.0513	24.0513	0.0
TSC011	0.0	0.0	41.6757	0.0	0.0	13.4647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.4743	0.0	0.0	52.5696	159.90720000000002	0.0	0.0	0.0	19.3433	0.0	0.0	74.5007	74.5007	0.0	21.5534	0.0	0.0	0.0	0.0	0.0	35.4656	13.5442	25.9503	0.0	0.0	0.0	16.9796	66.9736	28.9488	0.0	0.0	18.0813	29.9817	0.0	0.0	0.0	0.0	0.0	19.9484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	104.1559	0.0	7.59926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.52199999999999	0.0	0.0	0.0	52.541700000000006	0.0	0.0	0.0	9.26708	34.217	52.6675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17708	178.4786	0.0	122.4466	0.0	122.4466	0.0	0.0	0.0	0.0	0.0	28.5112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
