	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	355.272	0.0	90.6628	33.7801	0.0	0.0	0.0	137.70600000000002	0.0	0.0	0.0	0.0	40.9493	0.0	0.0	0.0	12.6945	0.0	0.0	32.8048	0.0	36.1916	0.0	76.4235	0.0	36.2804	0.0	0.0	0.0	0.0	0.0	0.0	37.0872	0.0	0.0	0.0	304.218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.2578	0.0	0.0	0.0	0.0	18.6761	0.0	0.0	0.0	0.0	0.0	36.0652	0.0	0.0	0.0	57.6353
TSC001	16.3001	0.0	70.22	0.0	39.2165	37.7162	0.0	0.0	168.576	149.975	0.0	0.0	0.0	0.0	47.6066	0.0	0.0	144.9735	0.0	0.0	0.0	0.0	0.0	54.8524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9917	0.0	0.0	0.0	0.0	0.0	21.6855	17.7713	0.0	0.0	0.0	0.0	0.0	14.6416	119.411	0.0	21.7333	21.7333	0.0	47.6084	0.0	0.0	0.0	278.933
TSC002	0.0	0.0	0.0	0.0	33.8475	17.836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.5105	0.0	0.0	0.0	14.6402	40.686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.4774	0.0	19.1748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.69054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.489
TSC003	0.0	0.0	32.405	0.0	118.9417	0.0	0.0	0.0	15.2465	312.01	0.0	0.0	0.0	0.0	37.1975	0.0	0.0	31.2517	33.3172	0.0	0.0	0.0	0.0	35.3516	0.0	0.0	0.0	0.0	0.0	18.4982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.772	0.0	0.0	0.0	0.0	55.6267	0.0	55.6267	0.0	0.0	0.0	0.0	0.0	0.0	10.2911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.3131
TSC004	0.0	0.0	373.8862	0.0	158.79969999999997	54.2895	11.5825	0.0	0.0	363.4294	0.0	0.0	0.0	0.0	10.5335	0.0	0.0	72.7581	0.0	0.0	0.0	18.1422	9.69661	72.6373	0.0	175.342	192.7178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.7579	0.0	95.3441	0.0	0.0	0.0	0.0	37.7579	37.7579	14.0102	19.7032	0.0	0.0	0.0	0.0	39.837	0.0	0.0	0.0	0.0	0.0	52.0858	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	38.6218	0.0	103.4056	0.0	60.6192	0.0	60.2941	0.0	0.0	0.0	0.0	0.0	84.2769	0.0	0.0	106.578	40.5816	0.0	0.0	22.5874	0.0	0.0	0.0	0.0	0.0	0.0	96.2092	0.0	0.0	35.8131	0.0	0.0	0.0	0.0	0.0	0.0	13.2988	0.0	0.0	52.8416	0.0	0.0	0.0	32.2545	0.0	0.0	0.0	0.0	0.0	0.0	64.8307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	198.6789	0.0	27.6176	88.8212	39.8583	0.0	37.6594	69.6185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.5427	0.0	0.0	0.0	21.4594	0.0	0.0	0.0	25.7916	25.7916	47.2441	96.3524	88.5688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.2731	0.0	0.0	0.0	10.1766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.4181
TSC008	0.0	0.0	150.23	0.0	15.8312	0.0	41.7935	0.0	20.2198	72.7154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.16319999999999	0.0	19.4926	0.0	20.5382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.3357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.1633	0.0	0.0	0.0	9.9767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.225900000000003	42.1366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	40.5233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.4525	0.0	0.0	0.0	0.0	21.1545	0.0	29.4525	29.4525	18.0813	116.895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	12.3465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.8416	0.0	48.4689	0.0	0.0	0.0	60.2489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.8323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.352
TSC014	0.0	0.0	248.1141	0.0	0.0	0.0	0.0	0.0	0.0	35.3429	0.0	0.0	0.0	0.0	40.506	0.0	0.0	45.0833	36.5968	0.0	0.0	0.0	32.5192	0.0	41.4644	43.3875	0.0	41.4644	115.0607	18.0518	12.4916	0.0	27.6283	0.0	0.0	0.0	50.7555	0.0	0.0	0.0	0.0	19.6178	36.0669	50.7555	50.7555	15.1343	0.0	50.0835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.7644
TSC016	0.0	0.0	65.6868	0.0	25.0377	15.0891	0.0	0.0	0.0	257.1925	0.0	0.0	0.0	0.0	40.3368	0.0	0.0	38.0961	49.3657	0.0	0.0	0.0	103.001	10.1754	0.0	109.65	0.0	0.0	42.8098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.028	16.028	0.0	0.0	13.1047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC018	0.0	0.0	277.2559	0.0	0.0	140.2363	59.1084	0.0	12.2907	11.8436	0.0	0.0	0.0	0.0	37.76516	0.0	0.0	45.25528	26.6449	0.0	0.0	0.0	141.949	0.0	0.0	0.0	0.0	15.705	56.6147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.6428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4743	25.56238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.616
TSC020	0.0	0.0	128.816	0.0	14.9739	0.0	11.0164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.4816	93.2076	9.19158	0.0	0.0	0.0	24.4113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.8855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.5097	0.0	0.0	0.0	0.0	22.6043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.8236
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.2631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.2037	0.0	0.0	0.0	19.341	0.0	0.0	0.0	51.2037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	41.7784	0.0	217.55389999999997	58.5914	51.4466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.5027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.987	133.026	0.0	0.0	0.0	0.0	0.0	34.2992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.501	0.0	0.0	93.8211	0.0	60.105599999999995	0.0	31.2988	0.0	0.0	0.0	36.3814	0.0	0.0	0.0	37.8974
TSC025	0.0	0.0	0.0	0.0	0.0	0.0	32.741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.1197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0374	0.0	0.0	0.0	22.6055	0.0	0.0	0.0	40.0374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC027	0.0	0.0	0.0	0.0	0.0	0.0	56.3408	0.0	0.0	93.8767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.2839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.4027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC028	0.0	0.0	70.9947	0.0	144.63289999999998	83.6796	0.0	0.0	0.0	159.4706	0.0	0.0	0.0	0.0	24.91622	0.0	0.0	0.0	72.5302	0.0	0.0	0.0	176.408	50.9356	195.4109	0.0	0.0	68.46959	55.62929	0.0	0.0	0.0	19.3195	0.0	0.0	0.0	0.0	0.0	41.9001	0.0	0.0	0.0	0.0	0.0	0.0	29.5055	41.9001	0.0	0.0	67.84530000000001	0.0	41.7255	0.0	26.3581	0.0	0.0	0.0	15.3984	0.0	0.0	0.0	16.9129
TSC031	0.0	0.0	0.0	0.0	0.0	0.0	34.1196	0.0	0.0	307.8867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.4455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.1534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.9754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC033	0.0	0.0	0.0	0.0	18.6617	0.0	0.0	0.0	0.0	617.9965	0.0	0.0	0.0	0.0	90.6253	0.0	0.0	0.0	0.0	0.0	0.0	18.7984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.2827	0.0	0.0	0.0	0.0	0.0	0.0	14.3576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.26089999999999	0.0	0.0	0.0	238.519	0.0	0.0	11.8897	0.0	0.0	0.0	0.0	0.0	0.0	55.7965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
