	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	247.9914	0.0	106.41219999999998	317.12	0.0	0.0	0.0	80.3286	0.0	0.0	0.0	0.0	708.5169000000001	0.0	0.0	110.669	32.359	137.4035	0.0	0.0	270.7391	126.9273	112.478	301.90110000000004	127.5682	101.956	0.0	26.0838	0.0	0.0	0.0	0.0	0.0	0.0	68.4183	0.0	234.2627	0.0	0.0	0.0	104.0462	38.0286	0.0	169.19279999999998	189.7414	0.0	0.0	26.145	13.1036	0.0	0.0	0.0	0.0	0.0	0.0	80.7908	126.343	0.0	0.0	57.6353
TSC001	16.3001	0.0	748.7764999999999	0.0	72.9926	165.345	0.0	0.0	0.0	232.502	0.0	0.0	0.0	0.0	564.7047000000001	0.0	0.0	85.5487	218.35384	50.1565	0.0	0.0	83.06269999999999	21.3528	43.284	103.725	80.8239	0.0	0.0	8.63123	0.0	0.0	0.0	0.0	66.07594	0.0	0.0	0.0	95.4394	0.0	0.0	0.0	36.2485	66.3434	66.3434	66.3434	67.66149999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.802	0.0	0.0	0.0	305.3198
TSC002	0.0	0.0	0.0	0.0	10.0503	127.279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.6924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6069	0.0	31.5855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.4208	43.2464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6963
TSC003	0.0	0.0	317.805	0.0	270.96729999999997	62.566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.1842	0.0	0.0	23.39269	71.3732	56.9005	277.042	0.0	213.7932	50.0548	186.083	113.6219	113.6219	0.0	56.9743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	564.3364	0.0	0.0	0.0	81.4086	0.0	0.0	0.0	64.3692	0.0	0.0	0.0	0.0	0.0	0.0	24.6361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0819
TSC004	0.0	0.0	367.6136	0.0	45.4908	162.22039999999998	0.0	0.0	0.0	190.1053	0.0	0.0	0.0	0.0	338.33224000000007	0.0	0.0	153.8184	25.1045	261.72630000000004	196.41	0.0	143.811	217.2373	12.4652	301.7767	147.5617	162.679	48.5149	20.7261	0.0	0.0	0.0	0.0	24.1817	55.1243	18.6571	0.0	333.288	18.0234	0.0	0.0	0.0	0.0	264.084	0.0	41.967	0.0	0.0	13.3461	236.713	78.319	0.0	13.4184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.8575
TSC005	0.0	0.0	247.1468	0.0	552.4417	213.6903	0.0	0.0	0.0	30.6668	0.0	0.0	0.0	0.0	822.2162000000001	0.0	0.0	0.0	62.0311	205.6778	0.0	0.0	431.92213	23.338	0.0	0.0	0.0	28.8159	14.4822	19.7746	0.0	0.0	0.0	0.0	0.0	28.4455	0.0	0.0	918.5844	0.0	0.0	40.7271	58.2604	0.0	0.0	0.0	18.7284	31.1415	0.0	18.7165	0.0	67.9279	0.0	169.454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.103
TSC006	0.0	0.0	819.8556	0.0	494.5066	261.2251	0.0	0.0	25.6935	107.7996	0.0	0.0	0.0	0.0	416.6323999999999	0.0	0.0	52.0955	159.1492	178.6379	0.0	236.956	68.2787	0.0	52.7286	48.76853	67.69382999999999	0.0	0.0	0.0	0.0	0.0	0.0	885.635	0.0	0.0	0.0	0.0	373.5169	0.0	0.0	0.0	105.7861	86.3324	86.3324	15.6764	43.6014	0.0	0.0	0.0	0.0	68.426	0.0	0.0	0.0	0.0	0.0	36.1152	0.0	0.0	0.0	336.13419999999996
TSC008	0.0	0.0	575.0233000000001	0.0	359.4067	183.478	0.0	0.0	20.2198	247.80560000000003	0.0	0.0	0.0	0.0	520.70404	0.0	0.0	88.4615	1062.9408	188.4641	0.0	214.81	36.6667	109.9265	74.4355	229.1448	221.6017	16.1707	49.3859	0.0	0.0	0.0	0.0	2208.623	23.9627	0.0	0.0	0.0	349.6732	0.0	0.0	17.3588	61.7953	65.9458	0.0	9.34125	48.6639	0.0	0.0	0.0	0.0	63.5481	0.0	0.0	0.0	0.0	0.0	33.8507	0.0	0.0	0.0	131.2947
TSC011	0.0	0.0	83.9097	0.0	0.0	0.0	0.0	0.0	0.0	76.5374	0.0	0.0	0.0	0.0	97.66713	0.0	0.0	0.0	14.5744	0.0	141.713	0.0	13.0291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.6952	0.0	0.0	0.0	0.0	22.5477	43.858999999999995	14.7292	156.82550000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.6078
TSC013	0.0	0.0	162.5829	0.0	0.0	0.0	7.59926	0.0	0.0	63.1264	0.0	0.0	0.0	0.0	69.407	0.0	0.0	0.0	25.6026	24.2647	0.0	27.9584	80.56190000000001	0.0	0.0	35.0587	35.0587	0.0	35.0587	0.0	0.0	0.0	0.0	0.0	27.4129	0.0	0.0	0.0	607.1046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1726	115.361	0.0	133.877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.4257
