	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	63.566	0.0	2009.7081000000005	61.4218	0.0	0.0	0.0	133.5295	0.0	0.0	0.0	0.0	182.6089	0.0	0.0	285.8056	188.8709	0.0	0.0	0.0	41.0893	82.21209999999999	15.4612	78.27906999999999	0.0	0.0	92.2263	19.4908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	570.0348	0.0	0.0	0.0	0.0	29.0614	0.0	29.0614	231.3541	0.0	47.3387	0.0	0.0	0.0	0.0	98.248	0.0	0.0	0.0	114.1337	761.4228999999999	29.6609	0.0	0.0
TSC001	0.0	0.0	283.3755	0.0	27.95422	0.0	0.0	0.0	0.0	7.34331	0.0	0.0	0.0	0.0	258.1252	0.0	0.0	131.8322	195.194	0.0	0.0	21.3411	237.68230000000003	0.0	0.0	0.0	0.0	53.6516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.6727	228.1033	0.0	294.6459	0.0	0.0	56.2342	86.72800000000001	0.0	0.0	38.4389	63.705	14.6598	104.9892	0.0	0.0	0.0	43.9534	0.0	21.7333	21.7333	0.0	86.1501	111.887	159.7736	111.887	54.2092
TSC002	0.0	0.0	70.3162	0.0	0.0	0.0	0.0	0.0	39.5443	0.0	0.0	0.0	0.0	0.0	159.34179999999998	0.0	0.0	0.0	67.1876	0.0	0.0	17.2296	0.0	28.725	40.1984	0.0	25.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.3804	0.0	0.0	0.0	12.1256	0.0	0.0	0.0	0.0	0.0	29.2939	249.62308	0.0	16.3241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.9985	60.9985	60.9985	0.0
TSC003	0.0	0.0	417.75	38.9093	98.8281	36.5078	0.0	0.0	65.1593	0.0	0.0	0.0	0.0	0.0	86.1824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.75992	0.0	0.0	0.0	0.0	18.4982	0.0	0.0	0.0	0.0	0.0	36.1387	16.7192	0.0	0.0	0.0	0.0	151.5344	123.8772	0.0	0.0	0.0	0.0	0.0	84.8532	0.0	0.0	0.0	54.286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.766
TSC004	0.0	0.0	374.2508	0.0	1627.6635	23.6876	0.0	0.0	0.0	59.8528	0.0	0.0	0.0	0.0	137.7382	0.0	31.245	424.6692000000001	426.3837	0.0	0.0	547.356	65.30980000000001	78.1576	29.4241	29.51922	0.0	345.5628	161.7848	0.0	0.0	0.0	0.0	0.0	336.781	29.2358	97.85495	0.0	309.8836	0.0	8.29371	0.0	32.5156	117.996	117.996	132.5459	34.496	10.3725	0.0	19.9898	0.0	0.0	12.0851	0.0	0.0	0.0	0.0	52.1091	0.0	0.0	0.0	0.0
TSC005	0.0	49.331	89.95410000000001	91.8353	128.2799	0.0	0.0	0.0	41.6297	114.537	0.0	0.0	0.0	0.0	842.2409	0.0	0.0	26.045	391.40108	24.0488	40.9058	0.0	0.0	0.0	0.0	0.0	0.0	36.3723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.6402	0.0	54.4054	0.0	0.0	104.806	140.7557	30.6668	30.6668	30.6668	43.5967	0.0	251.7641	0.0	0.0	0.0	103.6219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.69689999999997
TSC006	0.0	0.0	74.6746	0.0	463.7423	161.3949	0.0	0.0	0.0	100.0152	0.0	0.0	0.0	0.0	389.2767	0.0	0.0	38.3218	0.0	6.51337	0.0	387.382	85.7372	0.0	0.0	0.0	0.0	199.0475	45.0775	146.06359999999998	0.0	0.0	0.0	0.0	130.3444	0.0	0.0	0.0	176.7503	0.0	0.0	0.0	296.41169999999994	0.0	17.7966	172.4266	104.8256	16.8858	0.0	0.0	0.0	28.0005	32.9791	90.913	0.0	0.0	0.0	0.0	236.687	0.0	0.0	28.7833
TSC008	0.0	0.0	0.0	0.0	1416.6694999999995	132.9034	0.0	0.0	0.0	102.6528	0.0	0.0	0.0	0.0	342.5435	0.0	0.0	0.0	59.0101	0.0	0.0	0.0	110.7319	0.0	0.0	13.2751	0.0	222.9751	62.975	152.81277	0.0	0.0	0.0	0.0	42.5842	0.0	39.0199	0.0	112.8313	0.0	0.0	0.0	0.0	0.0	18.9379	154.8984	30.8692	11.8326	0.0	0.0	0.0	43.427800000000005	92.5771	55.1384	0.0	0.0	0.0	0.0	202.427	202.427	202.427	46.0541
TSC011	0.0	0.0	129.37	0.0	46.78	67.29060000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.5898	0.0	0.0	0.0	98.2491	24.4046	0.0	0.0	56.4822	0.0	0.0	0.0	60.9616	109.1003	27.27973	33.8822	0.0	0.0	0.0	0.0	0.0	0.0	52.0734	0.0	52.0734	0.0	0.0	19.2085	170.19400000000002	21.8261	0.0	0.0	0.0	0.0	149.4232	0.0	0.0	0.0	0.0	0.0	30.1921	30.1921	30.1921	0.0	0.0	0.0	0.0	29.8512
TSC013	0.0	0.0	120.176	0.0	26.1488	40.2434	0.0	0.0	8.71453	0.0	0.0	0.0	0.0	0.0	103.5699	0.0	0.0	0.0	82.083	59.9169	0.0	0.0	20.1303	48.4689	0.0	0.0	40.2606	45.6586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.1132	0.0	45.1132	0.0	0.0	12.6492	16.2326	0.0	0.0	29.7167	12.0171	16.1217	44.6538	33.1726	0.0	0.0	10.442	0.0	0.0	0.0	0.0	0.0	29.2248	29.2248	29.2248	62.8004
TSC014	0.0	0.0	176.68860999999998	0.0	241.471	108.2301	17.3544	0.0	0.0	24.5325	0.0	0.0	0.0	0.0	407.9386	0.0	0.0	133.266	53.3399	174.462	0.0	0.0	87.5411	32.2847	22.1433	0.0	42.4772	18.9371	54.428	0.0	0.0	0.0	0.0	0.0	139.8035	9.0809	0.0	0.0	21.3733	0.0	0.0	11.222	0.0	33.6187	33.6187	106.8336	75.63257	0.0	24.7766	49.6133	0.0	0.0	35.0189	0.0	0.0	0.0	0.0	0.0	50.7619	0.0	0.0	138.23753
TSC016	0.0	0.0	462.2146	0.0	77.6143	101.9631	0.0	0.0	177.97809999999998	47.6119	0.0	0.0	0.0	0.0	1020.867	0.0	0.0	13.1663	289.4134	138.9797	0.0	10.366	58.0744	145.9282	13.9285	0.0	0.0	206.9809	48.2615	0.0	0.0	0.0	0.0	0.0	51.682300000000005	48.9145	0.0	0.0	14.2786	0.0	6.58839	195.8667	131.796	0.0	0.0	76.02649	95.7892	44.7568	257.64	0.0	0.0	0.0	109.9174	0.0	0.0	0.0	0.0	0.0	372.961	159.68	159.68	268.12432
TSC018	0.0	0.0	97.466	0.0	1118.3027	503.7116	14.9179	0.0	0.0	164.94979999999998	0.0	0.0	0.0	0.0	433.785	0.0	0.0	81.4671	98.9795	106.3112	0.0	51.67119	103.5213	106.4581	0.0	12.126	73.855	184.12	184.12	16.9745	0.0	0.0	16.9798	0.0	16.0504	0.0	53.6734	0.0	153.6941	0.0	30.8409	158.23590000000002	62.014	0.0	0.0	13.9276	133.237	63.1751	47.1426	17.2142	22.4904	14.5773	108.9	0.0	0.0	0.0	0.0	0.0	126.593	126.593	126.593	69.1068
TSC020	0.0	0.0	0.0	0.0	673.3659799999999	164.43959999999998	0.0	0.0	0.0	38.1457	0.0	0.0	0.0	0.0	324.9021	0.0	0.0	102.8871	190.4716	75.03888	0.0	16.279	143.33015999999998	18.0804	11.9729	25.0854	0.0	0.0	9.12568	17.608	0.0	0.0	0.0	0.0	18.2929	0.0	0.0	0.0	27.8366	0.0	63.8414	19.7439	61.72277	0.0	24.7328	0.0	102.9817	24.4057	107.991	24.1758	0.0	0.0	193.1163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.4094
