	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	35.7038	456.9009	0.0	219.4197	124.3802	45.0773	0.0	0.0	1277.054	0.0	0.0	0.0	0.0	977.0149	0.0	0.0	192.07960000000003	278.4677	457.8999	0.0	28.611	1243.60317	346.4009	417.9814	26.3001	24.5037	76.0959	175.7948	41.6377	0.0	83.075	0.0	0.0	18.7212	0.0	0.0	0.0	202.0598	0.0	12.4341	0.0	54.5622	25.113	14.2633	159.0281	1202.9373	0.0	0.0	58.0729	0.0	51.7164	457.061	62.3878	0.0	0.0	0.0	0.0	731.762	0.0	0.0	0.0
TSC001	0.0	0.0	861.8482	19.8208	200.3361	133.4564	22.0808	0.0	23.0164	157.01600000000002	0.0	0.0	0.0	0.0	852.77256	0.0	0.0	311.97	620.4382700000001	114.4152	0.0	110.4081	369.5918	115.4222	76.81166999999999	57.158	57.158	22.5823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0047	0.0	173.9553	0.0	9.58696	54.016	1777.5428	18.4583	0.0	0.0	142.38639999999998	13.9092	0.0	0.0	0.0	8.60106	156.11740000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.8774
TSC002	0.0	0.0	780.6773	0.0	44.2246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.2686	0.0	0.0	0.0	162.5288	125.3271	0.0	17.2296	176.9899	46.1131	12.4555	12.4555	12.4555	122.4329	75.8608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.85059	0.0	45.442	0.0	0.0	50.4435	0.0	0.0	0.0	0.0	215.0116	45.4052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.544700000000006
TSC003	0.0	0.0	98.3256	38.829	62.2442	37.9052	0.0	0.0	0.0	191.451	0.0	0.0	0.0	0.0	334.7861	0.0	0.0	31.2517	63.5239	104.2624	0.0	0.0	116.6319	81.2307	73.2016	0.0	0.0	0.0	56.9743	0.0	0.0	0.0	0.0	0.0	15.8811	0.0	82.7086	0.0	176.8162	0.0	10.2494	95.1985	79.4712	0.0	0.0	0.0	156.0374	0.0	78.1461	0.0	0.0	0.0	40.4861	67.0261	17.3339	0.0	17.3339	0.0	0.0	0.0	0.0	224.4312
TSC004	0.0	0.0	232.9008	47.3949	349.3975	192.3416	0.0	0.0	0.0	88.72279999999999	0.0	0.0	0.0	0.0	443.41208	0.0	0.0	364.58825	580.4046999999999	378.9497	0.0	126.9649	556.2791	217.6862	0.0	152.3275	36.7174	125.7872	253.2411	51.0971	0.0	0.0	0.0	0.0	191.4318	0.0	0.0	0.0	452.6590000000001	0.0	0.0	46.5163	301.11670000000004	135.7119	135.7119	134.483	350.0418	7.70138	0.0	54.566	0.0	23.86908	203.3518	0.0	0.0	0.0	0.0	52.1091	0.0	0.0	0.0	152.10569999999998
TSC005	0.0	0.0	25.6328	212.656	744.5459	238.8776	0.0	0.0	0.0	495.97	0.0	0.0	0.0	0.0	1046.3181	0.0	0.0	235.3637	335.8201	357.8893	0.0	58.1549	103.4019	93.7497	20.2087	102.6473	0.0	190.533	121.0314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.39460000000005	0.0	485.1884	0.0	0.0	394.8258	224.8692	0.0	0.0	0.0	63.9573	0.0	119.745	0.0	0.0	20.9759	45.0283	207.0136	33.1865	33.1865	33.1865	33.1865	33.1865	33.1865	33.1865	442.7016
TSC006	0.0	0.0	644.7273	0.0	459.01046	81.59639999999999	99.1435	0.0	25.6935	119.3245	0.0	0.0	0.0	0.0	577.5567	0.0	0.0	86.44640000000001	1005.274	286.01717	0.0	71.4614	402.9302	124.4079	0.0	145.95770000000002	0.0	103.7983	0.0	110.3853	0.0	0.0	0.0	329.026	85.3224	13.9976	169.4281	0.0	2316.9561900000003	0.0	0.0	1077.9400999999998	1193.0841	40.7252	40.7252	22.7425	196.9244	0.0	0.0	0.0	0.0	10.1286	230.46049999999997	25.9367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.6635
TSC008	0.0	0.0	214.5819	0.0	354.8478	72.7989	0.0	0.0	20.2198	137.2312	0.0	0.0	0.0	0.0	536.7187999999999	0.0	0.0	238.65500000000003	1178.5506	171.7899	0.0	156.3679	400.428	419.3564	0.0	155.89350000000002	10.0289	36.07	0.0	42.3193	0.0	0.0	0.0	1228.26	119.682	0.0	78.1977	0.0	217.7335	0.0	0.0	1227.04084	158.5487	65.2852	42.0518	23.2334	113.7733	49.93253	0.0	20.5027	0.0	0.0	188.2645	214.5024	41.0811	41.0811	41.0811	41.0811	41.0811	41.0811	41.0811	117.2267
TSC011	0.0	0.0	32.8925	11.8314	93.9582	31.882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.5738	0.0	0.0	41.4299	107.1829	117.0158	0.0	0.0	96.0957	147.9365	9.32119	0.0	0.0	89.1531	21.22589	23.2003	0.0	0.0	0.0	0.0	0.0	0.0	127.155	9.02749	136.546	0.0	0.0	399.5535	147.989	0.0	0.0	19.2362	24.60163	16.0307	73.7519	0.0	0.0	0.0	0.0	0.0	23.8123	23.8123	23.8123	23.8123	23.8123	23.8123	23.8123	57.7557
TSC013	0.0	0.0	0.0	0.0	80.25919999999999	48.1265	7.59926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	597.5057999999999	0.0	0.0	51.6786	98.0673	121.2333	0.0	0.0	65.7023	30.3807	0.0	0.0	0.0	18.0368	16.0053	10.4082	0.0	0.0	0.0	0.0	17.4604	0.0	15.6541	52.4152	15.6541	0.0	10.0663	159.0726	198.7256	0.0	0.0	0.0	33.3234	0.0	44.6538	0.0	0.0	5.81059	108.8046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.7726
