	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	244.9677	0.0	651.4219	312.0324	20.2646	0.0	0.0	32.4278	0.0	0.0	0.0	0.0	1234.2469	0.0	0.0	91.4356	103.8694	79.0863	0.0	0.0	538.6218	319.8815	58.3387	67.9156	393.5274	351.4991	92.5372	39.4313	0.0	0.0	0.0	0.0	51.14189999999999	0.0	0.0	0.0	392.2977	0.0	23.8174	15.0404	227.7653	81.1405	61.1733	242.1484	508.3493	0.0	0.0	34.6315	0.0	9.86003	81.1354	62.3878	28.7092	0.0	0.0	137.277	0.0	0.0	0.0	0.0
TSC001	16.3001	23.4658	400.9561	16.3032	681.1954000000001	105.186	19.6761	0.0	0.0	155.8902	0.0	0.0	0.0	0.0	523.4607	0.0	0.0	108.08724	305.4796	0.0	0.0	0.0	134.5009	71.3535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7702	0.0	0.0	0.0	49.2758	0.0	100.8561	0.0	0.0	76.4691	87.4392	31.0063	31.0063	49.0343	263.8875	0.0	0.0	22.9841	0.0	19.4178	17.6513	141.9339	0.0	0.0	0.0	74.60069999999999	0.0	0.0	23.8033	126.3023
TSC002	0.0	0.0	28.2992	54.5318	20.7366	45.8273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.5527	0.0	0.0	0.0	47.5889	0.0	0.0	29.6893	20.0317	0.0	89.19789999999999	85.7958	80.7045	0.0	291.0972	74.5625	0.0	0.0	0.0	0.0	0.0	0.0	20.1133	0.0	102.0042	0.0	81.5256	10.8006	26.3444	15.1889	0.0	50.0243	845.7795	240.023	60.7586	0.0	0.0	0.0	41.1691	0.0	17.7125	17.7125	17.7125	52.2268	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	217.3371	341.68050000000005	0.0	0.0	0.0	485.371	0.0	0.0	0.0	0.0	778.7714000000001	0.0	0.0	119.5363	76.095	0.0	0.0	0.0	179.5897	85.40639999999999	23.7348	0.0	23.7348	13.4088	37.1436	73.0655	0.0	0.0	0.0	0.0	0.0	0.0	81.9306	0.0	82.5705	0.0	0.0	109.4129	117.9922	68.8963	68.8963	68.8963	428.1376	0.0	0.0	0.0	0.0	105.5118	10.2911	32.5656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.1883
TSC004	0.0	0.0	65.801	0.0	287.94192	61.4455	42.8085	0.0	0.0	160.4241	0.0	0.0	0.0	0.0	259.6897	0.0	0.0	33.27968	295.24249999999995	0.0	0.0	0.0	457.26451	48.7886	34.2655	246.9859	433.8366	146.42585	38.929460000000006	36.5876	0.0	0.0	0.0	0.0	19.9522	14.295	20.1372	0.0	321.939	0.0	0.0	29.8238	256.8718	8.28336	264.084	28.3589	998.5405	10.3725	17.6642	84.88419999999999	0.0	76.6992	124.3979	119.0878	20.3135	0.0	20.3135	198.1527	69.1744	69.1744	20.3135	33.8882
TSC005	0.0	293.935	44.6211	37.9535	243.0293	393.5511	0.0	0.0	0.0	526.934	0.0	0.0	0.0	0.0	1084.5708	0.0	0.0	203.1726	364.278	0.0	0.0	22.1399	358.86490000000003	225.3439	127.9881	0.0	88.8371	79.6445	206.974	44.2255	0.0	0.0	124.644	0.0	0.0	0.0	223.7729	0.0	166.7384	0.0	0.0	390.1187	469.2581	15.4195	15.4195	15.4195	304.931	0.0	0.0	0.0	0.0	32.5539	174.5452	99.1243	33.1865	33.1865	33.1865	33.1865	33.1865	33.1865	266.50350000000003	56.4359
TSC006	0.0	0.0	62.212	0.0	384.3901	84.6272	99.1435	0.0	0.0	288.3599	0.0	0.0	0.0	0.0	681.4964999999999	0.0	0.0	0.0	415.0527	0.0	0.0	0.0	90.2495	75.78710000000001	65.7698	25.7916	63.23463	114.3885	99.4555	27.8609	0.0	0.0	0.0	0.0	0.0	0.0	8.7931	0.0	279.8564	0.0	0.0	34.8696	1262.649	98.1273	18.6119	67.0144	121.29471	0.0	0.0	0.0	0.0	0.0	121.8501	108.8613	0.0	0.0	0.0	11.6507	0.0	0.0	0.0	35.9988
TSC008	0.0	0.0	239.4411	0.0	219.62100000000004	88.47449999999999	42.0518	0.0	0.0	360.2975	0.0	0.0	0.0	0.0	391.6645899999999	0.0	0.0	15.9113	286.4243	79.5943	0.0	0.0	45.3567	232.14243	42.0791	0.0	0.0	123.6223	93.1086	17.734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.9171000000001	0.0	0.0	136.2003	50.3393	147.805	33.734	69.2461	356.7434	0.0	12.1687	20.5027	0.0	65.6347	199.665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.7378
TSC011	0.0	79.1336	120.7077	0.0	71.68469999999999	79.6905	15.9816	0.0	0.0	84.4626	0.0	0.0	0.0	0.0	143.9184	0.0	0.0	56.529900000000005	173.97840000000002	0.0	0.0	0.0	64.48410000000001	113.2754	0.0	17.3266	0.0	0.0	0.0	14.8723	0.0	0.0	0.0	30.1718	0.0	0.0	104.0062	0.0	0.0	0.0	0.0	33.3847	118.8523	0.0	21.3113	59.6033	65.2838	0.0	0.0	0.0	0.0	0.0	17.1839	33.0269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	101.9865	137.2162	0.0	0.0	0.0	191.4554	0.0	0.0	0.0	0.0	248.211	0.0	0.0	0.0	85.21170000000001	0.0	0.0	0.0	113.6313	156.0952	20.9792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5413	0.0	204.2025	0.0	10.0663	31.662	87.6246	0.0	0.0	16.4548	102.2653	0.0	0.0	33.551	0.0	41.6172	0.0	59.9411	16.3142	16.3142	16.3142	16.3142	0.0	0.0	35.9756	0.0
