	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	510.4653	0.0	212.636	91.0792	0.0	0.0	0.0	115.7898	0.0	0.0	0.0	0.0	31.428400000000003	0.0	0.0	36.3403	156.77	210.3661	0.0	25.2868	15.6378	336.1785	0.0	0.0	0.0	21.2715	36.2705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.896	0.0	28.9375	0.0	0.0	0.0	0.0	157.5033	0.0	0.0	0.0	22.1333	0.0	9.86003	71.2877	0.0	28.7092	0.0	0.0	28.7092	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	19.8208	174.9786	27.313	0.0	0.0	0.0	59.5209	0.0	0.0	0.0	0.0	215.0298	0.0	0.0	0.0	95.2941	0.0	0.0	39.8638	11.2926	0.0	0.0	0.0	0.0	35.1993	61.1404	0.0	0.0	0.0	0.0	0.0	104.6349	0.0	29.4604	0.0	0.0	0.0	0.0	0.0	31.8872	13.4179	13.4179	13.4179	0.0	0.0	0.0	0.0	0.0	34.7547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.8331
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8933	0.0	0.0	0.0	26.0778	59.9943	0.0	0.0	0.0	46.1131	0.0	0.0	0.0	0.0	39.9712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.1168	0.0	0.0	0.0	0.0
TSC003	32.3413	0.0	417.75	0.0	79.4118	0.0	0.0	0.0	0.0	146.344	0.0	0.0	0.0	0.0	59.741600000000005	0.0	0.0	72.6447	33.7613	96.7172	0.0	0.0	0.0	81.2307	0.0	0.0	0.0	0.0	77.8914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.4851	0.0	10.2494	34.4364	0.0	32.5743	0.0	92.4044	0.0	0.0	0.0	0.0	0.0	28.8393	0.0	0.0	273.926	273.926	0.0	0.0	0.0	0.0	0.0	47.4353
TSC004	0.0	0.0	215.6029	57.6208	58.7051	0.0	0.0	0.0	0.0	30.8713	0.0	0.0	0.0	0.0	79.94844	0.0	0.0	0.0	42.9796	67.7983	0.0	0.0	0.0	0.0	20.8102	0.0	0.0	131.6252	20.8102	0.0	0.0	0.0	51.351	0.0	222.451	0.0	70.3284	0.0	188.90249999999995	0.0	122.528	0.0	105.936	24.7731	24.7731	76.74199999999999	30.3851	0.0	0.0	50.63776	0.0	111.517	0.0	0.0	156.035	0.0	0.0	147.432	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	29.7874	12.2338	0.0	0.0	0.0	0.0	119.148	0.0	0.0	0.0	0.0	86.04614	0.0	0.0	22.9039	285.53010000000006	104.5352	0.0	0.0	0.0	386.3227	15.2904	0.0	0.0	36.3723	40.3469	30.9179	0.0	0.0	0.0	0.0	180.211	0.0	0.0	0.0	140.0729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.9265	432.8434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.7534
TSC006	0.0	0.0	0.0	62.1365	75.6645	48.0469	0.0	0.0	0.0	101.44	0.0	0.0	0.0	0.0	85.9903	0.0	0.0	35.103	36.3063	105.532	0.0	27.86489	9.2618	0.0	0.0	0.0	0.0	52.1298	174.0799	27.64342	0.0	0.0	0.0	0.0	32.0027	0.0	17.8181	0.0	0.0	83.19899999999998	0.0	0.0	51.5222	0.0	0.0	21.7539	43.1617	0.0	0.0	0.0	0.0	0.0	28.0795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	51.6156	201.6618	40.3321	27.7865	0.0	0.0	445.8229	0.0	0.0	0.0	0.0	58.75515	0.0	0.0	23.2306	0.0	0.0	0.0	16.0726	0.0	23.6466	21.7143	0.0	0.0	44.7933	138.6156	18.0435	0.0	0.0	0.0	0.0	26.8221	16.5856	0.0	0.0	0.0	49.6627	0.0	0.0	28.0982	0.0	92.0013	92.0013	66.70400000000001	0.0	0.0	0.0	0.0	58.3597	33.7631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	83.695	0.0	7.7093	0.0	0.0	0.0	0.0	23.4215	0.0	0.0	0.0	0.0	52.1933	0.0	0.0	23.5728	0.0	117.0158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.5494	26.1886	0.0	0.0	0.0	0.0	0.0	134.339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	120.176	0.0	46.8481	46.8481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.1516	0.0	0.0	98.2085	0.0	98.3967	0.0	0.0	9.26708	34.603	0.0	0.0	0.0	0.0	25.8485	0.0	0.0	0.0	0.0	0.0	219.173	0.0	0.0	0.0	0.0	0.0	0.0	34.274	34.274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0829	99.3058	0.0	79.3352	0.0	0.0	0.0	0.0	0.0	0.0	0.0
