	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	455.972	0.0	908.0867	304.729	0.0	0.0	0.0	911.9811	0.0	0.0	0.0	0.0	259.1316	0.0	0.0	559.4511	213.5833	474.29351999999994	0.0	67.8802	638.3465600000001	333.93850000000003	154.0624	204.9877	113.389	240.0379	23.1275	57.665	0.0	0.0	0.0	0.0	93.8384	0.0	207.7132	0.0	774.504	0.0	26.9421	400.5041000000001	320.26348	23.948	0.0	256.1495	963.4357	0.0	36.9882	0.0	13.1036	75.43090000000001	245.501	73.4375	0.0	0.0	0.0	127.3426	0.0	0.0	0.0	151.6028
TSC001	16.3001	0.0	594.3962	36.7979	744.6078	295.49809999999997	388.6563	0.0	168.576	1331.1016	0.0	0.0	0.0	0.0	479.3146	0.0	0.0	288.2373	687.2198000000001	465.8062	0.0	1703.3155	361.88430000000005	101.4673	0.0	46.0781	23.177	18.687	0.0	8.63123	0.0	0.0	0.0	0.0	54.4694	0.0	365.178	0.0	256.57623	0.0	18.048499999999997	751.7062999999999	1832.7602	159.5317	130.1996	299.7423	758.4162	0.0	0.0	0.0	0.0	25.54572	23.6109	269.4152	0.0	0.0	0.0	24.4786	0.0	0.0	0.0	282.4859
TSC002	0.0	0.0	28.2992	0.0	164.2898	41.1668	0.0	0.0	87.2182	174.799	0.0	0.0	0.0	0.0	65.5983	0.0	0.0	27.6293	104.6892	26.0778	0.0	0.0	108.3259	21.2909	20.9268	0.0	20.9268	32.6871	20.9268	15.8141	0.0	0.0	0.0	0.0	0.0	0.0	35.5002	13.0224	121.5958	0.0	0.0	22.9852	25.0883	13.5811	0.0	236.5758	622.4014	0.0	0.0	23.1253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	190.8504	184.7578	0.0	0.0	0.0	562.8514	0.0	0.0	0.0	0.0	174.3253	0.0	0.0	94.61939	260.848	405.5601	277.042	17.6845	14.776	22.3843	58.2923	38.1923	0.0	0.0	61.1043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0218	33.22	243.6375	0.0	0.0	337.7165	81.4086	0.0	0.0	618.5955	36.2249	7.44158	52.5924	0.0	0.0	150.3482	0.0	142.6085	0.0	0.0	0.0	66.6839	0.0	0.0	0.0	215.5115
TSC004	0.0	0.0	237.7702	0.0	538.2117000000001	349.46950000000004	0.0	0.0	0.0	1100.4183	0.0	0.0	0.0	0.0	646.2436	0.0	0.0	153.59058	378.8942	187.8858	196.41	125.9739	540.1116999999999	379.2348	170.9133	20.878	0.0	320.61064999999996	200.3492	24.3581	0.0	0.0	0.0	0.0	112.731	0.0	612.5793	10.8247	980.8404	18.0234	0.0	512.0179	417.9648	102.0281	102.0281	436.0091	291.9846	25.1121	0.0	33.335899999999995	0.0	44.6711	102.342	205.9007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	122.9193	19.7204	1042.4112	524.1259	0.0	0.0	60.2941	411.0861	0.0	0.0	0.0	0.0	304.37598999999994	0.0	0.0	504.7037	184.0353	242.2273	0.0	37.54387	23.5946	93.7497	176.3577	138.5809	0.0	42.9396	183.3832	64.0001	0.0	0.0	0.0	0.0	74.2732	0.0	571.6958999999999	373.481	862.7606	13.3156	32.1684	969.1545	160.40179999999998	32.5272	32.5272	819.6157000000001	179.2729	0.0	48.2401	0.0	0.0	161.4688	156.2254	527.0876000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.4988
TSC006	0.0	0.0	943.51	0.0	867.19286	468.7636	0.0	0.0	11.9659	957.0102	0.0	0.0	0.0	0.0	597.82517	0.0	0.0	185.6111	432.1085999999999	184.6611	0.0	593.2331	68.3717	78.1807	128.1337	109.6678	25.7916	335.3338	0.0	208.4403	0.0	0.0	0.0	1377.74	125.2978	0.0	151.2912	61.8463	346.0106	0.0	21.2806	825.8348000000001	1280.337	0.0	0.0	350.8999	162.487	0.0	0.0	0.0	0.0	26.568399999999997	43.7809	169.7201	0.0	0.0	0.0	21.5071	448.427	0.0	0.0	43.3964
TSC008	0.0	0.0	430.43590000000006	21.5127	916.9057	456.2462	78.4553	0.0	0.0	1509.1427999999996	0.0	0.0	0.0	0.0	329.6209	0.0	0.0	172.31941	392.9645	243.311	0.0	748.4302	291.1452	109.2539	120.499	208.624	82.6778	198.12559	0.0	214.2241	0.0	0.0	0.0	0.0	100.0183	0.0	95.8995	66.2218	244.7939	0.0	0.0	884.094	1545.6653	23.2334	0.0	453.2621	242.1034	0.0	0.0	0.0	0.0	59.0133	62.8432	187.6433	206.42	206.42	206.42	25.7544	0.0	0.0	0.0	27.1852
TSC011	0.0	0.0	214.7299	0.0	162.0859	61.8588	0.0	0.0	0.0	77.3074	0.0	0.0	0.0	0.0	32.772999999999996	0.0	0.0	46.912099999999995	150.9367	108.0356	141.713	98.314	15.2292	0.0	0.0	61.2707	61.2707	119.9805	0.0	21.2268	0.0	0.0	0.0	0.0	0.0	13.5442	13.0939	214.116	8.63684	0.0	0.0	530.7176999999999	118.8523	238.693	0.0	278.59970000000004	31.15875	0.0	0.0	0.0	0.0	34.8054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1479
TSC013	0.0	0.0	32.9109	0.0	604.58187	33.4972	0.0	0.0	0.0	474.6085	0.0	0.0	0.0	0.0	18.4643	0.0	0.0	0.0	159.55429999999998	50.9572	0.0	69.4168	0.0	34.603	0.0	0.0	0.0	27.6218	0.0	0.0	0.0	0.0	0.0	0.0	17.4604	0.0	293.019	0.0	103.5974	0.0	0.0	383.7295	87.6246	235.579	235.579	265.2957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.1449	0.0	0.0	0.0	0.0
TSC014	0.0	0.0	220.7545	0.0	476.07124	293.0627	99.3334	0.0	0.0	447.9547	0.0	0.0	0.0	0.0	358.01590000000004	0.0	0.0	112.028	424.5166	73.395	0.0	33.1183	231.2501	105.2095	98.4959	60.0808	102.558	108.8373	75.5066	42.764399999999995	0.0	0.0	0.0	0.0	433.4182	15.9786	310.97950000000003	225.171	109.35129	0.0	0.0	804.4067	756.1822	0.0	0.0	254.4416	243.14310000000003	0.0	0.0	54.3522	0.0	27.0864	16.6375	8.43427	31.2123	31.2123	31.2123	173.1903	51.1622	31.2123	31.2123	98.5605
