	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	21.5842	0.0	22.0099	0.0	0.0	0.0	0.0	64.4082	0.0	0.0	0.0	0.0	27.9304	0.0	0.0	0.0	22.0579	36.0851	0.0	0.0	0.0	0.0	95.9013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.1096	0.0	56.5496	0.0	0.0	0.0	9.93798	0.0	0.0	0.0	15.8134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.97	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.9242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3541	35.2272	71.1586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.687	0.0	0.0	0.0	0.0	15.7702	0.0	0.0	22.1975	61.8249	0.0	18.5806	0.0	0.0	0.0	18.3581	39.6357	39.6357	39.6357	63.6772	0.0	0.0	0.0	0.0	24.0851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	72.2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5437	0.0	0.0	0.0	0.0	0.0	0.0	27.7459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5167	0.0	0.0	0.0	0.0	0.0	51.5655	0.0	0.0	0.0	0.0	49.1764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	38.9036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.03946	0.0	0.0	0.0	0.0	175.798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.1695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.7346	20.8433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	58.9566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230.519	0.0	0.0	22.9039	20.6533	91.1888	0.0	0.0	8.68056	0.0	0.0	0.0	0.0	0.0	0.0	106.757	0.0	0.0	124.644	0.0	0.0	0.0	37.6211	0.0	0.0	0.0	0.0	61.2168	40.7271	122.996	122.996	0.0	60.5873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	14.6512	0.0	21.7303	0.0	0.0	0.0	0.0	106.7394	0.0	0.0	0.0	0.0	76.4206	0.0	0.0	0.0	0.0	22.2252	0.0	0.0	91.2386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.7794	0.0	22.2576	0.0	0.0	0.0	0.0	38.9452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	39.8037	0.0	0.0	0.0	0.0	129.7876	0.0	0.0	0.0	0.0	59.8356	0.0	0.0	0.0	0.0	54.051	0.0	0.0	83.5947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.7953	0.0	78.9634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	11.2315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.4287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.1812	0.0	28.22618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5442	56.7808	0.0	17.6923	0.0	0.0	9.57925	0.0	0.0	0.0	0.0	39.1807	0.0	22.8541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	71.31790000000001	39.8025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.2591	0.0	0.0	0.0	71.446	0.0	0.0	0.0	10.7432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.3116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
