	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	65.0285	43.0186	0.0	0.0	0.0	99.825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.7409	0.0	0.0	107.355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.24365	0.0	0.0	0.0	87.0135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.6264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	386.812	0.0	27.3851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.908	33.981	33.981	33.981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.46154	21.0263	0.0	0.0	0.0	0.0	70.41	0.0	0.0	19.0589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	63.3183	112.8291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.8837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.7296	58.7296	58.7296	0.0	240.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	86.3102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.8193	0.0	0.0	0.0	237.131	20.1	0.0	0.0	49.8113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.2494	0.0	0.0	0.0	0.0	0.0	18.1861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.119
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.674	0.0	0.0	0.0	0.0	60.0335	0.0	0.0	0.0	74.7369	0.0	0.0	0.0	0.0	188.271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.826	0.0	0.0	0.0	16.7547	0.0	0.0	0.0	254.3484	10.3725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	18.9479	0.0	0.0	189.772	0.0	0.0	0.0	54.3662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.9495	138.493	103.9368	0.0	0.0	0.0	234.3124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.6826	0.0	24.6826	0.0	0.0	64.7391	0.0	0.0	0.0	0.0	84.4528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6578	10.6578	0.0	107.55938
TSC006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1173	0.0	0.0	0.0	269.75870000000003	22.0862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0656	0.0	0.0	0.0	0.0	0.0	0.0	17.8181	0.0	174.622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9969	0.0	0.0	0.0	0.0	0.0	0.0	13.782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	150.216	0.0	0.0	17.7033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.855	28.6901	0.0	0.0	0.0	188.1638	39.5454	0.0	0.0	0.0	20.9589	8.76567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.8726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.6589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	114.6735	85.6834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.5824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.3121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.48109	0.0	0.0	0.0	50.8416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC014	0.0	0.0	0.0	0.0	26.2043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3757	0.0	0.0	0.0	28.6527	0.0	0.0	0.0	0.0	38.6178	0.0	0.0	0.0	25.2939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6709	0.0	0.0	0.0	0.0	0.0	83.4841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	127.31358	18.4995	0.0	0.0	0.0	44.2174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.2212	0.0	0.0	0.0	0.0	104.942	226.3559	57.6369	57.6369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.6312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.334
TSC018	0.0	0.0	0.0	0.0	0.0	58.5081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.2017	0.0	0.0	20.5954	24.9605	0.0	45.4563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.7484	52.2426	0.0	0.0	7.45432	90.5648	0.0	0.0	33.0715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC020	0.0	0.0	74.7212	0.0	61.324200000000005	126.6376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3685	0.0	0.0	0.0	137.23	0.0	0.0	0.0	0.0	55.895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.019	0.0	0.0	0.0	32.8341	36.593	0.0	18.4593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC021	0.0	0.0	42.2829	0.0	0.0	118.5065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.6011	0.0	0.0	84.9383	0.0	0.0	0.0	0.0	32.6356	0.0	0.0	0.0	0.0	0.0	0.0	35.7423	0.0	0.0	0.0	76.5312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.9371	0.0	0.0	0.0	0.0	37.6301	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	117.839	0.0	45.849	23.3019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.8567	0.0	0.0	60.9242	0.0	0.0	0.0	41.7261	196.4594	0.0	405.4614	0.0	0.0	0.0	26.8617	0.0	0.0	0.0	0.0	0.0	69.6586	0.0	0.0	0.0	0.0	40.0418	0.0	0.0	0.0	30.7621	0.0	33.5073	93.2904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC025	0.0	0.0	352.6499	0.0	0.0	23.5452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.3059	0.0	0.0	87.1705	0.0	0.0	0.0	0.0	93.57281	0.0	85.9017	0.0	0.0	0.0	0.0	37.1114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.1004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8026	25.8026	25.8026	25.8026	0.0	0.0	0.0	0.0
TSC027	0.0	0.0	68.1944	0.0	0.0	14.9337	0.0	0.0	0.0	46.5652	0.0	0.0	0.0	0.0	235.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.7342	177.347	37.7453	37.7453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC028	0.0	0.0	125.9358	0.0	0.0	12.8785	0.0	0.0	0.0	39.4901	0.0	0.0	0.0	0.0	35.5269	0.0	0.0	0.0	117.493	0.0	0.0	0.0	115.2353	37.3643	332.37309999999997	0.0	12.5662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.9206	0.0	0.0	0.0	0.0	24.9123	0.0	0.0	0.0	22.1039	22.1039	22.1039	22.1039	0.0	0.0	27.1676	0.0	24.3556	111.871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC031	0.0	0.0	67.2784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	357.611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.5207	56.6514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.2882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC033	0.0	0.0	25.0199	0.0	0.0	24.1324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.4899	0.0	0.0	0.0	260.6198	0.0	0.0	0.0	24.9366	23.0766	102.9082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.9509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6111	0.0	0.0	0.0	125.694	0.0	0.0	0.0	0.0
