	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	58.4825	232.9865	0.0	0.0	133.805	0.0	0.0	0.0	0.0	0.0	55.9802	0.0	0.0	65.4238	129.367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.1848	0.0	35.1689	0.0	0.0	95.7334	0.0	0.0	44.5425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	27.35	53.029700000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4348	0.0	40.2684	0.0	0.0	33.619	0.0	0.0	0.0	0.0	0.0	146.889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.8863	24.4685	0.0	0.0	0.0	0.0	0.0	0.0	47.706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.887	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	80.5418	0.0	0.0	0.0	14.9899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.686	0.0	0.0	18.4916	0.0	0.0	63.3485	63.3485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.9985	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	18.6423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.9432	62.3734	0.0	0.0	0.0	0.0	25.1094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	385.577	0.0	0.0	19.2676	0.0	0.0	0.0	0.0	108.425	0.0	0.0	0.0	0.0	0.0	0.0	25.1655
TSC004	0.0	0.0	0.0	0.0	135.908	247.30399999999997	0.0	0.0	59.2045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.1953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.62529999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.6947	0.0	0.0	0.0	0.0	73.8486	0.0	0.0	74.4674	0.0	10.8427	123.7201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	100.9431	130.6669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.4036	0.0	0.0	0.0	0.0	103.034	40.9058	0.0	15.5235	0.0	18.6511	0.0	0.0	0.0	0.0	0.0	30.9581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.555	0.0	0.0	0.0	0.0	22.7018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	15.161	0.0	175.19099999999997	127.7026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.2353	0.0	0.0	0.0	0.0	21.1479	0.0	0.0	0.0	0.0	18.7204	0.0	10.4923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.5272	36.4809	0.0	0.0	0.0	0.0	69.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.687	0.0	49.297	49.297	0.0
TSC008	0.0	0.0	0.0	0.0	61.3477	61.3477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0017	0.0	0.0	0.0	0.0	14.5533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.5121	0.0	27.6098	21.8452	0.0	0.0	0.0	0.0	69.529	0.0	0.0	59.3328	0.0	0.0	0.0	0.0	202.427	0.0	44.4339	44.4339	0.0
TSC011	0.0	0.0	0.0	0.0	186.1659	124.6674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.81451	0.0	0.0	35.432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	54.6247	54.6247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.959	22.8366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.5795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.959	0.0	0.0	51.501	0.0	0.0	0.0	0.0	29.2248	0.0	0.0	0.0	0.0
TSC014	0.0	0.0	33.8718	0.0	44.96979	58.65220000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.3193	0.0	0.0	0.0	29.8563	0.0	0.0	0.0	0.0	0.0	39.2633	39.2633	39.2633	82.5556	39.3162	0.0	0.0	0.0	0.0	77.9466	0.0	0.0	0.0	0.0	18.8365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8365	0.0	0.0	79.8333	0.0	0.0	0.0	8.43427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	99.0293	30.2362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.7728	0.0	0.0	0.0	0.0	113.5851	0.0	0.0	0.0	0.0	16.7763	16.7763	16.7763	0.0	0.0	0.0	29.2843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.6281	0.0	0.0	54.1011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.7874	0.0	0.0	0.0	0.0	159.68	0.0	0.0	0.0	0.0
TSC018	0.0	0.0	59.071000000000005	0.0	72.0526	72.0526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5543	15.5543	15.5543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.7347	9.28589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.7471	0.0	0.0	0.0	0.0	126.593	0.0	44.0253	44.0253	0.0
TSC020	0.0	0.0	0.0	0.0	43.6284	28.868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1475	76.8356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.218	0.0	0.0	0.0	0.0	0.0	353.487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.38736	240.98826	233.688	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	0.0	0.0	98.6571	126.9148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.496	102.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.34	65.4307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.862	0.0	56.862	0.0	0.0	30.3904	0.0	0.0	0.0	29.1733	36.8345	0.0	0.0	237.229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC025	0.0	0.0	0.0	0.0	36.0833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.5653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.7963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC027	0.0	0.0	0.0	0.0	17.6845	95.7221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.633	0.0	0.0	16.2624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC028	0.0	0.0	0.0	0.0	33.0774	122.1611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.358	0.0	0.0	0.0	12.5378	0.0	0.0	0.0	0.0	22.5783	32.1456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.9986	0.0	0.0	0.0	22.6725	0.0	0.0	41.727	0.0	41.727	0.0	0.0	0.0	71.3033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.2169	0.0	0.0	38.5472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC033	0.0	0.0	42.045	0.0	137.7921	119.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.7207	0.0	0.0	0.0	26.3668	89.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.3087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5919	0.0	0.0	16.7821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC036	0.0	0.0	0.0	0.0	115.6286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.3505	0.0	0.0	0.0	67.9532	19.5921	0.0	0.0	30.9706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC039	0.0	0.0	0.0	0.0	117.5281	69.3995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.6886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC040	0.0	0.0	0.0	0.0	55.3391	285.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.8081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC043	0.0	0.0	0.0	0.0	81.3551	81.3551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.76306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC045	0.0	0.0	0.0	0.0	54.2131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.3729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.131	0.0	0.0	0.0	0.0	0.0	0.0	32.0639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC047	0.0	0.0	0.0	0.0	0.0	104.577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.3501	33.7252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.9151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC050	0.0	0.0	0.0	0.0	104.894	104.894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.3746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.9911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC056	0.0	0.0	0.0	0.0	72.5465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.429	0.0	25.3522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.4823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.8915	0.0	0.0	0.0	0.0
