	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	136.0121	0.0	0.0	0.0	0.0	93.5637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0534	189.2916	0.0	22.218	45.7418	0.0	0.0	0.0	10.3245	0.0	35.3326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.7549	29.7459	54.8554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.3014	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	66.98519999999999	0.0	233.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.7378	0.0	0.0	13.4348	0.0	0.0	0.0	0.0	0.0	0.0	77.41749999999999	0.0	17.0212	0.0	89.0978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.7726	0.0	0.0	47.2602	56.90015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9729	0.0	0.0	0.0	11.2242
TSC002	0.0	0.0	0.0	0.0	150.1972	64.8923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1389	0.0	0.0	0.0	26.5064	33.9165	0.0	52.4581	0.0	0.0	0.0	0.0	0.0	47.0704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.7296	58.7296	58.7296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8484
TSC003	0.0	0.0	41.0474	0.0	143.627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.1975	0.0	0.0	0.0	0.0	96.7172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.4143	0.0	0.0	0.0	0.0	0.0	0.0	45.9466	52.4369	0.0	0.0	0.0	0.0	51.5655	0.0	0.0	22.9543	924.972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	125.643	0.0	114.197	0.0	0.0	0.0	0.0	15.8304	0.0	0.0	0.0	0.0	49.3875	0.0	0.0	0.0	51.2278	149.9251	0.0	0.0	60.2685	47.3737	26.336	0.0	0.0	0.0	22.8926	0.0	0.0	0.0	0.0	0.0	222.451	0.0	0.0	0.0	0.0	0.0	0.0	138.487	138.487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	58.4524	0.0	107.578	0.0	0.0	0.0	0.0	464.76	0.0	0.0	0.0	0.0	61.6534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.982	44.0066	0.0	83.4822	83.4822	99.982	19.3199	0.0	0.0	0.0	0.0	0.0	70.0694	125.441	29.2483	0.0	59.2126	0.0	0.0	145.388	170.0706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.91176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	338.166	0.0	95.8189	95.8189	0.0	0.0	0.0	72.9387	0.0	0.0	0.0	0.0	30.56652	0.0	0.0	0.0	32.2225	32.2225	0.0	0.0	68.3717	0.0	53.3262	0.0	18.6165	0.0	0.0	17.6009	0.0	0.0	0.0	0.0	54.038	0.0	0.0	0.0	52.3272	15.8336	0.0	225.683	265.6391	32.5272	0.0	46.0478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.297	49.297	0.0
TSC008	0.0	0.0	0.0	0.0	74.218	29.0669	0.0	0.0	0.0	61.6021	0.0	0.0	0.0	0.0	48.3958	0.0	0.0	0.0	200.43482	33.7002	0.0	0.0	158.97082	0.0	113.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5842	0.0	0.0	0.0	42.2612	0.0	0.0	317.06	301.0694	27.6098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.4339	44.4339	0.0
TSC011	0.0	0.0	0.0	0.0	15.092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4763	71.4896	0.0	0.0	0.0	24.2353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.13485	51.0216	0.0	0.0	18.6106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	69.8043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.7756	16.264	0.0	0.0	0.0	0.0	0.0	0.0	45.1493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC014	0.0	0.0	268.9563	0.0	66.72409999999999	25.0063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.2143	0.0	0.0	0.0	73.4776	159.1777	0.0	0.0	120.0098	16.2286	0.0	0.0	16.2286	16.2286	0.0	0.0	0.0	0.0	27.6283	0.0	156.9102	0.0	0.0	0.0	14.839	0.0	0.0	217.794	217.794	0.0	0.0	0.0	11.9974	50.0835	0.0	15.4644	0.0	16.9959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	0.0	0.0	0.0	0.0	205.0366	48.6756	0.0	0.0	0.0	123.886	0.0	0.0	0.0	0.0	11.2314	0.0	0.0	103.795	110.943	0.0	0.0	0.0	0.0	0.0	0.0	97.2486	97.2486	191.2115	48.2615	47.1757	0.0	66.0471	0.0	0.0	200.1342	0.0	0.0	0.0	66.3049	0.0	0.0	0.0	117.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.889	120.889	0.0
TSC018	0.0	0.0	172.17700000000002	0.0	166.5517	54.148799999999994	0.0	0.0	0.0	29.0678	0.0	0.0	0.0	0.0	53.65391	0.0	0.0	20.0921	189.3291	0.0	0.0	0.0	21.2231	19.9955	163.5605	77.0719	27.2534	0.0	30.661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.3709	0.0	0.0	0.0	53.6734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5773	0.0	20.1655	0.0	0.0	0.0	12.6565	0.0	44.0253	44.0253	0.0
TSC020	0.0	0.0	359.776	0.0	75.8204	151.253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.30396	0.0	14.537	78.1371	78.1371	0.0	24.4648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.894	0.0	0.0	50.8797	212.7627	0.0	68.5063	0.0	0.0	0.0	0.0	0.0	19.6496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.683	52.683	0.0
TSC021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.8677	0.0	0.0	0.0	0.0	49.8105	0.0	0.0	26.1983	0.0	0.0	0.0	0.0	94.4304	0.0	0.0	0.0	0.0	0.0	0.0	7.63795	0.0	0.0	0.0	0.0	0.0	0.0	128.0722	0.0	0.0	0.0	0.0	0.0	14.4806	91.5821	73.5238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	0.0	0.0	0.0	34.3182	0.0	0.0	0.0	29.1261	0.0	0.0	0.0	0.0	58.893	0.0	0.0	28.5726	53.6681	0.0	0.0	0.0	80.1341	0.0	80.1341	0.0	33.3442	0.0	145.5648	0.0	0.0	0.0	0.0	0.0	43.1426	26.7739	0.0	0.0	52.0545	0.0	0.0	0.0	26.0732	108.172	29.7746	0.0	103.7459	0.0	0.0	0.0	0.0	16.9807	0.0	0.0	0.0	30.1652	0.0	0.0	0.0	30.1652	0.0	0.0
TSC025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.2962	0.0	0.0	9.2483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51038	0.0	0.0	0.0	0.0	0.0	0.0	83.0077	0.0	0.0	0.0	0.0	0.0	114.8099	26.0289	26.0289	0.0	10.1841	0.0	0.0	29.4732	0.0	0.0	0.0	23.2606	0.0	0.0	0.0	0.0	22.5546	0.0	0.0	0.0
