	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	89.5538	37.8633	166.9564	0.0	0.0	0.0	0.0	211.236	0.0	0.0	0.0	0.0	52.3787	0.0	0.0	47.5737	300.0512	46.2538	0.0	0.0	193.8178	0.0	0.0	0.0	29.2399	114.6601	119.9309	60.2635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.5635	94.1121	0.0	47.3387	0.0	0.0	49.2019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	941.6273	34.387	82.91220000000001	26.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.1322	0.0	0.0	141.67	303.7635	0.0	0.0	112.309	25.4179	29.0368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.7726	0.0	0.0	15.8863	121.456	0.0	0.0	0.0	0.0	0.0	59.8677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	43.9451	0.0	0.0	0.0	0.0	0.0	174.799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.9792	43.5792	0.0	0.0	14.9684	0.0	0.0	0.0	22.0458	0.0	0.0	112.8405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.9566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	36.1387	0.0	24.7916	24.7916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8068	0.0	0.0	0.0	435.0762	0.0	0.0	0.0	177.7834	0.0	20.1	0.0	0.0	49.8113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.8532	0.0	0.0	0.0	49.1764	0.0	0.0	24.6903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	135.6721	23.5558	53.831	35.1735	11.5825	0.0	0.0	157.5566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.1794	469.2062000000001	14.4311	0.0	547.356	0.0	0.0	0.0	0.0	43.298	157.7068	0.0	51.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0234	0.0	23.6302	0.0	0.0	0.0	0.0	227.9878	0.0	0.0	19.9898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	518.7422	20.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0858	58.9971	18.8109	0.0	0.0	162.1158	0.0	79.4854	147.6772	147.6772	98.0261	47.611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.189	14.2358	0.0	0.0	0.0	305.7997	287.014	0.0	303.0149	60.5873	0.0	0.0	70.645	0.0	31.9244	80.4926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	84.7239	25.1857	20.1402	0.0	39.8583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.5303	651.7094999999999	22.3374	0.0	0.0	14.011	0.0	0.0	23.21033	16.563560000000003	0.0	0.0	57.138000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.99170000000001	45.7751	0.0	0.0	28.9446	22.4405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	558.152	25.999	39.2051	0.0	41.7935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0469	809.9961000000002	0.0	0.0	0.0	0.0	0.0	0.0	125.8353	101.658	0.0	0.0	28.9782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.8065	0.0	0.0	35.5121	0.0	0.0	0.0	31.1334	0.0	0.0	14.8995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	52.5035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.2482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	329.819	0.0	15.6155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.70723	0.0	24.5431	0.0	0.0	34.8054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	14.0946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.9519	29.3608	0.0	0.0	65.7023	0.0	0.0	0.0	0.0	18.0368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.5795	0.0	17.1244	0.0	17.1244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
