	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	189.9682	160.3831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.328	0.0	0.0	0.0	151.4246	41.534	0.0	22.218	110.4027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	11.0735	0.0	17.4483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2145.0732000000003	0.0	0.0	0.0	380.3146	0.0	0.0	0.0	0.0	175.321	0.0	0.0	0.0	0.0	0.0	10.0223	0.0	28.9147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	419.5549	0.0	0.0	0.0	27.0491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.3804	0.0	0.0	28.8518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.3338	0.0	0.0	20.252	229.689	34.5829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.38504	0.0	0.0	117.458	57.2771	22.6517	0.0	0.0	26.6485	429.537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0398	0.0	0.0	0.0	0.0	0.0	0.0	29.9894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9649	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	48.1179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.8041	0.0	0.0	0.0	0.0	80.48769999999999	0.0	0.0	0.0	23.338	0.0	0.0	0.0	64.4424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0846	0.0	0.0	15.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	71.6057	0.0	0.0	0.0	0.0	76.7019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.8632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9026	0.0	0.0	0.0	25.6484	0.0	0.0	0.0	13.7621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	56.152	0.0	0.0	0.0	0.0	26.4658	0.0	0.0	0.0	0.0	32.2422	0.0	0.0	0.0	89.3784	0.0	0.0	0.0	0.0	11.6557	19.7291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.8943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.5042	0.0	0.0	0.0	97.0817	0.0	0.0	0.0	203.839	0.0	0.0	0.0	0.0	46.2367	92.4734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.7692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.71979999999999	0.0	0.0	21.8328	38.0733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.6728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
