	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	29.6415	0.0	183.6225	0.0	17.5985	0.0	70.8139	0.0	0.0	0.0	0.0	0.0	291.408	0.0	0.0	13.3376	86.0166	174.08159999999998	0.0	0.0	375.0232	0.0	104.6435	77.4562	97.6422	162.5102	91.2505	0.0	0.0	0.0	0.0	0.0	18.7212	0.0	0.0	0.0	0.0	0.0	24.899	0.0	72.7249	23.948	15.1819	43.4204	77.5957	0.0	0.0	20.893	0.0	0.0	0.0	115.6737	0.0	0.0	0.0	46.7055	0.0	0.0	0.0	0.0
TSC001	15.8687	0.0	46.8326	0.0	237.0911	0.0	25.5612	0.0	116.708	0.0	0.0	0.0	0.0	0.0	588.9212	0.0	0.0	141.67	45.2363	12.8637	0.0	0.0	74.8079	237.133	28.11918	0.0	28.11918	0.0	152.867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.075	43.3514	19.2443	0.0	0.0	0.0	50.0129	109.075	109.075	138.4071	0.0	0.0	0.0	0.0	0.0	0.0	36.0458	52.578100000000006	0.0	0.0	0.0	15.4824	0.0	0.0	0.0	35.6354
TSC002	0.0	0.0	0.0	0.0	26.0644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7847	0.0	0.0	0.0	111.2891	0.0	0.0	0.0	50.9843	0.0	58.49209999999999	34.6554	40.8694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.1993	60.2743	0.0	0.0	0.0	31.7315	311.3986	0.0	0.0	0.0	53.0058	0.0	0.0	0.0	0.0	0.0	70.1168	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	41.1749	0.0	0.0	0.0	61.4689	0.0	0.0	0.0	0.0	0.0	160.721	0.0	0.0	0.0	1039.1332	0.0	0.0	0.0	180.3127	22.3843	0.0	0.0	0.0	28.8737	0.0	21.472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.1359	0.0	0.0	0.0	0.0	32.494	0.0	0.0	23.0928	30.415	0.0	0.0	0.0	0.0	0.0	32.0096	0.0	17.3339	57.3795	74.71340000000001	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	235.96	0.0	187.3086	24.3463	11.5825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	282.6875	0.0	0.0	0.0	80.98519999999999	350.4627	0.0	21.7783	469.80980000000005	0.0	90.5026	0.0	112.8796	124.1879	16.4786	0.0	0.0	0.0	0.0	0.0	12.673	29.2358	0.0	0.0	217.8647	0.0	0.0	179.5613	0.0	0.0	0.0	0.0	174.2962	10.3725	59.0	95.2496	0.0	0.0	0.0	35.6851	0.0	0.0	0.0	199.54109999999997	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	58.5485	33.545	197.3131	182.0646	229.2161	0.0	44.6624	49.9867	0.0	0.0	0.0	0.0	441.5043	0.0	0.0	50.4347	84.6964	0.0	0.0	0.0	179.6403	148.8658	0.0	38.5522	38.5522	145.62470000000002	96.2092	103.0389	30.9581	182.241	45.8488	0.0	0.0	21.9477	103.8118	80.9977	14.2358	0.0	37.4393	255.83340000000004	302.11140000000006	0.0	0.0	0.0	0.0	0.0	141.1663	278.6364	0.0	58.4641	62.853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	111.3402	9.65881	282.59045	181.1404	61.7516	0.0	0.0	52.3282	0.0	0.0	0.0	0.0	95.46422	0.0	0.0	32.1759	175.9374	80.3253	0.0	0.0	19.7066	121.4886	29.589	0.0	0.0	86.77250000000001	119.0455	184.0187	0.0	0.0	0.0	0.0	10.4032	0.0	0.0	0.0	34.57979	0.0	21.2806	357.504	1180.17	0.0	0.0	0.0	142.27679999999998	0.0	0.0	18.8866	0.0	0.0	40.3009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.3964
TSC008	0.0	0.0	666.5134	0.0	103.9243	168.4528	41.7935	0.0	0.0	53.3718	0.0	0.0	0.0	0.0	112.2907	0.0	0.0	80.01689999999999	272.0535	71.7346	0.0	452.644	37.9282	46.0541	44.6509	0.0	10.0289	108.8025	53.3374	167.918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.667	34.1115	0.0	0.0	0.0	123.5826	0.0	0.0	0.0	16.1859	0.0	13.0411	56.7884	0.0	0.0	0.0	83.4872	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	15.2935	27.0564	27.0564	77.3947	0.0	97.6482	0.0	0.0	0.0	0.0	0.0	110.7915	0.0	0.0	0.0	117.1345	0.0	0.0	0.0	252.09249	104.3519	8.04498	0.0	0.0	72.3952	146.3415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0153	0.0	0.0	0.0	185.62509999999995	55.2848	0.0	0.0	0.0	114.65811	0.0	73.7519	0.0	0.0	0.0	0.0	0.0	0.0	40.617	40.617	0.0	0.0	0.0	0.0	28.1479
TSC013	0.0	0.0	37.6031	18.8883	777.2436	48.5324	28.5299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.7619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8311	100.5254	0.0	0.0	0.0	58.6728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.7778	0.0	0.0	0.0	88.8579	0.0	29.6872	0.0	29.6872	0.0	0.0	44.6538	14.041	0.0	0.0	20.5012	46.3271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.1123
