	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	243.3788	0.0	182.88652	82.728	0.0	0.0	0.0	43.2176	0.0	0.0	0.0	0.0	32.370400000000004	0.0	0.0	26.988	0.0	0.0	0.0	0.0	111.037	11.7029	0.0	0.0	31.9521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.2874	0.0	0.0	0.0	0.0	0.0	0.0	30.326	176.1795	0.0	0.0	0.0	0.0	9.86003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	132.0248	0.0	150.0603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.3912	150.489	405.87	0.0	39.8638	183.9343	0.0	0.0	0.0	0.0	26.3959	0.0	177.455	0.0	0.0	0.0	0.0	0.0	22.1975	0.0	0.0	0.0	0.0	0.0	523.769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0737	0.0	19.4178	60.693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447.224
TSC002	0.0	0.0	726.387	0.0	0.0	0.0	20.4788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0543	0.0	0.0	0.0	14.6402	0.0	0.0	0.0	20.0317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.9459	0.0	0.0	45.442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.9985
TSC003	0.0	0.0	0.0	0.0	112.1666	112.1666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4654	107.2688	0.0	0.0	0.0	0.0	0.0	51.5655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.2236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	196.75689999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.3676	0.0	0.0	119.7266	60.7319	0.0	0.0	0.0	0.0	0.0	0.0	6.05588	37.36538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.7672	14.1756	0.0	0.0	31.2814	11.3295	335.2407	0.0	0.0	0.0	0.0	38.3795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	13.8246	400.3957	191.9709	60.6192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0661	280.1587	54.403400000000005	0.0	0.0	20.90548	0.0	0.0	86.1129	0.0	0.0	117.8797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5534	0.0	21.4213	28.740810000000003	0.0	32.5539	151.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	62.0787	0.0	32.61	0.0	0.0	16.8097	0.0	0.0	0.0	0.0	65.4566	0.0	0.0	69.2176	108.2845	0.0	0.0	0.0	37.9021	0.0	75.5904	0.0	0.0	82.04876	164.9204	15.685020000000002	0.0	0.0	0.0	0.0	27.111	0.0	0.0	0.0	27.9315	0.0	0.0	0.0	0.0	0.0	0.0	23.445	76.96600000000001	0.0	0.0	24.7886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447.425
TSC008	0.0	0.0	14.3144	0.0	45.1572	0.0	82.2348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2008.6865	0.0	0.0	0.0	231.7393	0.0	0.0	0.0	0.0	0.0	128.8234	82.6778	82.6778	0.0	24.5475	12.6595	0.0	0.0	0.0	0.0	83.1081	0.0	58.4542	0.0	12.5317	0.0	0.0	7.74616	0.0	0.0	0.0	30.6436	55.060100000000006	0.0	0.0	33.5144	0.0	50.1222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	82.40729999999999	71.1758	254.676	11.4872	0.0	0.0	0.0	0.0	0.0	0.0	10.2229	0.0	0.0	15.4434	97.3696	97.3696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.22151	0.0	0.0	0.0	0.0	8.35101	13.5442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	194.03687	154.7034	0.0	0.0	0.0	22.1515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.446	20.3445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.1653	0.0	0.0	98.0748	0.0	0.0	12.6492	0.0	0.0	0.0	31.3778	0.0	9.34545	0.0	0.0	0.0	0.0	111.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
