	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	59.7606	0.0	32.11102	41.754999999999995	0.0	0.0	0.0	16.3693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5325	0.0	62.8429	0.0	0.0	103.43030000000002	67.4486	0.0	323.6981	186.6081	139.7455	41.9568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.5335	0.0	0.0	0.0	82.9452	0.0	0.0	299.6335	0.0	0.0	0.0	57.5247	0.0	0.0	36.6877	0.0	0.0	0.0	0.0	13.8908	0.0	0.0	0.0	0.0
TSC001	15.8687	0.0	0.0	56.6475	0.0	18.4059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0301	0.0	0.0	0.0	0.0	0.0	101.513	0.0	0.0	20.313	0.0	34.387	34.387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.8395	0.0	388.176	0.0	0.0	0.0	0.0	0.0	89.1378	34.7535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	22.3144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0778	26.0778	0.0	0.0	42.9676	0.0	0.0	42.7116	27.7221	0.0	34.1322	43.9026	0.0	0.0	16.9034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.1079	0.0	0.0	59.8387	0.0	0.0	62.6759	23.1253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.489
TSC003	0.0	0.0	0.0	0.0	37.8012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1494	0.0	70.7119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.8558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.494	0.0	0.0	74.5492	68.567	0.0	17.7595	0.0	0.0	0.0	0.0	0.0	108.425	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	65.0798	0.0	316.93	91.2979	0.0	0.0	0.0	29.6661	0.0	0.0	0.0	0.0	10.5335	0.0	0.0	0.0	119.771	0.0	0.0	0.0	198.8649	114.4115	181.8824	175.9049	21.6899	19.9909	0.0	14.5087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0601	0.0	0.0	17.8141	20.5883	0.0	23.208	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	17.4861	0.0	38.31874	0.0	181.272	11.9014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.3668	71.0758	0.0	0.0	44.3528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.9088	0.0	0.0	0.0	11.1119	43.6512	0.0	0.0	46.7059	0.0	0.0	35.696	0.0	0.0	0.0	18.8056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.5305
TSC006	0.0	0.0	0.0	0.0	73.818	92.9686	0.0	0.0	0.0	57.0928	0.0	0.0	0.0	0.0	17.7419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.1278	0.0	56.1278	23.5863	23.5863	25.8725	0.0	22.7577	0.0	0.0	0.0	0.0	31.1376	0.0	8.72166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.9871	0.0	0.0	12.3078	18.276	0.0	13.6344	21.3059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	33.9584	78.9036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.3859	10.5699	49.3859	24.9389	24.9389	85.9494	0.0	29.5261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.6108	33.766	0.0	14.8995	0.0	0.0	14.4491	56.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	61.4131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.994	0.0	62.0262	0.0	16.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	22.4381	0.0	0.0	9.12055	28.5299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.6969	63.1658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.34196	0.0	0.0	30.5687	0.0	0.0	30.5687	0.0	0.0	0.0	0.0
