	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	70.9471	0.0	122.93980000000002	164.0491	0.0	0.0	0.0	135.5702	0.0	0.0	0.0	0.0	86.238	0.0	0.0	262.1336	380.7383	233.2438	0.0	0.0	564.2011	63.721700000000006	52.110870000000006	15.8543	26.178800000000003	82.7607	88.57000000000001	98.514	0.0	0.0	0.0	0.0	0.0	0.0	98.621	0.0	562.4390000000001	0.0	0.0	73.4101	73.8693	29.0614	0.0	467.0042	415.1091	0.0	0.0	64.0676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2109	0.0	0.0	0.0	57.6353
TSC001	15.8687	0.0	237.8544	0.0	356.27909999999997	49.1492	0.0	0.0	0.0	39.4695	0.0	0.0	0.0	0.0	2124.2335000000003	0.0	0.0	25.1296	78.8459	63.6258	0.0	20.7034	100.986	169.5154	0.0	0.0	0.0	0.0	0.0	56.2259	0.0	0.0	0.0	0.0	8.74704	22.1975	30.3461	0.0	23.6545	14.734	0.0	138.8284	56.3931	0.0	0.0	0.0	359.806	0.0	0.0	47.706	0.0	0.0	36.0458	69.0896	0.0	0.0	0.0	135.509	0.0	15.7422	0.0	278.933
TSC002	0.0	0.0	0.0	0.0	53.4713	82.3543	0.0	0.0	0.0	5.54127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8566	0.0	33.9165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7742	0.0	15.7742	0.0	0.0	12.1846	25.0883	0.0	20.7807	236.3987	113.6297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.1168	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	33.663	0.0	38.1935	43.8408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.2427	0.0	0.0	0.0	973.932	118.1887	0.0	0.0	27.7783	35.3516	0.0	0.0	0.0	0.0	0.0	38.9582	0.0	0.0	0.0	0.0	0.0	42.5167	25.2182	0.0	66.5642	0.0	0.0	0.0	0.0	0.0	0.0	198.3913	101.4698	0.0	0.0	0.0	0.0	25.9858	40.5356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.3131
TSC004	0.0	0.0	146.5941	0.0	259.5182	53.4603	11.5825	0.0	0.0	128.3407	0.0	0.0	0.0	0.0	244.15444	0.0	0.0	102.27633	553.5205900000001	17.1498	0.0	71.3629	75.7465	42.2017	0.0	6.05588	6.05588	296.5327	29.9819	23.2416	0.0	0.0	0.0	0.0	112.731	0.0	47.8315	0.0	188.4755	0.0	0.0	47.584	16.7547	19.5733	0.0	1248.2953	151.8311	0.0	0.0	0.0	0.0	111.517	53.898	0.0	0.0	0.0	0.0	147.432	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	610.6220000000002	0.0	366.0277	153.48270000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	419.2289	0.0	0.0	56.019400000000005	108.57	70.5355	0.0	29.03	144.89588	72.8683	0.0	0.0	0.0	93.2489	14.4822	278.41200000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447.5353	0.0	0.0	39.2328	177.8618	22.1511	0.0	22.1511	759.9914	0.0	0.0	0.0	0.0	12.2696	0.0	53.9198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.4431
TSC006	0.0	0.0	189.1334	0.0	216.29609999999997	80.1253	39.8583	0.0	0.0	362.7236	0.0	0.0	0.0	0.0	267.67409999999995	0.0	0.0	49.322	231.9437	41.7479	0.0	476.3377	22.4026	76.3838	0.0	0.0	0.0	45.8023	0.0	302.7074	0.0	0.0	0.0	0.0	0.0	0.0	23.6265	0.0	125.3681	0.0	21.2806	210.42810000000003	10.1766	0.0	0.0	136.747	121.39567	0.0	0.0	69.115	0.0	13.6344	59.9726	66.42490000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.2587
TSC008	0.0	0.0	190.9514	0.0	121.7544	49.1694	41.7935	0.0	0.0	146.83610000000002	0.0	0.0	0.0	0.0	2060.89294	0.0	0.0	43.86581	311.4805	23.2474	0.0	518.1244	0.0	124.358	0.0	0.0	0.0	12.5664	0.0	306.681	0.0	0.0	0.0	410.848	83.1081	0.0	145.838	0.0	300.2808	39.2224	15.8843	213.41724	75.2404	20.6833	0.0	214.74515	80.6484	0.0	0.0	26.1903	0.0	179.53009999999998	0.0	60.3156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.94539999999999	0.0	0.0	0.0	27.8994	0.0	0.0	0.0	0.0	0.0	99.7457	0.0	0.0	0.0	0.0	0.0	0.0	52.5561	0.0	0.0	0.0	0.0	46.1891	37.2334	0.0	0.0	0.0	24.7192	0.0	0.0	50.17100000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	29.5552	0.0	331.18919999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.9953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.4281	124.6192	0.0	10.6039	0.0	0.0	0.0	82.5316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.3381	0.0	0.0	81.8389	0.0	0.0	0.0	0.0	254.994	0.0	0.0	0.0	0.0	9.0532	31.6006	0.0	0.0	0.0	0.0	17.7032	0.0	0.0	0.0	143.1365
