	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	23.3212	0.0	0.0	99.2179	0.0	0.0	0.0	37.8908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.3588	0.0	0.0	0.0	0.0	56.3522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.3185	0.0	71.3185	25.9315	0.0	0.0	0.0	0.0	59.06193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	20.0255	14.8093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.3736	0.0	0.0	21.3411	0.0	114.651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.4991	0.0	44.4991	0.0	0.0	0.0	65.2738	128.894	0.0	128.894	61.8914	0.0	0.0	0.0	0.0	19.4178	0.0	67.9778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	23.8531	0.0	0.0	0.0	0.0	0.0	0.0	48.9521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.7637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	17.7103	50.1594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5286	0.0	0.0	0.0	50.7004	0.0	0.0	0.0	105.772	0.0	0.0	0.0	0.0	16.352	0.0	32.5656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	86.8817	0.0	31.2322	31.2322	0.0	0.0	0.0	92.9992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.7609	0.0	90.6795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.30357	0.0	0.0	87.4928	37.7579	0.0	0.0	0.0	0.0	38.3795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	47.7772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	536.165	63.354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0549	0.0	43.1546	27.7572	0.0	11.1119	7.84991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.6242	0.0	117.3446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	31.182	0.0	17.3129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.9632	19.0053	46.0711	0.0	0.0	9.88425	0.0	0.0	25.7916	25.7916	82.04876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6265	0.0	0.0	0.0	0.0	0.0	0.0	64.2263	0.0	64.2263	11.9969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	313.85030000000006	26.5152	0.0	17.6326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83281	129.2057	31.0828	0.0	0.0	12.2919	0.0	0.0	0.0	0.0	36.871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.5	0.0	0.0	0.0	0.0	28.4169	0.0	0.0	0.0	0.0	77.8512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.84453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.6862	0.0	0.0	0.0	0.0	16.8345	0.0	0.0	0.0	19.9684	50.8625	0.0	0.0	9.00113	0.0	34.8054	0.0	19.4342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.3859	0.0	124.1897	0.0	0.0	0.0	0.0	0.0	0.0	27.566	8.56418	0.0	0.0	0.0	0.0	0.0	0.0	17.5176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
