	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	23.6856	15.9921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.7409	0.0	0.0	0.0	31.0842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.8186	0.0	0.0	0.0	82.9452	0.0	0.0	0.0	0.0	0.0	0.0	57.5247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	18.4059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.5082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	18.5882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.8837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.1079	0.0	0.0	0.0	0.0	0.0	0.0	23.1253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.489
TSC003	0.0	0.0	32.405	0.0	63.01390000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1494	0.0	45.7052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3355	0.0	0.0	0.0	37.9473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	316.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.6848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	235.666	235.666	272.575	78.4774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	0.0	149.93524	27.5255	0.0	11.9014	0.0	0.0	0.0	0.0	0.0	0.0	267.997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.7863	277.291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.857	0.0	0.0	0.0	10.1989	867.065	867.065	867.065	0.0	0.0	21.4213	0.0	0.0	0.0	92.0591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	60.9978	0.0	0.0	17.7244	0.0	0.0	0.0	57.0928	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	22.0862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.568	0.0	0.0	0.0	0.0	0.0	31.1376	0.0	8.72166	0.0	0.0	0.0	0.0	0.0	0.0	454.88	0.0	1123.132	0.0	0.0	0.0	123.249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	17.1115	25.4054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.9373	0.0	0.0	0.0	0.0	28.6901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	501.838	0.0	501.838	0.0	0.0	0.0	0.0	0.0	15.5125	42.1366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.246	206.246	482.799	29.9817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.693	9.48109	0.0	0.0	0.0	0.0	0.0	48.4689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	309.499	0.0	0.0	0.0	0.0	0.0	0.0	309.499	309.499	434.723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
