	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	355.4688	0.0	213.9267	123.9911	20.2646	0.0	0.0	258.3824	0.0	0.0	0.0	0.0	188.3957	0.0	0.0	24.244	36.4662	65.928	0.0	0.0	57.1393	0.0	17.3013	137.09	0.0	159.9681	113.156	81.069	0.0	0.0	0.0	0.0	0.0	0.0	16.3087	0.0	156.8799	0.0	0.0	61.8279	102.4708	0.0	0.0	365.624	169.7169	0.0	0.0	0.0	0.0	11.3836	0.0	0.0	0.0	0.0	0.0	65.7261	29.6609	29.6609	0.0	0.0
TSC001	0.0	0.0	203.73	0.0	30.6183	24.9679	19.6761	0.0	0.0	176.1697	0.0	0.0	0.0	0.0	169.4888	0.0	0.0	14.992	46.7682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1031	177.455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.2443	0.0	0.0	282.0158	74.9059	273.567	0.0	499.313	401.008	0.0	0.0	0.0	0.0	0.0	61.8495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.5739
TSC002	0.0	0.0	0.0	0.0	91.2302	0.0	0.0	0.0	0.0	50.9046	0.0	0.0	0.0	0.0	63.063	0.0	0.0	47.5443	67.1876	0.0	0.0	0.0	43.7998	0.0	0.0	0.0	0.0	0.0	0.0	59.1952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0223	0.0	0.0	50.4435	0.0	0.0	0.0	0.0	29.2939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6963
TSC003	0.0	0.0	0.0	0.0	47.9821	14.6384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.2859	0.0	0.0	0.0	0.0	39.6702	0.0	0.0	211.6824	0.0	186.083	0.0	0.0	0.0	0.0	130.5591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.4028	0.0	0.0	0.0	66.7034	0.0	0.0	0.0	0.0	0.0	18.4851	0.0	0.0	0.0	141.9076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.686
TSC004	0.0	0.0	0.0	0.0	0.0	0.0	42.8085	0.0	0.0	310.7848	0.0	0.0	0.0	0.0	82.36413999999999	0.0	0.0	18.8811	111.4631	50.1854	0.0	0.0	22.5392	0.0	80.55199999999999	261.93510000000003	75.9784	0.0	101.2751	90.5211	0.0	0.0	0.0	0.0	50.4027	0.0	67.7199	0.0	64.3175	0.0	0.0	138.487	305.576	0.0	0.0	103.703	19.5994	0.0	0.0	0.0	0.0	0.0	70.2498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.9818
TSC005	0.0	0.0	173.124	48.1179	133.7926	94.78489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.8804	0.0	0.0	22.9039	156.7163	281.7545	0.0	0.0	392.5283	0.0	37.7962	277.291	0.0	53.683400000000006	0.0	39.6605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.33569999999995	0.0	0.0	145.388	145.388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.392	22.7018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.103
TSC006	0.0	0.0	25.8537	0.0	51.0443	185.39	0.0	0.0	0.0	23.1889	0.0	0.0	0.0	0.0	255.469	0.0	0.0	16.7911	50.33716	17.2421	0.0	0.0	0.0	0.0	37.7292	27.1239	0.0	15.4603	32.9831	48.1427	0.0	0.0	0.0	0.0	46.7881	18.5065	0.0	0.0	72.59800000000001	17.6349	0.0	225.683	351.945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.5071	0.0	0.0	0.0	48.9237
TSC008	0.0	0.0	245.4107	0.0	81.7342	165.081	42.0518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.28984	0.0	0.0	31.2733	266.0964	25.7829	0.0	0.0	0.0	0.0	9.29125	18.8213	0.0	0.0	20.9589	0.0	0.0	0.0	0.0	0.0	22.3835	0.0	0.0	0.0	121.4495	0.0	0.0	317.06	282.56	0.0	0.0	45.1015	11.7283	0.0	0.0	26.1903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.7544	0.0	0.0	0.0	104.0555
TSC011	0.0	0.0	0.0	0.0	14.8515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0275	27.8403	0.0	0.0	0.0	11.3721	0.0	0.0	0.0	0.0	15.1593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.7692	0.0	0.0	0.0	170.81359999999998	0.0	0.0	14.7292	43.9906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.4007
TSC013	0.0	0.0	0.0	0.0	0.0	27.1546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.9848	0.0	0.0	0.0	26.6213	16.1262	0.0	0.0	22.7128	0.0	0.0	70.4834	0.0	40.6436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.843	341.07759999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.624199999999995
TSC014	0.0	0.0	45.9012	0.0	254.38834000000003	181.6434	20.8659	0.0	0.0	169.449	0.0	0.0	0.0	0.0	229.7488	0.0	0.0	0.0	103.3258	70.0572	0.0	0.0	94.3395	32.2847	77.9653	12.6599	0.0	14.2567	32.2847	0.0	0.0	0.0	0.0	77.9466	42.364900000000006	0.0	22.0861	0.0	10.1711	0.0	0.0	252.3791	783.2063	0.0	0.0	85.4188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC016	0.0	0.0	22.95424	27.8431	40.7974	95.6342	0.0	0.0	0.0	44.2174	0.0	0.0	0.0	0.0	326.10589999999996	0.0	0.0	71.7866	222.06907	14.3072	0.0	0.0	78.935	0.0	103.3407	134.0557	24.4057	75.8977	0.0	47.5944	0.0	0.0	0.0	0.0	36.7233	0.0	0.0	0.0	184.3308	0.0	17.1123	0.0	341.5069	0.0	0.0	0.0	130.5058	0.0	0.0	0.0	0.0	0.0	81.1137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.6746
