	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	73.9145	0.0	1769.6569	73.4002	0.0	0.0	0.0	42.9934	0.0	0.0	0.0	0.0	191.05150000000003	0.0	0.0	99.719	0.0	21.3106	0.0	0.0	562.7524000000001	115.3594	132.615	132.615	132.615	0.0	0.0	26.1869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	387.4535	0.0	0.0	32.082	41.0453	0.0	0.0	70.3536	18.4911	0.0	0.0	140.236	13.1036	0.0	56.3255	0.0	49.7461	49.7461	0.0	87.3945	0.0	0.0	37.6484	0.0
TSC001	0.0	0.0	205.306	0.0	60.8927	22.4029	361.865	0.0	0.0	43.9307	0.0	0.0	0.0	0.0	16.2998	0.0	0.0	75.1178	0.0	0.0	0.0	0.0	128.723	30.0779	0.0	0.0	375.454	0.0	0.0	51.3859	9.68371	35.3646	0.0	0.0	0.0	0.0	18.2695	0.0	29.9264	0.0	0.0	89.1414	0.0	0.0	0.0	154.034	195.982	0.0	0.0	0.0	0.0	0.0	450.4905	60.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	44.2246	0.0	0.0	0.0	0.0	50.9046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.504	11.935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.1846	0.0	0.0	0.0	74.9847	626.3427	0.0	0.0	12.1304	0.0	0.0	16.1391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	23.8736	0.0	36.1952	36.1952	0.0	0.0	0.0	24.4015	0.0	0.0	0.0	0.0	23.0544	0.0	0.0	72.0716	14.444	57.8193	0.0	0.0	56.7178	0.0	0.0	0.0	0.0	133.924	0.0	67.0712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.5852	0.0	0.0	41.3251	0.0	0.0	0.0	150.72379999999998	60.6732	0.0	0.0	51.2057	0.0	0.0	0.0	0.0	54.315	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	83.3353	21.4764	73.1725	0.0	18.7665	0.0	0.0	28.7264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.4622	60.0131	48.0937	196.41	0.0	217.858	90.4642	155.397	174.9187	174.9187	36.747	31.0664	0.0	0.0	0.0	0.0	0.0	23.2271	0.0	0.0	0.0	54.357299999999995	0.0	0.0	0.0	18.3228	68.7551	0.0	68.7551	97.81730000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8446	17.8446	52.1091	0.0	0.0	258.686	0.0
TSC005	0.0	0.0	89.6466	48.1179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.15050000000001	0.0	0.0	164.6931	63.354	168.81529999999998	0.0	0.0	58.5314	0.0	58.5314	0.0	86.1129	49.1581	113.6005	52.7098	0.0	0.0	0.0	0.0	0.0	0.0	181.0278	0.0	541.2587	0.0	0.0	121.9688	39.2328	84.4528	84.4528	95.4174	132.846	18.0424	0.0	190.268	0.0	0.0	0.0	0.0	52.698	52.698	52.698	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	47.7519	0.0	11.9029	33.156	19.8373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.56550000000001	0.0	0.0	178.1192	135.2236	70.0231	0.0	160.211	55.2574	61.2018	37.2648	0.0	0.0	117.8509	0.0	356.49780000000004	0.0	0.0	0.0	0.0	46.7881	33.8043	29.454	0.0	33.7944	19.2381	0.0	227.68420000000003	0.0	0.0	0.0	28.5736	17.8667	0.0	0.0	0.0	0.0	0.0	0.0	45.6277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.2587
TSC008	0.0	0.0	36.4193	0.0	1183.5664	24.2976	78.4553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.6503	0.0	0.0	128.9905	343.3324	50.5663	0.0	143.359	326.4783	0.0	137.0158	0.0	0.0	0.0	20.4829	340.1019	0.0	0.0	0.0	0.0	22.3835	37.7001	87.3626	0.0	27.4648	0.0	0.0	247.373	0.0	36.9395	0.0	36.9395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	53.4595	0.0	17.9082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.7409	0.0	0.0	0.0	0.0	77.4409	26.8651	0.0	0.0	0.0	18.5836	0.0	11.3047	0.0	0.0	0.0	0.0	0.0	0.0	16.6565	0.0	32.6145	0.0	0.0	46.1891	0.0	0.0	0.0	14.5682	133.5297	0.0	0.0	42.1222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.7652	0.0	0.0	59.4702	42.4175	0.0	0.0	0.0	0.0	118.845	16.8278	16.8278	16.8278	93.1906	0.0	31.6261	0.0	0.0	0.0	0.0	0.0	47.6844	0.0	0.0	0.0	0.0	0.0	81.8389	0.0	0.0	0.0	144.129	36.4791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC014	0.0	0.0	21.87971	0.0	14.9198	0.0	50.0799	0.0	0.0	11.977	0.0	0.0	0.0	0.0	243.6812	0.0	0.0	65.27507	146.9025	0.0	0.0	26.1308	141.0306	258.9932	82.2964	48.9576	48.9576	71.45009999999999	15.4981	31.9427	0.0	38.8776	0.0	0.0	16.797	0.0	0.0	0.0	0.0	0.0	0.0	187.1899	0.0	0.0	0.0	21.39	52.1646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3318	0.0	0.0	0.0	0.0	0.0	0.0	29.9817
TSC016	0.0	0.0	44.3629	27.8431	0.0	0.0	0.0	0.0	0.0	18.9861	0.0	0.0	0.0	0.0	90.2942	0.0	0.0	101.7993	78.4033	0.0	0.0	0.0	63.492999999999995	92.9665	60.2178	39.6115	58.7782	127.6975	111.2924	126.2667	0.0	0.0	0.0	0.0	0.0	323.18100000000004	54.656	0.0	0.0	0.0	6.58839	483.5965	285.167	179.298	0.0	179.298	0.0	40.8526	0.0	248.689	0.0	0.0	24.5392	0.0	193.9783	193.9783	193.9783	32.6443	32.6443	32.6443	32.6443	0.0
TSC018	0.0	0.0	29.941899999999997	15.9589	0.0	12.5881	0.0	0.0	0.0	67.0727	0.0	0.0	0.0	0.0	77.81909999999999	0.0	0.0	114.9206	150.67880000000002	51.5498	0.0	0.0	121.09	0.0	0.0	23.62082	0.0	152.7135	15.7792	15.2036	0.0	17.4958	0.0	0.0	0.0	0.0	9.42019	0.0	48.1044	0.0	0.0	213.8806	7.92266	0.0	0.0	60.342	17.1544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC020	0.0	0.0	0.0	48.8172	743.12	743.12	0.0	0.0	0.0	234.3783	0.0	0.0	0.0	0.0	40.9696	0.0	0.0	11.8356	45.7772	27.0865	206.111	0.0	31.1576	22.7617	22.7617	22.7617	22.7617	41.0299	22.7617	165.619	0.0	0.0	0.0	0.0	0.0	381.8375	110.019	0.0	58.3567	0.0	14.4623	58.53	0.0	0.0	0.0	88.1423	190.5264	0.0	0.0	0.0	0.0	14.5011	62.4036	0.0	73.4433	73.4433	73.4433	73.4433	73.4433	73.4433	73.4433	0.0
TSC021	0.0	0.0	87.2316	0.0	69.2904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.6178	0.0	0.0	0.0	0.0	94.4304	0.0	0.0	0.0	0.0	0.0	0.0	283.41	0.0	0.0	0.0	0.0	16.8468	48.5649	0.0	0.0	189.2527	0.0	0.0	0.0	0.0	39.4311	0.0	220.1397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.9349	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	0.0	18.2165	49.5227	30.6797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.4312	73.9256	43.1328	0.0	40.6416	128.0008	55.0021	63.4334	0.0	306.6426	348.886	0.0	34.208	0.0	0.0	0.0	0.0	57.5591	0.0	57.965999999999994	0.0	89.6191	0.0	0.0	0.0	30.4376	89.1107	89.1107	310.4951	38.1472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC025	0.0	0.0	111.916	0.0	75.3694	0.0	0.0	0.0	0.0	70.5926	0.0	0.0	0.0	0.0	41.843	0.0	0.0	15.275	47.3779	328.374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0225	0.0	83.6146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0584	0.0	0.0	0.0	23.2836	10.1656	0.0	146.647	55.5611	0.0	0.0	0.0	0.0	9.47717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.2847	0.0
TSC027	0.0	0.0	255.971	0.0	125.9658	0.0	0.0	0.0	0.0	238.641	0.0	0.0	0.0	0.0	230.5213	0.0	0.0	75.66000000000001	404.5115	121.9327	0.0	0.0	81.4685	0.0	0.0	0.0	0.0	0.0	0.0	175.987	0.0	0.0	0.0	0.0	0.0	0.0	40.77806	0.0	34.4027	0.0	0.0	0.0	0.0	0.0	0.0	82.1421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.6099	55.6099	0.0	0.0	0.0	0.0	0.0	0.0
TSC028	0.0	0.0	48.4537	0.0	120.4689	95.5917	13.1737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.51599999999996	0.0	0.0	0.0	75.857	53.578	0.0	16.7219	331.34450999999996	87.51089999999999	38.970299999999995	18.529	371.0875	65.92939999999999	9.66287	32.6717	0.0	0.0	0.0	0.0	0.0	48.9816	0.0	0.0	256.2105	0.0	0.0	0.0	0.0	29.8231	29.8231	29.8231	12.2063	0.0	0.0	0.0	11.0963	23.4623	51.1185	0.0	0.0	0.0	0.0	25.7245	0.0	0.0	13.2199	0.0
TSC031	0.0	0.0	0.0	0.0	27.9445	0.0	0.0	0.0	0.0	108.007	0.0	0.0	0.0	0.0	70.066	0.0	0.0	58.962	270.109	25.0759	0.0	0.0	56.3987	0.0	69.7203	0.0	0.0	0.0	69.7203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6969	0.0	17.9754	0.0	0.0	0.0	0.0	0.0	20.8927	68.2832	99.6527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC033	0.0	0.0	60.1199	0.0	0.0	0.0	0.0	0.0	0.0	106.899	0.0	0.0	0.0	0.0	272.7812	0.0	0.0	17.7321	249.755	0.0	0.0	0.0	0.0	0.0	36.0461	49.2283	24.4824	132.88670000000002	117.0105	10.1167	0.0	0.0	0.0	0.0	136.041	60.1199	17.9661	0.0	125.854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6469	0.0	0.0	21.1684	83.6047	42.2947	0.0	0.0	14.7683	0.0	24.7169	39.8225	23.3875	0.0	55.7965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.6804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
