	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	89.5538	0.0	0.0	0.0	0.0	0.0	0.0	19.2511	0.0	0.0	0.0	0.0	78.3776	0.0	0.0	154.9367	0.0	132.0583	0.0	50.1447	143.78269999999998	39.644	202.055	0.0	77.2915	194.4564	0.0	197.4393	0.0	0.0	0.0	0.0	0.0	0.0	33.0881	0.0	419.2868	0.0	0.0	0.0	41.3281	33.0881	33.0881	33.0881	0.0	0.0	0.0	0.0	13.1036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	15.8687	0.0	203.73	0.0	73.4086	81.328	0.0	0.0	0.0	44.3205	0.0	0.0	0.0	0.0	209.601	0.0	0.0	21.3541	169.911	0.0	0.0	0.0	62.20478	21.3528	55.895799999999994	0.0	19.4391	167.1551	36.4567	36.3039	0.0	0.0	15.7702	0.0	17.9162	0.0	8.67279	0.0	24.8734	0.0	0.0	0.0	153.7159	0.0	0.0	0.0	47.326699999999995	0.0	0.0	0.0	0.0	0.0	52.564	0.0	0.0	0.0	0.0	68.5892	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	84.6467	144.12650000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.1512	0.0	0.0	23.3359	78.5033	43.5792	0.0	0.0	102.809	0.0	0.0	63.3485	63.3485	46.9202	0.0	112.8405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.9819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.9359	0.0	60.7586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	55.9038	53.7219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5437	28.4399	28.4399	277.042	0.0	112.511	0.0	57.0211	57.0211	0.0	49.8113	0.0	0.0	0.0	0.0	0.0	0.0	14.1066	0.0	83.81020000000001	0.0	88.355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	19.6122	29.4892	61.4455	0.0	0.0	0.0	71.8726	0.0	0.0	0.0	0.0	11.6537	0.0	0.0	75.6024	0.0	91.7058	196.41	0.0	133.74509999999998	0.0	52.345659999999995	0.0	43.5483	239.9985	239.9985	65.6037	0.0	0.0	0.0	0.0	15.3632	0.0	0.0	0.0	165.826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2022	0.0	0.0	0.0	0.0	0.0	0.0	13.4184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	244.3613	14.8726	58.145399999999995	55.735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.6165	0.0	0.0	106.9747	199.6175	49.6365	0.0	22.5874	15.196	0.0	21.6286	0.0	0.0	47.611	69.2396	75.0915	0.0	0.0	0.0	0.0	0.0	0.0	101.751	0.0	101.751	13.3156	0.0	0.0	39.7437	0.0	21.5896	0.0	59.234100000000005	0.0	74.2206	0.0	0.0	0.0	62.7411	24.617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	0.0	0.0	51.84479999999999	215.85551	0.0	0.0	0.0	132.1122	0.0	0.0	0.0	0.0	170.7472	0.0	0.0	192.9569	0.0	0.0	0.0	197.7749	44.0172	0.0	0.0	0.0	0.0	162.3813	0.0	0.0	0.0	0.0	0.0	0.0	20.7222	0.0	0.0	29.5666	209.5355	0.0	0.0	100.9736	1225.9451	0.0	36.4809	18.0213	42.824200000000005	0.0	0.0	0.0	0.0	0.0	0.0	13.782	0.0	0.0	0.0	0.0	0.0	36.9614	0.0	54.423100000000005
TSC008	0.0	0.0	0.0	0.0	110.6171	165.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.7527	0.0	0.0	65.8814	0.0	0.0	0.0	185.4471	60.0682	48.5521	0.0	0.0	0.0	229.83239	96.7568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.383	21.8082	0.0	64.4937	10.3105	0.0	21.8452	20.6539	35.5121	0.0	14.8995	0.0	0.0	0.0	32.6708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6359
TSC011	0.0	0.0	0.0	0.0	38.1906	60.9479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3757	73.6686	24.4046	141.713	0.0	46.3363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.582	0.0	0.0	25.0668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.5784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.1481	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	36.7925	36.994600000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.7046	22.2126	0.0	0.0	58.6221	0.0	0.0	0.0	0.0	108.3133	82.7172	0.0	0.0	0.0	0.0	0.0	11.3475	0.0	11.0423	0.0	115.327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.7908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0144	19.0144	0.0	63.1933	0.0	0.0	0.0	0.0
