	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	174.5199	49.691	50.159099999999995	15.9921	17.5985	0.0	0.0	121.1156	0.0	0.0	0.0	0.0	329.07630000000006	0.0	0.0	0.0	513.213	116.9823	0.0	50.1447	484.18117	0.0	44.8769	60.0129	15.8543	19.2754	43.0169	0.0	0.0	0.0	90.4343	0.0	0.0	0.0	538.322	0.0	310.60179999999997	0.0	0.0	32.082	37.9376	0.0	15.1819	96.3406	398.755	0.0	0.0	22.1333	0.0	0.0	412.0368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	53.3878	161.5138	103.2162	162.60219999999998	0.0	0.0	0.0	123.436	0.0	0.0	0.0	0.0	602.2037	0.0	35.295	89.6155	482.6055	0.0	0.0	20.7034	0.0	94.0694	8.68008	0.0	8.68008	17.7041	0.0	7.20432	0.0	0.0	0.0	0.0	0.0	0.0	104.0398	0.0	336.4687	0.0	0.0	35.1254	56.3931	19.1259	0.0	29.3321	75.4309	49.7314	0.0	0.0	0.0	51.6304	24.8355	0.0	21.7333	21.7333	0.0	21.7333	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	54.5318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6352	0.0	66.4747	0.0	0.0	34.2902	48.0226	291.499	0.0	291.499	33.4208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	59.0301	0.0	36.1952	282.4839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4206	0.0	0.0	40.7232	204.2379	304.48339999999996	0.0	78.3289	0.0	266.0632	0.0	0.0	0.0	0.0	0.0	14.5009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.95060000000001	284.7534	334.1632	31.8772	334.1632	122.3262	39.7942	0.0	0.0	0.0	0.0	72.4957	22.3554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5167
TSC004	0.0	0.0	47.0891	578.0338999999999	167.20950000000002	113.943	18.7665	0.0	0.0	81.5106	0.0	0.0	0.0	0.0	259.86510000000004	0.0	33.6629	55.9275	928.77109	212.9885	0.0	38.5539	345.5955	71.30699999999999	14.809	231.602	0.0	0.0	24.11556	68.30969999999999	0.0	0.0	0.0	0.0	237.2079	0.0	250.017	0.0	382.1513	0.0	0.0	48.6712	15.7609	97.3533	61.1971	76.7381	300.3929	0.0	10.6303	126.8568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.1091	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	454.4814	165.5894	189.5543	169.9402	0.0	0.0	0.0	15.0195	0.0	0.0	0.0	0.0	358.9205	0.0	0.0	130.4894	285.06350000000003	360.6853	0.0	29.03	194.7683	208.1583	0.0	378.6943	0.0	10.3426	150.5553	135.3527	30.9581	0.0	17.5291	0.0	0.0	0.0	94.2983	0.0	226.2949	0.0	0.0	159.7067	460.47411	0.0	0.0	39.7479	45.3232	0.0	0.0	0.0	0.0	0.0	81.42699999999999	25.9424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.1274
TSC006	0.0	0.0	407.78190000000006	0.0	433.4290999999999	99.485	29.6174	0.0	0.0	150.5214	0.0	0.0	0.0	0.0	455.81137	0.0	0.0	354.3828	379.3423	52.0313	0.0	640.4425	37.8753	301.789	37.8753	65.1079	0.0	0.0	0.0	239.6947	0.0	0.0	219.537	0.0	105.733	0.0	244.2785	0.0	369.5694	0.0	0.0	158.0674	336.92889999999994	77.5017	191.31	99.5913	253.8373	56.3201	0.0	0.0	0.0	0.0	186.6064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	713.326	275.984	513.2343	118.2906	63.9558	0.0	0.0	184.7798	0.0	0.0	0.0	0.0	472.1988099999999	0.0	0.0	246.2522	324.85423000000003	64.4817	0.0	297.2495	136.52769999999998	319.7869	0.0	84.21815000000001	23.79275	30.62129	22.1007	208.5858	0.0	0.0	0.0	0.0	105.8675	0.0	238.1049	0.0	398.258	0.0	0.0	304.89220000000006	65.2637	0.0	0.0	27.6098	549.0099	66.9632	0.0	0.0	0.0	17.0345	36.5469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	18.3049	15.2935	111.6658	14.9292	0.0	0.0	0.0	76.5374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.4429	0.0	0.0	0.0	55.4436	163.9021	0.0	61.2707	61.2707	0.0	7.75523	23.2003	0.0	0.0	0.0	0.0	0.0	0.0	118.9135	0.0	0.0	0.0	0.0	46.1891	56.4853	0.0	51.22	35.461	135.0762	0.0	0.0	14.1613	0.0	0.0	51.3899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	91.7161	18.8883	150.2959	127.8936	0.0	0.0	0.0	217.7165	0.0	0.0	0.0	0.0	55.4454	0.0	0.0	0.0	271.5801	0.0	0.0	27.9584	0.0	73.4648	0.0	48.4689	0.0	0.0	0.0	10.4082	0.0	0.0	0.0	0.0	0.0	47.6844	101.0226	0.0	76.03999999999999	0.0	0.0	41.5129	16.2326	92.7594	40.3489	118.5496	0.0	0.0	0.0	0.0	0.0	0.0	80.6541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
