	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	49.691	150.6627	0.0	0.0	0.0	27.2091	21.3892	0.0	0.0	0.0	0.0	365.774	0.0	0.0	440.8037	111.876	115.0414	0.0	0.0	37.711	86.6371	0.0	0.0	10.3698	67.8079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.9788	0.0	0.0	0.0	0.0	0.0	38.1073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.6137	0.0	0.0	0.0	45.2363	63.221999999999994	0.0	20.7034	0.0	0.0	0.0	0.0	0.0	189.238	40.5637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.1413	0.0	0.0	19.6159	19.5426	0.0	0.0	0.0	55.3451	22.5794	0.0	0.0	0.0	0.0	52.564	0.0	0.0	29.5494	0.0	0.0	0.0	0.0	0.0	31.1456
TSC002	0.0	0.0	0.0	0.0	53.4713	53.4713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.5088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.7689	0.0	81.08250000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	0.0	0.0	100.3025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.22	0.0	0.0	16.2192	172.9785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.5135	0.0	0.0	0.0	21.3851	0.0	0.0	0.0	17.0839	7.44158	0.0	0.0	0.0	13.7902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	0.0	0.0	110.8399	163.945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.2827	0.0	0.0	117.458	214.35610000000003	24.1057	0.0	38.5539	18.6619	0.0	0.0	140.689	140.689	186.8157	25.2748	17.2126	0.0	0.0	0.0	0.0	24.1817	14.295	0.0	0.0	44.4935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.046	0.0	0.0	18.5835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.3135
TSC005	0.0	0.0	16.6349	0.0	16.3343	0.0	0.0	0.0	0.0	19.3199	0.0	0.0	0.0	0.0	171.65640000000002	0.0	0.0	29.9381	265.50829999999996	43.7741	0.0	29.03	0.0	0.0	0.0	0.0	0.0	28.8159	28.0725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	235.7547	13.3156	10.2307	9.19888	11.1119	0.0	0.0	0.0	22.4372	0.0	0.0	0.0	0.0	0.0	31.2892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC006	0.0	0.0	36.569199999999995	0.0	75.0791	75.0791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.31232	0.0	0.0	54.1671	0.0	26.0897	0.0	12.3336	12.1196	0.0	0.0	0.0	0.0	71.9676	0.0	10.9754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.4879	0.0	0.0	42.7092	20.4834	0.0	0.0	0.0	32.99019	0.0	0.0	18.8866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	16.0247	0.0	110.6016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.6707	0.0	0.0	49.6525	202.677	48.0015	0.0	46.2307	37.3872	0.0	0.0	0.0	0.0	52.4931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.4828	28.0982	0.0	0.0	0.0	26.7746	0.0	0.0	0.0	0.0	31.9071	0.0	0.0	0.0	18.0094	17.2462	0.0	0.0	0.0	0.0	28.2758
TSC011	0.0	0.0	14.2455	0.0	0.0	0.0	16.9495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.3738	0.0	0.0	0.0	202.1752	0.0	0.0	0.0	0.0	0.0	19.3533	0.0	19.3533	88.1189	0.0	21.2268	0.0	0.0	0.0	0.0	0.0	0.0	68.6862	0.0	19.6113	0.0	0.0	22.9123	0.0	0.0	0.0	0.0	19.6113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	0.0	0.0	21.2052	113.356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.3709	0.0	0.0	0.0	292.1282	0.0	0.0	27.9584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4129	0.0	60.3859	0.0	60.3859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7032	0.0	0.0	0.0	0.0
TSC014	0.0	0.0	40.5522	0.0	20.3923	0.0	0.0	0.0	0.0	187.486	0.0	0.0	0.0	0.0	40.66701	0.0	0.0	31.9874	77.0121	14.8705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.3814	34.9904	34.5843	0.0	0.0	0.0	0.0	122.622	9.0809	0.0	0.0	17.4925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.79175	0.0	16.5595	12.082	0.0	0.0	0.0	0.0	37.4013	37.4013	37.4013	21.1075	0.0	0.0	0.0	0.0
TSC016	0.0	8.47525	0.0	0.0	58.934	0.0	53.8282	0.0	0.0	12.5448	0.0	0.0	0.0	0.0	215.2794	0.0	0.0	0.0	177.7214	0.0	0.0	0.0	0.0	0.0	9.8703	0.0	0.0	30.4536	38.5189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.914	0.0	0.0	0.0	0.0	0.0	162.50050000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC018	0.0	16.3772	17.6381	0.0	42.2691	42.2691	0.0	0.0	0.0	14.2919	0.0	0.0	0.0	0.0	163.5084	0.0	0.0	68.0354	180.7837	0.0	0.0	248.86	13.4362	0.0	0.0	0.0	0.0	80.1059	0.0	16.3035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.243	0.0	10.2717	42.4404	0.0	0.0	0.0	0.0	74.3904	0.0	0.0	0.0	0.0	14.5773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3373
TSC020	0.0	0.0	0.0	0.0	47.915	194.417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.989	0.0	0.0	50.7797	100.602	9.19158	0.0	22.4449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.35915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.7741	0.0	0.0	0.0	14.6703	0.0	14.8606	0.0	55.1865	0.0	0.0	0.0	0.0	0.0	113.3843	0.0	0.0	0.0	0.0	20.0199	0.0	0.0	0.0	50.7207
TSC021	0.0	0.0	11.3193	0.0	57.8205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.87140000000001	0.0	0.0	0.0	139.475	48.5606	0.0	0.0	51.93560000000001	39.4319	0.0	0.0	0.0	64.8387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.6876	0.0	0.0	0.0	0.0	0.0	42.4353	0.0	12.3991	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC023	0.0	0.0	41.093900000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9291	0.0	0.0	0.0	43.1328	43.1328	0.0	0.0	0.0	0.0	0.0	34.991	0.0	132.7403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9334	0.0	0.0	0.0	0.0	0.0	34.3554	0.0	29.3145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.473	27.473	0.0	0.0	0.0	0.0	0.0
TSC025	0.0	0.0	0.0	0.0	57.0803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.2488	0.0	0.0	0.0	16.8448	0.0	0.0	10.326	19.0332	31.1485	0.0	0.0	0.0	28.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.6783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.6128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC027	0.0	0.0	0.0	0.0	30.3045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.34099	0.0	0.0	29.1739	14.9096	74.4625	0.0	0.0	43.7362	95.2997	0.0	0.0	0.0	56.5095	113.019	15.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.61079999999998	0.0	0.0	0.0	0.0	0.0	0.0	13.7934	58.2937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
