	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	0.0	0.0	0.0	15.9921	0.0	0.0	0.0	32.8923	0.0	0.0	0.0	0.0	23.2906	0.0	0.0	78.5711	0.0	0.0	0.0	0.0	162.8004	132.5547	0.0	25.2472	0.0	30.6975	156.2729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.6331	82.2373	0.0	0.0	0.0	0.0	0.0	0.0	45.4812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	0.0	0.0	0.0	161.5138	178.87380000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.42149999999998	0.0	0.0	86.6599	38.27074	0.0	0.0	0.0	21.9058	0.0	0.0	0.0	0.0	0.0	61.1404	0.0	0.0	0.0	0.0	0.0	54.4694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2007	0.0	0.0	0.0	22.453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	0.0	0.0	34.98	0.0	0.0	5.54127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.841899999999995	98.2894	0.0	0.0	0.0	0.0	57.0941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	417.75	0.0	0.0	0.0	52.0697	0.0	0.0	24.4015	0.0	0.0	0.0	0.0	32.9297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.297	105.9098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3865	0.0	0.0	0.0	52.9804	0.0	0.0	0.0	123.9581	0.0	18.4851	0.0	0.0	121.356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	200.669	556.5575	0.0	21.7124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.8249	149.3216	16.7338	0.0	0.0	158.47600999999997	0.0	0.0	0.0	0.0	34.8596	0.0	49.3863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.2431	0.0	0.0	0.0	0.0	0.0	0.0	29.7309	276.3711	25.1121	0.0	0.0	0.0	10.4146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	0.0	14.8726	62.0715	0.0	32.6571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.9456	0.0	0.0	69.0951	0.0	0.0	0.0	0.0	9.49688	118.4818	0.0	0.0	86.1129	313.52729999999997	22.2183	29.7138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.6677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.4528	0.0	73.555	0.0	0.0	39.6848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.73398
TSC006	0.0	0.0	0.0	0.0	106.7223	157.6027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.2687	0.0	0.0	73.32730000000001	88.9361	35.4591	0.0	0.0	177.8073	0.0	10.3926	0.0	0.0	27.5603	174.0799	0.0	0.0	0.0	0.0	0.0	32.3244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3789	0.0	16.3789	0.0	0.0	0.0	0.0	0.0	0.0	27.5934	17.4612	0.0	0.0	0.0	21.5071	0.0	0.0	0.0	29.4831
TSC008	0.0	0.0	0.0	275.984	113.724	77.1296	0.0	0.0	0.0	37.1975	0.0	0.0	0.0	0.0	135.5032	0.0	0.0	85.03790000000001	87.06192	25.7829	0.0	0.0	103.7607	0.0	24.5475	0.0	0.0	119.5674	163.1631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6551	0.0	0.0	0.0	20.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	79.1336	0.0	0.0	14.6424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.1909	0.0	0.0	0.0	141.78393	24.2353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4521	0.0	0.0	0.0	64.7445	23.2927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	327.402	0.0	49.0828	0.0	13.625	0.0	0.0	134.555	0.0	0.0	0.0	0.0	30.3709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.6844	0.0	0.0	0.0	0.0	0.0	17.2415	17.5028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
