	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	0.0	0.0	56.7833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.4631	129.367	96.0745	0.0	0.0	55.2262	121.1343	7.23397	0.0	0.0	48.038	0.0	26.0838	0.0	0.0	0.0	0.0	143.413	0.0	49.5463	0.0	133.9975	0.0	0.0	0.0	0.0	0.0	0.0	209.8122	582.3922	9.53585	0.0	0.0	0.0	0.0	56.3255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC001	15.8687	0.0	380.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.874	0.0	0.0	41.5838	31.7515	20.2854	0.0	0.0	0.0	114.651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.9692	0.0	15.0872	0.0	0.0	0.0	0.0	95.3609	46.0998	518.6099	612.0604	128.9075	0.0	0.0	0.0	0.0	0.0	0.0	23.7945	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC002	0.0	0.0	0.0	0.0	41.8246	41.8246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.9916	0.0	0.0	0.0	0.0	53.0602	0.0	0.0	0.0	85.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.4937	0.0	25.9024	0.0	18.3682	58.7296	58.7296	0.0	0.0	361.1677	11.1615	39.43408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC003	0.0	0.0	41.8291	0.0	0.0	0.0	0.0	0.0	28.3315	0.0	0.0	0.0	0.0	0.0	170.13	0.0	0.0	33.1494	0.0	0.0	0.0	0.0	0.0	237.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.3376	0.0	0.0	0.0	0.0	158.927	0.0	229.4373	105.772	39.7942	0.0	0.0	0.0	82.8325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC004	0.0	0.0	13.0324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.3256	0.0	129.776	0.0	0.0	38.76841	93.459	117.486	0.0	0.0	68.39840000000001	0.0	35.0956	0.0	0.0	0.0	0.0	0.0	0.0	134.95125	0.0	147.0019	0.0	0.0	0.0	59.4008	204.3466	48.3706	241.2556	176.5923	25.1121	0.0	0.0	0.0	0.0	96.1985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC005	0.0	0.0	47.7772	14.8726	34.7117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	651.0245	0.0	0.0	0.0	0.0	0.0	0.0	22.1399	8.43333	148.38	44.7863	0.0	0.0	82.9063	0.0	19.7746	0.0	0.0	0.0	0.0	0.0	0.0	25.7156	0.0	146.8846	0.0	0.0	11.7577	0.0	0.0	0.0	40.8791	31.4264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.103
TSC006	0.0	0.0	0.0	0.0	79.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8286	0.0	0.0	0.0	230.848	118.8606	0.0	0.0	145.29809999999998	206.066	0.0	0.0	0.0	35.1092	34.704499999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5555	0.0	104.1428	0.0	0.0	0.0	80.3952	0.0	0.0	136.747	132.2515	99.2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC008	0.0	0.0	0.0	0.0	78.3538	0.0	0.0	0.0	0.0	90.9986	0.0	0.0	0.0	0.0	25.7656	0.0	0.0	10.1872	155.37412	0.0	0.0	0.0	60.2079	0.0	0.0	0.0	0.0	23.3868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5453	0.0	0.0	0.0	0.0	40.4405	0.0	66.8991	97.4194	66.9632	0.0	0.0	0.0	0.0	0.0	0.0	21.5215	21.5215	0.0	0.0	0.0	0.0	0.0	0.0
TSC011	0.0	0.0	86.7009	0.0	15.1298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.173499999999997	0.0	0.0	0.0	0.0	61.982	0.0	0.0	20.1812	0.0	20.1812	0.0	11.1311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3047	0.0	0.0	0.0	9.79615	0.0	0.0	0.0	51.9328	41.1824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSC013	0.0	0.0	49.3163	0.0	51.659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.6092	0.0	0.0	0.0	32.3313	98.3967	0.0	0.0	0.0	43.0841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.3475	0.0	0.0	21.2115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.5961	0.0	0.0	17.8682	0.0	0.0	0.0	0.0	15.2374	34.7187	15.2374	0.0	0.0	0.0	0.0	0.0
