Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
TSC000	0.0	0.0	71.0114	262.44530000000003	860.3586	1896.2343	0.0	163.64419999999998	167.5998	53.6858	371.1854	0.0	0.0	0.0	17.5066	0.0	0.0	0.0	0.0	0.0	183.6233	168.69670000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.2559	76.45429999999999	514.7982000000001	932.5613	147.843	298.8331	41.7035	27.4257	33.0232	0.0	0.0	44.29398	0.0	62.6491	1008.65573	0.0	0.0	2503.9709000000003	0.0	793.486	1471.08064	1895.6641	231.36560000000003	20.0789	214.3686	539.5087000000001	0.0	317.90818
TSC001	0.0	0.0	0.0	34.0272	639.4363999999999	811.2953100000001	0.0	323.8086	0.0	0.0	177.5585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.68371	0.0	171.2443	64.2793	0.0	0.0	0.0	0.0	0.0	0.0	19.6498	96.9373	19.9417	160.5652	236.4015	999.1423	0.0	0.0	97.0941	127.178	164.015	46.4863	241.1155	0.0	0.0	202.0298	0.0	0.0	1816.8271	0.0	1458.9145	1080.0801700000002	1072.52454	50.6506	677.42493	85.0257	140.5586	45.6796	551.26224
TSC002	0.0	162.1289	43.5509	74.7585	261.1877	90.6286	0.0	42.11	10.4269	0.0	305.6748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0902	21.7316	96.6974	0.0	0.0	0.0	0.0	0.0	0.0	22.9668	35.5667	52.5619	331.24060000000003	121.5963	124.13920000000002	0.0	101.2867	0.0	62.134	29.2367	89.2326	0.0	0.0	98.6979	0.0	0.0	816.885	0.0	59.368	461.304	493.98462	19.0677	185.3558	493.3682	337.6714	158.1901	268.4895
TSC003	0.0	500.9115	0.0	0.0	384.9415	248.8618	0.0	123.9935	0.0	0.0	205.5113	0.0	0.0	0.0	16.7595	0.0	0.0	0.0	0.0	0.0	80.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.6645	254.0256	59.0815	552.2428	1810.7657	193.3437	56.0648	119.9836	0.0	87.717	150.8962	142.7926	0.0	0.0	82.5336	0.0	0.0	709.5182	0.0	455.6307000000001	494.4322	917.4132	69.4547	334.2189	16.8896	55.453	57.0121	500.77412
TSC004	0.0	166.737	140.02267999999998	26.7495	1001.2067	1090.63707	0.0	358.4229	354.76340000000005	0.0	516.327	9.34004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.4004	0.0	8.84468	0.0	0.0	0.0	0.0	0.0	0.0	197.965	0.0	525.0092	883.4472999999998	3924.1488	603.2656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0614	254.9158	23.097	0.0	2702.364	0.0	185.6602	2002.1861800000004	1682.9657100000004	449.8973	397.75952	190.4049	163.99447999999998	306.76520000000005	596.65043
TSC005	0.0	27.0983	39.3047	194.2202	763.8154700000001	633.075	0.0	589.4778	0.0	0.0	98.0474	0.0	0.0	0.0	109.5824	0.0	0.0	0.0	92.2994	0.0	188.0219	218.0541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	420.1872	0.0	2161.3367	2227.7562000000003	257.0064	407.7122	112.6186	68.62	439.7996	94.8403	475.8730000000001	0.0	0.0	208.37735	27.3771	0.0	2395.6854000000003	0.0	80.91329999999999	2122.25973	2188.23536	406.33882000000006	1270.2459	237.57371	853.5129000000001	422.1772199999999	1518.3465
TSC006	0.0	13.4851	0.0	62.2006	231.48306	1367.49368	0.0	117.7074	35.2963	23.2107	395.4378000000001	23.1998	0.0	0.0	72.71770000000001	0.0	0.0	0.0	0.0	0.0	219.537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.8235	0.0	0.0	123.1533	527.0007	378.438	314.7901	0.0	0.0	0.0	19.6654	0.0	0.0	0.0	0.0	2737.7886	0.0	0.0	1393.0108	0.0	0.0	1544.95419	2534.8102199999985	221.0914	2584.5405	285.5663	137.64717000000002	60.8184	584.5115399999999
TSC008	0.0	9.98382	22.0209	0.0	307.4223	1043.83208	52.5777	196.4513	39.0073	31.507	577.0198	0.0	0.0	0.0	65.9776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5879	0.0	76.85023	558.5604000000001	386.182	100.947	0.0	0.0	0.0	0.0	0.0	15.619	0.0	0.0	392.74961	23.468200000000003	0.0	2181.058	0.0	197.619	3187.920309999999	1504.35497	272.7423	3509.3284000000003	132.5279	266.5902	357.172	757.5605500000001
TSC011	0.0	254.3552	27.6854	173.7875	151.7398	241.7569	0.0	144.2032	0.0	0.0	69.22409999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5698	0.0	32.2444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.431	97.8453	80.7662	435.745	908.3754	30.7109	0.0	50.1071	0.0	106.3656	30.2845	14.1712	0.0	0.0	269.2667	0.0	0.0	910.7333	0.0	28.5628	390.0226	506.153	74.7465	363.4059	51.9117	25.556600000000003	43.6626	131.1041
TSC013	0.0	9.96751	0.0	0.0	357.62071	391.84821	0.0	152.63780000000003	0.0	0.0	140.0756	0.0	0.0	0.0	10.1927	0.0	0.0	0.0	0.0	0.0	71.2373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.7369	86.8486	0.0	325.7444	146.2272	211.718	0.0	25.9204	0.0	80.2772	61.0762	43.4006	0.0	0.0	152.18030000000002	0.0	0.0	156.897	0.0	170.13909999999998	227.61562	316.6999	265.61092	232.2387	14.8472	135.60003999999998	77.0026	371.7309
TSC014	0.0	57.01951	34.4662	700.0082600000001	521.2545	1070.3108000000002	0.0	261.6261	148.1571	29.4362	170.1181	0.0	0.0	40.2581	0.0	0.0	0.0	0.0	12.4916	0.0	375.7604	99.1559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.8072	93.0506	114.5658	857.2738	231.1789	788.8803600000001	0.0	0.0	0.0	80.30160000000001	50.0342	11.5941	0.0	0.0	151.96635999999998	0.0	0.0	1528.8768	0.0	945.9215000000002	724.1041	1105.12482	673.1306999999999	298.3136	0.0	188.10290000000003	95.7689	367.3292
TSC016	0.0	76.6439	58.4393	66.8116	1260.85389	550.6966	0.0	710.7825000000001	0.0	0.0	199.555	0.0	0.0	0.0	43.6273	0.0	0.0	0.0	207.171	0.0	211.9041	194.4551	10.3226	0.0	0.0	0.0	0.0	0.0	0.0	215.5863	712.3791000000001	0.0	2336.9591	1276.2869	417.91960000000006	286.185	304.8047	143.4014	288.4928	325.6564	312.9725	0.0	0.0	366.2204	17.5714	0.0	3070.5009	23.9911	0.0	1476.39226	1762.6200000000006	484.3831	901.56616	91.8363	526.7706000000001	134.2098	974.56914
TSC018	0.0	0.0	12.9336	152.292	305.0803	1059.8778	0.0	273.9761	0.0	0.0	68.95570000000001	0.0	0.0	0.0	81.1558	0.0	0.0	0.0	0.0	0.0	420.5338	214.4174	0.0	0.0	0.0	0.0	0.0	0.0	21.6659	19.965	24.4328	0.0	1150.3323000000005	3403.4918	269.1816	0.0	41.3617	0.0	304.522	58.9744	227.8442	0.0	0.0	197.81254	20.09266	92.3791	1539.1802	0.0	22.3227	2547.52022	1763.8450299999995	93.67255	764.96686	63.304100000000005	97.1126	201.3573	707.47222
