Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
TSC039	0.0	31.3713	50.99649	0.0	480.1937	1325.6292	0.0	320.5213	21.4564	0.0	67.6919	0.0	0.0	0.0	411.71467000000007	83.21059	68.036	74.29216	409.28729	0.0	37.7049	51.923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0625	583.5567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	894.9570200000004	11.8202	20.2371	1169.8321999999998	0.0	35.9116	2342.5783900000006	2450.10687	1768.4663499999997	1735.22278	54.3492	747.9044999999999	265.0997	976.26895
TSC043	0.0	38.5838	12.0827	0.0	833.9156	3705.73033	0.0	213.13096	277.036	0.0	16.7511	0.0	0.0	0.0	218.16639	37.8301	35.4761	6.79161	40.0508	0.0	7.53117	0.0	53.1779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.1398	626.8862999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	802.9175400000001	0.0	0.0	1803.4232	0.0	0.0	1740.3227899999997	1475.71031	944.21067	3918.6864	41.7485	694.961	39.6726	762.89836
TSC050	0.0	25.9465	79.1021	0.0	991.1032	2214.9581	0.0	215.7143	0.0	0.0	22.7724	18.37635	0.0	0.0	57.4136	102.4239	23.8373	58.9255	52.386660000000006	0.0	0.0	0.0	105.92	0.0	19.5202	0.0	0.0	0.0	0.0	0.0	0.0	55.4552	627.2746200000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1439.1965099999998	0.0	0.0	1516.4062	0.0	0.0	2215.6021100000007	1821.00429	1245.93394	3794.82819	47.78914	871.2395	49.302600000000005	411.47143
TSC069	0.0	137.139	31.3358	0.0	515.6602	839.8466000000001	0.0	248.4526	23.7885	0.0	67.7355	32.8539	0.0	0.0	274.64239999999995	11.4213	0.0	0.0	31.579	0.0	135.777	335.2989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.50310000000002	0.0	330.1355	0.0	663.50618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.19792	0.0	0.0	247.645	0.0	500.5148	2045.4171	1535.7071	236.1021	951.74159	58.00031	471.9741	232.0763	929.6019
TSC077	0.0	0.0	130.4651	0.0	362.5374000000001	238.9314	0.0	48.2329	0.0	0.0	69.2437	0.0	0.0	0.0	64.8792	0.0	0.0	0.0	0.0	0.0	0.0	34.3244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0163	0.0	147.6242	32.5058	45.1305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.6978	0.0	0.0	559.7499	0.0	29.93602	637.8756000000001	340.8483	397.43495999999993	72.63268	62.36687	83.8419	25.51969	536.8407
TSC083	0.0	13.8301	85.3828	0.0	1119.38	693.3745	0.0	503.4578	159.12279999999998	0.0	214.7061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.9048	91.8088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	357.5536	0.0	0.0	0.0	0.0	0.0	13.7778	0.0	0.0	0.0	0.0	596.6796	0.0	0.0	152.226	0.0	57.5909	1432.93322	961.26014	144.82389999999998	405.9802	249.1176	171.7434	154.1873	985.53161
TSC099	0.0	72.2217	20.9833	0.0	624.7125	2117.3961	87.6307	185.6204	65.05420000000001	0.0	0.0	8.75542	0.0	0.0	21.2357	0.0	0.0	0.0	0.0	0.0	0.0	9.10033	103.96161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	351.5761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	470.2596	0.0	0.0	639.906	0.0	24.9937	751.014	408.00770000000006	486.24248	482.99888	263.5884	327.2388	110.4127	540.96687
TSC106	0.0	268.6237	49.3987	0.0	281.4526	842.4368	0.0	65.5377	23.8868	0.0	57.0726	0.0	0.0	0.0	41.7597	0.0	96.0693	28.6233	0.0	0.0	0.0	29.9614	2136.5359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2139.1451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.5144	0.0	0.0	152.1287	0.0	0.0	2965.0282	2813.8451200000004	1378.5986	1844.2313	1930.9745000000005	2641.8693	1511.7898999999998	1774.68282
TSC115	0.0	301.5792	0.0	0.0	73.2696	182.4068	0.0	136.548	0.0	0.0	29.5024	0.0	0.0	0.0	14.0381	56.1891	0.0	18.9716	0.0	0.0	0.0	0.0	36.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6568	372.5375	0.0	10.8336	0.0	0.0	0.0	0.0	0.0	11.0875	0.0	0.0	28.08117	34.596	0.0	391.8409	0.0	0.0	687.504	574.2195	98.31461	339.5916	331.7941	453.7196	352.46739999999994	357.91369999999995
TSC123	7.63366	39.5584	0.0	0.0	492.2039	410.33095	0.0	60.5343	0.0	0.0	206.7985	0.0	0.0	0.0	73.7786	0.0	186.3499	68.3006	0.0	0.0	0.0	48.8202	160.18030000000002	0.0	0.0	0.0	0.0	6.17468	0.0	0.0	16.9353	0.0	501.4296	24.5205	148.0263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	474.11494	0.0	0.0	65.7354	0.0	0.0	911.35637	518.2043000000001	691.4431	605.4718600000001	514.6969	513.6274999999999	239.40319	638.5247999999999
