Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC039	0.0	0.0	1898.9145100000003	233.52410000000003	2609.53578	3260.936	56.65003	0.0	0.0	1261.18609	0.0	0.0	0.0	43.1535	43.429	3048.20042	0.0	413.199	2107.720060000001	1761.49126	1997.3737	0.0	0.0	3174.48963	1795.4739	3544.64413	959.8224	578.8824000000001	3498.2196700000004	1142.63546	281.2787	409.28729	51.923	37.7049	0.0	27.0754	271.14797	198.92647	0.0	380.9562199999999	0.0	137.1475	398.8363000000001	540.5798	17.3024	225.91206	116.6809	147.0658	238.9113	325.78790000000004	535.20615	0.0	466.8490000000001	1360.1764600000004	4699.49426	612.9494	23.3336	34.694900000000004	602.3698	0.0	618.83138	123.152	65.86902
TSC043	0.0	0.0	526.1373000000001	98.39755	4057.0891	1572.5150700000002	0.0	0.0	0.0	513.34809	0.0	0.0	0.0	22.3839	20.9325	2051.08853	0.0	81.5229	1402.37698	2696.8698000000004	1104.6102	0.0	0.0	2807.1801200000004	1407.0242500000002	874.75846	1320.71545	285.04209	2604.136600000001	550.4405	263.20774	40.0508	0.0	7.53117	0.0	124.0881	12.0378	69.6784	0.0	95.9055	0.0	200.15926	156.25423	339.161	56.9269	0.0	84.5813	79.32327000000001	41.5166	50.0554	173.5852	10.9978	338.52079	638.2138399999999	2164.6754	212.1877	212.1877	197.802	76.9965	197.802	197.802	262.80413000000004	62.972
TSC050	0.0	0.0	862.5523400000001	68.83309999999999	3146.3079	2239.06482	9.54492	0.0	22.612	541.0789	0.0	0.0	0.0	9.16667	0.0	2366.30925	0.0	83.18	1132.0266999999997	1433.15129	1342.59535	0.0	12.7047	2349.5080200000007	1163.5627100000002	1460.54083	1572.6718	645.0413000000001	3515.54751	611.70696	206.04136	52.386660000000006	0.0	0.0	0.0	106.03583	35.4935	93.77095	0.0	107.94546	0.0	418.61604	220.53233	593.41949	20.5277	27.245200000000004	159.26903	0.0	217.69064	38.8972	491.67372	30.7993	175.01129	688.1713599999999	1816.0364	47.2467	47.2467	42.18385	605.5119	45.4919	95.5982	55.0419	56.526
TSC069	251.2511	0.0	665.9892	555.63791	1786.9306699999995	1231.1931	642.636	0.0	0.0	764.0069	0.0	0.0	0.0	0.0	0.0	1718.6708399999998	0.0	0.0	1557.68609	2113.24466	1038.0609399999998	55.8956	0.0	3232.6340300000006	2353.2817299999992	1038.913	1126.78427	1161.9804	785.4567	668.5697	770.65707	31.579	335.2989	135.777	55.5825	77.8945	57.43126	219.5661	0.0	1129.6718499999995	134.6905	832.2699999999999	931.2017	805.7980999999999	466.8309	246.58626	486.4216	549.10816	187.1159	661.9068100000001	179.0283	191.5459	1025.05963	622.2677	1575.2850999999998	432.5257	225.2921	107.4426	137.01350000000002	139.9836	130.7612	194.2569	354.5274
TSC077	30.7954	0.0	222.8058	29.2633	1242.82018	805.5861	43.0465	0.0	0.0	614.1797	0.0	0.0	0.0	0.0	0.0	800.1508200000001	0.0	0.0	660.8116899999999	1362.81587	435.34314000000006	0.0	0.0	1172.928	1528.3127000000002	748.829	438.0351	335.375	742.5176	267.7285	246.5359	0.0	34.3244	0.0	0.0	184.2223	116.0377	49.1841	0.0	128.64329999999998	32.078900000000004	40.3257	41.5253	69.89232	0.0	26.20746	258.19652	76.5886	282.15005	176.98155999999997	156.3126	0.0	138.28580000000002	1071.2207	194.64746	11.8166	0.0	84.4908	138.95600000000002	58.0162	119.5704	20.4107	59.0055
TSC083	66.4237	0.0	484.73738	89.8129	2288.94155	793.4707999999999	213.9917	0.0	100.2823	1398.1496799999998	0.0	0.0	0.0	0.0	0.0	1714.61755	0.0	0.0	976.0268	2720.79226	722.1073899999999	0.0	0.0	2779.01208	1888.4949000000004	855.2198000000001	1230.6579499999998	234.07785	1322.45176	1140.4642	440.5356	0.0	83.9048	0.0	0.0	240.5039	291.07436	203.2151	0.0	299.03000000000003	161.3198	148.98433999999995	354.892	465.46479	96.4346	164.04559999999998	401.7567	367.4061	321.1119	284.0845	603.8719000000001	0.0	333.5435	1431.4690000000005	229.5285	246.8039	265.7991	74.8387	1028.0262	48.3181	89.6541	53.7364	139.7213
TSC099	0.0	0.0	634.229	236.61231	2790.20019	877.69386	121.95672	0.0	159.7157	888.2193	0.0	0.0	0.0	0.0	0.0	1236.84983	0.0	40.236	908.7449299999998	2977.73379	606.0100600000001	0.0	0.0	1786.7476199999996	2240.9992	401.14183	586.83232	367.5806	1885.6907	512.9476	472.626	0.0	9.10033	0.0	0.0	133.8302	321.80214	170.1906	0.0	232.5923	251.344	74.58005	229.1101	184.1373	142.41049999999998	161.8381	305.91445	270.1122	455.61767	367.2360800000001	859.4098099999999	13.7352	399.24949	1888.3147	83.0728	158.4721	141.5845	141.5845	234.6747	280.76692	279.84860000000003	263.4664	121.0033
TSC106	67.7441	0.0	1517.2741999999998	1227.92418	3745.7574	1516.237	233.101	105.5443	1026.007	629.4173999999999	0.0	0.0	0.0	0.0	0.0	3413.4581000000003	0.0	0.0	876.05285	3804.81078	2021.2469	0.0	0.0	3019.37771	2811.619200000001	2216.7756000000004	1816.1284000000005	500.304	1911.1853	814.0301900000001	2617.954	0.0	29.9614	0.0	0.0	163.1418	3177.22	1648.4607	0.0	2546.5348000000004	10.1089	1015.6342	2303.277	2255.6045	1550.8945	1524.0212	1847.7395	2600.5509	3042.808	1872.10104	3083.8548	16.4842	409.6004	2128.6534	1055.9722	2356.4615	2309.37303	2405.4464299999995	2955.4154	2317.5649	2336.69965	2663.951	1546.1804999999997
TSC115	17.356	0.0	1068.366	428.1155899999999	1395.3625299999997	422.89922	102.4822	0.0	256.1725	257.40430000000003	0.0	0.0	0.0	0.0	0.0	1475.10722	0.0	28.4208	779.98777	1512.2173000000005	363.2877	0.0	81.45420000000001	1139.51321	899.2918999999999	430.80089	227.5537	71.0525	712.2824	515.295	425.76715	0.0	0.0	0.0	293.377	0.0	310.80920000000003	551.7449899999999	0.0	622.14402	0.0	93.2954	783.5566	452.3424	318.2587	341.854	1298.0646000000002	857.9623399999999	719.1221	470.27523	621.72799	0.0	1365.18813	814.6567	117.688	350.8942	300.2622	271.0362	413.239	271.18396	249.0424	336.2627	228.007
TSC123	0.0	0.0	541.4497200000001	815.7532799999999	2522.357320000001	943.07799	271.2677	0.0	157.06711	837.7152199999999	0.0	0.0	0.0	0.0	0.0	2290.63328	0.0	249.481	1062.768	1425.61526	744.9508	0.0	0.0	1449.4138799999998	1715.5337	535.52614	516.76755	251.20026	736.5202	1037.55083	490.1034	0.0	48.8202	0.0	0.0	260.75370000000004	98.72935	183.8344	0.0	520.4271	114.6926	495.2543	136.7664	182.08139000000003	373.42433	461.0729	618.2078	1010.2891	183.5193	403.1277	446.1319499999999	36.6451	486.29078	1153.3503500000002	207.6185	157.9724	93.1712	199.1424	652.0788	44.4635	116.1126	200.8565	207.1195
TSC132	0.0	20.3958	596.3558	313.96885	2404.18744	812.3546600000001	113.4531	0.0	0.0	1284.1998	0.0	0.0	0.0	0.0	0.0	1733.9699500000004	0.0	96.802	916.254	2907.988330000001	497.87450000000007	152.0761	0.0	2160.70416	2594.9255000000003	792.9238	791.7193599999999	776.19519	1634.71304	613.4242	536.3891	47.29097	0.0	0.0	178.0633	96.52097	0.0	404.0066000000001	0.0	397.95914	24.5255	229.3529	312.9585000000001	190.72375	187.4568	231.8232	524.78757	748.6343	37.14233	241.7197	352.3972	187.6528	586.5723	1863.17525	90.8663	368.2481	143.5222	143.5222	250.56848	182.0055	194.5035	81.44057000000001	91.12863
TSC144	77.88669999999999	17.9225	1546.32931	8.48441	3382.8246500000005	2413.1056000000003	476.9135	0.0	0.0	929.89092	0.0	0.0	0.0	42.7734	0.0	1706.47121	0.0	0.0	1488.4329	1877.6652	1227.33408	0.0	92.6896	2602.70021	1397.53888	1149.66576	962.5196500000002	709.7663200000001	869.9182999999998	2172.8131700000004	625.6969999999999	0.0	0.0	15.9595	0.0	218.50198	12.9238	256.96130000000005	0.0	658.1083299999998	118.49914	308.62341000000004	254.79103	268.49927	138.5283	227.50761	128.97433	384.2153200000001	483.8496	108.7361	1078.81584	0.0	797.5105	720.5043700000001	476.6323	194.5803	109.72854	440.352	664.2397	148.2126	397.55223	468.46182	152.2142
TSC151	43.5091	10.4365	825.8695200000001	99.5191	2664.33351	856.9824800000002	54.3211	0.0	15.1113	1404.93082	0.0	0.0	0.0	0.0	0.0	1472.07643	8.98145	0.0	666.342	1407.86769	704.0215	0.0	0.0	755.44588	2603.74789	434.12540000000007	759.79791	300.58391	1599.3897900000002	787.7862500000001	499.6827	24.0092	0.0	0.0	0.0	174.2431	85.41229999999999	248.8937	0.0	174.09789999999998	335.8933	19.626	107.46998	101.38961	84.01159999999999	129.45973999999998	497.19947	393.3996	54.0456	73.8005	188.87368	0.0	378.88419	802.2135000000001	75.4751	345.9064	248.1729	160.79219999999998	240.59541	77.4092	100.0163	196.7572	43.0128
TSC155	83.0305	0.0	1307.6157400000002	445.60632	3795.182170000001	2348.0995700000003	196.77192	133.0631	98.0812	2508.3811100000003	0.0	0.0	0.0	23.9855	0.0	2971.02611	0.0	0.0	1886.09797	2997.9996700000006	1323.02269	174.011	177.792	5195.54272	2937.7815300000007	3019.0142	2412.041800000001	2026.19761	3427.28291	2006.86789	1516.27434	42.13428	12.1272	42.6443	0.0	427.06499	162.06909000000002	136.5949	0.0	547.5676000000001	592.83738	148.4676	375.3491	353.30091	396.67214	123.7377	537.13466	451.06975	509.02994	641.21277	829.41832	237.71447	195.46582999999995	1267.7871999999998	532.2804	146.4472	316.60093	292.61326	870.1283999999999	237.2934	547.6429	495.5185	316.13
TSC158	61.5846	0.0	1455.8199700000002	642.31989	4198.81899	752.48671	21.7669	50.9106	37.4604	2612.9417	0.0	0.0	0.0	0.0	0.0	2285.43847	0.0	51.1005	1241.74369	3582.37336	1622.0752000000002	0.0	0.0	2359.2427299999995	1800.8044100000004	1400.26832	1000.6462899999998	662.2832	1752.1143000000002	788.39281	1367.4659000000004	127.5128	0.0	0.0	0.0	47.8024	266.6955	143.27931	0.0	721.4992	181.5528	254.63792	477.5225	469.92337	148.92340000000002	122.2442	157.0839	198.5334	303.4368	721.3437	742.6399400000001	0.0	51.8641	1482.0558	246.0922	171.91610000000003	81.3716	132.7697	477.6503	289.02011	398.11961	513.2244	230.0966
TSC162	54.723600000000005	0.0	1192.3482	359.1337	2624.6518399999995	1004.2972	55.89	32.9261	360.7704	2083.2338	0.0	0.0	0.0	0.0	0.0	1780.84515	184.6346	0.0	1102.05957	3460.617800000001	1325.0807300000006	0.0	0.0	1956.00413	2158.719	1534.5386	995.6410999999998	1116.3953	1544.2882	1186.463	611.9244	0.0	106.8903	19.3451	0.0	120.3338	181.93887	194.39509	0.0	499.4106	60.2459	680.2307	680.7046	449.4373	69.5716	34.6447	226.37899	305.97213000000005	696.1489000000001	377.99298	967.9021	0.0	244.04370000000003	769.9791999999999	427.72126	383.7837	320.4177	159.08464999999998	417.0514	187.5568	114.8145	193.9967	182.3202
TSC166	14.7096	105.2267	1625.4323499999996	398.3423	2956.167379999999	1462.5516300000002	63.678	38.3155	77.4002	1050.6839	0.0	0.0	0.0	0.0	0.0	2607.9199300000005	9.18987	0.0	1338.9408000000003	2287.80748	716.49653	51.3416	226.4307	2626.51098	1676.02247	997.54535	812.79672	558.3489800000001	2583.20547	1092.5764700000002	574.90631	80.1855	16.9654	51.4507	0.0	199.4713	58.1974	224.0006	0.0	414.2565	170.87579999999997	117.7904	241.0248	465.02	20.5613	192.10351000000003	140.22152	173.4858	435.249	373.50449	605.62028	367.2457	244.249	534.5742	478.8019000000001	416.0349	143.90269999999998	143.90269999999998	199.77689	89.9699	151.9549	213.54286	118.65052
TSC169	18.4337	0.0	758.8688599999999	191.6403	2574.5345700000007	1017.31165	30.8107	8.84283	0.0	1015.1086	0.0	0.0	0.0	0.0	0.0	1677.5910399999998	30.2558	28.8075	861.1601800000001	3689.466109999999	730.4508999999999	0.0	0.0	1885.01507	1637.0967100000005	1847.6876	455.6260999999999	834.3613499999999	2335.23812	867.5499799999999	899.3933999999999	35.5768	0.0	0.0	0.0	54.0336	53.3638	183.59884	0.0	375.9286	134.193	37.4465	283.1926	145.4024	0.0	33.348969999999994	165.01845	158.1205	232.6673	449.9879	354.6253	0.0	377.5699	604.0368	742.3931000000001	173.7263	59.4731	145.21980000000002	295.6268	59.4731	149.0512	159.61650000000003	117.1227
TSC172	159.4557	0.0	250.75765	375.16138	3078.77163	1204.8492499999998	85.79412	0.0	0.0	601.08098	0.0	0.0	0.0	0.0	47.7215	794.4001100000003	60.2419	11.4171	1039.99106	1355.95688	642.65625	0.0	0.0	807.2855800000001	1125.68415	623.74476	579.66992	399.76628	785.5286400000001	608.3671399999998	225.41509	7.81244	0.0	0.0	0.0	9.05226	205.36277	109.96131	0.0	457.00858	72.30619999999999	453.5126	313.66988000000003	357.14379	91.44343	82.15115	398.43377	277.46461	172.65480000000002	640.17702	541.3537999999999	11.7967	699.8908899999999	630.4997000000001	764.4616	268.4854	178.96030000000002	138.5762	133.50194000000002	46.8567	91.1666	70.56833	114.84846
TSC180	46.7525	0.0	459.16010000000006	533.0433	3008.20072	964.9691999999998	146.6391	45.04867	13.046	930.58682	0.0	0.0	0.0	0.0	52.6439	1974.64323	258.432	0.0	778.9821	2362.87676	1123.5078600000002	38.1679	195.5038	966.14918	1752.404720000001	522.31794	711.8547100000001	570.1851600000001	846.3091	538.0165999999999	524.0522100000001	0.0	89.005	0.0	280.3646	121.4217	82.79323	332.92841	0.0	448.78578	313.68061	368.24333	232.82711	349.74965999999995	80.3415	89.6843	420.62254	458.4451	83.74149	328.69467000000003	256.8917	0.0	353.9144	1316.89899	531.1341	298.85830000000004	208.7994	129.7503	85.2003	180.03055	167.7457	218.5731	111.80929999999998
