Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC000	23.1863	66.7903	3915.109	109.8518	6274.339919999998	3065.7928999999995	156.74630000000002	0.0	250.4591	4281.489649999999	0.0	0.0	0.0	0.0	0.0	6202.299379999999	0.0	0.0	2495.2569	5043.4636	2167.57882	0.0	227.2217	4552.494029999999	1998.7368	2168.07024	1352.99397	1449.1204999999995	2708.5146	1677.5773000000004	808.3448999999999	0.0	168.69670000000002	183.6233	0.0	536.4477500000002	0.0	2845.3671	0.0	4494.0915	45.7295	236.70743	658.2859	1312.1077799999996	1053.2493	1626.2123999999997	5412.099999999999	5740.397499999998	75.52194999999999	96.5694	1103.3940000000002	47.2694	576.0377299999999	2380.5083000000004	563.1818	215.4708	129.1263	79.3802	1768.1222000000002	887.7658999999999	29.6609	37.6484	209.2381
TSC001	32.168800000000005	23.4658	6517.745000000001	401.2411000000001	3848.51603	1565.1282	812.9376	0.0	365.2723	3681.579310000001	0.0	0.0	0.0	0.0	0.0	7754.53094	0.0	35.295	2069.31194	4543.60848	1059.4459000000002	101.513	2061.9573200000004	1759.4597799999992	1705.1071000000002	625.11375	502.7181999999999	989.76688	1491.7563799999998	822.12249	660.4112600000001	9.68371	64.2793	171.2443	0.0	338.44814	82.4497	1170.8399900000002	100.6803	2394.0615299999995	31.684800000000003	349.08239999999995	2625.6306	2729.40405	3162.3472	2003.5473	6106.149700000003	5355.678699999999	276.1053	780.8835399999999	570.0783	0.0	479.38548	1728.8414000000005	514.4078000000001	243.9679	165.88119999999998	97.3055	1209.9457	218.508	228.9881	302.0323	1367.9817
TSC002	0.0	0.0	1194.2484	122.3383	1122.5659599999997	711.8153500000001	77.7732	0.0	165.00019999999998	354.12017000000003	0.0	0.0	0.0	0.0	0.0	1019.2321	0.0	0.0	641.7175799999999	1339.8521	459.43209999999993	0.0	99.377	882.6098299999998	346.18610000000007	482.37028	396.06358	352.66862000000003	690.6519999999999	683.8977	458.4169999999999	0.0	21.7316	104.0902	57.0941	0.0	183.223	311.56849000000005	13.0224	765.9966000000001	15.4774	220.39374	397.3674	716.0037	539.7926	175.8122	1762.3425	2023.5700000000004	818.91698	202.793	159.4884	94.0686	152.00074	628.8101999999999	0.0	45.8912	45.8912	45.8912	275.9531	89.1772	89.1772	89.1772	207.06860000000003
TSC003	32.3413	128.409	1924.9316	189.1491	2304.1669	1205.7627	83.0632	0.0	192.7722	1863.5074	0.0	0.0	0.0	0.0	0.0	3123.26998	0.0	0.0	576.47039	3804.241500000001	1487.9818	277.042	324.96590000000003	1341.4886000000004	719.5053	532.54152	504.7202	476.7223	447.2592	454.2193	571.8813	0.0	0.0	80.045	294.139	397.7691	189.3541	1800.8119	272.5601	1900.1927	0.0	162.6226	1657.3258999999998	1045.9694	1037.8827	395.0852	4115.301899999999	2045.3277	144.38188	274.2488	188.4272	0.0	641.4087999999999	879.6460999999999	311.91779999999994	641.3162	398.3348	74.71340000000001	375.4980000000001	0.0	0.0	0.0	743.3957999999999
TSC004	12.5712	0.0	3168.536400000001	728.9103799999999	5359.021460000001	2078.3319999999994	554.1645	0.0	59.2045	3107.9896699999995	0.0	0.0	0.0	0.0	0.0	3940.93472	0.0	235.2392	2300.02478	4290.81167	1577.9178000000004	196.41	1108.81815	3944.463529999999	1983.54054	1171.84623	2214.2817399999994	2348.61268	3871.07594	1965.5267599999995	741.1049999999998	0.0	0.0	110.4004	0.0	753.3820900000001	128.1389	1264.0757200000005	84.02690000000001	4567.816640000002	216.65498	226.29631	1525.5235999999998	1354.7595	1969.46426	1832.87074	4210.09376	4456.340040000002	248.06308	326.37659999999994	717.2857599999999	236.713	482.58768	1702.3151899999998	653.7942999999999	308.674	109.9972	130.3107	615.74662	239.7995	144.0188	376.3728	514.3969000000001
TSC005	91.8569	382.6532	2733.2435399999995	662.1592	5824.160540000002	3331.232189999999	471.88069999999993	11.9014	199.97860000000003	3724.0997000000007	0.0	0.0	0.0	0.0	0.0	5579.760030000001	0.0	0.0	1878.07459	4558.77728	3369.4834	74.3543	140.42607	2776.9107699999995	1593.9322	1083.1826999999998	1334.1284	1046.48807	1879.776	1397.7985799999997	1204.3147999999997	92.2994	218.0541	188.0219	51.2278	558.5627000000001	175.8342	1987.6788	1005.9607	3919.7505899999983	91.3981	676.5626000000001	3697.87938	3339.644099999999	1788.9437000000005	1521.1861	3390.1779	3377.876439999998	262.6825	771.5076400000002	600.67761	183.2255	1066.3843	2787.82646	1512.1927999999998	213.50959	181.54960000000003	164.0869	402.6586	159.19250000000002	212.56850000000003	305.8466	964.58938
TSC006	0.0	0.0	4038.6828800000008	141.37891	4646.525389999999	2192.855510000001	242.95980000000003	0.0	37.6594	3251.087120000001	0.0	0.0	0.0	0.0	0.0	5208.877380000003	0.0	0.0	1572.9860399999998	5875.515800000002	2805.67996	0.0	1711.80089	1813.67645	1303.9788	1127.0708100000002	783.46766	521.5120599999999	1789.00726	1402.7818000000002	1626.14622	0.0	0.0	219.537	2263.375	787.2141999999999	85.13409999999999	995.2191599999998	275.5348	4861.75589	152.4845	149.75196	3613.8143499999983	3506.3569	1424.3581	922.4062	3180.9094599999994	3483.70697	116.086	770.0056000000002	1537.1919	21.7778	619.8421	1109.0549499999995	930.4189	72.13380000000001	72.13380000000001	105.8791	2977.1861000000004	3005.9822	274.6266	252.5268	1037.0336
TSC008	98.2651	22.2585	4779.224899999999	401.6265	5566.666499999997	1837.841	518.6768	0.0	115.5196	3723.5372	0.0	0.0	0.0	0.0	0.0	6693.643169999999	0.0	0.0	1510.9708500000006	5915.348549999997	1137.848	0.0	1413.627	1936.30243	1496.97014	1096.27725	1552.82445	801.36535	2074.802089999999	1013.8135	1391.21267	0.0	0.0	0.0	2619.471	616.6843700000001	132.6702	1115.6050999999998	269.0119	2627.67055	102.1879	50.14797	2369.1421	2978.5269	1673.2702	456.0093	3203.02625	4163.497400000001	164.80713	1786.4011	319.77540000000005	16.1859	975.8969899999998	1667.7529100000004	704.46485	355.71199999999993	359.7944	337.50969999999995	578.4872	305.0455	386.7721	418.7482	579.4533
TSC011	0.0	79.1336	1498.64282	27.1249	1783.4603199999997	828.5242	405.2352	11.4872	142.3111	441.4887	0.0	0.0	0.0	0.0	0.0	1273.0004300000005	0.0	29.3173	441.6123500000001	1540.5446	641.6761000000001	168.9239	110.0776	983.69942	539.9522999999999	94.6316	310.97369999999995	351.31287	792.9566999999997	449.6219200000001	322.51472000000007	29.5698	0.0	32.2444	30.1718	920.10441	36.7449	1170.9068000000002	564.5664899999999	808.8066100000001	18.66558	85.96860000000001	1354.9110500000002	791.67945	737.9887	391.6639	1376.83375	1465.957590000001	113.2068	330.28860000000003	259.97673000000003	0.0	89.27303	297.71149999999994	127.3731	54.0044	108.4022	94.6214	108.1797	23.8123	42.9723	33.9517	213.8158
TSC013	0.0	24.2871	2400.2356	18.8883	2269.6141700000007	990.99745	76.30246	0.0	44.69563	1264.2267	0.0	0.0	0.0	0.0	0.0	2356.691999999999	0.0	0.0	506.7909	3434.7499999999995	633.85979	0.0	123.7114	795.94168	591.2592	160.42839999999998	286.1889	117.4622	587.4637	201.7205	444.4166	0.0	0.0	71.2373	110.306	344.1735	110.3227	1122.3060100000002	469.7777	1464.7040000000002	0.0	58.14688	2015.7389000000005	982.43692	713.4763	674.33724	1429.5265199999997	1165.03448	34.36134	191.55650000000003	181.8197	193.8082	307.19665	1023.45592	200.8743	176.7318	86.30919999999999	89.34479999999999	413.0723	182.6744	182.6744	197.79469999999995	440.7981
