Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC141	15.2549	0.0	2653.8436	41.4497	2300.1646400000004	2464.904700000001	0.0	0.0	20.7308	3562.642400000001	0.0	0.0	0.0	0.0	13.1454	3929.72024	0.0	0.0	3891.7091	5257.454780000001	1139.601	28.3124	1277.9753999999998	3636.5821	1331.0354	496.5099	866.0203999999999	1421.7753	4451.151699999999	1187.142	624.35054	24.0649	0.0	0.0	0.0	435.8886	126.6525	246.0465	0.0	2529.6493	560.642	304.2375	1176.2823999999998	1411.7582999999995	101.8613	101.8613	135.9582	340.4211	42.7156	21.7114	541.1035199999999	14.7241	624.9812	940.7486	875.2318	18.317	18.317	18.317	18.317	18.317	41.7128	18.317	0.0
TSC145	0.0	0.0	1978.9379	0.0	4010.2407	1723.935	0.0	0.0	0.0	5185.081800000001	0.0	0.0	0.0	0.0	0.0	4226.829429999999	0.0	0.0	5552.157470000001	7371.777739999999	360.7278	0.0	1102.6668000000002	6042.082600000001	1179.3873	3013.4488000000006	3950.6122	2065.9745000000003	5001.1797	1637.1340999999998	3039.0558	148.704	0.0	0.0	0.0	31.8313	0.0	108.0204	0.0	1412.2892	46.1712	0.0	914.4918	901.7074	0.0	0.0	191.53395	636.7663	23.493	12.7547	664.6855	0.0	2276.27398	1402.9608	897.0085000000001	14.1248	0.0	22.37022	0.0	6.8858	0.0	0.0	0.0
TSC245	71.41616	65.7441	2897.8222	118.5751	4407.852260000001	3001.44082	77.6019	0.0	232.1109	2434.0476500000004	0.0	0.0	0.0	0.0	0.0	6549.426550000001	0.0	64.9363	3952.2439	3068.1377	2134.8140000000003	0.0	499.81000000000006	3048.91334	1135.5368999999998	1729.79453	832.31507	578.4123800000001	1474.89262	1594.2021000000002	1493.2958	156.656	99.2698	79.5075	129.0447	220.4539	56.193560000000005	1116.9281	0.0	1757.1298	285.8185	427.55779999999993	1093.2732000000003	1273.4163	544.3589400000001	428.5292	1676.4967	1593.01408	203.2644	123.93023	763.07526	0.0	532.1234	1129.3445	789.5489000000001	141.81369999999998	100.204	100.204	694.97378	102.18757	96.9325	82.1202	318.3276
TSC248	169.18370000000002	0.0	2173.722	143.97789999999998	4591.523699999999	2821.58796	54.0573	0.0	18.4799	3859.945699999999	0.0	0.0	0.0	0.0	0.0	3559.9219700000003	0.0	0.0	3198.8722999999995	6139.33047	1268.9232900000002	0.0	24.44405	4890.363199999999	1388.1786	1666.0774	1190.2884	1321.8495400000002	1730.6733	833.07397	622.2869999999999	60.3651	0.0	0.0	0.0	12.6597	56.8847	831.5059	0.0	1517.2924499999997	0.0	538.68171	170.18290000000002	454.242	585.4472000000001	194.1978	1399.2867199999998	972.85665	56.964	533.58531	488.7241	33.18837	1381.3164000000002	749.9519	1859.38866	90.9479	90.9479	90.9479	124.2607	90.9479	103.4997	90.9479	93.09703
TSC251	68.8791	0.0	1216.695	69.8664	5133.664340000002	3254.5932399999992	147.7321	0.0	56.7862	802.5473999999999	0.0	0.0	0.0	0.0	0.0	3362.394	0.0	0.0	3229.9763200000007	4775.412199999999	1278.7921	0.0	107.9749	5450.619139999999	1412.3527999999997	848.7794999999999	583.0311999999999	1056.5038	1616.9104999999995	2393.8795	2827.96113	48.5711	0.0	0.0	0.0	279.8881	157.304	3150.66583	0.0	2677.6784	0.0	1695.111	556.58154	1958.5710100000008	1509.57983	404.63905	2999.59369	1434.0911	114.8181	715.01351	716.6469199999999	0.0	1467.46324	2357.885	344.42602	450.81156	435.86036	426.84	461.68376	221.7471	259.92048	260.91968	433.7864
TSC254	0.0	0.0	4081.42858	506.04296	5638.978000000001	4103.407699999999	14.5156	0.0	0.0	1717.0437000000002	0.0	0.0	0.0	146.673	0.0	5097.4787	0.0	0.0	2996.9943400000006	5187.6852	1740.9924	0.0	135.72950000000003	4360.146700000001	1059.0223999999998	1645.1415499999998	2020.495	3046.682799999999	3151.9168	1572.7286	2333.1707	19.9359	0.0	0.0	0.0	120.579	84.4154	4085.40789	0.0	3848.9696	0.0	1211.4917999999998	489.41919	1701.96779	649.0522000000001	577.5892	1989.265	1551.0951000000002	49.1888	545.7459	467.16960000000006	16.75922	2461.2224	1745.0195	1346.1241999999995	509.3095	228.1626	228.1626	275.97170000000006	103.3286	149.2595	175.0813	245.1548
TSC257	0.0	0.0	1443.7929	162.19639999999998	5119.957	3073.3488000000007	0.0	0.0	20.5703	1268.0077	0.0	0.0	0.0	21.228	0.0	2509.9263	0.0	0.0	2229.3046000000004	4270.3231000000005	1218.3247	0.0	20.7722	4041.601309999999	867.3752	2543.8807000000006	1223.4862	1582.5500000000002	1784.6239	1757.161	1633.2143	194.056	0.0	0.0	0.0	32.3347	147.19265	2080.9968	0.0	2372.7888000000003	0.0	1860.78751	462.0803	1191.7819	748.4986	609.9136	1695.0639	1536.4426000000003	182.889	923.3715	1590.62327	0.0	822.6391199999999	1662.3769	622.24562	684.2229	613.9471	613.9471	825.8579	594.979	781.1511	704.0278000000001	683.34682
TSC259	33.8161	0.0	2657.2499000000003	351.763	4379.31146	4154.02008	71.3625	0.0	18.824	1547.7647999999997	0.0	0.0	0.0	21.2912	0.0	3880.2256	0.0	0.0	3236.7791900000007	7032.60679	1351.8361000000002	0.0	381.9053	4552.06803	1273.0819	1894.84456	2127.01666	1707.359	2325.41364	1719.8336	2015.0286	0.0	0.0	0.0	0.0	54.1138	768.0704999999999	1789.9399099999998	0.0	2367.43151	0.0	1753.85475	448.9916	1154.176	216.558	245.0849	2219.3287900000005	1399.76717	104.97039	254.42813	588.4735	9.5624	910.66869	888.2717199999998	455.5079	341.93460000000005	364.43756	364.43756	411.78558	346.2633	760.8646	809.1138000000001	199.457
TSC261	45.4451	0.0	1415.20187	85.38640000000001	3214.9347700000003	2748.0209000000004	254.9524	0.0	0.0	1474.3086999999996	0.0	0.0	0.0	257.0159	0.0	2616.6574900000005	0.0	0.0	1935.32059	4788.4086800000005	1299.7379	0.0	130.6374	3507.16714	1361.51087	1984.9391	1389.8732999999995	1707.3796	1399.3655	2164.2026000000005	1852.9279	17.1875	0.0	0.0	0.0	90.8091	466.0896	2336.3015	0.0	3679.591120000001	0.0	1042.7438000000002	686.3954200000001	1191.7715999999996	933.5583	316.21220000000005	1319.1032999999998	1468.5551000000005	0.0	827.8198	610.068	39.0381	640.5632999999999	1125.5203	842.0023999999999	542.2354	437.1114	437.1114	541.3074	376.9692	429.9704	582.583	383.75818
TSC264	59.50094	9.88646	1054.06985	21.51805	3333.714150000001	1888.1180300000003	0.0	0.0	0.0	1349.3319000000004	0.0	0.0	0.0	106.0778	0.0	2042.06476	0.0	0.0	2301.9714	3353.3926799999995	697.7202000000001	26.0146	17.469	2847.28366	562.19057	788.5112999999999	423.2612	717.9828800000001	989.97699	1285.60199	1127.40686	32.1516	0.0	0.0	0.0	0.0	247.39331	627.6315999999999	0.0	1618.6671199999998	18.6548	481.67485	435.5674800000001	794.2068399999999	105.8596	132.3698	439.2886	703.1660000000002	67.3503	657.3238	749.1949000000003	0.0	750.2627	981.55066	234.0293	339.39239999999995	339.39239999999995	270.3469	189.3033	189.4838	240.2968	258.9707	224.7673
TSC265	23.3358	0.0	1708.5214099999998	255.2336	4372.735529999999	2716.371339999999	184.60394	0.0	70.6745	2941.36598	0.0	0.0	0.0	204.2275	0.0	3196.4882000000007	0.0	0.0	2713.7235399999995	4953.985009999999	1415.3591	9.13663	209.91436	4238.989329999999	548.8425	1298.4058800000005	952.34239	1240.75299	1313.7322	1228.2610600000005	1291.9078500000005	70.1533	23.7367	0.0	0.0	103.89513	174.3394	1325.1464	0.0	1920.06888	169.0164	751.4247999999999	1188.95673	1172.42998	305.435	424.9077	799.05593	1649.70056	267.4013	665.3525000000001	1002.73408	47.63975	865.08989	992.6995	640.9023	565.27991	478.0153	356.21270000000004	428.494	29.363100000000003	105.0488	73.2922	473.2355
TSC267	74.1308	0.0	3326.781110000001	116.6535	3963.28369	2116.36403	80.9696	0.0	0.0	2127.66839	0.0	0.0	0.0	17.6288	0.0	3566.13731	0.0	0.0	2744.355789999999	4678.887090000001	1189.2569199999998	11.4916	561.67617	4541.019889999999	1314.1971	1483.4738200000002	1563.3041000000003	818.0726	4471.2374	1717.10939	1030.09504	0.0	34.2647	201.424	0.0	47.0563	178.02919	1178.87081	0.0	1345.88326	8.90826	301.32673	537.46974	927.58395	134.427	139.3885	487.42576	1096.5428600000005	42.31569	109.10677	753.8505	0.0	738.0232900000001	1608.68338	462.9391	50.74134	50.74134	41.7428	63.0928	58.36710000000001	58.36710000000001	58.6944	95.71968
TSC268	22.737	0.0	1182.1206	108.0323	2509.26393	2211.33394	113.5617	0.0	0.0	1249.5991	0.0	0.0	0.0	146.7344	0.0	1765.1947999999998	0.0	0.0	2602.9172	1988.13866	1052.91	0.0	242.65048	3751.519	812.6843399999999	782.3315599999999	472.5031	733.82134	1166.1253	820.988	1120.30174	0.0	0.0	0.0	0.0	120.71134	159.1659	827.30813	0.0	1170.4130000000002	64.30514	617.6358	478.8255999999999	946.0406399999998	290.0821	132.9222	721.7632699999999	1427.9508000000003	63.7455	255.8218	388.4849	0.0	397.83615	502.7808	371.78379	172.6197	172.6197	185.7212	144.1776	115.8318	130.28740000000002	129.2487	177.17135000000002
