Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC039	11776.646109999998	55673.614909999975	24932.48048000002	28062.350660000007	214170.0271300001	14955.75015	134023.52306999985	53082.20603000004	30120.05525999999	47491.19337999995	17312.476780000005	76381.04409000001	87115.53156	14989.099289999998	38837.90485000004	234999.0050399996	34852.02429999999	8994.046499999999	21973.93991	11345.05067	41189.219490000025	34252.00909	8407.077759999996	30212.329169999983	49283.34418000004	20170.01375000001	50868.291000000005	50365.33651000006	40743.82901	76043.31762000009	67820.24955000004	38188.25338000002	19693.32350000001	140554.1457199999	80753.3888299999	162254.40605000017	21316.879130000005	46054.55196999998	79785.97337000007	28918.655499999968	22229.09779	10803.66413	133030.6324000001	152464.00110999984	181851.0799400001	57446.39769000005	187073.32294	65365.87184999998	50143.38052999998	12523.367439999998	24693.38723000001	19817.26569	32524.390600000017	29358.64969000001	32807.89996999997	44353.60438999999	116388.02579999996	267902.1556799998	163863.96419000014	62960.19689000003	61388.94265999999	33027.70102000001	142644.14446000007	43710.39164999996	56027.61704999997	78399.55988000002	28283.4531	11022.419129999998	32374.30934000004	74915.82243000004	11222.310660000006	21288.48211	80636.1210099999	53154.23362999997	90961.68703999998	102517.38754000004	125760.28128999994	50259.62982000008	29171.050579999992	47009.87325	76743.49975999995	37666.953269999976	22836.619240000004	37803.61789000002	28451.89638	42591.26935999996	22711.35100999999	288126.21319999924
TSC043	7860.565359999998	41323.92801999998	20738.203500000003	24347.586709999992	197381.7050400001	11623.697760000005	109564.05189	33283.89032999999	24706.218269999983	33272.400969999995	13066.121799999994	51805.72865000004	74250.55244999996	10645.389409999998	30266.52606999997	180846.4213999994	26562.80564	5744.7740300000005	15115.408070000003	8635.603350000001	36092.89014999996	21735.109000000008	7493.51791	20951.997830000008	28453.446399999968	15277.797609999994	37402.35663999999	39923.17252999996	29143.13126999998	48103.48662999996	54165.49433999999	28164.805780000013	11794.38647	102509.26328999996	70544.99688999995	111334.24392000012	13105.132740000005	27711.699540000016	60503.45843000004	16981.542770000004	12606.286859999997	5758.803360000001	103407.32319000008	125885.93302	131776.57099000007	42790.60956	179423.80302000008	47055.438400000014	37926.39677	8702.256679999999	22802.11127	13472.025160000005	19476.20169000001	18094.81292	23904.539730000008	35443.60134	95320.73621999998	209422.54083000025	133228.7435300001	42405.46484999996	44905.45795999999	21592.32919	99743.06517000005	32305.751940000013	36722.18464999998	64732.27255999998	23396.70622999999	10186.36685	19800.678050000017	60866.44798999994	7297.416140000003	14744.819250000002	56823.08344999996	41601.35685	68377.24935999999	78794.69402	97339.06940999998	41343.59102999999	20439.513610000013	35457.95653	65107.70406999996	26975.30536999998	18786.27039000001	33049.07349000002	18756.73564000001	29464.491820000003	18583.622090000004	204409.24052000005
TSC050	9411.582430000004	42514.55588999998	21968.698309999985	23452.83010999999	186631.38814000008	14022.077699999994	112156.10082999984	38115.92238999998	25876.49515000001	36623.25538000002	13334.661920000006	53263.10873000002	71876.82306000002	11706.96497	30584.90145	180280.1179900001	25336.08163000001	7540.50174	17122.850160000005	7980.977470000002	37023.27540999999	25015.918099999988	7554.085549999999	23947.816020000013	34116.93926000004	17778.935230000003	41937.59757999999	44038.96947999998	31142.125179999977	57263.51341999993	51422.85406999995	30942.131780000003	13223.59939	111855.4944599998	69637.50316999991	116659.69855000007	16201.21599	32758.71931000001	62631.25362	21197.17856	13397.907499999996	6784.74138	108256.71225000011	130066.51780999987	141667.85404	42326.666009999964	164994.48426999996	50988.18251999991	43925.14964	10104.158039999997	24208.68101999997	16211.97932000001	23310.870500000023	22306.610590000008	24561.14804000003	38436.13994	97217.40762999996	214224.5681399994	139102.39549000014	43615.43051999999	51020.96529999992	22987.92373000001	110397.91076000004	32897.86982000001	39898.82294999999	63127.78592000009	24582.348900000005	10694.320469999995	18573.95363	61425.74333999999	7722.690380000003	17523.70611999998	61356.453589999925	46592.03804000001	71748.90167999998	86257.13954	96861.13825000002	42306.87511	21493.4285	39628.39856000002	63024.67123999997	26418.27318999999	16929.466080000006	31129.951789999977	22210.37019	26687.649139999976	20146.24706	212921.54847000027
TSC069	9123.696210000007	39085.242220000015	23230.83223	27434.67617999999	196987.7939299997	10707.44224	116953.39865999992	36381.37688000001	15723.631530000004	34275.57940999998	14342.231980000002	54053.38761000001	76618.31111000002	9272.84935	28412.900440000005	184872.4967400001	27367.90178	6238.610729999999	12345.119590000008	10473.755009999995	17067.413869999997	17845.006230000006	7924.787639999999	21503.79971	42007.28497000005	12303.446590000003	26801.42874	44073.55274999994	31449.42839	55164.12426	46198.06223	26642.65952000001	19304.97983	111510.01741	85716.05070000005	124657.13714000004	12409.83615	29652.304880000007	68229.21424999999	24804.725759999983	14373.720719999994	6794.14797	96640.53476000004	163197.91255000007	131903.16569000005	39489.00962999999	170065.5547699998	44197.65944000002	32271.157890000017	13424.054849999991	20751.65259	17516.881100000002	18533.229990000003	19399.63629	25828.76543	29205.31653	88411.19586	225431.34658999988	142321.31563000008	55553.41803	46266.41650000002	19229.37622000001	97350.05864000018	35765.558509999966	30319.203979999984	76958.54019999993	27865.85955	7320.330429999999	14359.818419999996	62505.09683999997	12223.465359999997	17517.020849999997	57263.478459999984	47370.67924	72755.36997999992	61577.61034000007	105969.66158000016	43076.12770999999	21433.07837	36310.02582	63359.66120999993	34280.670119999995	12283.533809999995	35805.328369999974	16235.854220000005	35774.27576999999	13871.894239999996	205298.57947000003
TSC077	3169.24355	15437.697259999994	8452.888669999995	11212.114119999997	82060.72416000004	5531.334310000003	51624.20926000002	19059.641560000004	9581.447429999998	11855.165670000008	5239.214969999998	19923.90399000001	31403.95477	4686.096180000001	13032.866520000009	78490.71640999994	9609.91758	2931.601270000001	7887.255769999999	4635.176849999999	7390.717679999997	8496.854460000002	2339.22996	10385.341260000005	16581.26619	7965.968129999998	11303.304219999996	20382.369869999984	14559.968009999997	24477.923780000005	24783.732210000024	14784.946079999998	6360.565000000003	41605.081579999925	34618.369999999966	52147.804829999965	6351.058940000002	12818.014399999998	28724.85986	10039.79022	6242.551530000002	3490.525090000002	43086.37978000002	65602.79526999997	58717.02282000001	17805.761260000007	71415.74078000002	20021.62669000001	15373.78887999999	5456.768820000001	9784.634	5451.841059999999	10152.481909999997	5460.39017	7971.551750000002	13784.116159999998	45321.87223000001	101862.78014999992	66487.67086999999	19699.028709999995	19991.02299	10189.365940000003	43290.56599999997	17900.248959999983	16594.150559999995	31465.37370999998	9870.79476	4443.18421	7914.791260000003	28933.486980000023	3105.77519	7563.372869999999	25534.628159999986	16568.45428	35746.69476000003	28186.53896000001	45736.19998000002	18058.702969999995	10724.67082	13051.870490000008	28416.714410000004	13727.916840000004	5706.406789999999	16930.79984	8271.337920000004	13675.615770000011	7052.529919999997	87325.59358999992
TSC083	7609.292690000001	29457.26178	20407.22680000001	15107.37144	167535.94420000026	10967.60417	98729.8851199998	33040.23520999999	19211.37846	25340.109210000013	16030.769959999992	37434.940910000005	71779.29952000007	7229.442379999999	26550.584759999983	156349.01872999975	21232.138430000006	6291.177100000001	14916.156560000005	8531.153899999998	18520.16635000001	16851.71783	5718.802029999999	22938.76553000002	31572.250499999987	12969.061450000005	22995.798010000013	40175.56990000002	25055.968300000004	51169.10661	45440.25156999997	24288.546590000005	14786.772400000003	94606.62436000002	61979.893560000055	97454.93473000002	9197.67766	24883.749890000003	60824.50699999999	17924.96916000001	12072.497829999997	7023.020910000001	77262.92800000004	120799.28695000008	119382.86843999996	36268.278459999936	138109.42963000003	40476.707629999975	30920.61115	10138.133280000002	20961.721240000006	11259.19552999999	16239.284339999993	12247.111469999996	16688.880010000008	28209.58208999999	92648.90684999993	198060.2856300001	131508.75114000015	43751.48845999999	38090.02204000003	24968.254519999995	88077.61090999987	35745.52789999997	29084.52591000004	57805.47487000002	23780.21334	10665.42222	15258.414389999996	47980.50368999997	7030.80109	20892.79856	51460.26052999998	35092.17789999998	73428.15050999996	56911.61498000002	92692.3533900001	39456.78595000001	20416.39154	26542.655260000032	57290.76328999995	26682.28996000001	13706.45878	27415.71575000003	18627.52179000001	27700.694280000003	13339.8041	180402.9157900001
TSC099	6620.226310000002	28176.82598	13695.589249999986	19173.070880000003	165646.4335599999	10261.574980000005	87533.77598000021	30906.41312	15215.888849999996	24222.25281	8791.40702	32881.62086000001	68418.82418999987	7567.23907	28233.01543999998	140071.77303	24033.90997	4866.576569999999	14177.755	7306.902979999997	16305.845210000003	13646.699270000006	7383.768509999999	22892.28254	27970.424350000023	12073.635680000005	22746.002360000013	36664.78955999998	26375.91353999999	44324.17227000003	43971.56194	21128.265730000003	13870.372829999991	83990.17258000004	56322.07035999999	84426.94289999995	10005.417679999997	21929.700029999985	53769.23503999999	17179.83186999999	9925.613930000003	5745.8296900000005	82139.57583999992	113053.3710000001	107813.83633	34741.93813000003	129639.57382	37778.28404999995	27614.04627	10690.980380000005	20723.33641	7573.8287800000035	17373.810519999995	15259.754269999998	14746.991770000006	27596.469910000007	77084.89756999999	184758.8937400002	119650.74816	38388.08103	34029.29670000002	16327.506470000002	77350.83378999996	36249.5351	27427.968990000016	57698.838059999965	18574.266469999995	7173.24682	13133.748520000005	45204.06345999998	6763.403979999999	16078.036729999983	45625.27405999996	29774.012309999984	60574.74251999996	46104.84395999998	85068.10467999997	32272.290870000008	19700.09275	28585.152560000024	49639.78093000007	24614.857929999984	8274.134199999997	29057.91734000002	18144.090049999995	22588.052109999982	14297.290519999997	168792.0347499998
TSC106	19154.199519999987	44826.10544000005	32094.09524000002	20719.08962	272670.1097899994	29955.20626999999	154284.9248100002	70820.78636000003	29761.83607999997	54860.23039000001	22576.72217	95075.90914999998	84614.73867999992	15329.775609999995	55411.30769000002	222277.15236000007	58007.613270000016	12461.527579999998	39794.8455	23495.28286999999	36339.40930000002	44801.09742000005	24109.46609	46319.03516999999	87959.6468599999	19371.799609999987	54745.56142999999	81906.97082000005	66935.6817199999	111892.13123000009	85701.78310999996	56774.20474	15672.22037	152016.54819999996	80953.85432999997	189604.87994	21249.65537	65487.965239999954	100196.29163000008	38350.63323	30573.61732999998	22525.874880000003	126252.3869499999	178014.6017700004	229815.51313999985	56220.67475000004	146063.57704000003	79879.83019000001	64197.850760000045	22353.67392	32815.758230000014	27192.364509999985	34593.69149999999	24006.813700000017	62064.62683	59234.09425000003	154345.3988999999	265169.56155000004	162268.81409000006	142904.7669	80917.66270000002	38925.95940000004	188573.56076000005	53971.13537000005	56647.06498999999	79338.81288	46542.54547000002	14401.030099999994	36840.95706999997	94350.37446999997	27715.470090000003	42274.089979999975	85775.74184999992	84084.57772999989	129666.36832000004	104124.20984000004	120113.91883999995	86149.82003000002	24456.122719999985	62097.20955000006	66517.98670999994	45659.371369999935	18887.60245999999	61135.31807000002	21331.638409999992	48792.28118999998	26491.841420000008	321025.85671000043
TSC115	4799.312840000001	21461.11947000001	12502.47844	11041.79467	121379.35799000003	8022.23032	62331.35580000002	22611.35125	11066.240650000003	18918.438900000005	6197.777029999997	23546.0155	44170.71940999997	3814.79038	18837.62160000001	101456.43570999992	17584.02739000001	3545.263429999999	11162.24959	6370.792860000003	11441.872949999995	10729.285450000005	8718.660059999997	13593.954000000009	20860.24130000002	10236.0082	16678.792559999994	33157.12739000001	25892.43290000001	31938.31149000001	38687.51855999998	18415.73459	10043.544109999995	61712.98532999999	41251.96501	61967.3649899999	5820.876039999998	16682.035659999998	38270.07116000002	13397.402679999994	7731.239780000001	7347.391289999997	60611.35955999998	83106.00664000002	79711.99676000007	24350.920630000004	81632.36994999992	27000.036350000013	19897.276119999984	8074.116079999998	13170.212210000002	6393.717030000001	16406.506019999997	6590.556729999997	15279.88625	18427.32891000001	53983.40736000003	132643.3856399999	71621.54842000002	32855.96661	23299.711000000003	12949.55092	53075.95501999995	25237.48515	16483.812720000005	39456.75234999996	16969.61507000001	5342.1404	10299.701039999996	35903.12396999997	7060.772689999998	11436.689930000008	33980.77655999998	26645.94765	43265.93359999999	34729.951699999976	59281.73816000001	27126.245450000013	11535.45017	20424.03197000001	37285.61061999996	19494.03714	7854.067120000002	20861.13130999999	11126.844649999995	18223.105509999987	8607.255430000005	130304.04098000003
TSC123	9573.092229999997	26368.9492	22693.72433000001	18017.78484	139748.2068299999	13008.592699999996	87273.88462999985	32243.751499999973	19260.06057	21434.057940000013	12392.250380000009	45406.33771000005	56342.789370000006	10782.1843	31423.90971	136039.72968000008	25604.693310000017	9168.594040000002	15086.745100000002	9943.101050000005	22001.625860000007	19278.12417000001	6500.9661000000015	22513.93765000001	36049.38351999997	9934.44053999999	25236.55212	36850.3232	23580.274390000028	59373.06047999992	47680.44190000006	24329.22514999998	15843.009259999992	84499.45873000001	54998.99029999996	105669.29562	9462.471549999998	28040.52448	59821.37959000002	18337.414110000005	14550.563730000002	7191.036960000002	69344.84557000003	108632.77961000009	103494.81946000012	28974.95018000001	113428.56195999998	41085.79428000005	26884.490100000006	12385.932360000006	19553.266089999983	13544.949099999993	17601.92986000001	14325.544009999996	24525.78913	27044.35089000001	85059.49401000014	162281.86370000013	105370.25812000012	52383.460679999975	48226.5969	16589.19656	97592.45318999988	29430.20397	35817.14612999999	44631.6675	24376.982359999995	8767.798630000001	19298.60865	50888.186739999954	10185.908980000002	16153.471880000014	44657.45363999998	40914.41809	63827.31871000003	65368.440439999984	72151.24869999994	36071.65908999998	16098.799469999996	29838.85160000001	44300.32605	22415.32195	10375.131560000003	26742.20325	18748.59937	24856.64225999999	15798.26501	171173.14622000002
