Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC001	4075.6717800000006	40710.49733000002	21091.195919999995	24133.07379	255087.96381	12360.365550000002	142727.9990900001	41027.887230000015	20603.04566	43942.71127000004	8269.304999999997	29935.68766	109517.12957000003	6594.420790000001	31430.88789000001	221919.6006500003	25849.287330000025	2542.4762100000007	12293.5244	4913.381130000001	16500.625839999997	13777.450340000005	10943.39183	20113.78533	27606.93482999999	20477.411120000022	25814.46329	43967.93413999999	31979.45815999998	54518.65554000005	54679.71357000007	31191.25801	27031.10346	108612.25415999995	102268.90458999986	91479.6600100002	15623.451890000002	18707.30098	63024.38711000008	19042.94656000001	6705.15121	7727.401000000002	126552.73080000002	169164.53620000006	138926.77793	49968.67241999999	236763.1302000002	46009.04373999989	32116.31601999998	11969.323579999998	21352.23962	6202.849129999998	21316.170809999992	11005.517020000008	12859.299099999997	30528.38388999999	92994.50037000008	291150.53910000005	184094.0546699997	36091.23495000004	29557.979500000027	19092.21324999999	81854.68177000004	54108.95899999998	25796.951829999995	98018.5331900001	28046.77764000001	6957.0656100000015	16332.29581	60243.40616999997	7300.790070000002	16027.81966	64903.34951000002	30290.16106000001	78488.96848999994	61312.76105999997	148163.55515000003	47263.68153999999	20874.331400000014	35139.70117999999	79310.79768999993	32573.84567000002	9583.790299999995	33858.091720000026	19537.088820000004	35617.22849999998	10713.518149999998	225235.60447999983
TSC003	3166.0686000000005	24987.39264	10663.15736999999	16302.780030000004	120736.14845000012	5435.311839999999	68996.06386000007	21954.12284	11766.873500000002	19387.550840000007	5177.0604600000015	24020.39885	48978.70075000002	4545.6112	18148.3797	107470.80862999998	13259.78362	1598.1627000000003	9340.470330000002	3757.587350000001	10012.489499999996	9855.453360000009	5471.18491	11762.139759999993	15944.241790000002	11197.053489999991	18015.25489	30352.637130000006	19409.66629	29003.64694999998	33632.944019999995	16193.563000000004	12376.17739	52050.51460999999	50874.381850000005	51207.43014999997	7187.18752	13182.569759999991	35596.21482000001	13043.629649999995	3776.28231	5508.639070000001	62826.31953999999	92621.14750000002	86900.31468999996	28296.511589999984	108390.84248	29480.155250000025	18463.20322	8018.296419999998	12935.644329999996	5612.870069999998	11657.663460000003	6552.740999999997	8792.200940000002	18552.901139999973	50453.72833000002	151206.8192	85933.81696000005	24335.48051999999	18585.71620000001	13251.91557	52082.95120999998	23162.46133000002	16814.596830000013	43864.461170000046	17473.176939999998	6627.936180000002	9351.542630000004	35762.70674999998	4072.622880000001	7528.777190000003	33066.311569999976	20789.58591	48534.07457999999	35788.78734999999	75471.88499000004	19969.608649999995	13584.561350000002	19357.73605000001	39011.89966	18884.568120000007	7712.582059999998	21909.888490000023	13947.57436	19388.50605999998	6540.336799999998	123474.5834999999
TSC005	5746.571329999999	49038.29096999999	22078.92212999999	29124.42441999997	290350.7279499997	14624.391319999995	173199.06243000005	52298.58704000003	22477.569609999995	38805.87878999999	10933.308060000005	48257.26983000002	125337.27742999991	12106.895740000007	40789.28626000003	260294.19622999983	28561.80117000001	5358.099299999999	18507.281329999994	5859.919539999996	29433.423170000005	20742.34932999999	7583.384669999999	27567.175130000003	35927.35065000003	24245.9638	33132.39083999998	54032.99681	41966.19192999997	65662.01294000003	71951.46301000006	34572.14134	28526.220520000006	124337.63767000011	126592.67119000004	114290.33143999997	12999.676419999994	24344.798279999995	74183.77156999998	23106.896259999976	9038.412369999993	12042.975879999996	145309.5120399999	200302.6337999999	185236.22914999985	65592.05161	272205.82095	55649.17052000004	37598.25209000004	18053.217899999992	32848.02924999998	11546.033950000005	22119.358510000005	13697.810069999998	22148.42995000002	37222.50158	111342.57807000005	334428.22507999983	215617.5042	55331.00745999996	43413.99065000003	26569.00231999998	108475.7454799999	57126.30127999999	38067.59668999999	113103.87423999992	33460.48669000004	11361.136	20372.756490000003	75107.39365000004	6707.738310000001	17850.67465000001	76432.39549999993	43842.61443999999	94915.36522000008	76598.10330000002	163647.72351000013	46326.14952000006	29674.76682000001	38815.644540000016	98746.82755999985	41520.03296999999	13869.357289999998	42680.45709999996	26794.76826000001	47786.10759000002	15975.095619999998	265987.92935000005
TSC008	3114.247890000001	50437.220410000045	25319.72636000002	29195.656280000007	294297.6733499998	14171.288749999998	169194.9559700001	42370.50276000001	21628.07849	39737.71287999998	9729.296549999995	39610.453660000014	124552.7267900001	8529.85284	32009.38020999999	267631.7826499999	24617.93476	2080.4971800000003	10747.159669999995	6309.718449999999	17536.928069999998	12390.366209999993	7635.64957	19229.046980000003	27102.88435	23983.615300000005	22674.05766999999	54278.94093999999	35349.35978000001	60244.68048000005	66107.59934999992	30958.89351999997	25685.853740000013	132560.10063999987	127028.04810999986	103913.29487	9532.150650000009	22992.32830000001	72138.35822000013	20318.27647000001	6731.864540000001	9371.7044	147320.72501000005	221491.90047	160755.80738000007	60535.93881000008	282603.60293	43663.87785000008	32753.06615999999	18312.004830000005	25969.357700000008	5836.828920000001	27082.974920000008	10298.21133	10234.73173999999	29734.207000000035	91951.5889300002	362699.2792999997	213760.20738	32817.509589999994	35401.47859000002	27841.21996	88390.42935000003	51766.06337999999	28764.13035999999	117661.00665000008	26844.83022	7797.615640000001	13635.890830000004	69493.75294999988	7318.816350000002	19444.16122	73874.1499	32832.47254000003	94112.34258000004	65059.42305000009	171768.09436	39373.793529999966	28198.86714000001	43611.243420000006	119137.3397299998	39269.25000000001	9551.18122	36431.19917000004	24294.029480000023	44987.69312999999	13723.894119999994	278689.8483200003
TSC013	1482.9987400000002	14310.392920000002	6855.501839999999	9087.52863	74806.81839000009	4246.276359999999	42264.18852000002	14459.744079999991	8789.72548	14154.166339999996	3626.924809999998	14792.774610000004	29574.96944999999	3150.90059	10528.305370000004	65808.70531999994	7155.168989999998	1785.3931	4422.910749999999	1391.9161600000004	7229.51557	4395.077360000001	2835.3382	6468.88726	9299.73934	5994.735919999999	9966.975649999998	16331.45623	10192.20597	19263.375710000008	19674.523760000004	8865.570500000003	8013.734830000003	33913.55343000001	27301.34805000004	29401.604770000016	3312.9744299999984	7784.387149999996	22711.14283000001	8161.087189999996	2642.1427200000016	3180.8168800000008	39233.739	54169.75989	46791.04781999996	19953.979390000004	62912.45731999994	16340.92448	11441.874759999995	4653.28889	7616.402050000004	2501.398260000001	7628.197150000002	4358.314470000001	5733.534670000001	10599.14414	33737.747110000004	80052.02192000004	54806.83628999999	16169.88555999999	10705.86841	7532.304160000002	30717.31797	14480.614599999992	10531.85718	23294.754349999992	9217.528589999998	4004.4851599999993	6114.978539999998	19734.192019999984	2189.2509899999995	6029.752049999999	23038.332619999983	12759.828639999989	26625.61748	23780.41416000002	43136.50912000002	12918.08479999999	7036.945959999998	11036.647810000004	24296.38699999999	12029.6698	4496.43706	12176.86081	7176.502059999998	11222.929640000006	4106.058320000001	71727.45792999996
TSC016	6947.232160000001	51162.25035000002	22398.52851999999	35984.66725999999	273838.9205400001	14897.098040000004	164004.19252000007	52761.01407000002	21437.992119999995	39995.490380000025	11474.37883	48816.43963000003	122859.9473099999	11376.102679999998	40177.39096999997	250705.83645000035	31298.18204999998	4881.54154	19249.80043	6934.87538	22349.86080000001	22780.329759999982	9054.437800000002	29962.991810000007	37525.29781999999	23922.834150000013	32288.62082	61450.74889999996	33296.00234999998	70192.18677	68646.37733999999	34569.80278999997	29313.86503999999	125379.62203	117342.99775000004	117459.10336000004	14758.742970000008	26938.518750000003	93029.44553000008	27488.636280000024	8450.055340000003	10904.115930000004	127388.03335999996	197108.1045500004	169940.74457999994	67912.63850000003	239310.56115999984	53958.05535999992	43300.05448	15420.888199999996	28768.79404000001	11811.795039999995	20807.865099999985	17865.90095999999	23963.97922	36524.64685	116684.57247000009	324053.77319000044	204025.14972	56900.476289999984	43582.73256999994	30035.242819999992	114451.14775	55065.37155000002	34935.75811000002	114699.87793000008	33273.048650000004	9327.04858	20553.17973000001	69824.10275999995	6708.71877	18209.411720000004	82687.37464000001	46067.92592999996	92372.78105	82228.3820900001	162513.6557599999	43725.92485000004	27702.44088	48404.81572	96557.84160000012	40882.00348000004	11490.820090000008	38762.47971999997	25732.902429999987	39603.36605000001	20817.78044	259930.77078999983
TSC020	6340.589779999999	65020.05378999996	25196.21681000001	39620.66765	363103.17056	13596.616120000004	220251.3842400001	48707.59604999996	27671.777549999988	46886.64194999998	13922.597579999996	40948.558380000046	166276.8291999998	10980.975760000005	48010.60526000004	318547.0335999994	32880.77404000002	3500.6947800000003	19564.148399999995	5239.8297	23626.810539999988	22234.206070000004	10036.6768	35913.74655	31874.956999999988	29025.10040000003	31439.487090000024	66008.87306000004	43933.31668999999	72511.49028000003	83266.40392999994	41858.283880000025	35918.695870000025	163586.60011999987	156589.07329999967	130011.74968999995	11234.78525	24041.05148	92943.06622000004	26465.02588000001	9811.000940000004	10331.30471	168636.80041999996	271125.0895300002	221857.9245500004	88325.98314000008	353991.59379	67781.50081999994	45268.54446000004	17773.38085	34729.156080000015	8557.54222	26568.814039999983	14243.2012	22624.30254000004	43120.79364999999	130002.33842000007	415875.2513200005	277452.9559099998	46039.06796	43006.30422000003	31950.229350000027	112725.63539000008	67691.66020999997	42924.25560000001	146370.59003000017	43676.76032999998	14844.45221	26791.491670000007	90833.0296	7930.44247	16702.264010000006	99121.67229000005	46589.60851999999	113254.27672999994	86681.26061999996	217223.65906	53549.584219999975	38346.28759999997	45563.73293999995	132925.52059000003	47605.72504	16647.23983999999	55303.78165999999	33905.57537999998	57711.08639	13845.560619999997	337069.46777999913
TSC021	2176.48781	45141.51618000002	17952.53504	22959.696220000005	218167.84789999988	6611.992710000003	108263.03612000002	34779.59342999999	16722.239490000004	22278.375430000007	9342.079219999998	36354.52032000002	69410.88867000004	6381.195899999999	19663.91805000001	208428.75490000003	16323.370710000005	1822.2320300000008	9690.52821	3165.24416	13922.14518	8355.350049999997	6619.332829999998	12765.693610000004	15576.911140000006	15662.601	22049.72789000001	36630.49931	25310.93068	53961.17738999995	54368.75038999999	22910.965899999977	20740.74335000001	85767.32375	113805.9043099999	74707.63009000002	9754.62274	11571.242580000006	42288.45067999996	16703.16426	5117.173459999998	5196.928270000001	124546.05645000003	161607.52199000024	104074.24688	37552.71354999999	207873.3694699998	30986.58200999999	20123.01366999999	9075.94458	14730.963260000006	3754.88467	17538.38501000001	11457.967	10884.315739999996	20769.67364000001	58808.61714000005	254463.87288000007	143757.87307000003	27094.26011999998	34148.30554999998	22859.723289999987	61965.16658000001	29978.75592	20522.016850000007	79292.09544000006	24329.668220000003	6062.376849999999	6371.579220000002	50417.675440000006	6897.052919999998	10403.018009999998	53398.24871000007	37973.24730999999	60467.55489000002	43464.40874	114568.23262999988	33624.87901000001	23775.10866999999	24304.31493999998	75550.18257	29549.639300000003	10107.61763	30746.04048999999	13380.529350000008	29520.49032999997	11348.35479	195768.9015399997
TSC025	1554.1193800000003	26883.80833	14223.904359999997	26782.21114000001	200299.1548400001	5870.233670000001	110541.60467999996	25924.9459	8983.492939999996	31062.030570000014	4954.302480000002	27383.22829	86802.61617999997	4638.39711	19771.430270000004	195605.74672000008	13513.380729999988	2189.20375	8681.44751	2738.6893199999995	18937.24876999999	6291.212729999999	3698.43663	13025.52464	17413.586479999998	21253.06882	23248.17638	29998.008320000008	20504.367120000006	32805.24392000002	50710.38267999998	17845.253249999998	16740.30264	78870.42027000008	107349.12958000015	67896.26519	8921.27597	13248.668829999991	41009.92540999999	17408.751539999997	4853.449709999999	3635.2802300000008	113682.1656500001	155298.99145000032	111951.08260000013	33619.56537000001	185967.45134	42921.92254999998	20491.392	11195.046970000005	20288.64655000001	3243.515179999999	13613.76159	9555.291670000002	8842.821340000004	22087.316689999992	59226.71934000001	229801.4483200004	143514.04265999992	25688.93652999998	29886.458260000007	12140.041150000006	62733.92287	30589.53259	21856.500350000028	64653.94821999996	30486.206699999984	5718.922070000001	11666.99591	43529.77808	4512.9381600000015	15559.526409999991	53209.37513000003	24497.97973	52340.52710999995	39474.93334000001	123735.5196300001	25596.668850000013	18046.011640000004	29449.62238999999	75684.34279000002	30433.175949999983	10374.36579	30158.769969999987	13812.53884	25392.22075999998	7740.4314399999985	179103.7193199999
TSC027	1986.91442	23987.678039999995	9716.713350000007	15823.85544	131664.91230999996	4809.075630000001	80148.29936000003	20729.491660000007	9979.4675	19245.09590999998	4102.64132	21801.20607	53663.74531999991	5479.518290000002	15955.82339	120990.24950000014	10694.264199999996	1322.3998699999995	5672.92794	2818.7179599999995	9399.033880000005	7831.834929999998	6070.20808	8578.349050000003	13019.514070000005	12940.42386000001	13479.914829999994	27106.200049999985	16516.73978	27677.35132999999	36301.90448	14046.37863	14797.081220000002	60041.58897999995	55222.33170999995	56300.98562999996	6421.8044100000025	13034.18241	31759.35499	11415.944190000002	3542.31541	3868.13931	69411.54720000007	87573.82609000002	75851.84848999999	28915.582570000017	122372.85222000012	24558.67673999999	20504.108300000007	7979.519500000002	10629.975909999996	2964.4208200000003	11739.34049	6301.325449999998	6622.881709999999	17073.788020000004	47686.98413000005	161600.71758000035	99412.50387000004	16565.618390000003	20746.60952000001	12152.81683999999	48073.30714000002	26749.37421999998	15769.750159999992	52239.39137000002	16348.766000000003	3738.748990000001	8446.33566	32992.80824	3086.370440000001	6025.8602	35970.036040000006	17434.11419	40929.87894999999	32916.02974999998	78718.52003000007	21837.418239999988	17380.497070000005	19845.42344999999	44309.98495999999	17360.419620000015	8060.275530000001	20504.61881000001	11726.90470000001	22815.99661999998	6942.121869999999	117428.43292000008
