Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	FUR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC000	17753.463409999993	163873.73508000013	76735.95911999997	114326.00321999982	988923.6842999948	39298.278960000025	574971.0040699987	141067.19329999984	83727.00265000004	138690.21777000022	40591.49957999999	136108.77219000022	473564.6402900019	28260.720480000004	114492.65647999996	108047.4987200001	11774.77401	44169.562719999994	22761.690339999983	60869.44264999998	46042.66360999999	873530.8832499969	35895.49914999998	64896.97660999997	106995.4681800001	81353.58251000001	110386.06882999986	193556.03866999949	129708.59409000006	193439.53306	265471.3291300002	133163.91137000016	88424.58499999993	427568.5080900012	376852.5844800004	400895.3902500007	47106.768969999954	85528.65874999999	243549.38074999975	78392.07559999998	31376.044690000024	35477.55172999996	475182.1535599988	666952.0326000032	600705.4503599984	198162.18505999964	854902.7589299979	197568.22886999985	148862.2684899996	50240.88447000003	91762.16178999994	26936.607099999987	94209.85970000012	55435.17193000002	51181.19958000001	123163.61517	357665.81941000116	1119291.5315099992	736775.2467900009	125821.51338000002	133785.67062999986	85982.40573000023	321502.31863999896	198238.8642899999	116967.49231000012	392145.48299000016	119920.33701000012	35265.54058000005	67336.47154999994	237998.5243299999	22008.184679999988	61955.74405000001	260555.90770999933	130578.88293000008	310126.6694100002	233539.26192000016	530199.3930400023	148409.73736000012	102641.23311000004	132182.16273999985	331319.866429999	140662.79592999985	44863.02881999999	144279.44867999983	90842.81131000006	146584.64427000022	60274.316729999984	966691.5977799993
TSC001	17683.45411	136676.0055499997	65616.20339000013	92780.16641999983	851810.8282999999	40775.274790000025	525160.1386200006	131046.78509	69133.4816	128929.47064999996	32851.98555	120206.11293999988	402812.0509299972	25247.932449999993	106302.01757000016	83307.12738000015	9535.54885	39267.814590000016	18730.87293000001	60173.70832000005	48197.82733999996	788152.8893399994	29944.649649999985	60499.86924999995	95238.45487000022	69904.23405999996	98585.07075000006	162506.22949999996	110741.8536700002	180544.85753000012	210508.07703000036	109374.47307000015	82398.68510999999	364646.0928999987	353805.93976000056	355866.73503999895	46322.117380000025	72002.44910999987	218392.63111000048	72238.11949000007	27993.88692	28401.721819999973	419153.3441899998	582857.9600100011	489338.5443799983	176942.99487999972	747164.6632899994	158210.14406000002	116438.26227999997	43931.11395999996	78532.39666999991	26506.94482999999	79774.40396000001	45670.92217000003	48559.653709999984	116082.49324000016	308895.47102999996	985574.1980499994	613227.1643499964	125198.61163	108155.6301599999	78719.31886999999	282585.0530100004	163341.47849999953	97854.91431000015	334581.85669999913	95543.18851999978	27455.778039999997	57744.33191000003	215450.59371000013	23730.339439999974	55225.92343000005	227862.79798999964	119998.30722	260704.11376999947	205595.78198999955	475929.0580799991	135740.69928999976	77844.10078000002	119427.3348800002	280365.3630400003	112321.75780999998	33825.25814000002	125927.13939000004	73188.12756999972	127667.16441999996	48744.907490000056	809054.9887199948
TSC002	11114.99557	46974.82489000005	27088.883890000023	29176.683219999988	226707.92026000036	22435.89068	146598.0101799998	55648.988279999976	30095.676100000008	50570.469310000066	18627.687700000013	67891.46836000003	87037.1888200001	16111.337880000005	42321.73738000004	48051.44018999999	7858.869469999997	26295.659729999996	17917.960830000007	30606.725250000025	28425.663789999955	200191.54311999967	16148.771200000008	28360.45432999996	51330.124010000065	19186.127419999997	44068.24989999998	65621.16776999993	46281.579519999985	82735.65439000005	81160.39855000017	41600.87215000002	18728.222770000015	120197.27181000003	79360.05444999997	160846.28593999989	17790.997170000002	45578.659309999995	90885.80634999977	34208.13216000002	20215.674429999995	14570.220619999998	117714.3264399999	170589.27425999998	192268.5043200003	58246.65118999998	128046.76721000017	63940.984229999965	50094.3747099999	22138.39250999999	31204.21364000002	18522.69403000001	34890.71019999999	22705.07802000002	33600.37684999999	55592.79020999997	133108.32833000025	267059.40094999963	156027.4096499996	75824.6649699999	60200.42780000003	33632.24871000002	126389.0678499999	52037.25134000003	51743.95459000001	79559.24822999998	30190.715750000025	14873.718709999996	29072.85251000002	84713.6605499998	15819.57937	30969.43854999999	77021.74224999991	59573.47183000006	101585.3221299998	90838.24780999974	115225.31667999989	57277.985110000016	24686.02212999996	55777.89396999996	72584.95894999999	50830.868869999984	18600.79516	51279.82049000006	27943.774740000015	44288.91253999995	22541.06698	279211.6583800016
TSC003	11279.6554	80988.13631000003	41287.15951999999	54593.84323000001	412630.1731300002	21971.702509999977	246638.7017500006	71171.55807999997	40635.726769999994	67148.93175000005	22442.69473999999	81401.97238000025	169669.6374899997	17708.13682999999	59320.223659999974	52580.51361999997	7350.0639100000035	28204.038140000004	12728.844340000009	37993.039779999985	32470.949909999978	373154.36470999825	15208.893390000012	36206.599099999985	55311.43272999995	33492.79885999998	59962.47297999996	121517.39763000017	65899.45500000009	103343.91876999992	109279.68880999988	59742.18850000004	37967.379269999976	192281.8345200002	169002.5744200004	198354.60398999925	26539.589420000008	50136.74670999999	122049.63991000006	45558.833269999945	17081.288900000003	15374.422380000004	209426.0751499998	299882.74421000056	273391.72967000015	92729.14904000008	341675.0207900002	95728.3603399998	71309.94947000004	29417.166709999987	44510.10891000001	18217.02886999999	40488.25652	24272.172440000024	35072.786769999984	69496.38445000001	179597.80664999995	495007.5238900003	286804.19774000027	86423.75145999994	69042.36976000002	46568.95314999993	170231.36881000013	77495.31926999998	64618.49660000001	151712.58047000013	56873.44965	19886.629870000004	39534.05818999993	121961.68466000025	15901.271280000014	31068.54253000001	117534.95811	73653.56721000007	161795.26387999993	124856.87609999982	229652.2453100004	72533.0667100001	44215.94453999997	67630.53111000004	128982.83796000006	61442.80851999989	20851.48140000002	74190.76438999994	46693.02180999999	64642.162500000006	26396.743619999976	436219.70035999897
TSC004	20151.993410000003	146332.7641799999	81271.8716000001	103638.10574000014	879472.5680799979	39305.56004	516221.0446599991	141666.23932000023	76187.9517799998	129067.30783000014	40174.66850000005	137306.3713500001	394726.0450900018	34077.72807999999	111608.50367999997	91423.1492500001	14517.41875	47784.425660000044	31864.273800000017	72428.9559300001	50378.56665999997	799910.3323800005	35702.25794000005	64537.73529000003	103140.97097000008	71210.52400000005	122497.72751999984	192908.1218600004	122025.3374300003	205205.17970999985	230303.31350999977	115683.36057999988	83175.61971000009	413707.7864599982	357834.8442599991	396944.26080999954	42894.39474999995	86120.45256000009	239485.31823999996	80430.44639000003	35606.97180000001	30309.396479999996	446250.42128999886	605235.0062199993	549880.420570002	189542.28276999985	726658.4972100017	171990.2731299993	132433.1994600002	52680.54409000003	85197.13394000013	30708.977129999967	84323.90435000001	55959.534899999926	63909.32686000005	135159.32135000016	355931.05345000065	1036612.5615399976	659547.5696999971	134442.19696000015	148724.2772199998	81676.17713000013	318900.69132999843	164990.99996999968	110266.04243000012	340352.199599999	115386.99209	32891.964040000006	71893.79333999997	234399.5731500001	25012.462740000017	58087.85850999997	260210.9048000004	129669.36071000008	300221.98900000047	239250.67958000017	468679.7155799975	133377.03481000027	97257.95458000003	136229.29402000023	297804.1753699997	124505.2153200002	42365.54548000002	137988.56790000005	94295.22322000016	140766.50934	60266.73242999998	878771.9637699955
TSC005	24108.269810000005	164558.26393000002	80740.31087999992	111326.09463999992	955955.9775099996	51668.86487000006	605606.536129999	153632.22382999954	84746.89047000013	143261.10851999992	47604.114940000014	161168.48926999976	453106.37225000066	41593.64006000002	126025.82759999968	103687.61958000016	16324.083739999998	57174.52943000001	25565.028750000012	83371.5190700001	64988.81055000005	881513.7688100009	26294.426149999992	80865.29811000002	122026.4921799998	78706.81842000003	120134.54535000012	192605.72521999964	141276.44212000043	214646.3393299996	240051.4199500012	124961.51494000004	79817.2001899999	428730.36736000207	427598.6001999999	415639.7407299991	51634.865580000085	102426.25232999984	264957.2000000003	77364.36850999985	30577.241079999993	36257.295520000014	475305.4554500011	683805.7484800006	582973.7775099997	201597.84793999977	881953.623040001	193091.06467000037	152437.80271999998	55048.77361000008	101352.53621000003	43407.25761999993	85932.3515	51633.30681000001	78968.0614499999	127835.1927200003	363903.7989300007	1138714.2319500076	708990.4497600034	180663.27863000007	145237.67121000035	93818.43691000016	359818.082520001	182367.9978700004	132176.37527000046	392520.2486599996	115863.01465000008	40071.027519999974	76320.42546000006	260787.72922000004	27164.16883000001	67455.39858000004	279753.8040100001	151216.44692999977	326965.50150999974	264752.4078999995	527956.826139999	162139.22064000025	92442.05802000011	139276.13617000027	328009.8257600002	132298.44462999993	44502.90985999995	146302.75652999984	98612.41131000013	151234.1728900002	56151.17912000006	939266.7815799993
TSC006	14866.329919999986	171796.04341	76872.72926999997	123871.77278999986	1025851.1320499995	40186.09161000003	595929.0369200003	161299.33790000013	73749.24639000001	160255.6810500002	36621.501999999986	125829.28480999984	487691.37211999873	29572.667969999988	112221.51047999972	94505.03007000002	8185.440229999999	40285.37424999998	22016.125029999985	71833.24926000013	46741.47225999997	950886.8139200052	23280.14096000003	65494.51171999987	98448.94376999984	89181.42739999993	106629.5638000005	201326.21354000023	144245.84346	194523.16444000017	248958.6065200001	121171.57551999988	81921.45087999999	454687.88534999994	460756.1327599989	404079.99848999974	46608.18996000008	86443.49101000001	235740.07662999863	80359.04873999993	24571.41996999999	34232.69730999998	500934.5926600002	771263.4526100004	568617.9217200009	199640.1040499995	944158.1416400064	175943.4812499999	131916.77794999993	61616.720839999914	97096.90559999988	30201.92696000001	95263.44634000013	50639.83202000008	44187.14917	107296.11944000016	358402.62145999953	1200440.6190200096	737792.8789299997	129728.61461999998	137617.70823000016	90527.96634000014	323259.2660900002	181078.78844999985	120444.32535000004	417925.3951799988	124204.27006000018	34028.459180000005	68805.96348000003	256678.05467000065	21523.72976999999	71074.89766000002	282030.79579999944	120125.12926999996	316533.92613000097	235221.0869900004	576511.3801399966	155811.14376000036	106859.7002700001	141643.24657999966	359184.34142999933	130465.82409000024	42800.13811000008	143962.7109800003	93899.4836600002	162426.62247000023	68199.72906000001	981907.9780200038
TSC008	14888.929209999998	162081.1280300002	79044.77557999988	116340.78604000012	997677.17542	41476.56231	597589.2119900008	142324.83737000002	77811.86076	140858.93013999984	40367.07086999999	127612.26048999968	461760.7739799985	29520.854850000007	110535.89527000012	87407.33971000004	7960.159880000003	42901.068629999936	24326.933229999977	62439.45063000003	43229.01145999996	908352.5196599982	23005.7195	59920.20371000006	98519.74749999982	83651.31688000007	98555.17541999984	184562.87830999985	137053.17391	188368.75785	240725.21739	118416.42614999988	86169.12561000008	460704.89967000054	448096.0950099995	397682.82484	42868.91926999998	83073.8704599999	241989.0488099995	74552.58723999988	27943.016850000033	33706.303100000005	477330.86456999736	727242.6604099994	560713.5571899987	191657.84287000017	924567.4352799976	167426.81866000005	134436.44047999964	65074.605320000024	94811.1322200001	29065.767149999992	88003.56772000004	48607.34238999991	43744.172979999945	107778.53021999996	352799.5551599993	1202385.9038099924	732277.6383000015	113610.78280999986	131439.37452999986	89776.89469000004	319686.28869000083	179832.09676000016	102931.13938000012	409169.12532000087	122289.28376000018	35741.18635000002	59143.65525000002	259039.1295800008	20701.937689999977	79484.44272000014	274765.9885999997	119964.79460000014	321078.95426999964	230491.43569000004	558117.4163399993	145748.66701000032	99847.48776999976	139643.18234000023	374962.07148999954	129390.13232000024	41514.41421	139589.58856000006	89819.99270999989	157963.56583000004	57076.09005999994	949060.1694299964
TSC011	7000.439360000001	44309.31597999997	23594.038260000016	32669.470830000024	248695.2125999989	14308.638960000017	144224.7853999997	48205.52045	25437.786969999983	38016.26968000005	12507.090090000012	50131.29961999997	113915.98318000045	12142.031980000003	35621.48967999997	32229.875789999973	5313.094470000001	18471.049230000004	9457.849490000011	25996.809369999977	17970.09696000001	221894.31774999943	7210.552949999998	23431.88508000001	36698.319690000026	19041.068910000016	36426.76633000002	54286.75943999997	34606.09192	66835.95389999989	75623.73922000012	36441.83765000004	25027.778710000024	120511.35261999996	101053.27653	124907.27105999952	16592.978329999994	26504.077250000035	75254.49338000009	24881.78047	10119.66723999999	10896.02748999999	136695.56771000064	174052.82456999982	158900.19688000012	58458.00144000005	180228.5035200008	56483.03178000006	40689.046670000054	17552.66545999999	27629.11559000001	11703.46065	25928.988060000003	17757.130129999987	21968.4234	36336.14276999998	115188.84762000016	287379.0143099999	184804.61695999943	56282.62433000003	45017.61700999995	28794.44488000002	102488.31136999998	45387.43161999995	38090.13854999994	88097.01596000006	29945.07921000004	12442.896080000004	23477.72876999999	66184.89048000015	9725.335349999994	20347.135849999984	72142.35698000001	42965.16017	87752.6967999999	80161.26154	144993.1019899997	45544.68478000009	26225.19259999999	40865.47843000004	78274.40909999996	38103.63667999993	11274.300430000008	43036.830489999906	29911.721179999968	40498.323800000035	18213.396629999985	260219.45805
TSC013	5194.052850000006	44450.943290000025	23897.39949000003	27928.86638000002	232576.62688000005	12360.348039999995	139659.88173000017	41858.91896999998	24746.61647000001	39464.08109000003	11847.262959999998	46941.46574000003	94512.82059999992	10474.685900000004	31643.658530000037	25779.769459999996	4950.183980000001	14655.516189999984	6757.527180000001	23979.669940000014	15660.526469999984	210749.11985000013	7946.760940000003	20723.861160000004	32303.384020000016	18722.394469999977	32954.91142000002	49137.35637999995	32113.592350000017	60452.286209999766	62193.951070000025	29541.373100000004	23075.365020000005	110734.17178999996	90649.67194000004	108241.53230000006	11712.96533999998	28156.749860000007	69120.99645000005	24452.820540000008	9489.98896	10217.763369999995	121939.46502000032	167255.38832000073	147850.7349899998	55546.66015000002	182701.3089600005	52285.3253199999	40542.68672	13496.444039999991	23546.715339999995	8838.801939999998	23515.668460000004	14284.64258000001	20361.560490000007	35620.81273999999	102666.31787	258147.4388600005	165525.05241000003	52021.434540000075	38084.39062000003	25511.385549999988	100171.44967000016	42332.38628000001	34610.36244999997	78200.8564699999	27688.473549999995	11678.643490000006	20320.753529999984	64924.239420000056	8041.73902	19851.621290000025	68097.43824000002	39503.311559999966	85878.70245000001	74637.26015999987	128540.2824399996	44262.68606999995	22439.133940000014	36211.63679999999	70916.80030000006	35048.04524000003	13816.184659999995	37380.83487999994	25774.989399999988	34169.863969999955	15847.638179999996	234760.72252000007
