Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	FUR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC141	21501.263969999985	124438.68203999984	72720.33058000004	97489.31477	810380.4155999979	40122.54651000007	493004.9608199998	148643.97350999975	58875.86198999998	119042.23062999996	57143.98434000002	161270.64594000037	353252.90419000067	27453.784000000014	112949.48276000012	125579.62550000004	21612.117189999997	45569.67768	25807.335190000005	66216.12824000006	50536.50958999996	667942.4963800024	22234.495979999992	77684.42279	127222.60084000004	53887.68548000002	101480.71419	182145.6429099997	129884.30919000028	237629.4390999998	232431.49969999955	126470.39381999988	71279.74216000008	360393.6056699997	322335.68773999956	377387.53167000046	40750.34443000004	113118.84165000023	252121.8545299999	80088.14649999997	35306.64116000002	31774.98642000001	350208.2827899997	588447.2178999977	523139.7158399995	174571.72999999966	647499.4008100014	188443.0091400001	130848.12177999991	52682.560089999984	75196.22171000004	37963.61940000001	85962.66086000008	64988.59512000002	75554.7536799999	122799.9972099999	362965.1493600003	954963.9293999966	569937.2448199986	178218.27707000013	129503.61878	79600.46654000004	362345.91973000014	154302.8929499995	106995.25674999984	316222.5933199998	95976.57570000006	40881.33360000001	57718.62164999998	226128.5884300003	29484.040839999972	59039.81714000006	223632.16024000017	150082.47749000005	288307.8564800004	228014.13080999977	405169.202809999	156828.5164	82902.56003000011	152341.16155999998	289689.162250001	148404.10673999984	38309.51223999998	140736.7148399999	79893.36726000003	121771.91843	65474.82591000002	790723.0332899989
TSC145	26960.57769	144362.84437000015	68636.51157000003	131335.35164999982	1036195.3538499993	39920.98304999997	636781.8109600006	160014.10659999985	55418.36025999999	149469.60661	50194.93076000003	146570.0691399999	427225.2466299999	20749.274560000005	91465.7360599999	129407.30478000002	12815.133660000003	36979.75650000002	25974.99204	48445.26658000003	40649.06035999999	836728.6255799978	14276.995560000008	50830.295829999974	133226.83305000002	68211.9413	105796.06661999988	243619.6655400004	165141.04491000003	221208.2622	237139.17666999984	128090.79058999998	78829.06474999999	429133.47569000063	407810.30031999986	439710.5226500001	47557.02646000003	113829.22967000007	272012.79915000085	61740.81598000003	40488.60062	38397.11507999998	427477.19029000023	716535.6584600008	553872.3043099992	200701.31120999993	886363.7574900026	212890.69607	148834.29011000047	66904.51843000001	91143.74785	41580.33261999994	95804.80502999996	69114.4525	67935.35166000004	144023.8658000002	403204.9496000006	1203102.4145999942	706530.7926299989	147002.92917	121461.41497000006	82666.67683999994	316000.1423800004	167640.73626999964	141737.22159000003	416849.2883200009	135514.73854000005	47595.504459999975	66481.82920000011	280728.1336100004	64306.96305999998	75989.69518999994	246624.1968599999	158896.13637000008	362331.4757899999	230987.20593000052	502339.02557000023	177506.18539999984	92421.97680000006	140868.7302200002	381626.77098000015	145529.87156999996	51639.36478	155201.08157	79979.57039999997	130389.44146000016	85877.62244999997	969907.0140599966
TSC245	33746.73742	163078.5656800006	86396.25748000004	93894.75356000008	843376.5672200039	46761.059089999995	547961.1189999991	142367.0364499996	83047.56809999989	118845.02916999983	41511.61775000001	145032.1352199999	393778.4513900018	27383.68412000001	110582.15144999992	109111.83040000002	51178.93115000001	44946.35630000001	26455.33324000002	73322.17699999998	66556.66609999999	819962.065080004	56497.76260000001	72245.94635999997	128149.42368000014	70266.63061999998	113248.65523999996	174422.24087000015	133781.72987000007	220552.67683000027	210296.84095000057	112556.45134999989	91895.97115999988	404086.40740000096	343057.20703000197	517747.5526099992	45722.24648000002	148550.78343000004	228036.42717999977	86270.50960999992	45371.78205000002	34940.59028000004	466072.94781000086	615105.0275899998	532658.9690200001	190104.47457999972	746840.6325900037	170343.23491999973	132437.0984200001	43974.35790999998	81741.49963000027	53095.98891000001	86674.38527999993	134102.7535299999	96796.11878999988	122685.45138999986	327792.204	1039589.3019799924	644131.7628700042	185653.10135000027	220681.71759000007	81132.34001000001	332027.6466000002	161530.06491999998	107196.40817999993	344342.7466200014	104207.0878500002	32161.50574000002	65424.53431999996	262723.45110999985	39078.498790000005	69532.74247000003	243122.8880299995	210144.87753000017	332346.15666999976	255344.1846999992	458946.4266900011	162284.47467999984	94325.05230000016	149269.02810000005	284097.9863900006	124198.49892999986	41978.596539999984	150384.6167600001	82155.06311000013	128461.33981999994	59201.96894	869148.6196000015
TSC248	15765.95865	122795.52631999996	51363.32947000002	92383.24076000006	805996.8551000003	30483.202339999993	541609.3401799987	104166.43177999993	55824.65378999994	119027.79504999994	32165.18664999999	107446.65338999976	358807.3451600005	17909.578830000006	89415.05703000007	98531.41397999988	7647.422040000001	29626.44078	12882.403710000004	52671.551219999994	32322.88759999999	673122.7719400014	16232.213640000002	47292.03672999995	77191.86869999993	55960.093199999945	79717.34916000001	187199.7056399998	128953.00912000008	171750.93099000026	176106.80383999992	89681.53959999984	71469.08033	363369.90034000046	352166.55632999964	343750.09390999965	38755.477669999986	75710.83539999995	206057.1927799996	54356.47728999996	18258.052010000018	26187.89767	361707.87994000025	570907.6299100004	495206.90358000126	174772.30974	758306.4144900019	159671.02931999983	110728.92891000006	44788.93821999998	87632.23786000001	21276.866770000008	72077.86633000002	41222.36174	45773.97187999998	100955.89051000004	315565.7529799991	1015799.1279799936	629443.1905800004	117417.57223000008	99711.18768999996	79908.39509999995	254796.23666000064	132227.95208999998	88456.36208999998	339914.4664700007	102862.68460999995	38918.68324999994	56167.85800000007	215866.05340999985	30749.95729999999	55261.92392999992	240429.84186000007	93886.09618000004	269022.0158000002	180506.39644999988	411478.40851	118118.47313000006	67812.30832999993	116620.01722000013	285304.31853000005	112719.05002999993	33952.79818000001	136002.05385999993	67889.73241000004	117032.98655999998	39256.38829	781594.8085600011
TSC251	36665.490120000024	138010.13923999993	80822.08306999996	86908.02218000013	799752.2915100061	54922.64546000001	526462.0808700002	160294.03472999998	78302.68657000008	136661.0807	48527.427110000026	190778.11250000025	310283.74985000055	38348.64184999998	124856.48088000016	125373.65190999996	25883.909110000015	54660.98915999992	25316.497529999975	71721.54376	54237.89406000005	668795.2273500001	23477.517960000005	78545.49602999988	144172.9808400002	64291.31256999995	132536.9662299999	207556.17434000017	147814.04136999993	227539.3978199996	226120.84301000027	123440.26880000006	70482.99063000001	420547.6603200005	309507.58634999976	469581.3706499995	58975.335189999954	132496.18206999975	259546.17129000023	76452.95835	47480.96875	36969.61860000001	374445.2022499996	586040.3005	530139.4847300006	173089.9815300002	632363.1667000006	208450.20757000023	137214.08420000004	65216.78812	100575.03461000016	44331.98286000002	86766.73054000014	67049.84193	90132.72497999996	139534.0937800001	376832.9702599994	1004914.643180003	553932.5279899999	219690.86626000013	177499.20495000016	91383.52138999997	371688.0117800008	163871.66041999997	145915.5100100001	329528.5745199999	115062.80503000012	42457.93982000001	76915.60286000003	284717.61369000014	48718.075639999974	75517.90741000001	226138.6124900002	171368.2535800001	320770.4907699995	257010.37668000004	370781.29947999975	173253.72290000014	86631.01583000013	170201.54839999968	271877.35909000033	146679.26878999983	49280.53832000001	151143.0027700003	87530.29972999993	131128.39356	67469.30711000001	852491.8803600041
TSC254	31284.890469999973	154957.84101999982	88340.46548	103634.9638300001	953466.5691499964	63830.53784999999	625586.9534400001	170002.4358400001	78136.45027000012	154747.17249000023	45215.76741000004	185034.69916000037	381609.68721000094	34754.59693000001	135615.20493999997	129601.0466800001	20864.731069999987	50645.943810000026	29371.40297000002	72316.43097	60962.0609	821174.7405699994	27491.459769999987	71481.08263000003	139603.06271000023	73337.77195000013	144974.0527300001	248448.5939399998	159703.33565000014	239705.83331999992	247275.22652000003	143969.4754100002	82011.80677999984	444805.9060199993	399043.53134999995	489365.14899000054	51617.34361999997	135084.34561000022	266951.45072999963	75152.16695999997	45183.02267	31131.564770000008	430822.4781100006	693274.7605699997	595725.7828799998	186835.26624	853923.2211599982	219639.2137200003	137306.40444000016	63910.874319999995	109666.10359000014	40157.96000000002	92787.58066000004	61764.979900000006	77342.30286000014	140373.63755999994	404890.4894000003	1203583.972129999	658709.8501299999	189772.48967	173918.0483899999	88360.69190999995	380757.5553599994	176318.0517299998	145056.7608900001	395793.40377000073	123420.07032000009	47266.57602000001	81037.37573000013	303750.9516300005	54596.244150000006	72997.12321999998	265268.3286699999	170093.59666000004	345118.85542000073	254540.1252200003	443579.29476000095	176716.56788000013	97311.75402999992	176688.2576800004	323200.4376699998	160235.64363999997	43844.826230000035	170973.72945999991	85457.90372000013	148796.38914000025	67919.4135000001	968508.800459996
TSC257	46875.30033999998	137155.5929999998	85843.39215000003	84513.55883000002	744870.7407399955	57585.99442	479849.4827699983	156249.7877600001	73190.31105999998	128440.9101800001	47456.91746999993	202960.185410001	324465.0216499991	34974.12737	127505.63708999996	138004.4144699999	39013.277059999986	49841.33784999993	33830.65332999998	80899.48587000002	68692.41329999994	627770.7703099981	33795.21062999998	80722.27982000004	146736.66833999977	50187.484170000025	136866.25277999998	188021.10343000013	141220.05558999974	247497.4016900002	223049.82177999977	123532.16784999998	59188.437800000014	376433.7407699999	278344.87828000024	492198.2389299997	58507.35890999998	156012.23218000034	240305.78910000005	77714.39041000004	63326.988689999984	34208.294430000016	358293.84337000153	506388.1015200023	508007.6328199993	155514.58571000025	563745.5073999998	203876.9683600002	132032.02406000017	51422.84251000004	94751.75450999994	57540.60315000006	100985.06075000002	87125.48775000004	112930.3629800002	132284.14124999978	373502.3712499998	913805.0968900037	501507.6427299969	248106.47395000057	174980.99161999996	84198.5066099998	379933.87043999875	179705.97363999972	131991.26475999987	277727.6884399996	102982.99759000009	40616.73273000001	80958.04469000011	266920.96897999896	58411.77115000005	80970.09701999997	216150.96611000007	204557.8546800001	306307.1719499998	263095.3262000003	345268.44617000065	162533.62244999968	74515.89837000001	156880.31847000035	234174.1603699997	146668.50151999993	47279.67377999998	144118.83291999984	79820.16180999995	110536.76312999996	66121.47152000006	797291.3910100005
TSC259	65631.95143000003	188033.41470999937	107165.49022	117289.40476999988	981566.6503600008	69529.64063	671529.5655600044	209998.98193000004	92329.82422000004	157750.48339000024	65271.750340000006	257905.91211000012	414621.85082999954	39507.39768000004	149540.4495799997	166940.12339000002	45938.16035000002	63735.69034999992	45000.484650000035	95772.94209000004	97243.82519000012	858011.2976000041	43660.00029999998	101842.42700999996	170648.7227800002	63671.97505999995	158817.8715099998	248493.5110699997	167966.97872000042	299365.43440000014	308784.1956299994	171670.73181000006	84644.30380000014	491292.03181999904	440490.2710299995	680367.9935400035	59906.48007000003	197570.9899200002	304544.6181200005	107472.30609999991	76308.69913999994	38153.69925999998	467584.9043999996	719238.7649799999	640970.5934899995	214839.6567500003	824032.3932500009	245353.56002000027	182564.95349000007	62164.16173	115750.41613999996	84844.56045999998	127493.95002	114447.09575000002	137055.3653000003	150031.3584699999	448436.6619200007	1224953.5882899964	715675.525720001	256989.32671	225161.9221900001	111641.79017000004	451873.3863700005	215047.2916499999	173245.4995500003	399455.6117499995	130852.0246199998	49181.85644000005	94973.47007000008	328151.4496199995	69059.45400999997	98070.55448	300075.8516400001	272702.7400899995	420736.8209100006	313077.2621900012	476827.7885700005	208240.56232000032	106499.56396000004	188874.6431799999	316419.05385000026	182466.18226999976	63814.05322999997	191843.4958000004	98251.26236999998	163800.86121000018	77151.53777999997	1074796.619410005
TSC261	34234.850440000046	132429.39074000006	65555.04749999994	89832.53333999985	802679.6069500013	44320.29644999999	495806.31780000095	142499.92059000005	88637.82489	111573.32425	43754.645819999976	159060.66701000024	350515.28783000034	29022.55434	105692.18182000009	112594.52342999988	21900.74501000001	40133.774989999954	23000.805889999992	60672.20666000001	78083.50527000001	651236.3435599988	25512.358379999983	65219.82533000006	115824.11701999986	51927.62978999995	102915.59008999998	188553.36561999988	131038.19571000022	205455.62525999988	215734.09782999975	112366.89901000004	64568.16506000003	355937.8708999996	312214.4037699995	425791.6535800001	42444.454439999994	111819.06130999992	241755.79717000024	67074.62492000002	41015.300350000034	26142.92353000001	371007.88034000015	547183.2639599987	498781.15708999976	162725.95388000034	660748.1189500012	166798.64026000025	126448.43741000009	51956.45415000002	87101.61453999997	42110.5938	104914.49598000004	63315.33658999997	71187.87594000009	112008.48362999996	332309.9601599997	942421.1376300028	548756.218970002	166040.03188000002	140747.10182999988	75951.13899000021	317670.2136599985	161071.49936000005	121290.85927000016	318742.0605199991	96732.12018999989	32812.16237000002	61790.587259999906	241858.81569	44905.1001	69706.84029000004	213353.18031000017	140791.17564999982	298519.5469999997	217803.6638099996	369111.30306999944	142301.44369999997	71715.47108	131892.99327999994	265337.38481999986	119296.65446000006	41561.81616000001	132435.9781799999	73418.80482999994	122285.6776100001	56566.10849	796773.2266000012
TSC264	23471.568510000016	128696.50719999986	63110.20649000007	88005.0981099999	717999.740789994	37503.35389999997	439391.71804000146	129384.73232999993	61606.32873000006	115515.74613	42930.717780000006	137516.7236299999	343958.0261899994	29770.42431999998	102066.98857999984	104262.40144000006	18394.22561	43353.742680000054	21441.22155999999	66249.28578999998	52422.95095999998	616706.1060000014	23635.45913	58831.40104000002	102833.36329999994	62164.23709999996	100113.58151000016	162761.62214000043	107642.97404000007	182462.28742999968	217053.65835000065	113856.28033000008	58721.55811999997	326341.23384000163	250149.64604000057	344533.3568800009	42888.88265999993	103857.01966999978	188211.04246999975	70462.45078999984	42168.32566999999	27722.178540000015	326115.03971999954	476343.3847799986	487935.23273999966	149139.9098800002	519269.0745800014	160649.10756999985	127098.96805999994	46639.27208000002	87058.5080200001	29361.91424000001	74532.24043999995	47769.32921999999	55573.0805900001	112571.69911	319731.50990999956	827773.855349993	508900.2940199996	127989.2994499998	121942.77367000013	77642.82010999988	299023.43367999996	173332.64658999932	120065.82329	265483.1787000009	100898.76777999992	31829.38225	67683.01858999999	218497.45512999996	38379.60033999999	54392.915529999984	205288.89606999984	124266.15846000004	242003.5668100008	204522.86924000023	355788.6347499991	134684.65816000014	72544.64356999997	122888.8702599999	217879.66701000015	119885.09248999976	38441.34543000006	130662.89895000005	76412.62275000008	109735.27489999996	56137.86996999995	735016.7505300011
