Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC000	338.0211000000001	3710.90768	966.25658	2680.9843	23527.766110000004	1107.1508	12720.34971	3369.3877300000004	2041.3992	2081.94985	830.0495800000001	2751.13523	11489.67616	763.0153	2837.3224200000004	21481.09212	1716.6761	219.72270000000003	1145.5845999999997	393.6359	2105.1741999999995	1358.09928	381.1684	1503.6034999999997	2728.8542	891.2395900000001	1862.26293	4861.28897	3643.12759	6009.562849999998	5599.678480000001	2637.8715100000004	1285.4265999999998	11523.29099	10109.722630000002	10323.470270000002	1481.603	2051.51437	4726.171210000002	2587.4326700000006	300.81249999999994	1136.577	14775.077909999998	17524.430070000002	12859.544630000002	5537.752600000001	21027.223240000003	6900.954200000002	3404.228880000001	1433.2140799999995	2203.4733800000004	753.4836	2221.70028	1404.43858	1079.8914000000002	2841.69715	9349.06328	26712.55194	16432.5568	3256.7283700000003	2908.548	1065.3275999999998	8345.35189	5326.722390000003	4007.2488	9000.7669	2564.92033	812.6969	1953.3009	5311.759620000001	497.5998	2176.7175	6618.023550000002	2409.1955300000004	5625.21261	4938.518569999997	14319.01909	3674.7407	2345.9104	3216.59277	9785.736360000004	4620.093199999998	702.0609999999999	2531.21401	1411.03395	2763.1287599999987	1690.7145999999996	25454.11837
TSC001	490.1864	2927.12124	1706.8103	2975.2981200000004	20305.35346	996.1610999999996	13881.055800000013	2963.1446	2002.58247	2241.94075	430.3813	2134.07596	11557.120919999994	939.519	3298.3146000000006	19683.923390000007	1520.7396799999997	278.0257	2489.4608	571.0083000000001	1196.2606	2123.4109000000003	244.1229	1012.01329	2301.13897	1334.8717	2028.74113	3221.92151	4903.894059999998	3633.491720000001	5345.52572	1558.8988799999995	3012.42448	9771.705040000004	9052.386540000003	7280.362249999999	1278.4544	2032.0317899999995	3855.08979	1613.3273499999998	793.2656000000002	735.0225200000001	11499.63564	10949.338930000002	16709.36421	4528.7323400000005	18444.74926000001	4001.250650000001	2452.32681	847.96514	1620.1673999999998	408.4067	1460.5966199999998	725.5484000000001	1019.8614	4331.831929999999	9721.58764	26229.95913	11540.231230000005	2791.196869999999	2985.9861200000005	1067.19873	7325.930110000001	4534.151740000001	2343.5516999999995	8874.84627	1636.59065	481.0834300000001	1534.833	4453.52379	2649.7048	1176.09433	7488.918689999999	5396.525300000001	6673.493659999999	5663.221100000001	12419.61896	2448.91108	1623.0080300000002	4070.41026	6772.311419999999	3698.472940000001	696.0860300000002	2954.5811300000005	1416.4133499999998	3255.076260000001	1512.5045299999997	17159.997680000004
TSC002	94.586	1448.3845200000003	254.7369	406.76682	6166.23767	466.75931	3383.2732800000003	1010.80126	564.81292	731.2226	204.4933	1747.55725	2397.18958	282.55144	625.9660100000001	4898.612869999999	259.92026000000004	381.6230000000001	478.0929999999999	442.9032	1076.4996	951.43201	825.7253000000001	262.8307	1707.089	357.86780000000005	1233.81838	1780.5134	1590.29132	2085.3480500000005	1696.9496000000004	601.67665	362.2585	2511.1297000000004	1718.7253199999998	3460.90764	586.50605	660.98859	1660.7277	579.9329700000001	126.483	277.8768	2755.3491200000008	4967.136939999999	4265.4114500000005	1113.15342	2211.0831899999994	1355.36005	1041.0344699999998	401.84253	447.24122	339.2176	336.0029	252.4471	1121.19508	733.2887000000001	2179.0304400000005	5899.15389	3941.597760000001	1958.1402	1242.0263	733.5218	3104.0168000000003	780.5445000000001	1377.4965000000002	1351.68394	727.1134	512.7326	671.8937999999999	2749.3692800000003	394.4147	371.55041	2297.8186000000005	1973.85739	2474.2350600000004	1324.1541900000002	2205.11776	947.66151	636.3792000000001	1636.9830000000002	2203.8382	701.1062	587.6965	1518.03617	285.2633	745.3176	610.4715500000001	6316.857139999999
TSC003	454.6079	1984.8874400000004	1053.4755	1385.9757000000004	12257.13531	965.549	7431.4473	2339.9586000000004	527.0519	1855.96494	566.29882	2224.40169	6305.701300000001	676.844	1957.1439	10255.515769999998	1155.18962	131.1464	1366.3003	77.8562	811.6073	627.3704700000003	153.5446	584.3382	1761.3983999999998	308.0401	2347.4460000000004	2681.3281	1659.9185399999997	3182.217	2595.6484	1161.4353	797.448	5127.269369999998	5839.2129	5108.26682	273.8919	1332.0701	2693.1989	880.7735	487.5047	249.63502	6521.344079999998	9144.631040000002	7530.061480000002	2898.88032	9281.72702	3320.8973000000005	2974.1069	1375.4633	1465.8868999999995	497.2364	707.3258	695.6280999999999	863.7752	2237.0737000000004	4602.50963	12958.255770000002	7585.665190000002	2923.5667000000003	1483.7988999999995	995.62861	5619.149200000002	2422.3199199999995	2348.4436	3306.1012100000007	1668.0746	408.3813	1595.5215	3474.9965199999992	90.1782	791.0197000000003	3766.7458000000006	2006.99791	3996.3517	3021.9248000000007	7861.211399999998	2302.462509999999	1473.19106	2244.11001	3767.3177	1512.6601999999996	1384.399	2436.0647400000003	830.5463599999999	1156.5509000000002	1110.4095	11392.983009999994
TSC004	236.2329	2533.064529999999	1420.9339000000002	1762.74941	21185.54388	1288.6721599999998	13427.370320000002	3365.212539999999	1680.8336899999997	3063.1867	297.65759	3513.8996800000004	12172.59401	726.4795999999999	2425.9141200000004	19648.88056	1728.39813	168.6554	768.1647800000001	405.96932	1350.07966	726.2234	505.2617000000001	1621.79958	1999.31755	1751.0923399999997	2226.10912	4760.60951	2767.71133	4224.89185	4223.530459999999	3265.8918700000004	1443.5198300000002	11509.4508	9185.01185	10420.49477	794.0373	1917.79181	5032.915509999999	1010.72397	849.2632400000001	1473.0665	11766.73873	15904.534229999996	13672.860510000004	4142.672689999999	19294.5754	4686.6727	2972.1815400000005	2703.88977	1620.25331	339.00509	1452.7218899999998	1531.9746999999995	1126.60361	4944.736290000001	8212.045250000003	24972.663819999987	16714.515420000003	3029.06862	3940.32616	1214.19983	7750.226290000002	3204.7813999999994	2443.6327200000005	7764.949890000002	2968.516909999999	676.2277299999998	1834.36766	5842.573260000002	245.31379	2049.04763	7010.36031	2159.88677	6379.08881	4742.1137	12400.9165	3844.48855	2397.1978000000004	3700.87839	6763.0489400000015	3060.28663	957.1701	3059.64782	1682.37126	5375.430360000001	1328.2714800000003	22140.65281
TSC005	541.0824	5092.4809	2500.7157500000003	2887.1020300000005	31886.671210000022	1788.0302000000004	17540.65639	4950.753089999999	1436.3087	3637.38788	1163.9787	5109.59616	11616.65944	1299.0891799999995	3389.354520000001	27225.37080999999	3912.12992	358.1198	1624.1561	356.86394	2656.02685	1966.2740300000005	298.3023	2584.37643	3143.54505	1684.9852999999998	3696.65769	5483.417439999998	5407.902949999998	5711.90681	6674.742209999998	2539.20083	2176.7689000000005	10230.68015	14872.61872	11285.13044	732.8186000000001	3268.54975	8627.57612	1840.1431	1031.9027	536.5068	15060.393410000004	20216.315629999983	17185.587069999998	4067.71575	28533.536979999983	4657.380620000001	4126.25142	2008.5926000000004	3065.681899999999	970.1455	2383.04032	1793.5182	2632.655709999998	4067.88746	10848.024839999998	34306.649020000004	20647.04071	5761.271199999999	4875.37415	2440.14021	10908.32644	5036.296359999999	3997.608229999999	12275.753529999998	2569.36579	1121.29014	2664.2010000000005	8919.07785	898.2856	2405.829440000001	8838.399529999999	3009.4159	9220.92394	7300.993850000001	17175.99519999999	5968.524359999999	2498.21043	4245.120870000001	10206.26095	3504.023919999999	845.8761000000001	4491.473919999999	3050.2194700000005	3018.24378	2330.406	26883.91062000001
TSC006	375.74862	2853.35752	1384.58605	2895.544519999999	26829.996220000008	561.10837	16795.452420000005	4124.952820000001	644.8352099999998	3709.24769	765.4647	2951.21134	14028.15695	448.4435	3387.2753999999995	25712.713830000008	1952.54497	374.05189999999993	619.25493	540.88356	1428.5318700000005	957.88279	165.3348	1473.66737	1968.06284	3996.672870000001	1828.57333	4064.56942	2130.1494	4483.94448	7606.520679999998	2294.31404	1606.37469	13930.30715	10917.666260000004	10564.114940000003	1456.77139	1439.75185	5433.67216	1975.93333	388.7955	442.9665	12772.427089999994	16568.47186	18167.11608	5230.03746	25548.711729999995	4256.520740000001	2793.33602	2992.836060000001	1876.05732	188.8479	1954.4404	843.2977000000001	590.89751	3086.7966400000005	9310.066789999995	37840.74876000002	18588.317749999995	3836.236630000001	2935.05385	1357.0291799999998	5907.273099999999	4623.661410000001	2974.47364	11301.623789999998	2852.72694	892.8205000000003	960.60911	6083.668570000001	488.7442	1823.7673	6345.64543	5098.898109999999	7524.517759999999	4855.972310000002	18784.015459999995	2462.01454	3073.5642099999995	6064.38216	9491.761599999998	4823.719870000002	580.1017800000001	4145.42672	1259.6400500000002	4464.446380000001	1319.5173900000002	29693.392349999987
TSC008	273.09740000000005	3908.92081	1148.24844	3664.194709999999	26211.574410000016	1106.3099700000002	15093.37046	3505.34284	1696.5648099999996	5541.337599999999	1191.9955	2428.47487	11470.71557	1339.89146	3043.26199	23075.04781	1501.8603300000002	301.8932	1420.76776	290.8407	1621.83144	799.4399799999999	260.09368	1518.35796	1940.9729	2808.17231	2413.45582	3833.105240000001	4117.911149999999	3991.2422200000015	8473.00914	2052.0750500000004	1869.73638	10625.97414	12527.062169999994	11299.54349	1608.27135	1686.04286	5718.903999999998	1517.17708	542.7898999999999	558.03489	14779.46326	16431.601940000004	20024.473079999992	4339.883610000001	26106.230600000006	4353.30456	3631.966440000001	1780.30587	2461.4873999999995	345.5726	3462.2179	536.38644	936.3977	3760.29477	8667.198959999998	30255.621530000008	17289.75116	2110.15813	2624.73365	2672.41019	6434.80936	5101.644300000001	3380.5574	13541.90564	2995.39622	563.72978	930.2402	6628.615879999997	603.7321999999999	1174.48031	5195.170660000001	6587.254519999999	5920.213080000001	5338.40027	18644.99161	2913.70153	3105.9251000000013	4190.74691	9644.06622	3161.65732	762.8441	4315.380570000001	1783.7294599999998	3250.05074	1728.44558	28154.986519999988
TSC011	171.72291	915.62849	328.4826	745.2323399999999	6510.155589999999	607.54338	2847.6552999999985	1141.5457200000003	451.19963	795.7297700000001	709.7203999999999	1351.11539	2921.3661099999995	723.2186000000002	484.8751000000001	5406.02519	655.91347	76.20512	598.5079	599.4168000000001	443.45302	460.3931	20.01105	481.3815599999999	539.7817	278.69631	421.6074	1643.3412800000003	1000.20134	2036.3958	1534.4655	857.1766999999999	663.46002	3002.7857799999983	1528.5756	3418.709550000001	723.37175	638.91975	2162.8933300000003	920.8642	202.4255	249.5055	3913.51587	4881.95697	3839.676300000001	1835.86266	4684.946680000002	1308.6269999999995	866.13761	476.0801200000001	314.06224	386.7099	463.3989	463.9111000000001	333.61887	999.2537199999998	2565.0886000000005	6318.712740000001	4356.815	1640.33658	1164.60054	514.68184	2246.19838	1597.9049999999995	1089.62435	2019.22737	1055.2701	106.816	682.3970400000001	1914.8676000000005	268.3409	812.8840999999999	2288.62838	1083.5266	2154.99962	1788.4652300000002	3844.62469	1196.8131299999998	789.8204	653.1829599999999	2223.47606	520.1179	197.50009000000003	873.5649099999999	617.82473	1054.66917	450.10587	5350.47492
TSC013	211.7427	1050.81163	596.1800999999999	1169.4105600000005	8967.72479	570.5477800000001	4313.46503	1002.71175	547.24404	1406.4672	405.2643000000001	1672.5190300000002	2708.2117900000003	495.91698	686.8298500000001	5755.299719999998	413.76352	64.35724	513.1118	306.4884	958.82001	384.5609999999999	111.83400000000002	246.03136	503.6826	809.0754000000002	791.29855	1478.40243	980.71114	1591.71266	1586.43715	932.07875	587.5789	2361.37094	2908.172709999999	2979.10394	292.7971	743.4342899999999	1432.83861	558.0110000000001	207.10024	353.13250000000005	3592.8662900000013	5319.988990000002	4764.16098	1918.40184	4777.83279	1383.37783	1079.38763	653.47665	264.95491	248.6028	575.9181	769.21903	417.9973999999999	2152.60622	2839.62465	7667.372379999998	5250.86717	2058.9673000000003	898.5647999999998	523.91591	3609.175939999999	1448.7220900000002	922.88391	1990.70925	1013.52346	282.26296	734.10936	1961.58586	260.5536	697.7849	2255.18819	1401.6413099999995	2626.16292	2090.6128000000003	4669.8362400000005	1260.9612499999998	713.54402	1097.7044400000002	2606.4484700000003	623.65584	305.54589	1249.03463	752.41438	877.3698000000002	756.6869599999999	6694.774209999999
