Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC039	359.32091	1911.80789	1562.5469	1052.35423	12467.398870000005	1384.7286	6456.171619999999	3337.7807	989.33889	2979.14671	414.23486	2963.33898	4436.08784	1233.1111999999998	753.4377099999999	10819.312960000005	2282.66725	924.624	836.4187	369.29004	3552.15818	2826.6322599999994	585.9016	689.5889999999999	1747.0520700000002	667.3802400000001	3566.48814	2308.7996299999995	1050.08572	3253.2286400000003	2657.67282	1219.95037	2694.3248699999995	6694.93109	6049.5328500000005	7144.185759999999	407.5067	766.4044900000002	2658.90359	533.24044	651.35258	1604.6981099999998	6271.80122	9009.80286	8942.22868	2948.61454	8518.323309999998	4101.48852	1752.53854	911.3331	1064.24186	803.5963999999999	627.0785199999999	1036.06423	4135.653380000001	2267.41975	4531.5172600000005	10453.33867	5774.45624	2825.89175	2591.6756399999995	850.1160799999999	8612.32045	1195.22311	2411.979979999999	2636.0967900000005	949.73162	582.46918	1844.2081	2296.07056	928.40083	534.10122	3716.317189999999	2947.5743	3489.4092799999994	5116.486950000001	4856.360289999999	2584.487809999999	1247.21655	3855.12812	3853.501940000001	1839.8738100000005	1529.23249	1708.0637499999998	1175.51784	2138.81851	1145.19763	13625.381990000007
TSC043	136.082	1846.63999	605.869	707.40743	9337.364789999998	245.9855	4570.58237	2180.3364599999995	2587.5823000000005	1630.7269100000003	44.6961	2563.51608	3367.06192	562.0663	474.3907	6949.075320000002	2420.2306000000003	264.2769	608.5293700000001	489.4751	1381.8745	1370.9339	246.742	1573.6852400000002	1652.3478200000002	560.4876	1974.79408	1626.7251199999998	984.8729	1848.27615	1737.9674599999998	2035.92965	1424.87538	5421.714800000002	4785.24059	4718.85851	518.8723	935.5562	3477.08096	1604.07273	1369.58997	523.2743	5090.31321	6057.31517	7183.743979999999	1539.15739	8599.798879999998	2266.76679	2800.2404600000004	543.3597	718.98703	1038.39132	283.36479	505.43258	1722.74267	2110.8263300000003	4382.0419	9289.639050000003	4869.576290000001	2408.1775700000007	2206.8083	1220.00955	6070.626690000001	2134.40683	1335.57115	3040.71513	414.6666200000001	457.79416	968.70165	2838.3716699999995	526.3816	535.69787	3984.1417	2137.164329999999	1855.3041800000003	4624.093959999999	4779.756529999997	2386.1733400000003	711.4059000000001	3048.58195	3252.6397	1420.64041	933.84586	801.30908	1589.0119499999998	1365.3630999999998	903.0347	9735.159620000004
TSC050	137.9171	2113.7354800000003	1161.80707	912.26167	10031.39143	837.55694	6388.60516	2290.7040999999995	1522.76282	1997.28176	243.13045	2455.7068300000005	3210.2899499999994	824.8486	362.95052	7271.643329999999	1522.62207	599.8223	685.2071500000001	259.57550000000003	2032.9968800000004	1990.56061	342.9304	860.24703	2339.22544	343.81241	2951.80561	1649.4193699999996	1478.6396800000002	2110.02131	1177.05412	2224.13533	2227.3547	5478.682539999999	4774.17426	4472.945600000001	595.61599	1296.47121	3119.29673	1053.55398	726.14062	491.7226	6905.679589999997	9002.208460000002	7965.091700000003	1953.98975	8078.799300000001	3050.5977500000004	2219.04813	775.8829300000001	2589.2662	1140.9292	786.24634	501.16	2073.03683	2883.54172	5105.4656300000015	10428.963540000004	5555.523830000001	2107.9311500000003	2295.81399	942.4618400000002	8064.370219999999	1987.86654	1940.76418	2378.435339999999	1258.33734	514.91912	1374.08934	3040.73353	644.7554	810.49091	3311.9395099999992	1818.36519	2674.73513	5003.337429999999	4406.244350000001	2012.4394899999995	860.97479	4407.87466	5413.53045	985.8101	1022.72123	1260.9125799999997	1342.98507	1511.15767	1039.83574	13015.17551
TSC069	410.9601300000001	1646.36367	1451.6329	1759.81524	9581.3656	209.6354	5457.99019	1100.2518399999997	587.1154900000001	1118.0094	341.6161	2420.52528	4337.689529999999	1472.1002999999998	811.9549199999999	8711.40084	847.39841	526.6247	551.5805399999999	563.5841	1121.4923	899.39954	28.274	1426.687	1337.19121	678.9999	1305.65962	1916.81468	1112.9230000000002	3547.0518999999995	2494.6313199999995	1032.7327199999995	533.4779000000001	4853.18658	3534.7982999999995	3783.534559999999	687.9647000000001	1528.90007	4315.31423	1768.2507999999998	500.4836	704.69818	3771.84918	7940.192100000003	8214.165009999997	1743.7207999999998	10108.70538	2047.82448	1219.0969000000002	613.9878	742.7052499999999	1844.0549	1531.2209399999997	763.3809	1760.8458	966.38474	3016.0927099999994	8227.23018	7862.90877	4119.12274	2340.72904	320.14941	6318.22384	1699.0153199999995	1469.13747	2742.12015	1329.9486	506.0419	658.0883200000001	4066.5655000000006	300.09860000000003	561.8168000000001	3285.4111500000004	2337.9282699999994	2756.1381100000003	4079.8999800000006	4767.47819	1508.12592	1056.9113	1795.9353400000002	3537.1245000000004	1278.7421599999998	408.3978	1323.7192300000002	966.7359299999998	1950.7625	838.2908	12244.246709999996
TSC077	184.4123	570.21591	271.9141	556.35203	3189.4699	166.3972	1775.53165	768.19475	437.79019	561.2725	250.37046	604.32561	1144.4064099999998	437.4271	481.25392	3833.94897	313.43931000000003	219.61387	434.2488	299.9254	545.1722500000001	320.0948	98.5869	63.5433	462.90717	159.71980000000002	249.98903	847.89415	774.16111	1232.9156200000002	791.6538600000001	789.1786000000001	301.6334	2004.33939	1275.7432400000002	1515.06949	128.42171000000002	479.883	1477.14107	378.4933	271.5496	154.3348	1554.6934600000002	3105.4640300000005	3368.19014	152.26286	2696.0308899999995	669.202	365.3457	567.8770999999999	213.00000000000003	1031.3809	419.27159	176.84089999999998	395.49203	475.9753	1272.6826100000003	5758.53737	4123.74366	1282.34208	827.44355	68.6879	3416.26755	558.7077600000001	863.2104000000002	1759.9186199999997	311.10835	353.5937	208.1347	991.6476	102.6718	93.5512	1011.25057	405.95778	1354.78679	942.71986	2668.0099	522.1120999999999	327.4458	350.5987999999999	1562.12246	331.51101000000006	481.0162	541.62411	279.2968	348.13825	380.1372	3353.413270000001
TSC083	696.6741	1552.7365800000002	559.507	451.0631	6550.873899999999	293.4735	3575.4847099999984	955.04829	951.4671000000002	779.9483999999999	543.5694000000001	1952.38244	3807.8261	784.2209999999999	1121.6521299999995	9288.754080000002	804.8103	402.9799	447.5773	364.5822999999999	1226.2043	495.0305	162.4701	615.62738	1104.7589	495.5066000000001	1306.2983099999997	2462.67207	1117.9083	3623.67977	2071.1824	1958.3578	502.1742999999999	4420.378379999998	1688.5932000000007	4706.816989999999	269.3373	1047.38189	2450.4952000000008	1125.9293000000002	725.7140999999999	258.0275	3612.4113	4012.4699800000008	8027.951439999997	1504.9770800000003	7060.987499999999	2050.27238	1588.05083	293.35406	1872.41697	1108.4487	633.1517	521.7060000000001	709.0498699999999	1085.82736	2995.2832400000007	8175.234439999998	7815.605700000001	3141.6517000000003	1918.9363	564.4262	6701.219640000001	1427.3427	1383.9744000000003	2556.4564	736.1804999999999	390.8021	500.4244699999999	1596.7335999999996	579.2045999999999	1179.9374999999998	1331.3147	1097.7468	3318.67301	3578.67221	2993.23725	2516.0680999999995	938.4367	1456.5366400000005	2522.13958	1474.6430999999998	397.18978	1122.8622	420.00323	720.9159	929.3741	8277.935899999997
TSC099	674.8145	1736.0081800000005	657.0841	262.81230000000005	8522.84294	284.5035	3663.67565	1423.22691	844.4716999999999	647.6995000000001	86.7864	1910.273599999999	4231.867550000001	458.78788	1209.3242	5578.781619999997	732.6119300000003	425.33618	482.6827899999999	437.90894	1153.7377	908.83358	155.1478	975.5502	1682.3126700000005	887.5217999999999	1365.60072	1082.30573	1255.9919799999998	1876.75259	2546.075759999999	1312.5826000000002	661.3277999999999	4404.177760000002	1589.7913	2997.824000000001	389.2284000000001	880.0984000000001	2184.409710000001	884.74252	431.0221	207.8474	2535.06947	5425.294980000001	5622.353890000001	1342.2756000000004	5714.081650000001	1547.7951700000003	1477.97158	394.3014999999999	1019.40123	536.5641999999999	423.48278	551.61541	703.7736999999998	1299.7553300000002	3782.379770000001	7964.473290000001	7705.798329999999	2636.1149	1436.12858	809.5923	6384.549980000001	1778.57005	2093.50768	1461.6375399999995	548.5563999999999	229.09590000000003	356.7468	1676.5050599999995	352.194	1028.8977	1596.74994	1509.59	3135.4078900000004	3161.043449999999	3425.2534100000003	834.5953799999999	893.9232299999999	1031.4659	2522.127110000001	1639.10294	663.34198	1503.12632	1095.1966	637.58588	738.3955999999998	7419.325449999997
TSC106	4525.7824	3762.3906900000006	1727.65032	1061.5716	17148.780619999998	2009.87605	8301.249789999998	1626.9170600000002	628.3391	3241.78984	1575.5659	6867.693749999999	3866.27982	675.7204999999999	5739.820340000001	14493.294840000002	4179.623199999998	1498.0343	1584.00213	3088.28997	2369.018400000001	1665.5787000000005	267.1734	1465.3634400000003	5387.301520000001	483.11286	6312.654170000002	5102.239159999999	2693.67018	12941.550390000002	5162.635869999999	4680.811500000001	1019.0791	12703.959399999998	3220.8182	10195.52277	432.73102000000006	3423.734090000001	3560.846740000001	2294.173240000001	2340.4841300000003	1874.9113	8403.05747	10328.6836	13742.746689999994	1849.69397	6222.252920000001	1850.2471	3446.7211300000004	2856.4932000000003	1920.05679	3811.2341	473.93992	535.27121	2305.11347	2022.04212	9727.960030000002	20056.893040000003	11329.755430000005	6107.785019999999	5295.25055	2368.77629	14069.663899999998	5544.84037	1387.5436599999998	6545.024070000001	1315.74527	1759.5084999999997	2056.7044	4347.15438	1919.0217	3472.73045	4903.56385	6401.07385	4420.90733	4896.434589999999	2217.3604400000004	4911.77237	1356.6258999999998	3775.40492	4425.4217100000005	4497.0011	464.3602	2355.1249	927.5706800000002	3887.2227000000007	1487.39468	18537.99808
TSC115	536.4788	1956.00992	447.33449999999993	848.1522400000001	5845.817060000001	246.81229	3032.2993099999994	943.1711	821.49249	988.1311	402.794	1860.4249	2991.943009999999	214.3132	788.5896700000001	5909.191459999999	752.2428299999999	111.5875	231.71140000000003	473.54768000000007	757.3646899999999	241.4917	33.6225	225.37920000000005	992.56474	656.5292999999999	1356.78219	1925.78459	1376.2598999999998	1564.5663000000002	1652.2232499999998	1225.5987000000002	276.76164	3562.19291	1919.80768	2316.683070000001	125.34852	569.5450199999999	1276.8202899999997	775.8642	310.4157	446.0603	4058.88809	4092.335180000001	4716.022029999999	647.7125	3583.05486	1059.61183	882.2172999999998	867.0857199999999	655.5369	364.5294	541.4822199999999	88.7067	608.4271400000001	920.19971	2674.66141	8026.253159999999	4197.540010000001	1170.9465599999996	1402.27807	606.0387499999999	3632.501779999999	1362.6909299999995	664.9933299999999	2395.337539999999	319.9882	301.54096000000004	238.20817	2069.06235	806.3960999999999	682.8173	1837.22379	1169.71089	1736.79031	1783.31635	2966.9247599999994	1256.1318	400.5213	1297.4668800000002	2232.33057	1681.6851299999998	113.65466	864.9473	551.7332	944.4661	193.94769	7015.7229
TSC123	624.0236000000001	2051.5535700000005	937.8731899999998	941.4992000000002	6779.431070000002	347.2794	4419.9328000000005	1447.1536099999996	955.49603	584.22281	516.52	1891.8076800000003	3584.62517	614.4121800000001	1567.7995000000003	5286.807250000001	1109.8763	446.8940999999999	971.25952	717.87743	1138.95297	774.317	413.15260000000006	1233.87442	1441.9247300000002	666.4168	1235.9307	1849.9261	935.79968	2321.580549999999	2095.53871	1445.1660099999997	251.6002	4546.527360000001	2434.79767	4830.12985	438.2567	1002.86569	2020.9565200000004	1289.9690199999998	886.2334999999999	192.16719	3211.5126600000003	4180.415620000002	6045.4975300000015	791.1518999999997	6232.91818	2298.12847	1435.9507599999995	2219.05812	760.7372799999999	762.4755	586.4521100000001	740.8233799999999	1473.7537000000002	3132.69387	2567.98607	9666.813359999998	4250.58075	2231.04298	2575.70123	434.22314000000006	5482.9607	1196.46256	2563.5843100000006	1829.8133	200.95721	754.8217199999999	437.87128	2945.0680000000007	893.54477	469.74748	1465.9334399999998	2095.1430900000005	4472.303400000001	3396.225500000001	2830.37711	2909.1234200000013	951.41673	1591.80952	2068.2729699999995	1528.70467	252.40147	1280.9378300000003	813.3871499999999	750.6320800000001	617.24871	7983.68543
